*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.0727631 	4.000000	0.0651852 	4.000000	0.0658055 	4.000000	0.0658055 	4.000000	0.0651464 	4.000000	3.88329e-05	
4.500000	0.0663958 	4.500000	0.0597991 	4.500000	0.0603557 	4.500000	0.0603557 	4.500000	0.0597641 	4.500000	3.49911e-05	
5.000000	0.0611309 	5.000000	0.0553356 	5.000000	0.0558341 	5.000000	0.0558341 	5.000000	0.0553038 	5.000000	3.18728e-05	
5.500000	0.056699  	5.500000	0.0515709 	5.500000	0.0520168 	5.500000	0.0520168 	5.500000	0.0515416 	5.500000	2.92884e-05	
6.000000	0.0529131 	6.000000	0.0483481 	6.000000	0.048747  	6.000000	0.048747  	6.000000	0.048321  	6.000000	2.71097e-05	
6.500000	0.0496386 	6.500000	0.0455547 	6.500000	0.0459114 	6.500000	0.0459114 	6.500000	0.0455294 	6.500000	2.52469e-05	
7.000000	0.0467764 	7.000000	0.0431073 	7.000000	0.0434263 	7.000000	0.0434263 	7.000000	0.0430837 	7.000000	2.36348e-05	
7.500000	0.0442517 	7.500000	0.0409432 	7.500000	0.0412283 	7.500000	0.0412283 	7.500000	0.040921  	7.500000	2.22254e-05	
8.000000	0.042007  	8.000000	0.0390142 	8.000000	0.0392687 	8.000000	0.0392687 	8.000000	0.0389932 	8.000000	2.09821e-05	
8.500000	0.0399972 	8.500000	0.0372823 	8.500000	0.0375093 	8.500000	0.0375093 	8.500000	0.0372624 	8.500000	1.98767e-05	
9.000000	0.0381865 	9.000000	0.0357177 	9.000000	0.0359198 	9.000000	0.0359198 	9.000000	0.0356988 	9.000000	1.88872e-05	
9.500000	0.0365462 	9.500000	0.0342963 	9.500000	0.0344758 	9.500000	0.0344758 	9.500000	0.0342783 	9.500000	1.7996e-05	
10.000000	0.0350528 	10.000000	0.033147  	10.000000	0.0331573 	10.000000	0.0331573 	10.000000	0.0331298 	10.000000	1.71889e-05	
11.000000	0.032433  	11.000000	0.0308322 	11.000000	0.0307811 	11.000000	0.0307832 	11.000000	0.0308164 	11.000000	1.57828e-05	
12.000000	0.0302082 	12.000000	0.0288408 	12.000000	0.0287484 	12.000000	0.0287518 	12.000000	0.0288262 	12.000000	1.45986e-05	
13.000000	0.0282938 	13.000000	0.027109  	13.000000	0.0269873 	13.000000	0.0269912 	13.000000	0.0270954 	13.000000	1.35869e-05	
14.000000	0.026628  	14.000000	0.0255887 	14.000000	0.0254448 	14.000000	0.0254485 	14.000000	0.025576  	14.000000	1.2712e-05	
15.000000	0.0251644 	15.000000	0.024243  	15.000000	0.0240803 	15.000000	0.0240839 	15.000000	0.0242311 	15.000000	1.19477e-05	
16.000000	0.0238678 	16.000000	0.0230431 	16.000000	0.0228637 	16.000000	0.0228672 	16.000000	0.0230318 	16.000000	1.12738e-05	
17.000000	0.0227106 	17.000000	0.0219662 	17.000000	0.0217716 	17.000000	0.0217746 	17.000000	0.0219555 	17.000000	1.06751e-05	
18.000000	0.0216711 	18.000000	0.0209941 	18.000000	0.020785  	18.000000	0.0207873 	18.000000	0.020984  	18.000000	1.01394e-05	
19.000000	0.0207319 	19.000000	0.020112  	19.000000	0.0198887 	19.000000	0.0198903 	19.000000	0.0201024 	19.000000	9.6572e-06	
20.000000	0.0198788 	20.000000	0.0193079 	20.000000	0.0190697 	20.000000	0.0190714 	20.000000	0.0192987 	20.000000	9.22068e-06	
21.000000	0.0191004 	21.000000	0.0185716 	21.000000	0.0183185 	21.000000	0.0183203 	21.000000	0.0185628 	21.000000	8.82358e-06	
22.000000	0.0183871 	22.000000	0.0178948 	22.000000	0.0176274 	22.000000	0.0176288 	22.000000	0.0178864 	22.000000	8.46072e-06	
23.000000	0.0177308 	23.000000	0.0172705 	23.000000	0.0169895 	23.000000	0.0169899 	23.000000	0.0172624 	23.000000	8.12778e-06	
24.000000	0.0171249 	24.000000	0.0166928 	24.000000	0.0163982 	24.000000	0.0163976 	24.000000	0.0166849 	24.000000	7.82117e-06	
25.000000	0.0165637 	25.000000	0.0161564 	25.000000	0.0158483 	25.000000	0.0158469 	25.000000	0.0161489 	25.000000	7.53783e-06	
