*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.129255  	0.001000	0.0671251 	0.001000	0.110316  	0.001000	0.110316  	0.001000	0.0371848 	0.001000	0.0299403 	
0.002000	0.152651  	0.002000	0.0784123 	0.002000	0.126414  	0.002000	0.126414  	0.002000	0.0544417 	0.002000	0.0239707 	
0.005000	0.216185  	0.005000	0.105733  	0.005000	0.156793  	0.005000	0.156793  	0.005000	0.0901153 	0.005000	0.0156173 	
0.008000	0.269099  	0.008000	0.128634  	0.008000	0.178355  	0.008000	0.178355  	0.008000	0.116698  	0.008000	0.0119357 	
0.010000	0.300306  	0.010000	0.142342  	0.010000	0.190343  	0.010000	0.190343  	0.010000	0.131937  	0.010000	0.0104054 	
0.015000	0.352841  	0.015000	0.175565  	0.015000	0.218568  	0.015000	0.218568  	0.015000	0.167565  	0.015000	0.00799965	
0.020000	0.393996  	0.020000	0.215909  	0.020000	0.254936  	0.020000	0.254936  	0.020000	0.209333  	0.020000	0.0065762 	
0.025000	0.438732  	0.025000	0.254388  	0.025000	0.289848  	0.025000	0.289848  	0.025000	0.248819  	0.025000	0.00556958	
0.030000	0.474997  	0.030000	0.290332  	0.030000	0.319183  	0.030000	0.319183  	0.030000	0.285444  	0.030000	0.00488841	
0.035000	0.504003  	0.035000	0.322913  	0.035000	0.345999  	0.035000	0.345999  	0.035000	0.318544  	0.035000	0.00436913	
0.040000	0.526254  	0.040000	0.352603  	0.040000	0.370402  	0.040000	0.370402  	0.040000	0.348644  	0.040000	0.00395871	
0.045000	0.542111  	0.045000	0.379309  	0.045000	0.392492  	0.045000	0.392492  	0.045000	0.375684  	0.045000	0.00362527	
0.050000	0.552025  	0.050000	0.403039  	0.050000	0.412371  	0.050000	0.412371  	0.050000	0.399691  	0.050000	0.00334841	
