Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.08132   	0.001000	0.20752   	0.001000	0.172174  	0.001000	0.172174  	0.001000	0.136184  	0.001000	0.0713361 	
0.002000	1.1547    	0.002000	0.258938  	0.002000	0.212913  	0.002000	0.212913  	0.002000	0.18863   	0.002000	0.0703082 	
0.005000	1.35396   	0.005000	0.350242  	0.005000	0.285556  	0.005000	0.285556  	0.005000	0.290163  	0.005000	0.0600794 	
0.008000	1.52123   	0.008000	0.413812  	0.008000	0.337128  	0.008000	0.337128  	0.008000	0.361891  	0.008000	0.0519206 	
0.010000	1.61902   	0.010000	0.449628  	0.010000	0.366592  	0.010000	0.366592  	0.010000	0.401907  	0.010000	0.0477204 	
0.015000	1.91121   	0.015000	0.526283  	0.015000	0.430536  	0.015000	0.430536  	0.015000	0.486283  	0.015000	0.0400003 	
0.020000	2.16355   	0.020000	0.591392  	0.020000	0.485659  	0.020000	0.485659  	0.020000	0.556686  	0.020000	0.0347066 	
0.025000	2.44466   	0.025000	0.660142  	0.025000	0.541193  	0.025000	0.541193  	0.025000	0.629324  	0.025000	0.0308186 	
0.030000	2.68621   	0.030000	0.740233  	0.030000	0.65286   	0.030000	0.65286   	0.030000	0.712411  	0.030000	0.0278223 	
0.035000	2.82675   	0.035000	0.817459  	0.035000	0.732511  	0.035000	0.732511  	0.035000	0.792028  	0.035000	0.0254306 	
0.040000	2.93349   	0.040000	0.888401  	0.040000	0.793466  	0.040000	0.793466  	0.040000	0.864931  	0.040000	0.0234699 	
0.045000	3.0086    	0.045000	0.930017  	0.045000	0.845768  	0.045000	0.845768  	0.045000	0.908188  	0.045000	0.0218285 	
0.050000	3.05451   	0.050000	0.96416   	0.050000	0.893767  	0.050000	0.893767  	0.050000	0.943729  	0.050000	0.0204308 	
0.055000	3.16976   	0.055000	0.995923  	0.055000	0.938962  	0.055000	0.938962  	0.055000	0.976699  	0.055000	0.0192241 	
0.060000	3.26746   	0.060000	1.02553   	0.060000	0.981787  	0.060000	0.981787  	0.060000	1.00736   	0.060000	0.0181699 	
0.070000	3.42103   	0.070000	1.07904   	0.070000	1.06065   	0.070000	1.06065   	0.070000	1.06263   	0.070000	0.0164123 	
0.080000	3.62712   	0.080000	1.1279    	0.080000	1.13066   	0.080000	1.13066   	0.080000	1.1129    	0.080000	0.0150009 	
0.090000	3.79112   	0.090000	1.18458   	0.090000	1.19224   	0.090000	1.19224   	0.090000	1.17074   	0.090000	0.013839  	
0.100000	3.92301   	0.100000	1.2337    	0.100000	1.2461    	0.100000	1.2461    	0.100000	1.22084   	0.100000	0.0128634 	
0.120000	4.02588   	0.120000	1.31299   	0.120000	1.33363   	0.120000	1.33363   	0.120000	1.30178   	0.120000	0.0112058 	
0.140000	4.08608   	0.140000	1.3725    	0.140000	1.39957   	0.140000	1.39957   	0.140000	1.36246   	0.140000	0.0100351 	
0.160000	4.13326   	0.160000	1.41717   	0.160000	1.44909   	0.160000	1.44909   	0.160000	1.40807   	0.160000	0.00910673	
0.180000	4.1804    	0.180000	1.45091   	0.180000	1.48637   	0.180000	1.48637   	0.180000	1.44256   	0.180000	0.0083505 	
0.200000	4.23196   	0.200000	1.47663   	0.200000	1.51465   	0.200000	1.51465   	0.200000	1.46891   	0.200000	0.00772125	
0.250000	4.25375   	0.250000	1.52092   	0.250000	1.56005   	0.250000	1.56005   	0.250000	1.5144    	0.250000	0.0065257 	
0.300000	4.30019   	0.300000	1.55557   	0.300000	1.58505   	0.300000	1.58505   	0.300000	1.5499    	0.300000	0.0056755 	
0.350000	4.33412   	0.350000	1.57614   	0.350000	1.59968   	0.350000	1.59968   	0.350000	1.5711    	0.350000	0.00503678	
0.400000	4.35389   	0.400000	1.58852   	0.400000	1.60836   	0.400000	1.60836   	0.400000	1.58398   	0.400000	0.00453759	
0.450000	4.37672   	0.450000	1.60167   	0.450000	1.61674   	0.450000	1.61674   	0.450000	1.59754   	0.450000	0.00413567	
0.500000	4.38197   	0.500000	1.61037   	0.500000	1.63346   	0.500000	1.63346   	0.500000	1.60656   	0.500000	0.00380442	
0.600000	4.22464   	0.600000	1.62196   	0.600000	1.65036   	0.600000	1.65036   	0.600000	1.61867   	0.600000	0.00328906	
0.700000	4.03348   	0.700000	1.62338   	0.700000	1.65228   	0.700000	1.65228   	0.700000	1.62047   	0.700000	0.00290523	
0.800000	3.98391   	0.800000	1.6197    	0.800000	1.63846   	0.800000	1.63846   	0.800000	1.61709   	0.800000	0.00260728	
0.900000	3.91711   	0.900000	1.60917   	0.900000	1.62036   	0.900000	1.62036   	0.900000	1.6068    	0.900000	0.00236871	
1.000000	3.8401    	1.000000	1.59396   	1.000000	1.59946   	1.000000	1.59946   	1.000000	1.59179   	1.000000	0.002173  	
1.250000	3.62039   	1.250000	1.54427   	1.250000	1.54088   	1.250000	1.54088   	1.250000	1.54246   	1.250000	0.00180814	
1.500000	3.4008    	1.500000	1.48736   	1.500000	1.47119   	1.500000	1.47119   	1.500000	1.4858    	1.500000	0.00155426	
1.750000	3.1945    	1.750000	1.42931   	1.750000	1.40753   	1.750000	1.40753   	1.750000	1.42795   	1.750000	0.00136664	
2.000000	2.99813   	2.000000	1.36907   	2.000000	1.34906   	2.000000	1.34906   	2.000000	1.36785   	2.000000	0.00122189	
2.250000	2.82686   	2.250000	1.31306   	2.250000	1.29515   	2.250000	1.29515   	2.250000	1.31195   	2.250000	0.00110658	
2.500000	2.72326   	2.500000	1.26143   	2.500000	1.24531   	2.500000	1.24531   	2.500000	1.26041   	2.500000	0.00101238	
3.000000	2.44881   	3.000000	1.1655    	3.000000	1.15641   	3.000000	1.15641   	3.000000	1.16463   	3.000000	0.000867394	
3.500000	2.22644   	3.500000	1.0847    	3.500000	1.07972   	3.500000	1.07972   	3.500000	1.08394   	3.500000	0.000760687	
4.000000	2.04279   	4.000000	1.01666   	4.000000	1.01308   	4.000000	1.01308   	4.000000	1.01599   	4.000000	0.000678642	
4.500000	1.88858   	4.500000	0.958102  	4.500000	0.954743  	4.500000	0.954743  	4.500000	0.957489  	4.500000	0.000613463	
