Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.36642   	0.001000	0.352532  	0.001000	0.365279  	0.001000	0.365279  	0.001000	0.13077   	0.001000	0.221762  	
0.002000	0.372121  	0.002000	0.349461  	0.002000	0.36659   	0.002000	0.36659   	0.002000	0.171338  	0.002000	0.178123  	
0.005000	0.406343  	0.005000	0.361604  	0.005000	0.387619  	0.005000	0.387619  	0.005000	0.245114  	0.005000	0.11649   	
0.008000	0.443134  	0.008000	0.383827  	0.008000	0.416425  	0.008000	0.416425  	0.008000	0.294657  	0.008000	0.0891696 	
0.010000	0.466144  	0.010000	0.399391  	0.010000	0.435762  	0.010000	0.435762  	0.010000	0.321602  	0.010000	0.0777885 	
0.015000	0.549186  	0.015000	0.442079  	0.015000	0.485365  	0.015000	0.485365  	0.015000	0.382211  	0.015000	0.0598674 	
0.020000	0.62957   	0.020000	0.499076  	0.020000	0.550092  	0.020000	0.550092  	0.020000	0.449829  	0.020000	0.0492471 	
0.025000	0.721515  	0.025000	0.566864  	0.025000	0.617019  	0.025000	0.617019  	0.025000	0.524962  	0.025000	0.0419019 	
0.030000	0.805844  	0.030000	0.634711  	0.030000	0.679206  	0.030000	0.679206  	0.030000	0.598076  	0.030000	0.0366354 	
0.035000	0.880794  	0.035000	0.70157   	0.035000	0.740673  	0.035000	0.740673  	0.035000	0.668816  	0.035000	0.0327537 	
0.040000	0.945216  	0.040000	0.766559  	0.040000	0.80083   	0.040000	0.80083   	0.040000	0.736875  	0.040000	0.0296842 	
0.045000	0.99791   	0.045000	0.82919   	0.045000	0.85941   	0.045000	0.85941   	0.045000	0.802     	0.045000	0.0271894 	
0.050000	1.03047   	0.050000	0.883393  	0.050000	0.916229  	0.050000	0.916229  	0.050000	0.858275  	0.050000	0.0251173 	
0.055000	1.08563   	0.055000	0.939458  	0.055000	0.971161  	0.055000	0.971161  	0.055000	0.916092  	0.055000	0.0233658 	
0.060000	1.13444   	0.060000	0.993496  	0.060000	1.02412   	0.060000	1.02412   	0.060000	0.971632  	0.060000	0.0218638 	
0.070000	1.21414   	0.070000	1.09506   	0.070000	1.1239    	0.070000	1.1239    	0.070000	1.07565   	0.070000	0.0194164 	
0.080000	1.29854   	0.080000	1.18632   	0.080000	1.21539   	0.080000	1.21539   	0.080000	1.16881   	0.080000	0.0175017 	
0.090000	1.36783   	0.090000	1.26827   	0.090000	1.29866   	0.090000	1.29866   	0.090000	1.25232   	0.090000	0.0159588 	
0.100000	1.42186   	0.100000	1.33994   	0.100000	1.37397   	0.100000	1.37397   	0.100000	1.32525   	0.100000	0.0146863 	
0.120000	1.45847   	0.120000	1.44453   	0.120000	1.50233   	0.120000	1.50233   	0.120000	1.43182   	0.120000	0.012705  	
0.140000	1.48315   	0.140000	1.52598   	0.140000	1.6043    	0.140000	1.6043    	0.140000	1.51475   	0.140000	0.011228  	
0.160000	1.50541   	0.160000	1.58932   	0.160000	1.68404   	0.160000	1.68404   	0.160000	1.57924   	0.160000	0.0100806 	
0.180000	1.52918   	0.180000	1.63892   	0.180000	1.74554   	0.180000	1.74554   	0.180000	1.62976   	0.180000	0.00916143	
