Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.556534  	0.001000	0.31793   	0.001000	0.354431  	0.001000	0.354431  	0.001000	0.157255  	0.001000	0.160674  	
0.002000	0.594301  	0.002000	0.339126  	0.002000	0.382144  	0.002000	0.382144  	0.002000	0.203935  	0.002000	0.135191  	
0.005000	0.696855  	0.005000	0.380825  	0.005000	0.433593  	0.005000	0.433593  	0.005000	0.287554  	0.005000	0.0932709 	
0.008000	0.782946  	0.008000	0.415966  	0.008000	0.474162  	0.008000	0.474162  	0.008000	0.342976  	0.008000	0.0729893 	
0.010000	0.833275  	0.010000	0.437172  	0.010000	0.498021  	0.010000	0.498021  	0.010000	0.372911  	0.010000	0.0642608 	
0.015000	0.983658  	0.015000	0.500068  	0.015000	0.560391  	0.015000	0.560391  	0.015000	0.449879  	0.015000	0.0501895 	
0.020000	1.11353   	0.020000	0.6187    	0.020000	0.657014  	0.020000	0.657014  	0.020000	0.577039  	0.020000	0.0416612 	
0.025000	1.25821   	0.025000	0.737407  	0.025000	0.754211  	0.025000	0.754211  	0.025000	0.701547  	0.025000	0.0358602 	
0.030000	1.38253   	0.030000	0.853162  	0.030000	0.83985   	0.030000	0.83985   	0.030000	0.821539  	0.030000	0.0316231 	
0.035000	1.45487   	0.035000	0.949008  	0.035000	0.920548  	0.035000	0.920548  	0.035000	0.920902  	0.035000	0.028106  	
0.040000	1.5098    	0.040000	1.02662   	0.040000	0.996581  	0.040000	0.996581  	0.040000	1.00106   	0.040000	0.0255579 	
0.045000	1.54846   	0.045000	1.09665   	0.045000	1.06748   	0.045000	1.06748   	0.045000	1.07317   	0.045000	0.0234749 	
0.050000	1.57209   	0.050000	1.15926   	0.050000	1.13322   	0.050000	1.13322   	0.050000	1.13752   	0.050000	0.0217366 	
0.055000	1.63141   	0.055000	1.21478   	0.055000	1.19385   	0.055000	1.19385   	0.055000	1.19452   	0.055000	0.0202616 	
0.060000	1.68169   	0.060000	1.26365   	0.060000	1.24949   	0.060000	1.24949   	0.060000	1.24466   	0.060000	0.0189924 	
0.070000	1.76073   	0.070000	1.34359   	0.070000	1.3466    	0.070000	1.3466    	0.070000	1.32667   	0.070000	0.0169159 	
0.080000	1.8668    	0.080000	1.41803   	0.080000	1.42644   	0.080000	1.42644   	0.080000	1.40275   	0.080000	0.0152839 	
0.090000	1.95121   	0.090000	1.47626   	0.090000	1.49123   	0.090000	1.49123   	0.090000	1.4623    	0.090000	0.0139641 	
0.100000	2.01909   	0.100000	1.52036   	0.100000	1.54325   	0.100000	1.54325   	0.100000	1.50749   	0.100000	0.0128723 	
0.120000	2.07203   	0.120000	1.57902   	0.120000	1.61727   	0.120000	1.61727   	0.120000	1.56786   	0.120000	0.0111662 	
0.140000	2.10302   	0.140000	1.61343   	0.140000	1.6628    	0.140000	1.6628    	0.140000	1.60354   	0.140000	0.00988934	
0.160000	2.1273    	0.160000	1.63474   	0.160000	1.6901    	0.160000	1.6901    	0.160000	1.62584   	0.160000	0.00889446	
0.180000	2.15156   	0.180000	1.64894   	0.180000	1.70604   	0.180000	1.70604   	0.180000	1.64085   	0.180000	0.00809537	
0.200000	2.1781    	0.200000	1.65914   	0.200000	1.71501   	0.200000	1.71501   	0.200000	1.65171   	0.200000	0.00743814	
0.250000	2.18931   	0.250000	1.68023   	0.250000	1.72229   	0.250000	1.72229   	0.250000	1.67402   	0.250000	0.00620857	
