*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.605346  	4.000000	0.248534  	4.000000	0.248091  	4.000000	0.248091  	4.000000	0.24837   	4.000000	0.000163455	
4.500000	0.552374  	4.500000	0.231571  	4.500000	0.231188  	4.500000	0.231188  	4.500000	0.231424  	4.500000	0.000147841	
5.000000	0.508573  	5.000000	0.217166  	5.000000	0.216809  	5.000000	0.216809  	5.000000	0.217031  	5.000000	0.000135108	
5.500000	0.471702  	5.500000	0.204762  	5.500000	0.204411  	5.500000	0.204411  	5.500000	0.204637  	5.500000	0.000124512	
6.000000	0.440205  	6.000000	0.193955  	6.000000	0.193597  	6.000000	0.193597  	6.000000	0.193839  	6.000000	0.000115547	
6.500000	0.412963  	6.500000	0.184443  	6.500000	0.184067  	6.500000	0.184067  	6.500000	0.184335  	6.500000	0.000107857	
7.000000	0.389152  	7.000000	0.175995  	7.000000	0.175597  	7.000000	0.175597  	7.000000	0.175894  	7.000000	0.000101184	
7.500000	0.368148  	7.500000	0.168433  	7.500000	0.16801   	7.500000	0.16801   	7.500000	0.168338  	7.500000	9.53332e-05	
8.000000	0.349473  	8.000000	0.161618  	8.000000	0.161167  	8.000000	0.161167  	8.000000	0.161528  	8.000000	9.016e-05 	
8.500000	0.332753  	8.500000	0.155439  	8.500000	0.154959  	8.500000	0.154959  	8.500000	0.155353  	8.500000	8.55507e-05	
9.000000	0.317689  	9.000000	0.149804  	9.000000	0.149296  	9.000000	0.149296  	9.000000	0.149723  	9.000000	8.14159e-05	
9.500000	0.304043  	9.500000	0.144642  	9.500000	0.144106  	9.500000	0.144106  	9.500000	0.144564  	9.500000	7.76848e-05	
10.000000	0.291619  	10.000000	0.140253  	10.000000	0.139327  	10.000000	0.139327  	10.000000	0.140178  	10.000000	7.42998e-05	
11.000000	0.269824  	11.000000	0.132939  	11.000000	0.130879  	11.000000	0.130893  	11.000000	0.13287   	11.000000	6.83885e-05	
12.000000	0.251314  	12.000000	0.12628   	12.000000	0.123483  	12.000000	0.123507  	12.000000	0.126217  	12.000000	6.33951e-05	
13.000000	0.235387  	13.000000	0.12023   	13.000000	0.116949  	13.000000	0.116975  	13.000000	0.120171  	13.000000	5.91178e-05	
14.000000	0.221529  	14.000000	0.114729  	14.000000	0.111131  	14.000000	0.111156  	14.000000	0.114674  	14.000000	5.54103e-05	
15.000000	0.209353  	15.000000	0.109717  	15.000000	0.105916  	15.000000	0.10594   	15.000000	0.109665  	15.000000	5.21639e-05	
16.000000	0.198566  	16.000000	0.10514   	16.000000	0.101215  	16.000000	0.101238  	16.000000	0.10509   	16.000000	4.92963e-05	
17.000000	0.188939  	17.000000	0.100947  	17.000000	0.0969591 	17.000000	0.0969796 	17.000000	0.1009    	17.000000	4.67435e-05	
18.000000	0.180291  	18.000000	0.0970947 	18.000000	0.0930892 	18.000000	0.0931047 	18.000000	0.0970503 	18.000000	4.44557e-05	
19.000000	0.172477  	19.000000	0.0935459 	19.000000	0.0895531 	19.000000	0.0895644 	19.000000	0.0935035 	19.000000	4.23929e-05	
20.000000	0.16538   	20.000000	0.0902669 	20.000000	0.0863053 	20.000000	0.0863165 	20.000000	0.0902264 	20.000000	4.05229e-05	
21.000000	0.158904  	21.000000	0.087229  	21.000000	0.0833137 	21.000000	0.0833261 	21.000000	0.0871902 	21.000000	3.88193e-05	
22.000000	0.152969  	22.000000	0.084407  	22.000000	0.080554  	22.000000	0.0805633 	22.000000	0.0843698 	22.000000	3.72606e-05	
23.000000	0.14751   	23.000000	0.0817792 	23.000000	0.0780003 	23.000000	0.0780031 	23.000000	0.0817434 	23.000000	3.58287e-05	
24.000000	0.142469  	24.000000	0.0793263 	24.000000	0.0756273 	24.000000	0.0756235 	24.000000	0.0792918 	24.000000	3.45084e-05	
25.000000	0.1378    	25.000000	0.0770316 	25.000000	0.0734157 	25.000000	0.073406  	25.000000	0.0769983 	25.000000	3.3287e-05	
27.000000	0.129421  	27.000000	0.0728597 	27.000000	0.0694187 	27.000000	0.0693943 	27.000000	0.0728286 	27.000000	3.10987e-05	
29.000000	0.122112  	29.000000	0.0691651 	29.000000	0.0658921 	29.000000	0.0658617 	29.000000	0.0691359 	29.000000	2.91938e-05	
31.000000	0.115678  	31.000000	0.0658702 	31.000000	0.0628125 	31.000000	0.0627805 	31.000000	0.0658426 	31.000000	2.75197e-05	
33.000000	0.109966  	33.000000	0.0629133 	33.000000	0.0601323 	33.000000	0.0600904 	33.000000	0.0628873 	33.000000	2.60362e-05	
35.000000	0.104861  	35.000000	0.0602448 	35.000000	0.057704  	35.000000	0.0576642 	35.000000	0.0602201 	35.000000	2.4712e-05	
38.000000	0.0981394 	38.000000	0.0566962 	38.000000	0.0544824 	38.000000	0.0544362 	38.000000	0.0566732 	38.000000	2.29717e-05	
41.000000	0.0923337 	41.000000	0.0535993 	41.000000	0.0516612 	41.000000	0.0516141 	41.000000	0.0535779 	41.000000	2.14712e-05	
44.000000	0.0872651 	44.000000	0.0508725 	44.000000	0.0491641 	44.000000	0.0491224 	44.000000	0.0508524 	44.000000	2.01635e-05	
47.000000	0.0827992 	47.000000	0.0484526 	47.000000	0.0469515 	47.000000	0.0469041 	47.000000	0.0484336 	47.000000	1.9013e-05	
50.000000	0.0788325 	50.000000	0.0462901 	50.000000	0.0449627 	50.000000	0.0449148 	50.000000	0.0462721 	50.000000	1.79927e-05	
55.000000	0.0731189 	55.000000	0.0431546 	55.000000	0.0420688 	55.000000	0.0420167 	55.000000	0.0431381 	55.000000	1.65256e-05	
60.000000	0.0682948 	60.000000	0.0404892 	60.000000	0.0395862 	60.000000	0.0395382 	60.000000	0.040474  	60.000000	1.52896e-05	
65.000000	0.0641637 	65.000000	0.0381948 	65.000000	0.0374413 	65.000000	0.0373921 	65.000000	0.0381806 	65.000000	1.42334e-05	
70.000000	0.0605837 	70.000000	0.0361982 	70.000000	0.0355641 	70.000000	0.0355141 	70.000000	0.0361849 	70.000000	1.33197e-05	
75.000000	0.0574491 	75.000000	0.0344444 	75.000000	0.0339019 	75.000000	0.0338559 	75.000000	0.0344319 	75.000000	1.25213e-05	
80.000000	0.0546802 	80.000000	0.0328912 	80.000000	0.0324302 	80.000000	0.0323802 	80.000000	0.0328794 	80.000000	1.18172e-05	
85.000000	0.052215  	85.000000	0.0315058 	85.000000	0.0311053 	85.000000	0.0310579 	85.000000	0.0314946 	85.000000	1.11915e-05	
90.000000	0.0500053 	90.000000	0.0302622 	90.000000	0.0299112 	90.000000	0.0298659 	90.000000	0.0302515 	90.000000	1.06316e-05	
95.000000	0.0480123 	95.000000	0.0291393 	95.000000	0.028834  	95.000000	0.0287854 	95.000000	0.0291292 	95.000000	1.01274e-05	
100.000000	0.046205  	100.000000	0.0281204 	100.000000	0.0278478 	100.000000	0.0278014 	100.000000	0.0281107 	100.000000	9.67094e-06	
105.000000	0.044558  	105.000000	0.0271914 	105.000000	0.0269457 	105.000000	0.0269012 	105.000000	0.0271822 	105.000000	9.25564e-06	
110.000000	0.0430504 	110.000000	0.0263409 	110.000000	0.0261168 	110.000000	0.0260744 	110.000000	0.0263321 	110.000000	8.87609e-06	
115.000000	0.0416647 	115.000000	0.0255593 	115.000000	0.0253563 	115.000000	0.0253124 	115.000000	0.0255508 	115.000000	8.52779e-06	
120.000000	0.0403865 	120.000000	0.0248384 	120.000000	0.0246525 	120.000000	0.0246077 	120.000000	0.0248302 	120.000000	8.20698e-06	
125.000000	0.0392033 	125.000000	0.0241714 	125.000000	0.0239965 	125.000000	0.023954  	125.000000	0.0241635 	125.000000	7.91049e-06	
130.000000	0.0381048 	130.000000	0.0235524 	130.000000	0.0233872 	130.000000	0.0233459 	130.000000	0.0235448 	130.000000	7.6356e-06	
135.000000	0.0370818 	135.000000	0.0229764 	135.000000	0.0228219 	135.000000	0.0227788 	135.000000	0.022969  	135.000000	7.38001e-06	
140.000000	0.0361267 	140.000000	0.022439  	140.000000	0.0222919 	140.000000	0.0222487 	140.000000	0.0224318 	140.000000	7.14172e-06	
145.000000	0.0352327 	145.000000	0.0219364 	145.000000	0.0217936 	145.000000	0.021752  	145.000000	0.0219295 	145.000000	6.919e-06 	
150.000000	0.0343941 	150.000000	0.0214654 	150.000000	0.0213262 	150.000000	0.0212856 	150.000000	0.0214587 	150.000000	6.71037e-06	
155.000000	0.0332133 	155.000000	0.021023  	155.000000	0.0208861 	155.000000	0.0208469 	155.000000	0.0210165 	155.000000	6.51449e-06	
160.000000	0.0325212 	160.000000	0.0206067 	160.000000	0.0204723 	160.000000	0.0204334 	160.000000	0.0206004 	160.000000	6.33023e-06	
165.000000	0.0318685 	165.000000	0.0202143 	165.000000	0.0200834 	165.000000	0.0200431 	165.000000	0.0202081 	165.000000	6.15655e-06	
170.000000	0.0312519 	170.000000	0.0198437 	170.000000	0.0197144 	170.000000	0.019674  	170.000000	0.0198377 	170.000000	5.99257e-06	
175.000000	0.0306685 	175.000000	0.0194932 	175.000000	0.0193637 	175.000000	0.0193245 	175.000000	0.0194874 	175.000000	5.83747e-06	
180.000000	0.0301157 	180.000000	0.0191612 	180.000000	0.0190313 	180.000000	0.018993  	180.000000	0.0191555 	180.000000	5.69055e-06	
185.000000	0.029591  	185.000000	0.0188462 	185.000000	0.0187157 	185.000000	0.0186782 	185.000000	0.0188407 	185.000000	5.55117e-06	
190.000000	0.0290923 	190.000000	0.018547  	190.000000	0.0184154 	190.000000	0.0183789 	190.000000	0.0185416 	190.000000	5.41874e-06	
