Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	2.53051   	4.000000	1.25035   	4.000000	1.24474   	4.000000	1.24474   	4.000000	1.24949   	4.000000	0.000861779	
4.500000	2.34444   	4.500000	1.18235   	4.500000	1.17664   	4.500000	1.17664   	4.500000	1.18157   	4.500000	0.000778967	
5.000000	2.18525   	5.000000	1.12223   	5.000000	1.11614   	5.000000	1.11614   	5.000000	1.12152   	5.000000	0.000711489	
5.500000	2.04749   	5.500000	1.0686    	5.500000	1.06207   	5.500000	1.06207   	5.500000	1.06794   	5.500000	0.000655376	
6.000000	1.92707   	6.000000	1.02013   	6.000000	1.01345   	6.000000	1.01345   	6.000000	1.01952   	6.000000	0.000607932	
6.500000	1.82089   	6.500000	0.976529  	6.500000	0.969507  	6.500000	0.969507  	6.500000	0.975962  	6.500000	0.000567256	
7.000000	1.72653   	7.000000	0.937029  	7.000000	0.929582  	7.000000	0.929582  	7.000000	0.936497  	7.000000	0.000531972	
7.500000	1.64211   	7.500000	0.901032  	7.500000	0.893143  	7.500000	0.893143  	7.500000	0.900531  	7.500000	0.000501056	
8.000000	1.56611   	8.000000	0.868064  	8.000000	0.859745  	8.000000	0.859745  	8.000000	0.86759   	8.000000	0.000473729	
8.500000	1.49732   	8.500000	0.837736  	8.500000	0.829016  	8.500000	0.829016  	8.500000	0.837286  	8.500000	0.000449389	
9.000000	1.43475   	9.000000	0.809728  	9.000000	0.800641  	9.000000	0.800641  	9.000000	0.8093    	9.000000	0.000427563	
9.500000	1.37757   	9.500000	0.783773  	9.500000	0.774355  	9.500000	0.774355  	9.500000	0.783365  	9.500000	0.000407873	
10.000000	1.32511   	10.000000	0.764677  	10.000000	0.749929  	10.000000	0.749929  	10.000000	0.764287  	10.000000	0.000390016	
11.000000	1.23217   	11.000000	0.725483  	11.000000	0.708658  	11.000000	0.710344  	11.000000	0.725124  	11.000000	0.000358844	
12.000000	1.15234   	12.000000	0.689605  	12.000000	0.672139  	12.000000	0.674972  	12.000000	0.689273  	12.000000	0.000332525	
13.000000	1.08298   	13.000000	0.656846  	13.000000	0.639593  	13.000000	0.643214  	13.000000	0.656536  	13.000000	0.000309991	
14.000000	1.02214   	14.000000	0.626937  	14.000000	0.610396  	14.000000	0.614548  	14.000000	0.626646  	14.000000	0.000290466	
15.000000	0.96832   	15.000000	0.599595  	15.000000	0.584061  	15.000000	0.58855   	15.000000	0.599321  	15.000000	0.000273376	
16.000000	0.920355  	16.000000	0.574551  	16.000000	0.560163  	16.000000	0.564867  	16.000000	0.574293  	16.000000	0.000258284	
17.000000	0.877326  	17.000000	0.551559  	17.000000	0.538369  	17.000000	0.543205  	17.000000	0.551314  	17.000000	0.000244854	
18.000000	0.838497  	18.000000	0.530398  	18.000000	0.518429  	18.000000	0.523317  	18.000000	0.530165  	18.000000	0.000232821	
19.000000	0.803274  	19.000000	0.510872  	19.000000	0.500123  	19.000000	0.504994  	19.000000	0.51065   	19.000000	0.000221974	
20.000000	0.77117   	20.000000	0.492809  	20.000000	0.483253  	20.000000	0.488056  	20.000000	0.492597  	20.000000	0.000212144	
21.000000	0.741781  	21.000000	0.476058  	21.000000	0.46755   	21.000000	0.472255  	21.000000	0.475855  	21.000000	0.00020319	
22.000000	0.714773  	22.000000	0.460486  	22.000000	0.452958  	22.000000	0.457558  	22.000000	0.460291  	22.000000	0.000195  	
23.000000	0.689862  	23.000000	0.445976  	23.000000	0.43947   	23.000000	0.443957  	23.000000	0.445789  	23.000000	0.000187477	
24.000000	0.666811  	24.000000	0.432427  	24.000000	0.426889  	24.000000	0.431252  	24.000000	0.432247  	24.000000	0.000180542	
25.000000	0.645414  	25.000000	0.419748  	25.000000	0.41513   	25.000000	0.419357  	25.000000	0.419574  	25.000000	0.000174128	
27.000000	0.606912  	27.000000	0.39669   	27.000000	0.393762  	27.000000	0.397702  	27.000000	0.396528  	27.000000	0.000162639	
29.000000	0.57322   	29.000000	0.376268  	29.000000	0.374829  	29.000000	0.378492  	29.000000	0.376115  	29.000000	0.000152641	
31.000000	0.543477  	31.000000	0.358057  	31.000000	0.357344  	31.000000	0.36056   	31.000000	0.357913  	31.000000	0.000143857	
33.000000	0.517017  	33.000000	0.341719  	33.000000	0.341143  	33.000000	0.343806  	33.000000	0.341583  	33.000000	0.000136075	
35.000000	0.493317  	35.000000	0.32698   	35.000000	0.326541  	35.000000	0.328766  	35.000000	0.326851  	35.000000	0.00012913	
38.000000	0.46205   	38.000000	0.307391  	38.000000	0.3072    	38.000000	0.308874  	38.000000	0.307271  	38.000000	0.000120006	
41.000000	0.434986  	41.000000	0.290309  	41.000000	0.290341  	41.000000	0.291601  	41.000000	0.290197  	41.000000	0.000112141	
44.000000	0.411317  	44.000000	0.27528   	44.000000	0.275529  	44.000000	0.276452  	44.000000	0.275174  	44.000000	0.000105289	
47.000000	0.390432  	47.000000	0.261953  	47.000000	0.262378  	47.000000	0.263047  	47.000000	0.261853  	47.000000	9.92622e-05	
50.000000	0.371859  	50.000000	0.250053  	50.000000	0.250627  	50.000000	0.251095  	50.000000	0.249959  	50.000000	9.39183e-05	
55.000000	0.34507   	55.000000	0.232816  	55.000000	0.233618  	55.000000	0.233803  	55.000000	0.23273   	55.000000	8.62371e-05	
60.000000	0.32242   	60.000000	0.218181  	60.000000	0.219164  	60.000000	0.219132  	60.000000	0.218102  	60.000000	7.97677e-05	
65.000000	0.303004  	65.000000	0.205597  	65.000000	0.206705  	65.000000	0.206517  	65.000000	0.205523  	65.000000	7.42406e-05	
70.000000	0.286162  	70.000000	0.194657  	70.000000	0.195864  	70.000000	0.195546  	70.000000	0.194587  	70.000000	6.94611e-05	
75.000000	0.271406  	75.000000	0.185056  	75.000000	0.186324  	75.000000	0.185912  	75.000000	0.18499   	75.000000	6.52852e-05	
80.000000	0.258363  	80.000000	0.17656   	80.000000	0.177839  	80.000000	0.17738   	80.000000	0.176498  	80.000000	6.16038e-05	
85.000000	0.246745  	85.000000	0.168987  	85.000000	0.170297  	85.000000	0.16977   	85.000000	0.168929  	85.000000	5.83326e-05	
90.000000	0.236327  	90.000000	0.162194  	90.000000	0.163521  	90.000000	0.162936  	90.000000	0.162138  	90.000000	5.5406e-05	
95.000000	0.226928  	95.000000	0.156064  	95.000000	0.157373  	95.000000	0.156765  	95.000000	0.156011  	95.000000	5.27712e-05	
100.000000	0.218401  	100.000000	0.150504  	100.000000	0.151792  	100.000000	0.151163  	100.000000	0.150454  	100.000000	5.03863e-05	
105.000000	0.210629  	105.000000	0.145438  	105.000000	0.146723  	105.000000	0.146053  	105.000000	0.14539   	105.000000	4.82167e-05	
110.000000	0.203513  	110.000000	0.140802  	110.000000	0.142062  	110.000000	0.141374  	110.000000	0.140756  	110.000000	4.62341e-05	
115.000000	0.196972  	115.000000	0.136543  	115.000000	0.13777   	115.000000	0.137071  	115.000000	0.136498  	115.000000	4.44151e-05	
120.000000	0.190936  	120.000000	0.132616  	120.000000	0.133813  	120.000000	0.133102  	120.000000	0.132574  	120.000000	4.27398e-05	
125.000000	0.185349  	125.000000	0.128985  	125.000000	0.130148  	125.000000	0.129428  	125.000000	0.128943  	125.000000	4.11917e-05	
130.000000	0.18016   	130.000000	0.125615  	130.000000	0.126745  	130.000000	0.126017  	130.000000	0.125576  	130.000000	3.97565e-05	
135.000000	0.175328  	135.000000	0.122481  	135.000000	0.123578  	135.000000	0.122842  	135.000000	0.122442  	135.000000	3.84223e-05	
140.000000	0.170816  	140.000000	0.119557  	140.000000	0.120621  	140.000000	0.119879  	140.000000	0.11952   	140.000000	3.71785e-05	
145.000000	0.166593  	145.000000	0.116824  	145.000000	0.117855  	145.000000	0.117108  	145.000000	0.116788  	145.000000	3.60162e-05	
150.000000	0.16263   	150.000000	0.114263  	150.000000	0.115263  	150.000000	0.11451   	150.000000	0.114228  	150.000000	3.49274e-05	
155.000000	0.157049  	155.000000	0.111859  	155.000000	0.112817  	155.000000	0.112069  	155.000000	0.111825  	155.000000	3.39053e-05	
160.000000	0.153779  	160.000000	0.109596  	160.000000	0.110513  	160.000000	0.109772  	160.000000	0.109563  	160.000000	3.29438e-05	
165.000000	0.150695  	165.000000	0.107464  	165.000000	0.108351  	165.000000	0.107606  	165.000000	0.107432  	165.000000	3.20377e-05	
170.000000	0.147781  	170.000000	0.105451  	170.000000	0.106311  	170.000000	0.105561  	170.000000	0.10542   	170.000000	3.11823e-05	
175.000000	0.145024  	175.000000	0.103547  	175.000000	0.104378  	175.000000	0.103626  	175.000000	0.103517  	175.000000	3.03733e-05	
180.000000	0.142411  	180.000000	0.101744  	180.000000	0.102544  	180.000000	0.101793  	180.000000	0.101715  	180.000000	2.96069e-05	
185.000000	0.139931  	185.000000	0.100034  	185.000000	0.100802  	185.000000	0.100054  	185.000000	0.100005  	185.000000	2.888e-05 	
190.000000	0.137573  	190.000000	0.0984096 	190.000000	0.0991466 	190.000000	0.0984025 	190.000000	0.0983814 	190.000000	2.81894e-05	
195.000000	0.13533   	195.000000	0.0968648 	195.000000	0.0975757 	195.000000	0.0968314 	195.000000	0.0968373 	195.000000	2.75324e-05	
200.000000	0.133193  	200.000000	0.0953939 	200.000000	0.0960821 	200.000000	0.0953352 	200.000000	0.095367  	200.000000	2.69067e-05	
210.000000	0.129206  	210.000000	0.0926535 	210.000000	0.0932837 	210.000000	0.0925475 	210.000000	0.0926277 	210.000000	2.57403e-05	
220.000000	0.125563  	220.000000	0.0901524 	220.000000	0.0907402 	220.000000	0.0900031 	220.000000	0.0901277 	220.000000	2.46749e-05	
230.000000	0.122219  	230.000000	0.0878606 	230.000000	0.0883996 	230.000000	0.0876719 	230.000000	0.0878369 	230.000000	2.36976e-05	
240.000000	0.11914   	240.000000	0.0857531 	240.000000	0.0862552 	240.000000	0.0855284 	240.000000	0.0857303 	240.000000	2.27979e-05	
250.000000	0.116295  	250.000000	0.0838086 	250.000000	0.0842723 	250.000000	0.0835513 	250.000000	0.0837866 	250.000000	2.19667e-05	
260.000000	0.113658  	260.000000	0.082009  	260.000000	0.0824379 	260.000000	0.0817222 	260.000000	0.0819878 	260.000000	2.11964e-05	
270.000000	0.111207  	270.000000	0.080339  	270.000000	0.0807409 	270.000000	0.0800254 	270.000000	0.0803185 	270.000000	2.04805e-05	
280.000000	0.108923  	280.000000	0.0787851 	280.000000	0.0791537 	280.000000	0.0784475 	280.000000	0.0787653 	280.000000	1.98132e-05	
290.000000	0.10679   	290.000000	0.0773357 	290.000000	0.0776828 	290.000000	0.0769766 	290.000000	0.0773166 	290.000000	1.91898e-05	
300.000000	0.104793  	300.000000	0.0759809 	300.000000	0.076306  	300.000000	0.0756025 	300.000000	0.0759623 	300.000000	1.86061e-05	
310.000000	0.102919  	310.000000	0.0747118 	310.000000	0.0750105 	310.000000	0.0743162 	310.000000	0.0746938 	310.000000	1.80582e-05	
320.000000	0.101158  	320.000000	0.0735207 	320.000000	0.0737966 	320.000000	0.0731098 	320.000000	0.0735032 	320.000000	1.75429e-05	
330.000000	0.0995004 	330.000000	0.0724008 	330.000000	0.0726621 	330.000000	0.0719765 	330.000000	0.0723837 	330.000000	1.70574e-05	
340.000000	0.0979366 	340.000000	0.0713459 	340.000000	0.0715954 	340.000000	0.0709099 	340.000000	0.0713293 	340.000000	1.65991e-05	
350.000000	0.0964594 	350.000000	0.0703508 	350.000000	0.0705845 	350.000000	0.0699046 	350.000000	0.0703346 	350.000000	1.61658e-05	
360.000000	0.0950617 	360.000000	0.0694105 	360.000000	0.0696281 	360.000000	0.0689556 	360.000000	0.0693948 	360.000000	1.57555e-05	
370.000000	0.0937376 	370.000000	0.0685209 	370.000000	0.0687256 	370.000000	0.0680587 	370.000000	0.0685056 	370.000000	1.53662e-05	
380.000000	0.0924814 	380.000000	0.0676781 	380.000000	0.0678757 	380.000000	0.0672097 	380.000000	0.0676631 	380.000000	1.49966e-05	
390.000000	0.0912882 	390.000000	0.0668786 	390.000000	0.0670715 	390.000000	0.0664052 	390.000000	0.0668639 	390.000000	1.4645e-05	
400.000000	0.0901535 	400.000000	0.0661192 	400.000000	0.0663049 	400.000000	0.065642  	400.000000	0.0661049 	400.000000	1.43101e-05	
410.000000	0.0890732 	410.000000	0.0653972 	410.000000	0.0655742 	410.000000	0.064917  	410.000000	0.0653832 	410.000000	1.39909e-05	
420.000000	0.0880436 	420.000000	0.0647099 	420.000000	0.0648792 	420.000000	0.0642278 	420.000000	0.0646962 	420.000000	1.36861e-05	
430.000000	0.0870614 	430.000000	0.064055  	430.000000	0.0642195 	430.000000	0.0635718 	430.000000	0.0640416 	430.000000	1.33949e-05	
440.000000	0.0861234 	440.000000	0.0634303 	440.000000	0.0635941 	440.000000	0.0629468 	440.000000	0.0634172 	440.000000	1.31163e-05	
450.000000	0.085227  	450.000000	0.062834  	450.000000	0.0629985 	450.000000	0.0623509 	450.000000	0.0628212 	450.000000	1.28495e-05	
460.000000	0.0843695 	460.000000	0.0622643 	460.000000	0.0624276 	460.000000	0.0617822 	460.000000	0.0622517 	460.000000	1.25938e-05	
470.000000	0.0835485 	470.000000	0.0617194 	470.000000	0.0618803 	470.000000	0.0612391 	470.000000	0.061707  	470.000000	1.23485e-05	
480.000000	0.0827619 	480.000000	0.0611979 	480.000000	0.0613583 	480.000000	0.0607213 	480.000000	0.0611858 	480.000000	1.21129e-05	
490.000000	0.0820076 	490.000000	0.0606984 	490.000000	0.0608608 	490.000000	0.0602271 	490.000000	0.0606866 	490.000000	1.18865e-05	
500.000000	0.0812839 	500.000000	0.0602197 	500.000000	0.0603843 	500.000000	0.0597539 	500.000000	0.060208  	500.000000	1.16688e-05	
520.000000	0.0799214 	520.000000	0.0593197 	520.000000	0.0594889 	520.000000	0.0588658 	520.000000	0.0593085 	520.000000	1.12573e-05	
540.000000	0.0786622 	540.000000	0.0584896 	540.000000	0.0586693 	540.000000	0.0580483 	540.000000	0.0584788 	540.000000	1.08749e-05	
560.000000	0.0774957 	560.000000	0.0577221 	560.000000	0.0579144 	560.000000	0.057294  	560.000000	0.0577116 	560.000000	1.05186e-05	
580.000000	0.0764128 	580.000000	0.0570109 	580.000000	0.0572115 	580.000000	0.0565965 	580.000000	0.0570008 	580.000000	1.01858e-05	
600.000000	0.0754056 	600.000000	0.0563506 	600.000000	0.0565599 	600.000000	0.0559503 	600.000000	0.0563407 	600.000000	9.87422e-06	
620.000000	0.0744672 	620.000000	0.0557363 	620.000000	0.0559554 	620.000000	0.0553505 	620.000000	0.0557267 	620.000000	9.58185e-06	
640.000000	0.0735913 	640.000000	0.0551639 	640.000000	0.0553925 	640.000000	0.0547927 	640.000000	0.0551546 	640.000000	9.30694e-06	
660.000000	0.0727727 	660.000000	0.0546297 	660.000000	0.05487   	660.000000	0.0542732 	660.000000	0.0546206 	660.000000	9.04796e-06	
680.000000	0.0720066 	680.000000	0.0541304 	680.000000	0.0543854 	680.000000	0.0537887 	680.000000	0.0541216 	680.000000	8.80355e-06	
700.000000	0.0712886 	700.000000	0.0536631 	700.000000	0.0539321 	700.000000	0.0533361 	700.000000	0.0536545 	700.000000	8.5725e-06	
720.000000	0.070615  	720.000000	0.0532252 	720.000000	0.0535055 	720.000000	0.0529128 	720.000000	0.0532168 	720.000000	8.35372e-06	
740.000000	0.0699824 	740.000000	0.0528144 	740.000000	0.0531052 	740.000000	0.0525165 	740.000000	0.0528062 	740.000000	8.14625e-06	
760.000000	0.0693876 	760.000000	0.0524285 	760.000000	0.0527302 	760.000000	0.0521451 	760.000000	0.0524206 	760.000000	7.94922e-06	
780.000000	0.0688281 	780.000000	0.0520659 	780.000000	0.0523787 	780.000000	0.0517965 	780.000000	0.0520581 	780.000000	7.76186e-06	
800.000000	0.0683012 	800.000000	0.0517247 	800.000000	0.0520486 	800.000000	0.051469  	800.000000	0.0517171 	800.000000	7.58346e-06	
820.000000	0.0678047 	820.000000	0.0514033 	820.000000	0.0517381 	820.000000	0.0511612 	820.000000	0.0513959 	820.000000	7.41339e-06	
840.000000	0.0673366 	840.000000	0.0511006 	840.000000	0.0514455 	840.000000	0.0508716 	840.000000	0.0510933 	840.000000	7.25107e-06	
860.000000	0.0668949 	860.000000	0.0508151 	860.000000	0.0511698 	860.000000	0.0505989 	860.000000	0.050808  	860.000000	7.09596e-06	
