*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	0.129005  	4.500000	0.0669139 	4.500000	0.0668104 	4.500000	0.0668104 	4.500000	0.0668745 	4.500000	3.94261e-05
5.000000	0.118775  	5.000000	0.0623811 	5.000000	0.0622003 	5.000000	0.0622003 	5.000000	0.0623451 	5.000000	3.5998e-05
5.500000	0.110164  	5.500000	0.0585241 	5.500000	0.0582806 	5.500000	0.0582806 	5.500000	0.0584909 	5.500000	3.31485e-05
6.000000	0.102808  	6.000000	0.055197  	6.000000	0.054902  	6.000000	0.054902  	6.000000	0.0551662 	6.000000	3.07403e-05
6.500000	0.0964458 	6.500000	0.0522933 	6.500000	0.0519556 	6.500000	0.0519556 	6.500000	0.0522646 	6.500000	2.86763e-05
7.000000	0.0908847 	7.000000	0.0497336 	7.000000	0.0493602 	7.000000	0.0493602 	7.000000	0.0497067 	7.000000	2.68865e-05
7.500000	0.0859794 	7.500000	0.0474574 	7.500000	0.0470538 	7.500000	0.0470538 	7.500000	0.0474321 	7.500000	2.53186e-05
8.000000	0.0816179 	8.000000	0.0454178 	8.000000	0.0449885 	8.000000	0.0449885 	8.000000	0.0453938 	8.000000	2.39332e-05
8.500000	0.0777129 	8.500000	0.0435778 	8.500000	0.0431267 	8.500000	0.0431267 	8.500000	0.0435551 	8.500000	2.26995e-05
9.000000	0.0741949 	9.000000	0.041908  	9.000000	0.0414381 	9.000000	0.0414381 	9.000000	0.0418864 	9.000000	2.15935e-05
9.500000	0.0710079 	9.500000	0.0403845 	9.500000	0.0398984 	9.500000	0.0398984 	9.500000	0.0403639 	9.500000	2.0596e-05
10.000000	0.0681063 	10.000000	0.0392462 	10.000000	0.0384879 	10.000000	0.0384879 	10.000000	0.0392265 	10.000000	1.96914e-05
11.000000	0.0630161 	11.000000	0.0369911 	11.000000	0.0360793 	11.000000	0.0360826 	11.000000	0.036973  	11.000000	1.81128e-05
12.000000	0.0586934 	12.000000	0.034979  	12.000000	0.0340029 	12.000000	0.0340085 	12.000000	0.0349622 	12.000000	1.67805e-05
13.000000	0.0549737 	13.000000	0.0331781 	13.000000	0.0321919 	13.000000	0.0321981 	13.000000	0.0331625 	13.000000	1.564e-05
14.000000	0.0517371 	14.000000	0.0315598 	14.000000	0.0305957 	14.000000	0.0306016 	14.000000	0.0315451 	14.000000	1.46521e-05
15.000000	0.0488935 	15.000000	0.0300992 	15.000000	0.0291755 	15.000000	0.0291814 	15.000000	0.0300855 	15.000000	1.37876e-05
16.000000	0.0463742 	16.000000	0.0287756 	16.000000	0.0279028 	16.000000	0.0279085 	16.000000	0.0287625 	16.000000	1.30244e-05
17.000000	0.0441259 	17.000000	0.0275709 	17.000000	0.0267551 	17.000000	0.0267601 	17.000000	0.0275586 	17.000000	1.23453e-05
18.000000	0.0421061 	18.000000	0.0264704 	18.000000	0.0257141 	18.000000	0.0257179 	18.000000	0.0264586 	18.000000	1.1737e-05
19.000000	0.0402813 	19.000000	0.0254612 	19.000000	0.0247645 	19.000000	0.0247672 	19.000000	0.02545   	19.000000	1.11887e-05
20.000000	0.0386238 	20.000000	0.0245325 	20.000000	0.0238933 	20.000000	0.023896  	20.000000	0.0245218 	20.000000	1.06919e-05
21.000000	0.0371114 	21.000000	0.0236752 	21.000000	0.0230902 	21.000000	0.0230932 	21.000000	0.023665  	21.000000	1.02395e-05
22.000000	0.0357253 	22.000000	0.0228814 	22.000000	0.0223493 	22.000000	0.0223515 	22.000000	0.0228716 	22.000000	9.8257e-06
23.000000	0.0344502 	23.000000	0.0221443 	23.000000	0.0216645 	23.000000	0.0216651 	23.000000	0.0221348 	23.000000	9.44568e-06
24.000000	0.033273  	24.000000	0.021458  	24.000000	0.0210279 	24.000000	0.0210269 	24.000000	0.0214489 	24.000000	9.09541e-06
