*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
3.000000	0.0136292 	3.000000	0.0153749 	3.000000	0.0156599 	3.000000	0.0156599 	3.000000	0.015365  	3.000000	9.92557e-06	
3.500000	0.0121269 	3.500000	0.0136644 	3.500000	0.0139505 	3.500000	0.0139505 	3.500000	0.0136558 	3.500000	8.64283e-06	
4.000000	0.0109444 	4.000000	0.0123203 	4.000000	0.0126022 	4.000000	0.0126022 	4.000000	0.0123126 	4.000000	7.66494e-06	
4.500000	0.00998762	4.500000	0.0112336 	4.500000	0.0115085 	4.500000	0.0115085 	4.500000	0.0112268 	4.500000	6.89363e-06	
5.000000	0.00919619	5.000000	0.0103354 	5.000000	0.0106019 	5.000000	0.0106019 	5.000000	0.0103292 	5.000000	6.26895e-06	
5.500000	0.00852985	5.500000	0.00957948	5.500000	0.00983695	5.500000	0.00983695	5.500000	0.00957373	5.500000	5.75224e-06	
6.000000	0.00796053	6.000000	0.00893374	6.000000	0.00918213	6.000000	0.00918213	6.000000	0.00892843	6.000000	5.3174e-06	
6.500000	0.00746806	6.500000	0.00837522	6.500000	0.00861468	6.500000	0.00861468	6.500000	0.00837028	6.500000	4.94617e-06	
7.000000	0.00703756	7.000000	0.00788698	7.000000	0.00811781	7.000000	0.00811781	7.000000	0.00788236	7.000000	4.62537e-06	
7.500000	0.00665781	7.500000	0.00745625	7.500000	0.00767882	7.500000	0.00767882	7.500000	0.0074519 	7.500000	4.34525e-06	
8.000000	0.00632014	8.000000	0.0070732 	8.000000	0.00728792	8.000000	0.00728792	8.000000	0.0070691 	8.000000	4.09843e-06	
8.500000	0.0060178 	8.500000	0.00673016	8.500000	0.00693743	8.500000	0.00693743	8.500000	0.00672628	8.500000	3.87924e-06	
9.000000	0.00574541	9.000000	0.00642103	9.000000	0.00662126	9.000000	0.00662126	9.000000	0.00641734	9.000000	3.68322e-06	
9.500000	0.00549864	9.500000	0.0061409 	9.500000	0.00633448	9.500000	0.00633448	9.500000	0.0061374 	9.500000	3.50684e-06	
10.000000	0.00527398	10.000000	0.00606589	10.000000	0.00607309	10.000000	0.00607309	10.000000	0.00606255	10.000000	3.34724e-06	
11.000000	0.00487984	11.000000	0.00561701	11.000000	0.00560898	11.000000	0.00560902	11.000000	0.00561394	11.000000	3.06954e-06	
12.000000	0.00454511	12.000000	0.0052344 	12.000000	0.00521497	12.000000	0.00521506	12.000000	0.00523156	12.000000	2.83601e-06	
13.000000	0.00425708	13.000000	0.00490421	13.000000	0.00487633	13.000000	0.00487638	13.000000	0.00490158	13.000000	2.63675e-06	
14.000000	0.00400644	14.000000	0.00461624	14.000000	0.00458211	14.000000	0.0045821 	14.000000	0.00461377	14.000000	2.46466e-06	
15.000000	0.00378625	15.000000	0.00436276	15.000000	0.00432401	15.000000	0.00432402	15.000000	0.00436044	15.000000	2.31447e-06	
16.000000	0.00359116	16.000000	0.00413784	16.000000	0.00409592	16.000000	0.00409587	16.000000	0.00413566	16.000000	2.1822e-06	
17.000000	0.00341705	17.000000	0.00393686	17.000000	0.00389296	17.000000	0.00389276	17.000000	0.00393479	17.000000	2.06478e-06	
18.000000	0.00326065	18.000000	0.00375612	18.000000	0.00371109	18.000000	0.00371083	18.000000	0.00375416	18.000000	1.95982e-06	
19.000000	0.00311934	19.000000	0.00359268	19.000000	0.00354722	19.000000	0.00354696	19.000000	0.00359081	19.000000	1.8654e-06	
20.000000	0.00299099	20.000000	0.00344412	20.000000	0.0033989 	20.000000	0.00339864	20.000000	0.00344234	20.000000	1.78e-06  	
21.000000	0.00287386	21.000000	0.00330849	21.000000	0.00326408	21.000000	0.00326379	21.000000	0.00330678	21.000000	1.70237e-06	
22.000000	0.00276653	22.000000	0.00318413	22.000000	0.00314099	22.000000	0.00314072	22.000000	0.00318249	22.000000	1.63148e-06	
23.000000	0.00266779	23.000000	0.00306967	23.000000	0.00302825	23.000000	0.00302797	23.000000	0.0030681 	23.000000	1.56648e-06	
24.000000	0.00257663	24.000000	0.00296397	24.000000	0.00292475	24.000000	0.00292436	24.000000	0.00296246	24.000000	1.50666e-06	
25.000000	0.00249218	25.000000	0.00286603	25.000000	0.00282942	25.000000	0.00282885	25.000000	0.00286458	25.000000	1.4514e-06	
27.000000	0.00234065	27.000000	0.00269023	27.000000	0.00265949	27.000000	0.00265878	27.000000	0.00268888	27.000000	1.35264e-06	
29.000000	0.00220846	29.000000	0.00253686	29.000000	0.00251281	29.000000	0.00251211	29.000000	0.00253559	29.000000	1.26692e-06	
31.000000	0.00209209	31.000000	0.00240182	31.000000	0.00238282	31.000000	0.00238211	31.000000	0.00240063	31.000000	1.19179e-06	
33.000000	0.0019888 	33.000000	0.00228198	33.000000	0.00226535	33.000000	0.00226469	33.000000	0.00228085	33.000000	1.12537e-06	
35.000000	0.00189646	35.000000	0.00217486	35.000000	0.00216022	35.000000	0.00215963	35.000000	0.0021738 	35.000000	1.06623e-06	
38.000000	0.00177491	38.000000	0.0020339 	38.000000	0.00202199	38.000000	0.00202119	38.000000	0.00203291	38.000000	9.88693e-07	
41.000000	0.00166991	41.000000	0.0019122 	41.000000	0.00190233	41.000000	0.0019015 	41.000000	0.00191128	41.000000	9.22038e-07	
44.000000	0.00157824	44.000000	0.00180602	44.000000	0.00179769	44.000000	0.00179694	44.000000	0.00180516	44.000000	8.64098e-07	
47.000000	0.00149747	47.000000	0.00171254	47.000000	0.00170547	47.000000	0.00170475	47.000000	0.00171173	47.000000	8.13251e-07	
50.000000	0.00142573	50.000000	0.00162959	50.000000	0.00162352	50.000000	0.00162284	50.000000	0.00162882	50.000000	7.68254e-07	
55.000000	0.0013224 	55.000000	0.00151024	55.000000	0.00150545	55.000000	0.00150483	55.000000	0.00150953	55.000000	7.03732e-07	
60.000000	0.00123515	60.000000	0.00140963	60.000000	0.00140579	60.000000	0.00140517	60.000000	0.00140898	60.000000	6.4954e-07	
65.000000	0.00116044	65.000000	0.00132363	65.000000	0.00132058	65.000000	0.00131985	65.000000	0.00132303	65.000000	6.03355e-07	
70.000000	0.00109569	70.000000	0.00124924	70.000000	0.0012466 	70.000000	0.00124594	70.000000	0.00124867	70.000000	5.63508e-07	
75.000000	0.001039  	75.000000	0.00118422	75.000000	0.00118189	75.000000	0.00118127	75.000000	0.0011837 	75.000000	5.28764e-07	
80.000000	0.000988921	80.000000	0.0011269 	80.000000	0.00112477	80.000000	0.00112418	80.000000	0.00112641	80.000000	4.98193e-07	
85.000000	0.000944337	85.000000	0.00107597	85.000000	0.00107396	85.000000	0.00107341	85.000000	0.0010755 	85.000000	4.71077e-07	
90.000000	0.000904373	90.000000	0.00103041	90.000000	0.00102848	90.000000	0.00102794	90.000000	0.00102997	90.000000	4.46855e-07	
95.000000	0.000868329	95.000000	0.000989404	95.000000	0.000987623	95.000000	0.00098699	95.000000	0.000988979	95.000000	4.25084e-07	
100.000000	0.000835643	100.000000	0.000952292	100.000000	0.000950505	100.000000	0.000949899	100.000000	0.000951886	100.000000	4.05404e-07	
105.000000	0.000805856	105.000000	0.000918541	105.000000	0.000916724	105.000000	0.000916145	105.000000	0.000918153	105.000000	3.87525e-07	
110.000000	0.00077859	110.000000	0.00088771	110.000000	0.000885852	110.000000	0.000885293	110.000000	0.000887339	110.000000	3.71209e-07	
