*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.137087  	0.001000	0.137087  	0.001000	0.152187  	0.001000	0.152187  	0.001000	0         	0.001000	0         	0.001000	0.000959248	0.001000	0.00141263	0.001000	0.00085677	
0.002000	0.274211  	0.002000	0.274175  	0.002000	0.304374  	0.002000	0.304374  	0.002000	0.0243052 	0.002000	0.0243052 	0.002000	0.00281033	0.002000	0.0039996 	0.002000	0.00256792	
0.005000	0.560751  	0.005000	0.560639  	0.005000	0.62277   	0.005000	0.62277   	0.005000	0.0271626 	0.005000	0.0271626 	0.005000	0.0080022 	0.005000	0.0111633 	0.005000	0.00740209	
0.008000	0.775933  	0.008000	0.775763  	0.008000	0.862083  	0.008000	0.862083  	0.008000	0.0272292 	0.008000	0.0272292 	0.008000	0.0127885 	0.008000	0.0175593 	0.008000	0.0119065 	
0.010000	0.899694  	0.010000	0.899491  	0.010000	0.999774  	0.010000	0.999774  	0.010000	0.0274394 	0.010000	0.0274394 	0.010000	0.0158971 	0.010000	0.0214261 	0.010000	0.0148445 	
0.015000	1.16549   	0.015000	1.16522   	0.015000	1.29849   	0.015000	1.29849   	0.015000	0.0284213 	0.015000	0.0284213 	0.015000	0.0235672 	0.015000	0.0299137 	0.015000	0.0221194 	
0.020000	1.39605   	0.020000	1.39572   	0.020000	1.55537   	0.020000	1.55537   	0.020000	0.0296769 	0.020000	0.0296769 	0.020000	0.0309788 	0.020000	0.0373651 	0.020000	0.0293492 	
0.025000	1.60439   	0.025000	1.604     	0.025000	1.78494   	0.025000	1.78494   	0.025000	0.0309743 	0.025000	0.0309743 	0.025000	0.0377943 	0.025000	0.0441536 	0.025000	0.0362585 	
0.030000	1.79594   	0.030000	1.7955    	0.030000	1.98511   	0.030000	1.98511   	0.030000	0.0320657 	0.030000	0.0320657 	0.030000	0.0438876 	0.030000	0.0501678 	0.030000	0.0423942 	
0.035000	1.97475   	0.035000	1.97426   	0.035000	2.1624    	0.035000	2.1624    	0.035000	0.0329667 	0.035000	0.0329667 	0.035000	0.0493905 	0.035000	0.05555   	0.035000	0.0479378 	
0.040000	2.1439    	0.040000	2.14336   	0.040000	2.32841   	0.040000	2.32841   	0.040000	0.0338116 	0.040000	0.0338116 	0.040000	0.0546156 	0.040000	0.060637  	0.040000	0.0532098 	
0.045000	2.30572   	0.045000	2.30514   	0.045000	2.48782   	0.045000	2.48782   	0.045000	0.0346424 	0.045000	0.0346424 	0.045000	0.0597009 	0.045000	0.0655343 	0.045000	0.0583509 	
0.050000	2.46195   	0.050000	2.46133   	0.050000	2.64269   	0.050000	2.64269   	0.050000	0.0354713 	0.050000	0.036086  	0.050000	0.0646933 	0.050000	0.0703804 	0.050000	0.063397  	
0.055000	2.61392   	0.055000	2.61326   	0.055000	2.79414   	0.055000	2.79414   	0.055000	0.0363021 	0.055000	0.0377909 	0.055000	0.0696413 	0.055000	0.0751781 	0.055000	0.0684019 	
0.060000	2.76263   	0.060000	2.76193   	0.060000	2.94293   	0.060000	2.94293   	0.060000	0.0371367 	0.060000	0.0394034 	0.060000	0.0745638 	0.060000	0.0800408 	0.060000	0.0733755 	
0.070000	3.0533    	0.070000	3.05253   	0.070000	3.23477   	0.070000	3.23477   	0.070000	0.0388239 	0.070000	0.042428  	0.070000	0.0834035 	0.070000	0.0888496 	0.070000	0.0822833 	
0.080000	3.33858   	0.080000	3.33773   	0.080000	3.52179   	0.080000	3.52179   	0.080000	0.0405471 	0.080000	0.0452742 	0.080000	0.091244  	0.080000	0.0968401 	0.080000	0.0901699 	
0.090000	3.62154   	0.090000	3.62061   	0.090000	3.8066    	0.090000	3.8066    	0.090000	0.0423211 	0.090000	0.0480163 	0.090000	0.0985233 	0.090000	0.104409  	0.090000	0.0974519 	
0.100000	3.90434   	0.100000	3.90334   	0.100000	4.09115   	0.100000	4.09115   	0.100000	0.0441595 	0.100000	0.0507051 	0.100000	0.105304  	0.100000	0.111569  	0.100000	0.104223  	
0.120000	4.47541   	0.120000	4.47425   	0.120000	4.6651    	0.120000	4.6651    	0.120000	0.048075  	0.120000	0.0560569 	0.120000	0.118186  	0.120000	0.12547   	0.120000	0.117061  	
0.140000	5.06034   	0.140000	5.05904   	0.140000	5.25195   	0.140000	5.25195   	0.140000	0.0523675 	0.140000	0.0615175 	0.140000	0.130465  	0.140000	0.13894   	0.140000	0.129256  	
0.160000	5.66429   	0.160000	5.66283   	0.160000	5.85682   	0.160000	5.85682   	0.160000	0.0570862 	0.160000	0.067192  	0.160000	0.142274  	0.160000	0.152047  	0.160000	0.140987  	
0.180000	6.29043   	0.180000	6.2888    	0.180000	6.48291   	0.180000	6.48291   	0.180000	0.0622612 	0.180000	0.0731397 	0.180000	0.153704  	0.180000	0.164854  	0.180000	0.152342  	
0.200000	6.9407    	0.200000	6.93889   	0.200000	7.13222   	0.200000	7.13222   	0.200000	0.0679065 	0.200000	0.0793917 	0.200000	0.164817  	0.200000	0.177338  	0.200000	0.163385  	
0.250000	8.67793   	0.250000	8.67567   	0.250000	8.8633    	0.250000	8.8633    	0.250000	0.0840694 	0.250000	0.096408  	0.250000	0.19388   	0.250000	0.209872  	0.250000	0.192255  	
0.300000	10.5771   	0.300000	10.5743   	0.300000	10.7514   	0.300000	10.7514   	0.300000	0.103004  	0.300000	0.115321  	0.300000	0.224126  	0.300000	0.243655  	0.300000	0.222342  	
0.350000	12.6345   	0.350000	12.6312   	0.350000	12.7934   	0.350000	12.7934   	0.350000	0.124431  	0.350000	0.135914  	0.350000	0.255134  	0.350000	0.278263  	0.350000	0.253237  	
0.400000	14.8438   	0.400000	14.8399   	0.400000	14.9834   	0.400000	14.9834   	0.400000	0.148067  	0.400000	0.157949  	0.400000	0.287793  	0.400000	0.314475  	0.400000	0.285849  	
0.450000	17.1976   	0.450000	17.1931   	0.450000	17.3145   	0.450000	17.3145   	0.450000	0.173672  	0.450000	0.181224  	0.450000	0.321737  	0.450000	0.351899  	0.450000	0.31978   	
0.500000	19.6895   	0.500000	19.6843   	0.500000	19.7807   	0.500000	19.7807   	0.500000	0.201055  	0.500000	0.205578  	0.500000	0.357065  	0.500000	0.39062   	0.500000	0.35515   	
0.600000	25.064    	0.600000	25.0574   	0.600000	25.0964   	0.600000	25.0964   	0.600000	0.260598  	0.600000	0.257069  	0.600000	0.431388  	0.600000	0.47136   	0.600000	0.429672  	
0.700000	30.9285   	0.700000	30.9203   	0.700000	30.8941   	0.700000	30.8941   	0.700000	0.325879  	0.700000	0.311771  	0.700000	0.51054   	0.700000	0.556357  	0.700000	0.509165  	
0.800000	37.2536   	0.800000	37.2437   	0.800000	37.1463   	0.800000	37.1463   	0.800000	0.396393  	0.800000	0.369317  	0.800000	0.59433   	0.800000	0.645346  	0.800000	0.593419  	
0.900000	44.0166   	0.900000	44.0049   	0.900000	43.8318   	0.900000	43.8318   	0.900000	0.471815  	0.900000	0.429485  	0.900000	0.682446  	0.900000	0.73801   	0.900000	0.682119  	
1.000000	51.1994   	1.000000	51.1858   	1.000000	50.9336   	1.000000	50.9336   	1.000000	0.551914  	1.000000	0.492131  	1.000000	0.774838  	1.000000	0.834294  	1.000000	0.775193  	
1.250000	70.9012   	1.250000	70.8824   	1.250000	70.4235   	1.250000	70.4235   	1.250000	0.771598  	1.250000	0.658973  	1.250000	1.02289   	1.250000	1.08931   	1.250000	1.02536   	
1.500000	92.962    	1.500000	92.9373   	1.500000	92.2675   	1.500000	92.2675   	1.500000	1.01766   	1.500000	0.839612  	1.500000	1.29435   	1.500000	1.36383   	1.500000	1.29944   	
1.750000	117.254   	1.750000	117.223   	1.750000	116.345   	1.750000	116.345   	1.750000	1.28883   	1.750000	1.03329   	1.750000	1.58884   	1.750000	1.65747   	1.750000	1.59694   	
2.000000	143.677   	2.000000	143.639   	2.000000	142.563   	2.000000	142.563   	2.000000	1.58412   	2.000000	1.2394    	2.000000	1.90551   	2.000000	1.96951   	2.000000	1.91697   	
2.250000	172.152   	2.250000	172.106   	2.250000	170.846   	2.250000	170.846   	2.250000	1.90274   	2.250000	1.45743   	2.250000	2.24355   	2.250000	2.29919   	2.250000	2.25868   	
2.500000	202.627   	2.500000	202.557   	2.500000	201.129   	2.500000	201.129   	2.500000	2.244     	2.500000	1.68698   	2.500000	2.60226   	2.500000	2.64586   	2.500000	2.62131   	
