Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	1.57342   	4.000000	1.35446   	4.000000	1.36011   	4.000000	1.36011   	4.000000	1.35355   	4.000000	0.00090687	
4.500000	1.46069   	4.500000	1.27225   	4.500000	1.27963   	4.500000	1.27963   	4.500000	1.27144   	4.500000	0.000817931	
5.000000	1.36383   	5.000000	1.20074   	5.000000	1.20872   	5.000000	1.20872   	5.000000	1.2       	5.000000	0.000745657	
5.500000	1.27972   	5.500000	1.13777   	5.500000	1.14576   	5.500000	1.14576   	5.500000	1.13708   	5.500000	0.000685698	
6.000000	1.20597   	6.000000	1.08177   	6.000000	1.08947   	6.000000	1.08947   	6.000000	1.08114   	6.000000	0.000635107	
6.500000	1.14077   	6.500000	1.03154   	6.500000	1.03883   	6.500000	1.03883   	6.500000	1.03095   	6.500000	0.000591816	
7.000000	1.0827    	7.000000	0.986202  	7.000000	0.993006  	7.000000	0.993006  	7.000000	0.985648  	7.000000	0.000554326	
7.500000	1.03064   	7.500000	0.945067  	7.500000	0.951343  	7.500000	0.951343  	7.500000	0.944545  	7.500000	0.000521526	
8.000000	0.983691  	8.000000	0.907547  	8.000000	0.913286  	8.000000	0.913286  	8.000000	0.907055  	8.000000	0.000492575	
8.500000	0.94113   	8.500000	0.873167  	8.500000	0.878377  	8.500000	0.878377  	8.500000	0.8727    	8.500000	0.000466822	
9.000000	0.90236   	9.000000	0.841531  	9.000000	0.846235  	9.000000	0.846235  	9.000000	0.841087  	9.000000	0.000443757	
9.500000	0.866889  	9.500000	0.812313  	9.500000	0.816537  	9.500000	0.816537  	9.500000	0.81189   	9.500000	0.000422972	
10.000000	0.834308  	10.000000	0.788773  	10.000000	0.78901   	10.000000	0.78901   	10.000000	0.788369  	10.000000	0.000404141	
11.000000	0.776491  	11.000000	0.739496  	11.000000	0.738165  	11.000000	0.739703  	11.000000	0.739124  	11.000000	0.000371315	
12.000000	0.726736  	12.000000	0.696128  	12.000000	0.6937    	12.000000	0.696302  	12.000000	0.695784  	12.000000	0.000343647	
13.000000	0.683444  	13.000000	0.657705  	13.000000	0.654471  	13.000000	0.657802  	13.000000	0.657385  	13.000000	0.000319994	
14.000000	0.645418  	14.000000	0.623452  	14.000000	0.619579  	14.000000	0.623408  	14.000000	0.623152  	14.000000	0.000299529	
15.000000	0.611739  	15.000000	0.592739  	15.000000	0.588316  	15.000000	0.592492  	15.000000	0.592457  	15.000000	0.000281638	
16.000000	0.581692  	16.000000	0.565054  	16.000000	0.560159  	16.000000	0.564545  	16.000000	0.564788  	16.000000	0.000265858	
17.000000	0.554712  	17.000000	0.539977  	17.000000	0.534667  	17.000000	0.539157  	17.000000	0.539725  	17.000000	0.00025183	
18.000000	0.530346  	18.000000	0.517161  	18.000000	0.51145   	18.000000	0.515987  	18.000000	0.516922  	18.000000	0.000239274	
19.000000	0.508225  	19.000000	0.496316  	19.000000	0.490206  	19.000000	0.494755  	19.000000	0.496088  	19.000000	0.000227966	
20.000000	0.488049  	20.000000	0.477199  	20.000000	0.470698  	20.000000	0.475225  	20.000000	0.476981  	20.000000	0.000217726	
21.000000	0.469568  	21.000000	0.459605  	21.000000	0.452725  	21.000000	0.457201  	21.000000	0.459397  	21.000000	0.000208408	
22.000000	0.452575  	22.000000	0.44336   	22.000000	0.436114  	22.000000	0.440513  	22.000000	0.443161  	22.000000	0.00019989	
