*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.460669  	0.001000	0.589441  	0.001000	0.578981  	0.001000	0.578981  	0.001000	0.194931  	0.001000	0.39451
0.002000	0.463644  	0.002000	0.596645  	0.002000	0.585952  	0.002000	0.585952  	0.002000	0.252794  	0.002000	0.343851
0.005000	0.478522  	0.005000	0.604425  	0.005000	0.595973  	0.005000	0.595973  	0.005000	0.356446  	0.005000	0.247979
0.008000	0.50274   	0.008000	0.622999  	0.008000	0.617697  	0.008000	0.617697  	0.008000	0.425147  	0.008000	0.197852
0.010000	0.519914  	0.010000	0.637882  	0.010000	0.634784  	0.010000	0.634784  	0.010000	0.462254  	0.010000	0.175629
0.015000	0.587471  	0.015000	0.690771  	0.015000	0.683334  	0.015000	0.683334  	0.015000	0.55176   	0.015000	0.139011
0.020000	0.652388  	0.020000	0.757424  	0.020000	0.749042  	0.020000	0.749042  	0.020000	0.641076  	0.020000	0.116348
0.025000	0.729743  	0.025000	0.840172  	0.025000	0.82043   	0.025000	0.82043   	0.025000	0.739443  	0.025000	0.100729
0.030000	0.80084   	0.030000	0.923837  	0.030000	0.899477  	0.030000	0.899477  	0.030000	0.834622  	0.030000	0.0892152
0.035000	0.863566  	0.035000	1.00677   	0.035000	0.978901  	0.035000	0.978901  	0.035000	0.926446  	0.035000	0.0803251
0.040000	0.917847  	0.040000	1.08787   	0.040000	1.05773   	0.040000	1.05773   	0.040000	1.01465   	0.040000	0.0732245
0.045000	0.962634  	0.045000	1.16597   	0.045000	1.13492   	0.045000	1.13492   	0.045000	1.09895   	0.045000	0.0670181
0.050000	0.997819  	0.050000	1.24127   	0.050000	1.21082   	0.050000	1.21082   	0.050000	1.17909   	0.050000	0.0621837
0.055000	1.05483   	0.055000	1.32288   	0.055000	1.28468   	0.055000	1.28468   	0.055000	1.26481   	0.055000	0.0580685
0.060000	1.10621   	0.060000	1.40146   	0.060000	1.35606   	0.060000	1.35606   	0.060000	1.34714   	0.060000	0.0543265
0.070000	1.19257   	0.070000	1.54941   	0.070000	1.49175   	0.070000	1.49175   	0.070000	1.50089   	0.070000	0.0485224
0.080000	1.28443   	0.080000	1.68168   	0.080000	1.61688   	0.080000	1.61688   	0.080000	1.63774   	0.080000	0.0439403
