*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.233975  	0.001000	0.0339962 	0.001000	0.0349223 	0.001000	0.0349223 	0.001000	0.0248994 	0.001000	0.00909674	
0.002000	0.29897   	0.002000	0.0518921 	0.002000	0.0534946 	0.002000	0.0534946 	0.002000	0.0430887 	0.002000	0.00880332	
0.005000	0.462545  	0.005000	0.0917449 	0.005000	0.0948839 	0.005000	0.0948839 	0.005000	0.0844078 	0.005000	0.00733711	
0.008000	0.58514   	0.008000	0.121882  	0.008000	0.126181  	0.008000	0.126181  	0.008000	0.115613  	0.008000	0.00626915	
0.010000	0.652772  	0.010000	0.138911  	0.010000	0.143864  	0.010000	0.143864  	0.010000	0.133177  	0.010000	0.00573439	
0.015000	0.832848  	0.015000	0.172171  	0.015000	0.181351  	0.015000	0.181351  	0.015000	0.167401  	0.015000	0.00476993	
0.020000	0.983502  	0.020000	0.199598  	0.020000	0.212907  	0.020000	0.212907  	0.020000	0.195478  	0.020000	0.00411948	
0.025000	1.11196   	0.025000	0.223199  	0.025000	0.240926  	0.025000	0.240926  	0.025000	0.219553  	0.025000	0.00364637	
0.030000	1.22208   	0.030000	0.24403   	0.030000	0.259186  	0.030000	0.259186  	0.030000	0.240746  	0.030000	0.00328413	
0.035000	1.3162    	0.035000	0.262716  	0.035000	0.275437  	0.035000	0.275437  	0.035000	0.25972   	0.035000	0.00299635	
0.040000	1.39594   	0.040000	0.279658  	0.040000	0.290123  	0.040000	0.290123  	0.040000	0.276897  	0.040000	0.00276128	
0.045000	1.46258   	0.045000	0.295129  	0.045000	0.303533  	0.045000	0.303533  	0.045000	0.292564  	0.045000	0.00256504	
0.050000	1.51728   	0.050000	0.309324  	0.050000	0.315867  	0.050000	0.315867  	0.050000	0.306926  	0.050000	0.00239833	
0.055000	1.56118   	0.055000	0.322389  	0.055000	0.327266  	0.055000	0.327266  	0.055000	0.320134  	0.055000	0.00225468	
0.060000	1.59538   	0.060000	0.334435  	0.060000	0.337836  	0.060000	0.337836  	0.060000	0.332306  	0.060000	0.0021294 	
0.070000	1.63912   	0.070000	0.355812  	0.070000	0.356791  	0.070000	0.356791  	0.070000	0.353891  	0.070000	0.00192094	
0.080000	1.65701   	0.080000	0.374006  	0.080000	0.373194  	0.080000	0.373194  	0.080000	0.372252  	0.080000	0.00175393	
0.090000	1.65657   	0.090000	0.389417  	0.090000	0.387352  	0.090000	0.387352  	0.090000	0.387811  	0.090000	0.00160658	
0.100000	1.64397   	0.100000	0.402402  	0.100000	0.399529  	0.100000	0.399529  	0.100000	0.400909  	0.100000	0.00149249	
0.120000	1.59977   	0.120000	0.422159  	0.120000	0.418676  	0.120000	0.418676  	0.120000	0.420848  	0.120000	0.00131105	
0.140000	1.54756   	0.140000	0.435176  	0.140000	0.43196   	0.140000	0.43196   	0.140000	0.434004  	0.140000	0.00117266	
0.160000	1.49722   	0.160000	0.442983  	0.160000	0.44049   	0.160000	0.44049   	0.160000	0.441923  	0.160000	0.00105987	
0.180000	1.45185   	0.180000	0.446818  	0.180000	0.445222  	0.180000	0.445222  	0.180000	0.445847  	0.180000	0.000971241	
0.200000	1.41169   	0.200000	0.447657  	0.200000	0.446956  	0.200000	0.446956  	0.200000	0.44676   	0.200000	0.000897571	
0.250000	1.32879   	0.250000	0.44126   	0.250000	0.442273  	0.250000	0.442273  	0.250000	0.440503  	0.250000	0.000757796	
