*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
3.500000	0.0731779 	3.500000	0.0326016 	3.500000	0.032715  	3.500000	0.032715  	3.500000	0.0325816 	3.500000	2.00216e-05	
4.000000	0.0660427 	4.000000	0.0300141 	4.000000	0.0301393 	4.000000	0.0301393 	4.000000	0.0299962 	4.000000	1.78916e-05	
4.500000	0.0602689 	4.500000	0.0278792 	4.500000	0.0280091 	4.500000	0.0280091 	4.500000	0.027863  	4.500000	1.61959e-05	
5.000000	0.0554931 	5.000000	0.0260819 	5.000000	0.0262123 	5.000000	0.0262123 	5.000000	0.026067  	5.000000	1.48116e-05	
5.500000	0.0514722 	5.500000	0.024544  	5.500000	0.0246722 	5.500000	0.0246722 	5.500000	0.0245303 	5.500000	1.36586e-05	
6.000000	0.0480367 	6.000000	0.0232103 	6.000000	0.0233349 	6.000000	0.0233349 	6.000000	0.0231977 	6.000000	1.26823e-05	
6.500000	0.045065  	6.500000	0.0220407 	6.500000	0.0221606 	6.500000	0.0221606 	6.500000	0.0220289 	6.500000	1.18442e-05	
7.000000	0.0424672 	7.000000	0.0210051 	7.000000	0.0211197 	7.000000	0.0211197 	7.000000	0.020994  	7.000000	1.11164e-05	
7.500000	0.0401756 	7.500000	0.0200805 	7.500000	0.0201896 	7.500000	0.0201896 	7.500000	0.02007   	7.500000	1.0478e-05	
8.000000	0.038138  	8.000000	0.019249  	8.000000	0.0193526 	8.000000	0.0193526 	8.000000	0.0192391 	8.000000	9.91322e-06	
8.500000	0.0363136 	8.500000	0.0184966 	8.500000	0.0185946 	8.500000	0.0185946 	8.500000	0.0184872 	8.500000	9.40972e-06	
9.000000	0.0346699 	9.000000	0.0178117 	9.000000	0.0179044 	9.000000	0.0179044 	9.000000	0.0178028 	9.000000	8.95787e-06	
9.500000	0.0331808 	9.500000	0.0171854 	9.500000	0.0172727 	9.500000	0.0172727 	9.500000	0.0171768 	9.500000	8.54995e-06	
10.000000	0.0318251 	10.000000	0.0167288 	10.000000	0.0166921 	10.000000	0.0166921 	10.000000	0.0167206 	10.000000	8.17972e-06	
11.000000	0.0294467 	11.000000	0.0158327 	11.000000	0.0156825 	11.000000	0.0156827 	11.000000	0.0158252 	11.000000	7.53286e-06	
12.000000	0.0274268 	12.000000	0.0150209 	12.000000	0.0148038 	12.000000	0.0148043 	12.000000	0.0150139 	12.000000	6.98608e-06	
13.000000	0.0256887 	13.000000	0.0142859 	13.000000	0.014031  	13.000000	0.0140313 	13.000000	0.0142794 	13.000000	6.51743e-06	
14.000000	0.0241763 	14.000000	0.0136195 	14.000000	0.013345  	14.000000	0.013345  	14.000000	0.0136134 	14.000000	6.11101e-06	
