*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.240184  	0.001000	0.126155  	0.001000	0.154696  	0.001000	0.154696  	0.001000	0.0801667 	0.001000	0.0459885 	
0.002000	0.268167  	0.002000	0.141761  	0.002000	0.176352  	0.002000	0.176352  	0.002000	0.103963  	0.002000	0.0377976 	
0.005000	0.333598  	0.005000	0.17196   	0.005000	0.21631   	0.005000	0.21631   	0.005000	0.146591  	0.005000	0.0253693 	
0.008000	0.383469  	0.008000	0.194471  	0.008000	0.244708  	0.008000	0.244708  	0.008000	0.174845  	0.008000	0.0196262 	
0.010000	0.411659  	0.010000	0.207302  	0.010000	0.260561  	0.010000	0.260561  	0.010000	0.190105  	0.010000	0.0171966 	
0.015000	0.482378  	0.015000	0.241302  	0.015000	0.298511  	0.015000	0.298511  	0.015000	0.227974  	0.015000	0.0133281 	
0.020000	0.539083  	0.020000	0.296078  	0.020000	0.349378  	0.020000	0.349378  	0.020000	0.285067  	0.020000	0.0110111 	
0.025000	0.602787  	0.025000	0.349732  	0.025000	0.398768  	0.025000	0.398768  	0.025000	0.340286  	0.025000	0.00944669	
0.030000	0.656882  	0.030000	0.401027  	0.030000	0.440648  	0.030000	0.440648  	0.030000	0.392796  	0.030000	0.0082317 	
0.035000	0.701402  	0.035000	0.449053  	0.035000	0.479345  	0.035000	0.479345  	0.035000	0.441679  	0.035000	0.00737408	
0.040000	0.736504  	0.040000	0.493286  	0.040000	0.514848  	0.040000	0.514848  	0.040000	0.486592  	0.040000	0.00669361	
0.045000	0.762373  	0.045000	0.533486  	0.045000	0.547251  	0.045000	0.547251  	0.045000	0.527347  	0.045000	0.00613906	
0.050000	0.778362  	0.050000	0.568812  	0.050000	0.576659  	0.050000	0.576659  	0.050000	0.563135  	0.050000	0.00567746	
0.055000	0.811352  	0.055000	0.599676  	0.055000	0.603201  	0.055000	0.603201  	0.055000	0.594389  	0.055000	0.00528658	
0.060000	0.839162  	0.060000	0.62673   	0.060000	0.627021  	0.060000	0.627021  	0.060000	0.62178   	0.060000	0.00495085	
0.070000	0.880792  	0.070000	0.670441  	0.070000	0.667139  	0.070000	0.667139  	0.070000	0.666038  	0.070000	0.00440275	
0.080000	0.925212  	0.080000	0.702296  	0.080000	0.69837   	0.080000	0.69837   	0.080000	0.698323  	0.080000	0.00397305	
0.090000	0.958313  	0.090000	0.724747  	0.090000	0.722095  	0.090000	0.722095  	0.090000	0.721121  	0.090000	0.00362619	
0.100000	0.982943  	0.100000	0.740012  	0.100000	0.739622  	0.100000	0.739622  	0.100000	0.736672  	0.100000	0.00333972	
0.120000	0.991778  	0.120000	0.755946  	0.120000	0.760623  	0.120000	0.760623  	0.120000	0.753053  	0.120000	0.00289292	
0.140000	0.990686  	0.140000	0.760381  	0.140000	0.768861  	0.140000	0.768861  	0.140000	0.757822  	0.140000	0.00255923	
0.160000	0.992096  	0.160000	0.762069  	0.160000	0.769453  	0.160000	0.769453  	0.160000	0.759769  	0.160000	0.00229965	
0.180000	0.997941  	0.180000	0.765081  	0.180000	0.76567   	0.180000	0.76567   	0.180000	0.762989  	0.180000	0.00209143	
0.200000	1.00312   	0.200000	0.764775  	0.200000	0.759513  	0.200000	0.759513  	0.200000	0.762854  	0.200000	0.00192036	
0.250000	0.990868  	0.250000	0.761916  	0.250000	0.740355  	0.250000	0.740355  	0.250000	0.760315  	0.250000	0.0016008 	
0.300000	0.986793  	0.300000	0.75942   	0.300000	0.72083   	0.300000	0.72083   	0.300000	0.758042  	0.300000	0.00137793	
0.350000	0.981124  	0.350000	0.754185  	0.350000	0.707232  	0.350000	0.707232  	0.350000	0.752972  	0.350000	0.00121291	
0.400000	0.979819  	0.400000	0.75184   	0.400000	0.694867  	0.400000	0.694867  	0.400000	0.750755  	0.400000	0.00108543	
0.450000	0.972934  	0.450000	0.74577   	0.450000	0.681904  	0.450000	0.681904  	0.450000	0.744786  	0.450000	0.000983744	
0.500000	0.960599  	0.500000	0.735776  	0.500000	0.668531  	0.500000	0.668531  	0.500000	0.734876  	0.500000	0.0009006 	
0.600000	0.894779  	0.600000	0.708754  	0.600000	0.6408    	0.600000	0.6408    	0.600000	0.707982  	0.600000	0.000772463	
0.700000	0.825845  	0.700000	0.678565  	0.700000	0.614975  	0.700000	0.614975  	0.700000	0.677887  	0.700000	0.000678028	
0.800000	0.787021  	0.800000	0.645974  	0.800000	0.59095   	0.800000	0.59095   	0.800000	0.645368  	0.800000	0.000605339	
0.900000	0.750267  	0.900000	0.615806  	0.900000	0.568585  	0.900000	0.568585  	0.900000	0.615259  	0.900000	0.000547538	
1.000000	0.715926  	1.000000	0.58807   	1.000000	0.547739  	1.000000	0.547739  	1.000000	0.58757   	1.000000	0.0005004 	
1.250000	0.6362    	1.250000	0.525683  	1.250000	0.499157  	1.250000	0.499157  	1.250000	0.525269  	1.250000	0.000413222	
1.500000	0.571843  	1.500000	0.476138  	1.500000	0.459086  	1.500000	0.459086  	1.500000	0.475784  	1.500000	0.000353137	
1.750000	0.519284  	1.750000	0.436059  	1.750000	0.42535   	1.750000	0.42535   	1.750000	0.43575   	1.750000	0.000309056	
2.000000	0.473061  	2.000000	0.400529  	2.000000	0.396342  	2.000000	0.396342  	2.000000	0.400254  	2.000000	0.00027525	
2.250000	0.434945  	2.250000	0.370721  	2.250000	0.371081  	2.250000	0.371081  	2.250000	0.370472  	2.250000	0.00024845	
2.500000	0.394855  	2.500000	0.346123  	2.500000	0.348886  	2.500000	0.348886  	2.500000	0.345897  	2.500000	0.000226651	
3.000000	0.348533  	3.000000	0.307292  	3.000000	0.311791  	3.000000	0.311791  	3.000000	0.307098  	3.000000	0.000193268	
3.500000	0.312477  	3.500000	0.277504  	3.500000	0.28206   	3.500000	0.28206   	3.500000	0.277335  	3.500000	0.000168842	
4.000000	0.283579  	4.000000	0.253647  	4.000000	0.257769  	4.000000	0.257769  	4.000000	0.253497  	4.000000	0.00015015	
4.500000	0.259876  	4.500000	0.233993  	4.500000	0.237586  	4.500000	0.237586  	4.500000	0.233857  	4.500000	0.000135358	
5.000000	0.240064  	5.000000	0.217471  	5.000000	0.220566  	5.000000	0.220566  	5.000000	0.217347  	5.000000	0.000123345	
5.500000	0.223246  	5.500000	0.203362  	5.500000	0.206022  	5.500000	0.206022  	5.500000	0.203249  	5.500000	0.000113385	
6.000000	0.20878   	6.000000	0.19116   	6.000000	0.19345   	6.000000	0.19345   	6.000000	0.191055  	6.000000	0.000104984	
6.500000	0.196198  	6.500000	0.180493  	6.500000	0.182471  	6.500000	0.182471  	6.500000	0.180395  	6.500000	9.77985e-05	
7.000000	0.18515   	7.000000	0.171081  	7.000000	0.172795  	7.000000	0.172795  	7.000000	0.170989  	7.000000	9.15781e-05	
7.500000	0.175367  	7.500000	0.162709  	7.500000	0.1642    	7.500000	0.1642    	7.500000	0.162623  	7.500000	8.61378e-05	
8.000000	0.16664   	8.000000	0.15521   	8.000000	0.15651   	8.000000	0.15651   	8.000000	0.155129  	8.000000	8.13373e-05	
