*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.255679  	0.001000	0.0526559 	0.001000	0.0558066 	0.001000	0.0558066 	0.001000	0.0390255 	0.001000	0.0136303 	
0.002000	0.299144  	0.002000	0.070078  	0.002000	0.0725874 	0.002000	0.0725874 	0.002000	0.0571367 	0.002000	0.0129413 	
0.005000	0.421138  	0.005000	0.105039  	0.005000	0.104771  	0.005000	0.104771  	0.005000	0.0945763 	0.005000	0.0104623 	
0.008000	0.523295  	0.008000	0.13127   	0.008000	0.128086  	0.008000	0.128086  	0.008000	0.122475  	0.008000	0.00879444	
0.010000	0.584044  	0.010000	0.146452  	0.010000	0.141356  	0.010000	0.141356  	0.010000	0.138468  	0.010000	0.00798372	
0.015000	0.685929  	0.015000	0.179616  	0.015000	0.169902  	0.015000	0.169902  	0.015000	0.173061  	0.015000	0.00655506	
0.020000	0.765799  	0.020000	0.208342  	0.020000	0.19423   	0.020000	0.19423   	0.020000	0.202729  	0.020000	0.00561315	
0.025000	0.852663  	0.025000	0.233211  	0.025000	0.215568  	0.025000	0.215568  	0.025000	0.228273  	0.025000	0.00493805	
0.030000	0.923087  	0.030000	0.25449   	0.030000	0.2553    	0.030000	0.2553    	0.030000	0.250063  	0.030000	0.00442659	
0.035000	0.979418  	0.035000	0.274836  	0.035000	0.281262  	0.035000	0.281262  	0.035000	0.270812  	0.035000	0.00402353	
0.040000	1.02263   	0.040000	0.292976  	0.040000	0.299657  	0.040000	0.299657  	0.040000	0.289279  	0.040000	0.00369638	
0.045000	1.05342   	0.045000	0.309283  	0.045000	0.314719  	0.045000	0.314719  	0.045000	0.305858  	0.045000	0.00342472	
0.050000	1.07267   	0.050000	0.324276  	0.050000	0.328199  	0.050000	0.328199  	0.050000	0.321081  	0.050000	0.00319496	
0.055000	1.11536   	0.055000	0.338009  	0.055000	0.340675  	0.055000	0.340675  	0.055000	0.335011  	0.055000	0.00299772	
0.060000	1.15086   	0.060000	0.350558  	0.060000	0.35231   	0.060000	0.35231   	0.060000	0.347732  	0.060000	0.00282627	
0.070000	1.20257   	0.070000	0.372425  	0.070000	0.373178  	0.070000	0.373178  	0.070000	0.369883  	0.070000	0.00254215	
0.080000	1.258     	0.080000	0.390487  	0.080000	0.390934  	0.080000	0.390934  	0.080000	0.388172  	0.080000	0.00231557	
0.090000	1.29795   	0.090000	0.405266  	0.090000	0.405762  	0.090000	0.405762  	0.090000	0.403155  	0.090000	0.00211028	
0.100000	1.32745   	0.100000	0.417271  	0.100000	0.417988  	0.100000	0.417988  	0.100000	0.415314  	0.100000	0.00195714	
0.120000	1.34618   	0.120000	0.438662  	0.120000	0.43582   	0.120000	0.43582   	0.120000	0.436948  	0.120000	0.00171442	
0.140000	1.34944   	0.140000	0.454447  	0.140000	0.44676   	0.140000	0.44676   	0.140000	0.452917  	0.140000	0.00152999	
0.160000	1.34956   	0.160000	0.466231  	0.160000	0.45275   	0.160000	0.45275   	0.160000	0.464846  	0.160000	0.00138459	
0.180000	1.34791   	0.180000	0.47282   	0.180000	0.455277  	0.180000	0.455277  	0.180000	0.471554  	0.180000	0.00126669	
0.200000	1.35148   	0.200000	0.477592  	0.200000	0.45543   	0.200000	0.45543   	0.200000	0.476423  	0.200000	0.00116897	
0.250000	1.32383   	0.250000	0.480443  	0.250000	0.449985  	0.250000	0.449985  	0.250000	0.479459  	0.250000	0.000984207	
0.300000	1.31951   	0.300000	0.492835  	0.300000	0.443566  	0.300000	0.443566  	0.300000	0.491982  	0.300000	0.00085356	
0.350000	1.30417   	0.350000	0.496189  	0.350000	0.436947  	0.350000	0.436947  	0.350000	0.495433  	0.350000	0.000755819	
0.400000	1.28215   	0.400000	0.496216  	0.400000	0.428901  	0.400000	0.428901  	0.400000	0.495536  	0.400000	0.000679681	
0.450000	1.25318   	0.450000	0.491575  	0.450000	0.419574  	0.450000	0.419574  	0.450000	0.490957  	0.450000	0.00061854	
0.500000	1.225     	0.500000	0.48682   	0.500000	0.410547  	0.500000	0.410547  	0.500000	0.486252  	0.500000	0.000568262	
0.600000	1.12422   	0.600000	0.47572   	0.600000	0.393699  	0.600000	0.393699  	0.600000	0.47523   	0.600000	0.000490246	
0.700000	1.02332   	0.700000	0.45813   	0.700000	0.378414  	0.700000	0.378414  	0.700000	0.457698  	0.700000	0.000432308	
0.800000	0.978725  	0.800000	0.453415  	0.800000	0.364465  	0.800000	0.364465  	0.800000	0.453028  	0.800000	0.00038744	
0.900000	0.931219  	0.900000	0.444111  	0.900000	0.351623  	0.900000	0.351623  	0.900000	0.443759  	0.900000	0.00035158	
