*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	0.259876  	4.500000	0.233997  	4.500000	0.237591  	4.500000	0.237591  	4.500000	0.233857  	4.500000	0.000139756
5.000000	0.240064  	5.000000	0.217475  	5.000000	0.22057   	5.000000	0.22057   	5.000000	0.217347  	5.000000	0.000127303
5.500000	0.223246  	5.500000	0.203366  	5.500000	0.206026  	5.500000	0.206026  	5.500000	0.203249  	5.500000	0.000116983
6.000000	0.20878   	6.000000	0.191163  	6.000000	0.193453  	6.000000	0.193453  	6.000000	0.191055  	6.000000	0.000108282
6.500000	0.196198  	6.500000	0.180496  	6.500000	0.182474  	6.500000	0.182474  	6.500000	0.180395  	6.500000	0.000100843
7.000000	0.18515   	7.000000	0.171083  	7.000000	0.172798  	7.000000	0.172798  	7.000000	0.170989  	7.000000	9.44051e-05
7.500000	0.175367  	7.500000	0.162712  	7.500000	0.164203  	7.500000	0.164203  	7.500000	0.162623  	7.500000	8.87763e-05
8.000000	0.16664   	8.000000	0.155212  	8.000000	0.156512  	8.000000	0.156512  	8.000000	0.155129  	8.000000	8.38109e-05
8.500000	0.158805  	8.500000	0.148452  	8.500000	0.149588  	8.500000	0.149588  	8.500000	0.148373  	8.500000	7.93963e-05
9.000000	0.151728  	9.000000	0.142324  	9.000000	0.143317  	9.000000	0.143317  	9.000000	0.142249  	9.000000	7.54444e-05
9.500000	0.145304  	9.500000	0.136741  	9.500000	0.137609  	9.500000	0.137609  	9.500000	0.136669  	9.500000	7.1885e-05
10.000000	0.139445  	10.000000	0.132223  	10.000000	0.132389  	10.000000	0.132389  	10.000000	0.132155  	10.000000	6.86615e-05
11.000000	0.129142  	11.000000	0.123081  	11.000000	0.122968  	11.000000	0.123011  	11.000000	0.123018  	11.000000	6.30458e-05
12.000000	0.12037   	12.000000	0.115192  	12.000000	0.114894  	12.000000	0.114963  	12.000000	0.115133  	12.000000	5.83161e-05
13.000000	0.112806  	13.000000	0.108316  	13.000000	0.107887  	13.000000	0.107971  	13.000000	0.108261  	13.000000	5.42753e-05
14.000000	0.106214  	14.000000	0.102269  	14.000000	0.101741  	14.000000	0.101835  	14.000000	0.102218  	14.000000	5.07811e-05
15.000000	0.100414  	15.000000	0.09691   	15.000000	0.0963005 	15.000000	0.0964001 	15.000000	0.0968623 	15.000000	4.77281e-05
16.000000	0.0952702 	16.000000	0.0921271 	16.000000	0.0914483 	16.000000	0.091549  	16.000000	0.092082  	16.000000	4.50367e-05
17.000000	0.0906748 	17.000000	0.0878314 	17.000000	0.0870907 	17.000000	0.0871891 	17.000000	0.0877887 	17.000000	4.26452e-05
18.000000	0.0865434 	18.000000	0.0839516 	18.000000	0.0831521 	18.000000	0.083247  	18.000000	0.0839111 	18.000000	4.05055e-05
19.000000	0.0828081 	19.000000	0.0804295 	19.000000	0.0795714 	19.000000	0.0796635 	19.000000	0.0803909 	19.000000	3.85793e-05
20.000000	0.0794134 	20.000000	0.0772173 	20.000000	0.0762997 	20.000000	0.0763901 	20.000000	0.0771805 	20.000000	3.68357e-05
21.000000	0.0763141 	21.000000	0.0742755 	21.000000	0.0732992 	21.000000	0.0733873 	21.000000	0.0742403 	21.000000	3.52496e-05
22.000000	0.0734726 	22.000000	0.0715709 	22.000000	0.0705397 	22.000000	0.0706217 	22.000000	0.0715371 	22.000000	3.38002e-05
23.000000	0.0708575 	23.000000	0.0690757 	23.000000	0.067992  	23.000000	0.0680658 	23.000000	0.0690432 	23.000000	3.24703e-05
24.000000	0.0684423 	24.000000	0.066766  	24.000000	0.0656289 	24.000000	0.0656959 	24.000000	0.0667348 	24.000000	3.12455e-05
25.000000	0.0662045 	25.000000	0.0646218 	25.000000	0.06343   	25.000000	0.063492  	25.000000	0.0645917 	25.000000	3.01137e-05
27.000000	0.062187  	27.000000	0.0607624 	27.000000	0.059465  	27.000000	0.0595162 	27.000000	0.0607343 	27.000000	2.80891e-05
29.000000	0.0586812 	29.000000	0.0573846 	29.000000	0.0559882 	29.000000	0.0560268 	29.000000	0.0573583 	29.000000	2.633e-05
31.000000	0.0555936 	31.000000	0.0544025 	31.000000	0.0530239 	31.000000	0.0530474 	31.000000	0.0543778 	31.000000	2.47868e-05
33.000000	0.0528523 	33.000000	0.0517496 	33.000000	0.0504875 	33.000000	0.0504967 	33.000000	0.0517262 	33.000000	2.34215e-05
35.000000	0.0504012 	35.000000	0.0493736 	35.000000	0.0482077 	35.000000	0.0482108 	35.000000	0.0493514 	35.000000	2.22047e-05
38.000000	0.0471736 	38.000000	0.0462396 	38.000000	0.0452038 	38.000000	0.045193  	38.000000	0.0462189 	38.000000	2.06081e-05
41.000000	0.0443851 	41.000000	0.0435276 	41.000000	0.0425977 	41.000000	0.0425784 	41.000000	0.0435083 	41.000000	1.92341e-05
44.000000	0.0419502 	44.000000	0.0411568 	44.000000	0.0403136 	44.000000	0.04029   	44.000000	0.0411387 	44.000000	1.80387e-05
47.000000	0.0398045 	47.000000	0.0390658 	47.000000	0.0382973 	47.000000	0.0382691 	47.000000	0.0390488 	47.000000	1.69887e-05
50.000000	0.0378984 	50.000000	0.0372073 	50.000000	0.0365016 	50.000000	0.0364706 	50.000000	0.0371913 	50.000000	1.60589e-05
55.000000	0.0351527 	55.000000	0.034529  	55.000000	0.0339158 	55.000000	0.0338746 	55.000000	0.0345142 	55.000000	1.47242e-05
60.000000	0.0328341 	60.000000	0.032267  	60.000000	0.0317215 	60.000000	0.0316779 	60.000000	0.0322534 	60.000000	1.3602e-05
65.000000	0.0308485 	65.000000	0.0303304 	65.000000	0.0298362 	65.000000	0.0297937 	65.000000	0.0303178 	65.000000	1.26447e-05
70.000000	0.0291276 	70.000000	0.0286529 	70.000000	0.0282041 	70.000000	0.0281588 	70.000000	0.0286411 	70.000000	1.1818e-05
75.000000	0.0276208 	75.000000	0.0271853 	75.000000	0.0267732 	75.000000	0.0267261 	75.000000	0.0271742 	75.000000	1.10967e-05
80.000000	0.0262897 	80.000000	0.02589   	80.000000	0.0255084 	80.000000	0.0254599 	80.000000	0.0258795 	80.000000	1.04614e-05
85.000000	0.0251046 	85.000000	0.0247381 	85.000000	0.024382  	85.000000	0.0243323 	85.000000	0.0247282 	85.000000	9.8976e-06
90.000000	0.0240423 	90.000000	0.0237068 	90.000000	0.0233688 	90.000000	0.0233214 	90.000000	0.0236974 	90.000000	9.39364e-06
95.000000	0.0230841 	95.000000	0.0227779 	95.000000	0.0224583 	95.000000	0.0224099 	95.000000	0.0227689 	95.000000	8.94037e-06
100.000000	0.0222153 	100.000000	0.0219367 	100.000000	0.0216328 	100.000000	0.0215837 	100.000000	0.0219282 	100.000000	8.53043e-06
105.000000	0.0214234 	105.000000	0.0211713 	105.000000	0.0208811 	105.000000	0.0208311 	105.000000	0.0211632 	105.000000	8.1578e-06
110.000000	0.0206986 	110.000000	0.0204718 	110.000000	0.0201909 	110.000000	0.0201426 	110.000000	0.0204639 	110.000000	7.81756e-06
115.000000	0.0200324 	115.000000	0.0198299 	115.000000	0.0195582 	115.000000	0.0195104 	115.000000	0.0198224 	115.000000	7.5056e-06
120.000000	0.0194178 	120.000000	0.0192387 	120.000000	0.0189766 	120.000000	0.0189278 	120.000000	0.0192315 	120.000000	7.2185e-06
125.000000	0.018849  	125.000000	0.0186925 	125.000000	0.0184376 	125.000000	0.018389  	125.000000	0.0186855 	125.000000	6.95337e-06
130.000000	0.0183208 	130.000000	0.0181862 	130.000000	0.0179363 	130.000000	0.0178893 	130.000000	0.0181794 	130.000000	6.70774e-06
135.000000	0.017829  	135.000000	0.0177155 	135.000000	0.0174716 	135.000000	0.0174246 	135.000000	0.0177091 	135.000000	6.47951e-06
140.000000	0.0173698 	140.000000	0.0172769 	140.000000	0.0170391 	140.000000	0.0169913 	140.000000	0.0172707 	140.000000	6.26687e-06
145.000000	0.01694   	145.000000	0.0168671 	145.000000	0.0166338 	145.000000	0.0165863 	145.000000	0.0168611 	145.000000	6.06827e-06
150.000000	0.0165368 	150.000000	0.0164834 	150.000000	0.016253  	150.000000	0.0162069 	150.000000	0.0164776 	150.000000	5.88233e-06
155.000000	0.015969  	155.000000	0.0161234 	155.000000	0.0158968 	155.000000	0.0158507 	155.000000	0.0161177 	155.000000	5.70786e-06
160.000000	0.0156363 	160.000000	0.0157848 	160.000000	0.0155619 	160.000000	0.0155157 	160.000000	0.0157793 	160.000000	5.54384e-06
165.000000	0.0153225 	165.000000	0.0154659 	165.000000	0.015245  	165.000000	0.0152001 	165.000000	0.0154605 	165.000000	5.38932e-06
170.000000	0.015026  	170.000000	0.0151649 	170.000000	0.0149466 	170.000000	0.0149022 	170.000000	0.0151597 	170.000000	5.2435e-06
175.000000	0.0147455 	175.000000	0.0148805 	175.000000	0.0146653 	175.000000	0.0146205 	175.000000	0.0148754 	175.000000	5.10566e-06
180.000000	0.0144797 	180.000000	0.0146112 	180.000000	0.0143991 	180.000000	0.0143538 	180.000000	0.0146062 	180.000000	4.97515e-06
