*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0388951 	0.001000	0.0409245 	0.001000	0.0491232 	0.001000	0.0491232 	0.001000	0.0241994 	0.001000	0.0167251 	
0.002000	0.0496996 	0.002000	0.0513672 	0.002000	0.061723  	0.002000	0.061723  	0.002000	0.0394845 	0.002000	0.0118828 	
0.005000	0.0768918 	0.005000	0.0784606 	0.005000	0.0907338 	0.005000	0.0907338 	0.005000	0.0716288 	0.005000	0.00683183	
0.008000	0.0972716 	0.008000	0.099338  	0.008000	0.111506  	0.008000	0.111506  	0.008000	0.0943619 	0.008000	0.0049761 	
0.010000	0.108514  	0.010000	0.110949  	0.010000	0.122666  	0.010000	0.122666  	0.010000	0.106718  	0.010000	0.00423079	
0.015000	0.13845   	0.015000	0.134251  	0.015000	0.14521   	0.015000	0.14521   	0.015000	0.131107  	0.015000	0.0031442 	
0.020000	0.163494  	0.020000	0.153228  	0.020000	0.163205  	0.020000	0.163205  	0.020000	0.150693  	0.020000	0.00253477	
0.025000	0.184848  	0.025000	0.169422  	0.025000	0.178612  	0.025000	0.178612  	0.025000	0.167285  	0.025000	0.00213741	
0.030000	0.203154  	0.030000	0.183637  	0.030000	0.19054   	0.030000	0.19054   	0.030000	0.181781  	0.030000	0.00185579	
0.035000	0.218801  	0.035000	0.196332  	0.035000	0.201034  	0.035000	0.201034  	0.035000	0.194688  	0.035000	0.00164476	
0.040000	0.232055  	0.040000	0.207793  	0.040000	0.210417  	0.040000	0.210417  	0.040000	0.206313  	0.040000	0.00148015	
0.045000	0.243133  	0.045000	0.218204  	0.045000	0.218897  	0.045000	0.218897  	0.045000	0.216856  	0.045000	0.00134783	
0.050000	0.252227  	0.050000	0.227693  	0.050000	0.226614  	0.050000	0.226614  	0.050000	0.226454  	0.050000	0.00123892	
0.055000	0.259524  	0.055000	0.236349  	0.055000	0.233667  	0.055000	0.233667  	0.055000	0.235201  	0.055000	0.00114757	
0.060000	0.26521   	0.060000	0.244241  	0.060000	0.240127  	0.060000	0.240127  	0.060000	0.243171  	0.060000	0.00106974	
0.070000	0.272482  	0.070000	0.257938  	0.070000	0.251478  	0.070000	0.251478  	0.070000	0.256994  	0.070000	0.00094396	
0.080000	0.275455  	0.080000	0.269126  	0.080000	0.260982  	0.080000	0.260982  	0.080000	0.268279  	0.080000	0.000846459	
0.090000	0.275382  	0.090000	0.278083  	0.090000	0.268859  	0.090000	0.268859  	0.090000	0.277315  	0.090000	0.000768477	
0.100000	0.273288  	0.100000	0.285063  	0.100000	0.275286  	0.100000	0.275286  	0.100000	0.284358  	0.100000	0.000704566	
0.120000	0.265939  	0.120000	0.294029  	0.120000	0.284372  	0.120000	0.284372  	0.120000	0.293424  	0.120000	0.000605793	
0.140000	0.257261  	0.140000	0.297767  	0.140000	0.289295  	0.140000	0.289295  	0.140000	0.297234  	0.140000	0.000532771	
0.160000	0.248893  	0.160000	0.297741  	0.160000	0.290959  	0.160000	0.290959  	0.160000	0.297264  	0.160000	0.000476421	
0.180000	0.241351  	0.180000	0.295108  	0.180000	0.290139  	0.180000	0.290139  	0.180000	0.294676  	0.180000	0.00043152	
0.200000	0.234675  	0.200000	0.29074   	0.200000	0.287476  	0.200000	0.287476  	0.200000	0.290345  	0.200000	0.000394836	
0.250000	0.220894  	0.250000	0.275941  	0.250000	0.275895  	0.250000	0.275895  	0.250000	0.275614  	0.250000	0.000326828	
0.300000	0.209639  	0.300000	0.259523  	0.300000	0.261174  	0.300000	0.261174  	0.300000	0.259243  	0.300000	0.000279819	
0.350000	0.199717  	0.350000	0.243715  	0.350000	0.246013  	0.350000	0.246013  	0.350000	0.24347   	0.350000	0.000245253	
0.400000	0.190629  	0.400000	0.229244  	0.400000	0.231608  	0.400000	0.231608  	0.400000	0.229025  	0.400000	0.000218695	
0.450000	0.182189  	0.450000	0.216244  	0.450000	0.218403  	0.450000	0.218403  	0.450000	0.216046  	0.450000	0.000197609	
0.500000	0.174327  	0.500000	0.204629  	0.500000	0.206489  	0.500000	0.206489  	0.500000	0.204449  	0.500000	0.000180436	
0.600000	0.160199  	0.600000	0.184948  	0.600000	0.186229  	0.600000	0.186229  	0.600000	0.184794  	0.600000	0.000154094	
0.700000	0.148001  	0.700000	0.169008  	0.700000	0.169887  	0.700000	0.169887  	0.700000	0.168873  	0.700000	0.000134784	
0.800000	0.137469  	0.800000	0.155866  	0.800000	0.156518  	0.800000	0.156518  	0.800000	0.155746  	0.800000	0.000119986	
0.900000	0.128341  	0.900000	0.144839  	0.900000	0.145388  	0.900000	0.145388  	0.900000	0.144731  	0.900000	0.000108261	
1.000000	0.120378  	1.000000	0.135443  	1.000000	0.135966  	1.000000	0.135966  	1.000000	0.135344  	1.000000	9.87285e-05	
1.250000	0.104355  	1.250000	0.117002  	1.250000	0.117616  	1.250000	0.117616  	1.250000	0.116921  	1.250000	8.11747e-05	
1.500000	0.0922557 	1.500000	0.103367  	1.500000	0.104129  	1.500000	0.104129  	1.500000	0.103298  	1.500000	6.9138e-05	
1.750000	0.0827797 	1.750000	0.0927976 	1.750000	0.093691  	1.750000	0.093691  	1.750000	0.0927373 	1.750000	6.03427e-05	
2.000000	0.0751427 	2.000000	0.0843233 	2.000000	0.0853166 	2.000000	0.0853166 	2.000000	0.0842697 	2.000000	5.36196e-05	
2.250000	0.0688482 	2.250000	0.0773566 	2.250000	0.0784204 	2.250000	0.0784204 	2.250000	0.0773083 	2.250000	4.83046e-05	
2.500000	0.0625012 	2.500000	0.0715173 	2.500000	0.0726278 	2.500000	0.0726278 	2.500000	0.0714733 	2.500000	4.39916e-05	
3.000000	0.0545541 	3.000000	0.0622608 	3.000000	0.0634148 	3.000000	0.0634148 	3.000000	0.0622234 	3.000000	3.74059e-05	
3.500000	0.0485299 	3.500000	0.05524   	3.500000	0.0563967 	3.500000	0.0563967 	3.500000	0.0552074 	3.500000	3.2603e-05	
4.000000	0.043792  	4.000000	0.0497248 	4.000000	0.0508625 	4.000000	0.0508625 	4.000000	0.0496958 	4.000000	2.89375e-05	
4.500000	0.0399599 	4.500000	0.0452731 	4.500000	0.0463808 	4.500000	0.0463808 	4.500000	0.0452471 	4.500000	2.60436e-05	
5.000000	0.0367912 	5.000000	0.0416011 	5.000000	0.0426735 	5.000000	0.0426735 	5.000000	0.0415774 	5.000000	2.3698e-05	
5.500000	0.034124  	5.500000	0.0385177 	5.500000	0.0395529 	5.500000	0.0395529 	5.500000	0.0384959 	5.500000	2.17564e-05	
6.000000	0.0318454 	6.000000	0.0358898 	6.000000	0.0368876 	6.000000	0.0368876 	6.000000	0.0358697 	6.000000	2.01214e-05	
6.500000	0.0298747 	6.500000	0.0336216 	6.500000	0.0345829 	6.500000	0.0345829 	6.500000	0.0336029 	6.500000	1.87248e-05	
7.000000	0.0281521 	7.000000	0.0316427 	7.000000	0.0325688 	7.000000	0.0325688 	7.000000	0.0316252 	7.000000	1.75173e-05	
7.500000	0.0266326 	7.500000	0.0298999 	7.500000	0.0307924 	7.500000	0.0307924 	7.500000	0.0298834 	7.500000	1.64624e-05	
8.000000	0.0252817 	8.000000	0.0283523 	8.000000	0.029213  	8.000000	0.029213  	8.000000	0.0283368 	8.000000	1.55326e-05	
8.500000	0.0240721 	8.500000	0.0269682 	8.500000	0.0277987 	8.500000	0.0277987 	8.500000	0.0269535 	8.500000	1.47065e-05	
9.000000	0.0229823 	9.000000	0.0257223 	9.000000	0.0265244 	9.000000	0.0265244 	9.000000	0.0257083 	9.000000	1.39674e-05	
9.500000	0.0219951 	9.500000	0.0245945 	9.500000	0.0253698 	9.500000	0.0253698 	9.500000	0.0245812 	9.500000	1.33022e-05	
10.000000	0.0210963 	10.000000	0.0242894 	10.000000	0.0243182 	10.000000	0.0243182 	10.000000	0.0242767 	10.000000	1.27e-05  	
11.000000	0.0195196 	11.000000	0.0224853 	11.000000	0.022453  	11.000000	0.0224543 	11.000000	0.0224737 	11.000000	1.16519e-05	
12.000000	0.0181806 	12.000000	0.0209493 	12.000000	0.0208716 	12.000000	0.0208738 	12.000000	0.0209385 	12.000000	1.07699e-05	
13.000000	0.0170284 	13.000000	0.0196249 	13.000000	0.0195138 	13.000000	0.0195162 	13.000000	0.0196149 	13.000000	1.00171e-05	
14.000000	0.0160259 	14.000000	0.0184706 	14.000000	0.018335  	14.000000	0.0183373 	14.000000	0.0184612 	14.000000	9.36656e-06	
15.000000	0.0151451 	15.000000	0.017455  	15.000000	0.0173015 	15.000000	0.0173038 	15.000000	0.0174462 	15.000000	8.79859e-06	
16.000000	0.0143647 	16.000000	0.0165541 	16.000000	0.0163882 	16.000000	0.0163904 	16.000000	0.0165458 	16.000000	8.29821e-06	
17.000000	0.0136683 	17.000000	0.0157494 	17.000000	0.0155755 	17.000000	0.0155774 	17.000000	0.0157415 	17.000000	7.85386e-06	
18.000000	0.0130426 	18.000000	0.0150258 	18.000000	0.0148479 	18.000000	0.0148493 	18.000000	0.0150184 	18.000000	7.45653e-06	
19.000000	0.0124774 	19.000000	0.0143717 	19.000000	0.0141925 	19.000000	0.0141936 	19.000000	0.0143646 	19.000000	7.09902e-06	
20.000000	0.011964  	20.000000	0.0137772 	20.000000	0.013599  	20.000000	0.0136001 	20.000000	0.0137704 	20.000000	6.77556e-06	
21.000000	0.0114955 	21.000000	0.0132344 	21.000000	0.0130594 	21.000000	0.0130605 	21.000000	0.0132279 	21.000000	6.48144e-06	
22.000000	0.0110661 	22.000000	0.0127368 	22.000000	0.0125672 	22.000000	0.0125681 	22.000000	0.0127306 	22.000000	6.21279e-06	
23.000000	0.0106712 	23.000000	0.0122788 	23.000000	0.0121167 	23.000000	0.012117  	23.000000	0.0122729 	23.000000	5.9664e-06	
24.000000	0.0103065 	24.000000	0.0118559 	24.000000	0.0117028 	24.000000	0.0117024 	24.000000	0.0118502 	24.000000	5.73957e-06	
25.000000	0.00996874	25.000000	0.0114641 	25.000000	0.0113212 	25.000000	0.0113203 	25.000000	0.0114586 	25.000000	5.53004e-06	
27.000000	0.00936259	27.000000	0.0107609 	27.000000	0.0106421 	27.000000	0.0106398 	27.000000	0.0107557 	27.000000	5.15541e-06	
29.000000	0.00883386	29.000000	0.0101473 	29.000000	0.0100558 	29.000000	0.0100529 	29.000000	0.0101425 	29.000000	4.83012e-06	
31.000000	0.00836837	31.000000	0.00960715	31.000000	0.00953556	31.000000	0.00953256	31.000000	0.0096026 	31.000000	4.54491e-06	
33.000000	0.0079552 	33.000000	0.00912775	33.000000	0.00906628	33.000000	0.00906235	33.000000	0.00912346	33.000000	4.29272e-06	
35.000000	0.00758586	35.000000	0.00869929	35.000000	0.00864542	35.000000	0.00864169	35.000000	0.00869522	35.000000	4.06807e-06	
38.000000	0.00709962	38.000000	0.00813542	38.000000	0.00809176	38.000000	0.00808743	38.000000	0.00813165	38.000000	3.77348e-06	
41.000000	0.00667962	41.000000	0.00764863	41.000000	0.0076127 	41.000000	0.00760827	41.000000	0.00764511	41.000000	3.52012e-06	
44.000000	0.00631295	44.000000	0.00722394	44.000000	0.00719361	44.000000	0.00718969	44.000000	0.00722064	44.000000	3.29982e-06	
47.000000	0.00598987	47.000000	0.00685004	47.000000	0.00682515	47.000000	0.0068207 	47.000000	0.00684693	47.000000	3.10643e-06	
50.000000	0.00570292	50.000000	0.00651821	50.000000	0.00649735	50.000000	0.00649285	50.000000	0.00651527	50.000000	2.93523e-06	
55.000000	0.00528958	55.000000	0.00604082	55.000000	0.0060254 	55.000000	0.00602051	55.000000	0.00603813	55.000000	2.68967e-06	
60.000000	0.00494059	60.000000	0.00563841	60.000000	0.00562618	60.000000	0.00562168	60.000000	0.00563593	60.000000	2.48334e-06	
65.000000	0.00464175	65.000000	0.00529442	65.000000	0.00528485	65.000000	0.00528023	65.000000	0.00529211	65.000000	2.30743e-06	
70.000000	0.00438276	70.000000	0.00499685	70.000000	0.00498915	70.000000	0.00498446	70.000000	0.0049947 	70.000000	2.15561e-06	
75.000000	0.004156  	75.000000	0.00473681	75.000000	0.00472999	75.000000	0.00472567	75.000000	0.00473478	75.000000	2.0232e-06	
80.000000	0.00395568	80.000000	0.00450753	80.000000	0.00450194	80.000000	0.00449725	80.000000	0.00450563	80.000000	1.90666e-06	
85.000000	0.00377735	85.000000	0.00430382	85.000000	0.00429854	85.000000	0.00429409	85.000000	0.00430202	85.000000	1.80326e-06	
