Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.494719  	4.000000	0.552168  	4.000000	0.562528  	4.000000	0.562528  	4.000000	0.55184   	4.000000	0.000328494	
4.500000	0.456374  	4.500000	0.509814  	4.500000	0.521435  	4.500000	0.521435  	4.500000	0.509518  	4.500000	0.000295931	
5.000000	0.423864  	5.000000	0.47382   	5.000000	0.486061  	5.000000	0.486061  	5.000000	0.473551  	5.000000	0.000269508	
5.500000	0.39594   	5.500000	0.44321   	5.500000	0.455298  	5.500000	0.455298  	5.500000	0.442963  	5.500000	0.000247613	
6.000000	0.371686  	6.000000	0.416498  	6.000000	0.428302  	6.000000	0.428302  	6.000000	0.416269  	6.000000	0.00022916	
6.500000	0.350415  	6.500000	0.392961  	6.500000	0.404422  	6.500000	0.404422  	6.500000	0.392748  	6.500000	0.000213385	
7.000000	0.331602  	7.000000	0.37205   	7.000000	0.383147  	7.000000	0.383147  	7.000000	0.37185   	7.000000	0.000199735	
7.500000	0.314838  	7.500000	0.353341  	7.500000	0.364072  	7.500000	0.364072  	7.500000	0.353153  	7.500000	0.000187803	
8.000000	0.299803  	8.000000	0.336497  	8.000000	0.34687   	8.000000	0.34687   	8.000000	0.33632   	8.000000	0.000177279	
8.500000	0.286239  	8.500000	0.32125   	8.500000	0.331278  	8.500000	0.331278  	8.500000	0.321083  	8.500000	0.000167923	
9.000000	0.273936  	9.000000	0.30738   	9.000000	0.317079  	9.000000	0.317079  	9.000000	0.307221  	9.000000	0.00015955	
9.500000	0.262724  	9.500000	0.294707  	9.500000	0.304092  	9.500000	0.304092  	9.500000	0.294555  	9.500000	0.000152008	
10.000000	0.252463  	10.000000	0.291742  	10.000000	0.292168  	10.000000	0.292168  	10.000000	0.291597  	10.000000	0.000145179	
11.000000	0.234339  	11.000000	0.271121  	11.000000	0.270753  	11.000000	0.271003  	11.000000	0.270988  	11.000000	0.000133285	
12.000000	0.218828  	12.000000	0.253355  	12.000000	0.252394  	12.000000	0.252808  	12.000000	0.253232  	12.000000	0.000123268	
13.000000	0.205396  	13.000000	0.237891  	13.000000	0.23648   	13.000000	0.237007  	13.000000	0.237776  	13.000000	0.000114712	
14.000000	0.193646  	14.000000	0.22431   	14.000000	0.22256   	14.000000	0.223163  	14.000000	0.224202  	14.000000	0.000107314	
15.000000	0.183276  	15.000000	0.212287  	15.000000	0.210291  	15.000000	0.21094   	15.000000	0.212186  	15.000000	0.000100852	
16.000000	0.174053  	16.000000	0.201569  	16.000000	0.199401  	16.000000	0.200074  	16.000000	0.201474  	16.000000	9.51554e-05	
17.000000	0.165795  	17.000000	0.191954  	17.000000	0.189674  	17.000000	0.190356  	17.000000	0.191864  	17.000000	9.00945e-05	
18.000000	0.158355  	18.000000	0.183279  	18.000000	0.180938  	18.000000	0.181617  	18.000000	0.183194  	18.000000	8.55668e-05	
19.000000	0.151616  	19.000000	0.175413  	19.000000	0.173052  	19.000000	0.17372   	19.000000	0.175331  	19.000000	8.14913e-05	
20.000000	0.145481  	20.000000	0.168247  	20.000000	0.165894  	20.000000	0.166553  	20.000000	0.168169  	20.000000	7.78025e-05	
21.000000	0.139873  	21.000000	0.16169   	21.000000	0.159376  	21.000000	0.160021  	21.000000	0.161616  	21.000000	7.44471e-05	
22.000000	0.134724  	22.000000	0.155669  	22.000000	0.153424  	22.000000	0.154048  	22.000000	0.155597  	22.000000	7.13812e-05	
23.000000	0.129979  	23.000000	0.150119  	23.000000	0.147968  	23.000000	0.148567  	23.000000	0.15005   	23.000000	6.85683e-05	
24.000000	0.125593  	24.000000	0.144987  	24.000000	0.142943  	24.000000	0.143522  	24.000000	0.144921  	24.000000	6.5978e-05	
25.000000	0.121525  	25.000000	0.140227  	25.000000	0.138303  	25.000000	0.138866  	25.000000	0.140164  	25.000000	6.35845e-05	
27.000000	0.114213  	27.000000	0.131672  	27.000000	0.13005   	27.000000	0.130562  	27.000000	0.131612  	27.000000	5.93033e-05	
29.000000	0.107823  	29.000000	0.124197  	29.000000	0.122938  	29.000000	0.12339   	29.000000	0.124141  	29.000000	5.5584e-05	
31.000000	0.102188  	31.000000	0.117608  	31.000000	0.116622  	31.000000	0.117006  	31.000000	0.117556  	31.000000	5.23215e-05	
33.000000	0.0971797 	33.000000	0.111756  	33.000000	0.110909  	33.000000	0.111222  	33.000000	0.111706  	33.000000	4.94355e-05	
35.000000	0.0926977 	35.000000	0.106521  	35.000000	0.105797  	35.000000	0.106048  	35.000000	0.106475  	35.000000	4.68635e-05	
38.000000	0.0867904 	38.000000	0.0996287 	38.000000	0.099061  	38.000000	0.0992321 	38.000000	0.0995853 	38.000000	4.34892e-05	
41.000000	0.0816818 	41.000000	0.093675  	41.000000	0.0932246 	41.000000	0.0933408 	41.000000	0.0936344 	41.000000	4.05859e-05	
44.000000	0.0772175 	44.000000	0.0884786 	44.000000	0.0881219 	44.000000	0.0881953 	44.000000	0.0884405 	44.000000	3.806e-05 	
47.000000	0.073281  	47.000000	0.0839023 	47.000000	0.0836234 	47.000000	0.0836604 	47.000000	0.0838664 	47.000000	3.58418e-05	
50.000000	0.0697823 	50.000000	0.0798401 	50.000000	0.0796278 	50.000000	0.0796318 	50.000000	0.0798062 	50.000000	3.38774e-05	
55.000000	0.0647392 	55.000000	0.0739949 	55.000000	0.0738575 	55.000000	0.073829  	55.000000	0.0739638 	55.000000	3.10583e-05	
60.000000	0.0604781 	60.000000	0.0690669 	60.000000	0.0689924 	60.000000	0.0689307 	60.000000	0.0690383 	60.000000	2.86882e-05	
65.000000	0.0568273 	65.000000	0.064854  	65.000000	0.0648163 	65.000000	0.0647381 	65.000000	0.0648273 	65.000000	2.66666e-05	
70.000000	0.053662  	70.000000	0.0612093 	70.000000	0.0612    	70.000000	0.0611071 	70.000000	0.0611844 	70.000000	2.49211e-05	
75.000000	0.0508897 	75.000000	0.0580241 	75.000000	0.0580354 	75.000000	0.0579305 	75.000000	0.0580007 	75.000000	2.33981e-05	
80.000000	0.04844   	80.000000	0.0552157 	80.000000	0.0552421 	80.000000	0.0551272 	80.000000	0.0551937 	80.000000	2.2057e-05	
85.000000	0.0462586 	85.000000	0.0527204 	85.000000	0.0527575 	85.000000	0.0526342 	85.000000	0.0526995 	85.000000	2.08668e-05	
90.000000	0.0443028 	90.000000	0.050488  	90.000000	0.0505325 	90.000000	0.0504022 	90.000000	0.0504682 	90.000000	1.98031e-05	
95.000000	0.0425386 	95.000000	0.0484788 	95.000000	0.0485221 	95.000000	0.0483919 	95.000000	0.0484599 	95.000000	1.88464e-05	
100.000000	0.0409386 	100.000000	0.0466604 	100.000000	0.0467071 	100.000000	0.0465714 	100.000000	0.0466424 	100.000000	1.79813e-05	
105.000000	0.0394803 	105.000000	0.0450067 	105.000000	0.0450559 	105.000000	0.0449149 	105.000000	0.0449895 	105.000000	1.71949e-05	
