*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.450000	11.4835   	0.450000	11.4804   	0.450000	11.5615   	0.450000	11.5615   	0.450000	0.141916  	0.450000	0.148087  	0.450000	0.240252  	0.450000	0.265918  	0.450000	0.238201  	
0.500000	13.1473   	0.500000	13.1439   	0.500000	13.2083   	0.500000	13.2083   	0.500000	0.164292  	0.500000	0.167988  	0.500000	0.268344  	0.500000	0.297306  	0.500000	0.266212  	
0.600000	16.7361   	0.600000	16.7317   	0.600000	16.7577   	0.600000	16.7577   	0.600000	0.212948  	0.600000	0.210064  	0.600000	0.327661  	0.600000	0.36299   	0.600000	0.32553   	
0.700000	20.652    	0.700000	20.6466   	0.700000	20.6291   	0.700000	20.6291   	0.700000	0.266292  	0.700000	0.254764  	0.700000	0.391031  	0.700000	0.43232   	0.700000	0.389015  	
0.800000	24.8755   	0.800000	24.8689   	0.800000	24.8039   	0.800000	24.8039   	0.800000	0.323913  	0.800000	0.301787  	0.800000	0.45822   	0.800000	0.505024  	0.800000	0.456425  	
0.900000	29.3914   	0.900000	29.3836   	0.900000	29.268    	0.900000	29.268    	0.900000	0.385544  	0.900000	0.350954  	0.900000	0.528928  	0.900000	0.58085   	0.900000	0.52749   	
1.000000	34.1876   	1.000000	34.1785   	1.000000	34.0101   	1.000000	34.0101   	1.000000	0.450997  	1.000000	0.402145  	1.000000	0.6031    	1.000000	0.659712  	1.000000	0.602087  	
1.250000	47.3431   	1.250000	47.3306   	1.250000	47.0242   	1.250000	47.0242   	1.250000	0.630511  	1.250000	0.538479  	1.250000	0.802415  	1.250000	0.8687    	1.250000	0.802833  	
1.500000	62.0739   	1.500000	62.0574   	1.500000	61.6102   	1.500000	61.6102   	1.500000	0.831582  	1.500000	0.686089  	1.500000	1.02066   	1.500000	1.09389   	1.500000	1.02294   	
1.750000	78.2943   	1.750000	78.2735   	1.750000	77.6877   	1.750000	77.6877   	1.750000	1.05317   	1.750000	0.844352  	1.750000	1.25729   	1.750000	1.3347    	1.750000	1.26182   	
2.000000	95.9382   	2.000000	95.9127   	2.000000	95.1944   	2.000000	95.1944   	2.000000	1.29447   	2.000000	1.01277   	2.000000	1.51159   	2.000000	1.59045   	2.000000	1.51869   	
2.250000	114.952   	2.250000	114.921   	2.250000	114.08    	2.250000	114.08    	2.250000	1.55483   	2.250000	1.19094   	2.250000	1.78293   	2.250000	1.86054   	2.250000	1.7929    	
2.500000	135.301   	2.500000	135.254   	2.500000	134.301   	2.500000	134.301   	2.500000	1.83368   	2.500000	1.37852   	2.500000	2.07077   	2.500000	2.14445   	2.500000	2.08387   	
3.000000	180.32    	3.000000	179.743   	3.000000	178.608   	3.000000	178.608   	3.000000	2.44499   	3.000000	1.78079   	3.000000	2.69397   	3.000000	2.75194   	3.000000	2.71407   	
3.500000	229.993   	3.500000	229.122   	3.500000	227.874   	3.500000	227.874   	3.500000	3.12509   	3.500000	2.21758   	3.500000	3.37811   	3.500000	3.40989   	3.500000	3.40606   	
4.000000	284.179   	4.000000	283.188   	4.000000	281.903   	4.000000	281.903   	4.000000	3.8713    	4.000000	2.6872    	4.000000	4.12063   	4.000000	4.11577   	4.000000	4.15715   	
4.500000	342.758   	4.500000	341.771   	4.500000	340.535   	4.500000	340.535   	4.500000	4.68136   	4.500000	3.18826   	4.500000	4.91939   	4.500000	4.86756   	4.500000	4.96517   	
5.000000	405.626   	5.000000	404.727   	5.000000	403.632   	5.000000	403.632   	5.000000	5.55336   	5.000000	3.71956   	5.000000	5.77262   	5.000000	5.66347   	5.000000	5.82826   	
5.500000	472.694   	5.500000	471.933   	5.500000	471.078   	5.500000	471.078   	5.500000	6.48561   	5.500000	4.28007   	5.500000	6.67872   	5.500000	6.502     	5.500000	6.74476   	
6.000000	543.879   	6.000000	543.281   	6.000000	542.767   	6.000000	542.767   	6.000000	7.47665   	6.000000	4.86887   	6.000000	7.6363    	6.000000	7.38182   	6.000000	7.71327   	
6.500000	619.11    	6.500000	618.673   	6.500000	618.607   	6.500000	618.607   	6.500000	8.52515   	6.500000	5.48516   	6.500000	8.64418   	6.500000	8.30173   	6.500000	8.73253   	
7.000000	698.319   	7.000000	698.024   	7.000000	698.517   	7.000000	698.517   	7.000000	9.62994   	7.000000	6.12822   	7.000000	9.70119   	7.000000	9.26063   	7.000000	9.80142   	
7.500000	781.446   	7.500000	781.255   	7.500000	782.421   	7.500000	782.421   	7.500000	10.7899   	7.500000	6.79738   	7.500000	10.8064   	7.500000	10.2576   	7.500000	10.9189   	
8.000000	868.436   	8.000000	868.296   	8.000000	870.25    	8.000000	870.25    	8.000000	12.0042   	8.000000	7.49209   	8.000000	11.9588   	8.000000	11.2918   	8.000000	12.084    	
8.500000	959.236   	8.500000	959.08    	8.500000	961.943   	8.500000	961.943   	8.500000	13.2717   	8.500000	8.21185   	8.500000	13.1577   	8.500000	12.3624   	8.500000	13.296    	
9.000000	1053.8    	9.000000	1053.55   	9.000000	1057.44   	9.000000	1057.44   	9.000000	14.5918   	9.000000	8.95616   	9.000000	14.4023   	9.000000	13.4686   	9.000000	14.554    	
9.500000	1152.08   	9.500000	1151.65   	9.500000	1156.69   	9.500000	1156.69   	9.500000	15.9636   	9.500000	9.72445   	9.500000	15.6918   	9.500000	14.61     	9.500000	15.8574   	
10.000000	1254.03   	10.000000	1253.3    	10.000000	1259.65   	10.000000	1259.65   	10.000000	17.3865   	10.000000	10.5161   	10.000000	17.0256   	10.000000	15.7856   	10.000000	17.2055   	
11.000000	1468.8    	11.000000	1465.04   	11.000000	1476.24   	11.000000	1476.24   	11.000000	20.3732   	11.000000	12.1708   	11.000000	19.8192   	11.000000	18.2341   	11.000000	20.0285   	
12.000000	1697.8    	12.000000	1689.25   	12.000000	1706.64   	12.000000	1706.64   	12.000000	23.5393   	12.000000	13.9371   	12.000000	22.7732   	12.000000	20.8056   	12.000000	23.0134   	
13.000000	1940.78   	13.000000	1925.93   	13.000000	1950.54   	13.000000	1950.53   	13.000000	26.8819   	13.000000	15.8111   	13.000000	25.883    	13.000000	23.4957   	13.000000	26.1553   	
