Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.492091  	0.001000	0.276243  	0.001000	0.318352  	0.001000	0.318352  	0.001000	0.146957  	0.001000	0.129286  	
0.002000	0.532312  	0.002000	0.298438  	0.002000	0.348833  	0.002000	0.348833  	0.002000	0.19058   	0.002000	0.107858  	
0.005000	0.635641  	0.005000	0.342388  	0.005000	0.40575   	0.005000	0.40575   	0.005000	0.268722  	0.005000	0.0736655 	
0.008000	0.719439  	0.008000	0.377918  	0.008000	0.448865  	0.008000	0.448865  	0.008000	0.320515  	0.008000	0.0574031 	
0.010000	0.767852  	0.010000	0.398939  	0.010000	0.473709  	0.010000	0.473709  	0.010000	0.34849   	0.010000	0.0504489 	
0.015000	0.883743  	0.015000	0.455995  	0.015000	0.536097  	0.015000	0.536097  	0.015000	0.416705  	0.015000	0.0392899 	
0.020000	0.973558  	0.020000	0.547388  	0.020000	0.626288  	0.020000	0.626288  	0.020000	0.514831  	0.020000	0.0325565 	
0.025000	1.07601   	0.025000	0.634837  	0.025000	0.715542  	0.025000	0.715542  	0.025000	0.606848  	0.025000	0.0279891 	
0.030000	1.16433   	0.030000	0.720134  	0.030000	0.79277   	0.030000	0.79277   	0.030000	0.695475  	0.030000	0.0246593 	
0.035000	1.23693   	0.035000	0.799757  	0.035000	0.86474   	0.035000	0.86474   	0.035000	0.777852  	0.035000	0.0219046 	
0.040000	1.2942    	0.040000	0.873503  	0.040000	0.931827  	0.040000	0.931827  	0.040000	0.853598  	0.040000	0.0199055 	
0.045000	1.33675   	0.045000	0.94082   	0.045000	0.993809  	0.045000	0.993809  	0.045000	0.922547  	0.045000	0.0182731 	
0.050000	1.36545   	0.050000	1.00163   	0.050000	1.05077   	0.050000	1.05077   	0.050000	0.984718  	0.050000	0.0169122 	
0.055000	1.4245    	0.055000	1.05605   	0.055000	1.10285   	0.055000	1.10285   	0.055000	1.04029   	0.055000	0.0157583 	
0.060000	1.48723   	0.060000	1.10907   	0.060000	1.15024   	0.060000	1.15024   	0.060000	1.09431   	0.060000	0.0147662 	
0.070000	1.58963   	0.070000	1.20905   	0.070000	1.23187   	0.070000	1.23187   	0.070000	1.19591   	0.070000	0.0131442 	
0.080000	1.69598   	0.080000	1.28708   	0.080000	1.29774   	0.080000	1.29774   	0.080000	1.27521   	0.080000	0.0118706 	
0.090000	1.78065   	0.090000	1.34691   	0.090000	1.35009   	0.090000	1.35009   	0.090000	1.33607   	0.090000	0.0108413 	
0.100000	1.84844   	0.100000	1.39227   	0.100000	1.39111   	0.100000	1.39111   	0.100000	1.38228   	0.100000	0.00999042	
