*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
5.000000	14.3935   	5.000000	6.31522   	5.000000	6.38606   	5.000000	6.38606   	5.000000	6.31003   	5.000000	0.00519803
5.500000	13.6621   	5.500000	6.13118   	5.500000	6.19501   	5.500000	6.19501   	5.500000	6.12639   	5.500000	0.00478976
6.000000	13.0051   	6.000000	5.95717   	6.000000	6.01516   	6.000000	6.01516   	6.000000	5.95273   	6.000000	0.00444441
6.500000	12.4119   	6.500000	5.79264   	6.500000	5.84582   	6.500000	5.84582   	6.500000	5.78849   	6.500000	0.00414821
7.000000	11.8739   	7.000000	5.63702   	7.000000	5.68626   	7.000000	5.68626   	7.000000	5.63313   	7.000000	0.00389117
7.500000	11.3838   	7.500000	5.48982   	7.500000	5.53577   	7.500000	5.53577   	7.500000	5.48615   	7.500000	0.00366588
8.000000	10.9354   	8.000000	5.35052   	8.000000	5.39366   	8.000000	5.39366   	8.000000	5.34705   	8.000000	0.00346669
8.500000	10.5236   	8.500000	5.2186    	8.500000	5.2593    	8.500000	5.2593    	8.500000	5.21531   	8.500000	0.00328922
9.000000	10.1442   	9.000000	5.09354   	9.000000	5.13209   	9.000000	5.13209   	9.000000	5.09041   	9.000000	0.00313004
9.500000	9.79327   	9.500000	4.97487   	9.500000	5.01149   	9.500000	5.01149   	9.500000	4.97188   	9.500000	0.00298642
10.000000	9.46783   	10.000000	4.90741   	10.000000	4.89701   	10.000000	4.89701   	10.000000	4.90456   	10.000000	0.00285612
11.000000	8.88285   	11.000000	4.7351    	11.000000	4.69989   	11.000000	4.73972   	11.000000	4.73248   	11.000000	0.00262861
12.000000	8.37166   	12.000000	4.56647   	12.000000	4.51853   	12.000000	4.58846   	12.000000	4.56404   	12.000000	0.00243646
13.000000	7.92092   	13.000000	4.40436   	13.000000	4.35129   	13.000000	4.44393   	13.000000	4.40208   	13.000000	0.00227187
14.000000	7.52037   	14.000000	4.25008   	14.000000	4.19657   	14.000000	4.30637   	14.000000	4.24795   	14.000000	0.00212923
15.000000	7.16192   	15.000000	4.10411   	15.000000	4.05295   	15.000000	4.17573   	15.000000	4.10211   	15.000000	0.00200434
16.000000	6.83918   	16.000000	3.96646   	16.000000	3.91929   	16.000000	4.0518    	16.000000	3.96457   	16.000000	0.00189403
17.000000	6.54696   	17.000000	3.83688   	17.000000	3.79462   	17.000000	3.93426   	17.000000	3.83508   	17.000000	0.00179585
18.000000	6.28107   	18.000000	3.71496   	18.000000	3.67809   	18.000000	3.82279   	18.000000	3.71325   	18.000000	0.00170786
19.000000	6.03803   	19.000000	3.60026   	19.000000	3.56891   	19.000000	3.717     	19.000000	3.59864   	19.000000	0.00162853
20.000000	5.81498   	20.000000	3.49231   	20.000000	3.46341   	20.000000	3.61359   	20.000000	3.49075   	20.000000	0.00155661
21.000000	5.6095    	21.000000	3.39063   	21.000000	3.367     	21.000000	3.51823   	21.000000	3.38914   	21.000000	0.00149111
22.000000	5.41955   	22.000000	3.29477   	22.000000	3.27614   	22.000000	3.4276    	22.000000	3.29334   	22.000000	0.00143117
23.000000	5.24342   	23.000000	3.20431   	23.000000	3.19031   	23.000000	3.34138   	23.000000	3.20294   	23.000000	0.00137612
24.000000	5.07962   	24.000000	3.11885   	24.000000	3.10901   	24.000000	3.25926   	24.000000	3.11753   	24.000000	0.00132535
25.000000	4.92687   	25.000000	3.03802   	25.000000	3.03195   	25.000000	3.18097   	25.000000	3.03675   	25.000000	0.0012784
27.000000	4.65027   	27.000000	2.88894   	27.000000	2.88976   	27.000000	3.03491   	27.000000	2.88774   	27.000000	0.00119427
29.000000	4.40639   	29.000000	2.75466   	29.000000	2.76105   	29.000000	2.90139   	29.000000	2.75354   	29.000000	0.00112105
31.000000	4.18966   	31.000000	2.63319   	31.000000	2.64204   	31.000000	2.77099   	31.000000	2.63214   	31.000000	0.0010567
33.000000	3.9957    	33.000000	2.52284   	33.000000	2.53266   	33.000000	2.6458    	33.000000	2.52184   	33.000000	0.000999689
35.000000	3.82105   	35.000000	2.4222    	35.000000	2.43332   	35.000000	2.53287   	35.000000	2.42125   	35.000000	0.0009488
38.000000	3.5893    	38.000000	2.28685   	38.000000	2.30027   	38.000000	2.38273   	38.000000	2.28597   	38.000000	0.000881922
41.000000	3.38746   	41.000000	2.16739   	41.000000	2.18282   	41.000000	2.25169   	41.000000	2.16657   	41.000000	0.000824265
44.000000	3.21      	44.000000	2.06122   	44.000000	2.07806   	44.000000	2.13627   	44.000000	2.06044   	44.000000	0.000774018
47.000000	3.05267   	47.000000	1.96625   	47.000000	1.9846    	47.000000	2.03379   	47.000000	1.96552   	47.000000	0.000729818
50.000000	2.91218   	50.000000	1.88081   	50.000000	1.90064   	50.000000	1.94216   	50.000000	1.88012   	50.000000	0.000690619
55.000000	2.70858   	55.000000	1.75605   	55.000000	1.77777   	55.000000	1.8092    	55.000000	1.75542   	55.000000	0.000634264
60.000000	2.53556   	60.000000	1.64923   	60.000000	1.67226   	60.000000	1.69607   	60.000000	1.64864   	60.000000	0.000586787
65.000000	2.3866    	65.000000	1.55675   	65.000000	1.58075   	65.000000	1.59859   	65.000000	1.5562    	65.000000	0.000546218
70.000000	2.25692   	70.000000	1.4759    	70.000000	1.50067   	70.000000	1.51369   	70.000000	1.47539   	70.000000	0.000511129
75.000000	2.14294   	75.000000	1.40464   	75.000000	1.42972   	75.000000	1.43905   	75.000000	1.40416   	75.000000	0.000480466
80.000000	2.04192   	80.000000	1.34135   	80.000000	1.3667    	80.000000	1.37291   	80.000000	1.3409    	80.000000	0.000453429
85.000000	1.95173   	85.000000	1.28476   	85.000000	1.31011   	85.000000	1.31387   	85.000000	1.28433   	85.000000	0.000429402
90.000000	1.87067   	90.000000	1.23387   	90.000000	1.2592    	90.000000	1.26083   	90.000000	1.23346   	90.000000	0.000407902
95.000000	1.79741   	95.000000	1.18784   	95.000000	1.21315   	95.000000	1.21292   	95.000000	1.18746   	95.000000	0.000388545
100.000000	1.73084   	100.000000	1.14603   	100.000000	1.17111   	100.000000	1.16942   	100.000000	1.14566   	100.000000	0.00037102
105.000000	1.67006   	105.000000	1.10786   	105.000000	1.13273   	105.000000	1.12975   	105.000000	1.10751   	105.000000	0.000355076
110.000000	1.61435   	110.000000	1.07289   	110.000000	1.0974    	110.000000	1.09341   	110.000000	1.07255   	110.000000	0.000340505
115.000000	1.56307   	115.000000	1.04073   	115.000000	1.06485   	115.000000	1.05999   	115.000000	1.0404    	115.000000	0.000327134
120.000000	1.51571   	120.000000	1.01104   	120.000000	1.03482   	120.000000	1.02917   	120.000000	1.01073   	120.000000	0.000314819
125.000000	1.47182   	125.000000	0.983566  	125.000000	1.00701   	125.000000	1.00064   	125.000000	0.983262  	125.000000	0.000303438
130.000000	1.43103   	130.000000	0.958055  	130.000000	0.981161  	130.000000	0.974154  	130.000000	0.957762  	130.000000	0.000292886
135.000000	1.393     	135.000000	0.934307  	135.000000	0.956973  	135.000000	0.949503  	135.000000	0.934024  	135.000000	0.000283075
140.000000	1.35747   	140.000000	0.912145  	140.000000	0.934454  	140.000000	0.9265    	140.000000	0.911871  	140.000000	0.000273929
145.000000	1.32419   	145.000000	0.891415  	145.000000	0.913428  	145.000000	0.904984  	145.000000	0.89115   	145.000000	0.000265381
150.000000	1.29295   	150.000000	0.871983  	150.000000	0.893613  	150.000000	0.884816  	150.000000	0.871725  	150.000000	0.000257373
155.000000	1.2488    	155.000000	0.853729  	155.000000	0.874898  	155.000000	0.865872  	155.000000	0.853479  	155.000000	0.000249855
160.000000	1.22299   	160.000000	0.83655   	160.000000	0.857297  	160.000000	0.848045  	160.000000	0.836307  	160.000000	0.000242784
165.000000	1.19864   	165.000000	0.820353  	165.000000	0.840772  	165.000000	0.831238  	165.000000	0.820117  	165.000000	0.000236118
170.000000	1.17563   	170.000000	0.805057  	170.000000	0.825099  	170.000000	0.815366  	170.000000	0.804827  	170.000000	0.000229825
175.000000	1.15384   	175.000000	0.790589  	175.000000	0.810238  	175.000000	0.800353  	175.000000	0.790365  	175.000000	0.000223873
180.000000	1.13319   	180.000000	0.776882  	180.000000	0.796228  	180.000000	0.786132  	180.000000	0.776664  	180.000000	0.000218235
185.000000	1.11357   	185.000000	0.763879  	185.000000	0.782932  	185.000000	0.772642  	185.000000	0.763666  	185.000000	0.000212886
190.000000	1.09493   	190.000000	0.751527  	190.000000	0.770237  	190.000000	0.759829  	190.000000	0.751319  	190.000000	0.000207804
195.000000	1.07718   	195.000000	0.739778  	195.000000	0.75815   	195.000000	0.747642  	195.000000	0.739575  	195.000000	0.00020297
200.000000	1.06026   	200.000000	0.728589  	200.000000	0.746649  	200.000000	0.736037  	200.000000	0.72839   	200.000000	0.000198365
210.000000	1.02868   	210.000000	0.707739  	210.000000	0.725209  	210.000000	0.714417  	210.000000	0.707549  	210.000000	0.000189781
220.000000	0.999814  	220.000000	0.688705  	220.000000	0.705645  	220.000000	0.694685  	220.000000	0.688523  	220.000000	0.000181939
230.000000	0.973308  	230.000000	0.671262  	230.000000	0.687613  	230.000000	0.676609  	230.000000	0.671087  	230.000000	0.000174745
