*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0930969 	0.001000	0.0194041 	0.001000	0.0175626 	0.001000	0.0175626 	0.001000	0.0179388 	0.001000	0.0014653 	
0.002000	0.110914  	0.002000	0.0259023 	0.002000	0.0233867 	0.002000	0.0233867 	0.002000	0.0245051 	0.002000	0.00139713	
0.005000	0.145664  	0.005000	0.0381474 	0.005000	0.034348  	0.005000	0.034348  	0.005000	0.037011  	0.005000	0.00113645	
0.008000	0.169492  	0.008000	0.0466864 	0.008000	0.0419921 	0.008000	0.0419921 	0.008000	0.0457282 	0.008000	0.000958135	
0.010000	0.182484  	0.010000	0.0514294 	0.010000	0.0462393 	0.010000	0.0462393 	0.010000	0.0505585 	0.010000	0.000870956	
0.015000	0.220095  	0.015000	0.0619149 	0.015000	0.0551662 	0.015000	0.0551662 	0.015000	0.0611983 	0.015000	0.00071667	
0.020000	0.250912  	0.020000	0.0692523 	0.020000	0.0625895 	0.020000	0.0625895 	0.020000	0.0686377 	0.020000	0.000614539	
0.025000	0.276399  	0.025000	0.0758597 	0.025000	0.0690625 	0.025000	0.0690625 	0.025000	0.0753185 	0.025000	0.000541156	
0.030000	0.297338  	0.030000	0.0818271 	0.030000	0.0812475 	0.030000	0.0812475 	0.030000	0.0813416 	0.030000	0.000485464	
0.035000	0.314246  	0.035000	0.0870199 	0.035000	0.0885406 	0.035000	0.0885406 	0.035000	0.0865784 	0.035000	0.000441517	
0.040000	0.327528  	0.040000	0.0914177 	0.040000	0.0930341 	0.040000	0.0930341 	0.040000	0.0910119 	0.040000	0.000405812	
0.045000	0.337549  	0.045000	0.0950739 	0.045000	0.0961815 	0.045000	0.0961815 	0.045000	0.0946977 	0.045000	0.000376137	
0.050000	0.344659  	0.050000	0.0980688 	0.050000	0.0986158 	0.050000	0.0986158 	0.050000	0.0977178 	0.050000	0.000351022	
0.055000	0.349207  	0.055000	0.100487  	0.055000	0.10058   	0.055000	0.10058   	0.055000	0.100158  	0.055000	0.000329449	
0.060000	0.351531  	0.060000	0.102407  	0.060000	0.102172  	0.060000	0.102172  	0.060000	0.102097  	0.060000	0.000310688	
0.070000	0.350807  	0.070000	0.105024  	0.070000	0.104428  	0.070000	0.104428  	0.070000	0.104745  	0.070000	0.000279578	
0.080000	0.344878  	0.080000	0.106373  	0.080000	0.105657  	0.080000	0.105657  	0.080000	0.106118  	0.080000	0.00025475	
0.090000	0.335712  	0.090000	0.106786  	0.090000	0.106073  	0.090000	0.106073  	0.090000	0.106553  	0.090000	0.000232213	
0.100000	0.324801  	0.100000	0.106513  	0.100000	0.105863  	0.100000	0.105863  	0.100000	0.106298  	0.100000	0.000215423	
0.120000	0.301576  	0.120000	0.104598  	0.120000	0.104135  	0.120000	0.104135  	0.120000	0.104409  	0.120000	0.000188794	
0.140000	0.279795  	0.140000	0.101624  	0.140000	0.101357  	0.140000	0.101357  	0.140000	0.101456  	0.140000	0.000168544	
0.160000	0.260886  	0.160000	0.098174  	0.160000	0.0980793 	0.160000	0.0980793 	0.160000	0.0980214 	0.160000	0.00015257	
0.180000	0.24491   	0.180000	0.0945838 	0.180000	0.094634  	0.180000	0.094634  	0.180000	0.0944442 	0.180000	0.000139612	
0.200000	0.231468  	0.200000	0.0910442 	0.200000	0.0912133 	0.200000	0.0912133 	0.200000	0.0909153 	0.200000	0.000128867	
0.250000	0.20594   	0.250000	0.0829595 	0.250000	0.0833362 	0.250000	0.0833362 	0.250000	0.0828509 	0.250000	0.000108542	
0.300000	0.187738  	0.300000	0.0762111 	0.300000	0.0767077 	0.300000	0.0767077 	0.300000	0.076117  	0.300000	9.41612e-05	
0.350000	0.173761  	0.350000	0.0706662 	0.350000	0.0712295 	0.350000	0.0712295 	0.350000	0.0705828 	0.350000	8.3398e-05	
0.400000	0.162427  	0.400000	0.0660786 	0.400000	0.0666763 	0.400000	0.0666763 	0.400000	0.0660036 	0.400000	7.5011e-05	
0.450000	0.152888  	0.450000	0.0622292 	0.450000	0.062841  	0.450000	0.062841  	0.450000	0.0621609 	0.450000	6.82741e-05	
0.500000	0.144655  	0.500000	0.0589491 	0.500000	0.0595623 	0.500000	0.0595623 	0.500000	0.0588863 	0.500000	6.2733e-05	
0.600000	0.130988  	0.600000	0.0536292 	0.600000	0.0542236 	0.600000	0.0542236 	0.600000	0.0535751 	0.600000	5.41323e-05	
0.700000	0.119972  	0.700000	0.0494612 	0.700000	0.050023  	0.700000	0.050023  	0.700000	0.0494134 	0.700000	4.77434e-05	
0.800000	0.110835  	0.800000	0.046074  	0.800000	0.0465985 	0.800000	0.0465985 	0.800000	0.0460312 	0.800000	4.27943e-05	
0.900000	0.103104  	0.900000	0.0432454 	0.900000	0.043732  	0.900000	0.043732  	0.900000	0.0432066 	0.900000	3.88382e-05	
1.000000	0.0964627 	1.000000	0.0408339 	1.000000	0.0412836 	1.000000	0.0412836 	1.000000	0.0407983 	1.000000	3.55975e-05	
1.250000	0.0832989 	1.250000	0.0360734 	1.250000	0.03644   	1.250000	0.03644   	1.250000	0.0360439 	1.250000	2.95677e-05	
1.500000	0.073492  	1.500000	0.0325134 	1.500000	0.032811  	1.500000	0.032811  	1.500000	0.032488  	1.500000	2.53817e-05	
