*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.550984  	4.000000	0.282034  	4.000000	0.283871  	4.000000	0.283871  	4.000000	0.281865  	4.000000	0.000169469	
4.500000	0.504929  	4.500000	0.262291  	4.500000	0.263447  	4.500000	0.263447  	4.500000	0.262138  	4.500000	0.000153196	
5.000000	0.466436  	5.000000	0.245517  	5.000000	0.246069  	5.000000	0.246069  	5.000000	0.245377  	5.000000	0.000139934	
5.500000	0.433758  	5.500000	0.231062  	5.500000	0.23111   	5.500000	0.23111   	5.500000	0.230933  	5.500000	0.000128905	
6.000000	0.405651  	6.000000	0.21846   	6.000000	0.218096  	6.000000	0.218096  	6.000000	0.218341  	6.000000	0.000119579	
6.500000	0.381206  	6.500000	0.207367  	6.500000	0.206667  	6.500000	0.206667  	6.500000	0.207256  	6.500000	0.000111584	
7.000000	0.35974   	7.000000	0.197518  	7.000000	0.196545  	7.000000	0.196545  	7.000000	0.197414  	7.000000	0.000104647	
7.500000	0.340732  	7.500000	0.188708  	7.500000	0.187512  	7.500000	0.187512  	7.500000	0.18861   	7.500000	9.85694e-05	
8.000000	0.323776  	8.000000	0.180776  	8.000000	0.179396  	8.000000	0.179396  	8.000000	0.180683  	8.000000	9.31967e-05	
8.500000	0.308551  	8.500000	0.17359   	8.500000	0.172059  	8.500000	0.172059  	8.500000	0.173502  	8.500000	8.84111e-05	
9.000000	0.294802  	9.000000	0.167048  	9.000000	0.165391  	9.000000	0.165391  	9.000000	0.166963  	9.000000	8.41196e-05	
9.500000	0.28232   	9.500000	0.161061  	9.500000	0.159299  	9.500000	0.159299  	9.500000	0.160981  	9.500000	8.02481e-05	
10.000000	0.270936  	10.000000	0.156591  	10.000000	0.15371   	10.000000	0.15371   	10.000000	0.156514  	10.000000	7.67367e-05	
11.000000	0.250918  	11.000000	0.147693  	11.000000	0.144229  	11.000000	0.144297  	11.000000	0.147622  	11.000000	7.06069e-05	
12.000000	0.233874  	12.000000	0.139726  	12.000000	0.13603   	12.000000	0.136141  	12.000000	0.13966   	12.000000	6.54311e-05	
13.000000	0.219178  	13.000000	0.132577  	13.000000	0.128859  	13.000000	0.128996  	13.000000	0.132516  	13.000000	6.09993e-05	
14.000000	0.20637   	14.000000	0.126142  	14.000000	0.122525  	14.000000	0.122678  	14.000000	0.126084  	14.000000	5.71592e-05	
15.000000	0.195101  	15.000000	0.120326  	15.000000	0.116882  	15.000000	0.117043  	15.000000	0.120272  	15.000000	5.37978e-05	
16.000000	0.185106  	16.000000	0.11505   	16.000000	0.11182   	16.000000	0.111983  	16.000000	0.114999  	16.000000	5.08294e-05	
17.000000	0.176178  	17.000000	0.110244  	17.000000	0.107252  	17.000000	0.107411  	17.000000	0.110196  	17.000000	4.81877e-05	
18.000000	0.16815   	18.000000	0.105852  	18.000000	0.103102  	18.000000	0.103256  	18.000000	0.105806  	18.000000	4.58207e-05	
19.000000	0.160893  	19.000000	0.101822  	19.000000	0.0993127 	19.000000	0.0994618 	19.000000	0.101778  	19.000000	4.3687e-05	
20.000000	0.154297  	20.000000	0.0981127 	20.000000	0.0958346 	20.000000	0.0959811 	20.000000	0.0980709 	20.000000	4.17532e-05	
21.000000	0.148275  	21.000000	0.0946874 	21.000000	0.0926241 	21.000000	0.0927667 	21.000000	0.0946474 	21.000000	3.99918e-05	
22.000000	0.142754  	22.000000	0.0915151 	22.000000	0.0896617 	22.000000	0.0897946 	22.000000	0.0914767 	22.000000	3.83805e-05	
23.000000	0.137673  	23.000000	0.0885688 	23.000000	0.0869271 	23.000000	0.0870467 	23.000000	0.0885319 	23.000000	3.69006e-05	
24.000000	0.132981  	24.000000	0.0858254 	24.000000	0.0843819 	24.000000	0.0844905 	24.000000	0.0857898 	24.000000	3.55363e-05	
25.000000	0.128633  	25.000000	0.0832644 	25.000000	0.0820054 	25.000000	0.082106  	25.000000	0.0832302 	25.000000	3.42743e-05	
27.000000	0.120827  	27.000000	0.0786219 	27.000000	0.0777024 	27.000000	0.0777853 	27.000000	0.0785899 	27.000000	3.20138e-05	
29.000000	0.114015  	29.000000	0.0745242 	29.000000	0.0739095 	29.000000	0.0739719 	29.000000	0.0744942 	29.000000	3.00466e-05	
31.000000	0.108016  	31.000000	0.0708804 	31.000000	0.0704334 	31.000000	0.0704714 	31.000000	0.070852  	31.000000	2.83183e-05	
33.000000	0.10269   	33.000000	0.0676184 	33.000000	0.0672263 	33.000000	0.0672413 	33.000000	0.0675917 	33.000000	2.6787e-05	
35.000000	0.0979275 	35.000000	0.064681  	35.000000	0.0643336 	35.000000	0.0643385 	35.000000	0.0646555 	35.000000	2.54205e-05	
38.000000	0.0916565 	38.000000	0.0607837 	38.000000	0.0605116 	38.000000	0.0604941 	38.000000	0.0607601 	38.000000	2.3625e-05	
41.000000	0.0862384 	41.000000	0.0573906 	41.000000	0.0571822 	41.000000	0.0571511 	41.000000	0.0573686 	41.000000	2.20774e-05	
44.000000	0.0815075 	44.000000	0.0544091 	44.000000	0.0542532 	44.000000	0.0542149 	44.000000	0.0543883 	44.000000	2.07288e-05	
47.000000	0.0773385 	47.000000	0.0517676 	47.000000	0.0516594 	47.000000	0.0516137 	47.000000	0.0517481 	47.000000	1.95428e-05	
50.000000	0.0736352 	50.000000	0.0494107 	50.000000	0.0493422 	50.000000	0.0492919 	50.000000	0.0493922 	50.000000	1.84911e-05	
55.000000	0.0683003 	55.000000	0.0459991 	55.000000	0.0459951 	55.000000	0.0459283 	55.000000	0.0459821 	55.000000	1.69793e-05	
60.000000	0.0637954 	60.000000	0.0431043 	60.000000	0.0431411 	60.000000	0.0430704 	60.000000	0.0430886 	60.000000	1.5706e-05	
65.000000	0.0599374 	65.000000	0.040616  	65.000000	0.0406788 	65.000000	0.04061   	65.000000	0.0406014 	65.000000	1.46181e-05	
70.000000	0.0565938 	70.000000	0.0384535 	70.000000	0.0385413 	70.000000	0.038468  	70.000000	0.0384398 	70.000000	1.36774e-05	
75.000000	0.0536661 	75.000000	0.036556  	75.000000	0.0366616 	75.000000	0.0365853 	75.000000	0.0365432 	75.000000	1.28554e-05	
80.000000	0.0510798 	80.000000	0.0348772 	80.000000	0.0349955 	80.000000	0.0349168 	80.000000	0.0348651 	80.000000	1.21307e-05	
85.000000	0.0487773 	85.000000	0.033381  	85.000000	0.0335079 	85.000000	0.0334274 	85.000000	0.0333695 	85.000000	1.14868e-05	
90.000000	0.0467132 	90.000000	0.0320388 	90.000000	0.0321658 	90.000000	0.0320892 	90.000000	0.0320279 	90.000000	1.09107e-05	
95.000000	0.0448516 	95.000000	0.0308278 	95.000000	0.0309583 	95.000000	0.03088   	95.000000	0.0308174 	95.000000	1.0392e-05	
100.000000	0.0431634 	100.000000	0.0297295 	100.000000	0.0298614 	100.000000	0.0297818 	100.000000	0.0297196 	100.000000	9.9225e-06	
