* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    2              4         2         4        3.04841        10.3259       -0.45135     0.00581541    0.000267147   -5.14749e-06   -2.88305e-07    6.76331e-09
    2              5         2         6        2.46185        12.6699      -0.462282     0.00488018    0.000179987   -2.50503e-06   -1.14976e-07    2.04849e-09
    2              6         3         6        1.85309        22.0295      -0.571898     0.00518545    6.60827e-05   -7.90699e-07   -1.66574e-08    1.94088e-10
    2              7         3         7        0.92872        24.5926       -0.74654      0.0140796   -0.000108889   -9.13043e-07    2.26687e-08   -1.15652e-10
    2              8         3         8        5.48238        24.3933      -0.550861     0.00446722    5.29516e-05   -5.66375e-07   -1.11472e-08      1.173e-10
    2              9         3         9       -2.83456        29.4766       -0.92077       0.018123   -0.000139629   -1.05331e-06    2.38283e-08   -1.05514e-10
    2             10         4         7        2.88488        34.0087      -0.708403     0.00828919   -2.68287e-05   -3.67768e-07    3.19372e-09    -5.3791e-12
    2             11         4         9       -2.10921        38.3878       -0.70912     0.00698902   -1.44693e-05   -2.71287e-07    1.67211e-09   -1.47671e-12
    2             12         4        10        5.63445        38.0706      -0.565943     0.00312953    1.81689e-05   -1.42237e-07    -1.5867e-09    1.11207e-11
    2             13         5        10       -5.33795        52.3015      -0.795747      0.0084027   -4.27358e-05   -1.74932e-07    3.42142e-09   -1.22873e-11
    2             14         5        11      0.0869576        53.4081      -0.702933     0.00518612   -7.20802e-06   -1.44302e-07     6.3237e-10    5.73394e-14
    2             15         5        12       -2.88358        55.7264      -0.677001     0.00324706    2.24401e-05   -1.61413e-07   -1.93211e-09    1.36459e-11
    2             16         5        13       -6.84351         58.941      -0.790839     0.00632538   -1.01958e-05   -2.17596e-07    1.24409e-09   -9.96503e-13
    2             17         6        12        1.54236        67.7633      -0.664565      0.0024242    2.16327e-05   -1.23177e-07   -1.62177e-09    1.07536e-11
    2             18         6        13        2.48246        69.4069      -0.637187      0.0020902    1.96642e-05   -1.05308e-07   -1.42581e-09    9.48993e-12
    2             19         6        14        1.32186        72.2801      -0.662256     0.00214433    2.00862e-05   -8.99909e-08   -1.39523e-09    8.14904e-12
    2             20         7        15        4.68464        86.5762      -0.591982     0.00102109    1.39158e-05   -3.01195e-08   -6.94564e-10    3.38465e-12
    3              0         1         1        0.65002        1.35209       -0.06648     -0.0282934   -0.000196741    0.000527717    6.13537e-05   -1.06183e-05
    3              1         1         2       0.888348        2.11574      -0.124372     -0.0238272    0.000541903    0.000327006     2.3073e-05   -4.04684e-06
    3              2         1         3        1.27356        2.43233     -0.0871612     -0.0229675     0.00015331    0.000221783    1.50598e-05   -2.10145e-06
    3              3         2         3       0.971176        8.18526      -0.519027      0.0101431    0.000592899   -1.48736e-05   -1.23121e-06    3.94012e-08
    3              4         2         4       0.646753        9.47545      -0.563562      0.0117823    0.000456335   -1.27241e-05   -7.69162e-07    2.32694e-08
    3              5         2         6       0.335334        11.5347      -0.620464      0.0143785    0.000276213   -1.04989e-05   -4.00147e-07    1.20365e-08
    3              6         3         6      -0.853439        19.7285       -0.82911      0.0247093   -0.000343508   -3.14647e-06    1.60821e-07   -1.40902e-09
    3              7         3         7        1.34224        19.4825      -0.557177     0.00578049    8.58171e-05   -1.12898e-06   -3.27151e-08    4.50918e-10
    3              8         3         8        1.84319        20.5212      -0.553291     0.00560814    7.61374e-05   -1.05018e-06   -2.75538e-08    3.84039e-10
    3              9         3         9        1.03161        22.4579      -0.638206     0.00702545     0.00010006   -1.52172e-06   -3.89047e-08    5.71477e-10
    3             10         4         7       -1.21537        28.9406      -0.664964     0.00538604    7.52507e-05   -7.49272e-07   -1.90531e-08    2.08759e-10
    3             11         4         9       0.452521        30.8996      -0.604468     0.00433213    6.03376e-05   -6.06841e-07   -1.48953e-08    1.72431e-10
    3             12         4        10       0.694204        32.1947      -0.578294     0.00345632    5.34722e-05   -4.24605e-07   -1.16911e-08    1.28082e-10
    3             13         5        11        1.91151        42.6012      -0.402589    -0.00953561    0.000305239   -4.15323e-07   -6.59044e-08    5.77894e-10
