# Fitting the markers with func = [0]/x + pol6
# TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    2             12         4        10        2399.79        163.556     -0.0724487    2.74511e-05   -5.36843e-09   -3.35206e-13    3.28219e-16   -3.83371e-20
    2             14         5        11        3001.58        219.594     -0.0797798    2.43127e-05   -3.33587e-09   -4.22222e-13    1.81532e-16   -1.41391e-20
    2             15         5        12        2868.35        229.617     -0.0845085    2.67686e-05   -3.93802e-09   -3.96807e-13    1.93329e-16   -1.52837e-20
    2             16         6        12        5771.15         272.32     -0.0790301    2.22829e-05   -3.31883e-09   -8.11894e-13    4.39474e-16   -5.08007e-20
    2             17         6        13        4543.56        288.974     -0.0903884    2.52921e-05   -2.62621e-09   -9.00048e-13    2.97671e-16   -2.35452e-20
    2             18         6        14        18255.5        255.923     -0.0430846    1.15187e-06    1.60188e-09   -1.36083e-13   -8.91873e-17    1.65295e-20
    2             19         7        15        76546.1        214.658      0.0211021   -1.05094e-05   -2.38165e-09    5.71857e-13    2.77394e-16   -5.84346e-20
    3              0         1         1        1747.57        -3.7508      0.0193325   -1.71491e-05   -1.80921e-08    1.61053e-11    2.58936e-14   -2.13993e-17
    3              1         1         2       -100.325        24.2402     -0.0683366    8.99426e-05   -4.22699e-08   -1.31119e-11     1.8237e-14   -4.42387e-18
    3              2         1         3       -92.6721        26.5898     -0.0574119    5.74476e-05   -2.12127e-08   -3.58324e-12    4.38212e-15   -8.03007e-19
    3              3         2         3        573.022        46.3019     -0.0462355    2.78746e-05   -7.06314e-09    -1.0377e-12    9.03849e-16   -1.29079e-19
    3              4         2         4        1069.89        48.3863     -0.0388529    1.88513e-05   -3.96972e-09   -4.16065e-13    3.27547e-16   -3.94673e-20
    3              5         2         6        1007.03        59.4107     -0.0437958    2.02398e-05   -4.06588e-09   -3.23256e-13    2.53576e-16   -2.72711e-20
    3              6         3         6        1470.37        94.7002     -0.0549876    2.23761e-05   -3.94008e-09   -5.10011e-13     2.9433e-16   -3.01703e-20
    3              7         3         7        1504.65        100.693      -0.056162    2.28917e-05   -4.26889e-09   -3.96418e-13    2.75034e-16   -2.88991e-20
    3              8         3         8        1809.18        105.448     -0.0528052    1.85124e-05   -2.75778e-09   -4.53644e-13    2.21059e-16   -2.20277e-20
    3              9         3         9        2028.55        111.382     -0.0566161     2.0782e-05   -3.26162e-09    -4.1698e-13    2.03415e-16   -1.77739e-20
    3             10         4         7        1534.86        143.876     -0.0737277    3.20742e-05   -6.97442e-09   -6.28511e-13    5.69941e-16   -7.06349e-20
    3             11         4         9        2084.01        156.549     -0.0668274    2.09177e-05   -2.54006e-09   -4.59833e-13    1.59767e-16    -1.1678e-20
    3             12         4        10        2077.29        166.776     -0.0765621    2.97978e-05   -5.60954e-09   -5.63118e-13    4.00306e-16   -4.41388e-20
    3             13         5        11         3389.5        218.119     -0.0756552     2.2027e-05   -3.02189e-09   -5.27205e-13    2.66596e-16   -2.86363e-20
    3             14         5        12        3232.66        231.071     -0.0897148    3.34263e-05   -6.33907e-09   -7.91332e-13    5.58761e-16   -6.59428e-20
