* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    0             32        10        20        1.48996        325.594      -0.731584      0.0009617    4.12191e-07   -5.74987e-09    6.52131e-12    1.34518e-14
    0             33        10        21      0.0146611        332.627      -0.762018     0.00120526   -1.65448e-07   -6.83275e-09    1.17291e-11    9.56421e-15
    0             34        10        22        22.5775        336.239      -0.719339    0.000939903   -2.49852e-08   -5.04466e-09    1.26686e-11   -1.47701e-15
