* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   22             15         6        13        1.10857        69.5321      -0.671964     0.00270948    1.65253e-05   -1.12674e-07   -1.26519e-09    8.84044e-12
   22             16         6        14       0.560327        71.6399      -0.660341      0.0022615    1.76207e-05   -8.38909e-08   -1.16292e-09    6.87221e-12
   22             17         7        15         3.8192        86.3444      -0.574012    0.000406951    1.54862e-05    1.45943e-08     -5.344e-10    1.56707e-13
   23              0         1         1       0.653152        1.99736      -0.323066      0.0244044     0.00272765   -0.000250399   -4.22484e-05    3.66398e-06
   23              1         1         2       0.672671        2.26473     -0.0864285     -0.0100934     0.00022886    6.77016e-05    2.97319e-06    -4.2976e-07
   23              2         1         3       0.747307        2.83014      -0.101298    -0.00810277    0.000164764    3.51405e-05    1.22122e-06   -1.46494e-07
   23              3         2         3       0.296588        11.2773      -0.700005      0.0143144     0.00079077   -2.27089e-05   -1.78956e-06    6.01406e-08
   23              4         2         4       0.661625        11.7786       -0.53148     0.00788607    0.000190794   -3.79075e-06   -1.61011e-07    3.36455e-09
   23              5         2         6     -0.0755442        14.4687      -0.583859      0.0088097    0.000157356   -3.60262e-06   -1.14366e-07    2.35422e-09
   23              6         3         6        1.21884        23.4077      -0.599601     0.00568625    5.43515e-05   -7.24843e-07   -1.37208e-08     1.6057e-10
   23              7         3         7        1.43112        24.8835      -0.603805     0.00565766    4.41612e-05   -6.12979e-07   -1.03018e-08    1.16247e-10
   23              8         3         8        3.72256        25.2882      -0.531428     0.00399898     4.0342e-05   -4.15546e-07   -7.77071e-09    8.03298e-11
   23              9         3         9        3.29049        26.6661      -0.544481     0.00415482     3.6237e-05    -3.9381e-07   -6.55498e-09    6.70991e-11
   23             10         4         7       -2.84309        37.8623      -0.907033      0.0139294   -8.94559e-05   -4.45189e-07    9.13668e-09   -3.41572e-11
   23             11         4         9     -0.0701736        39.6853      -0.717013     0.00764198    -3.0443e-05   -1.89506e-07    2.24887e-09   -5.67674e-12
   23             12         4        10       0.968122        41.5901      -0.727015     0.00738562    -2.3756e-05    -1.9902e-07    1.55432e-09   -1.79205e-12
   23             13         5        10       -1.80853        54.5248      -0.803863     0.00785522   -3.23436e-05   -1.97566e-07    2.68905e-09   -7.97987e-12
