*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0963168 	0.001000	0.0963168 	0.001000	0.0590612 	0.001000	0.0590612 	0.001000	0         	0.001000	0         	0.001000	0.000158604	0.001000	0.00025222	0.001000	0.000119459
0.002000	0.197004  	0.002000	0.192634  	0.002000	0.118122  	0.002000	0.118122  	0.002000	0.00824432	0.002000	0.00824432	0.002000	0.000464463	0.002000	0.000713541	0.002000	0.000363507
0.005000	0.436375  	0.005000	0.421613  	0.005000	0.266042  	0.005000	0.266042  	0.005000	0.00970014	0.005000	0.00970014	0.005000	0.00157154	0.005000	0.00233703	0.005000	0.00126956
0.008000	0.624258  	0.008000	0.601341  	0.008000	0.391455  	0.008000	0.391455  	0.008000	0.00975833	0.008000	0.00975833	0.008000	0.00279374	0.008000	0.00408637	0.008000	0.00229019
0.010000	0.732522  	0.010000	0.704905  	0.010000	0.467529  	0.010000	0.467529  	0.010000	0.0099614 	0.010000	0.0099614 	0.010000	0.0036446 	0.010000	0.0052903 	0.010000	0.00300704
0.015000	0.964937  	0.015000	0.927232  	0.015000	0.639961  	0.015000	0.639961  	0.015000	0.0110033 	0.015000	0.0110033 	0.015000	0.00584967	0.015000	0.00837841	0.015000	0.00487893
0.020000	1.15279   	0.020000	1.10693   	0.020000	0.788297  	0.020000	0.788297  	0.020000	0.0122416 	0.020000	0.0122416 	0.020000	0.00801022	0.020000	0.0113837 	0.020000	0.00672188
0.025000	1.30893   	0.025000	1.25629   	0.025000	0.917178  	0.025000	0.917178  	0.025000	0.0133569 	0.025000	0.0133569 	0.025000	0.0100624 	0.025000	0.0142288 	0.025000	0.00847655
0.030000	1.44358   	0.030000	1.3851    	0.030000	1.03236   	0.030000	1.03236   	0.030000	0.0143282 	0.030000	0.0143282 	0.030000	0.0120318 	0.030000	0.0169507 	0.030000	0.010164
0.035000	1.56317   	0.035000	1.4995    	0.035000	1.1378    	0.035000	1.1378    	0.035000	0.0151854 	0.035000	0.0151854 	0.035000	0.0139491 	0.035000	0.0195926 	0.035000	0.0118106
0.040000	1.67171   	0.040000	1.60333   	0.040000	1.2357    	0.040000	1.2357    	0.040000	0.015948  	0.040000	0.015948  	0.040000	0.0158308 	0.040000	0.0221785 	0.040000	0.0134295
0.045000	1.77188   	0.045000	1.69914   	0.045000	1.32762   	0.045000	1.32762   	0.045000	0.0166347 	0.045000	0.0166347 	0.045000	0.0176904 	0.045000	0.0247276 	0.045000	0.0150322
0.050000	1.86557   	0.050000	1.78877   	0.050000	1.41475   	0.050000	1.41475   	0.050000	0.0172612 	0.050000	0.0172233 	0.050000	0.0194437 	0.050000	0.0271268 	0.050000	0.0165452
0.055000	1.95421   	0.055000	1.87357   	0.055000	1.49798   	0.055000	1.49798   	0.055000	0.0178398 	0.055000	0.0177384 	0.055000	0.0209679 	0.055000	0.0291185 	0.055000	0.0178612
0.060000	2.03887   	0.060000	1.95455   	0.060000	1.57802   	0.060000	1.57802   	0.060000	0.0183804 	0.060000	0.0182133 	0.060000	0.0223293 	0.060000	0.0308406 	0.060000	0.0190373
0.070000	2.19932   	0.070000	2.10804   	0.070000	1.73068   	0.070000	1.73068   	0.070000	0.019377  	0.070000	0.0190763 	0.070000	0.0247318 	0.070000	0.0338225 	0.070000	0.0211144
