*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.13534   	0.001000	0.13534   	0.001000	0.147685  	0.001000	0.147685  	0.001000	0         	0.001000	0         	0.001000	0.000913885	0.001000	0.00135039	0.001000	0.000816939
0.002000	0.272754  	0.002000	0.270679  	0.002000	0.29537   	0.002000	0.29537   	0.002000	0.0357046 	0.002000	0.0357046 	0.002000	0.00267738	0.002000	0.00382328	0.002000	0.00244885
0.005000	0.516524  	0.005000	0.510768  	0.005000	0.559895  	0.005000	0.559895  	0.005000	0.0386862 	0.005000	0.0386862 	0.005000	0.00670769	0.005000	0.00946934	0.005000	0.00618077
0.008000	0.677567  	0.008000	0.669379  	0.008000	0.735577  	0.008000	0.735577  	0.008000	0.0387259 	0.008000	0.0387259 	0.008000	0.00983892	0.008000	0.0137969 	0.008000	0.00910401
0.010000	0.765132  	0.010000	0.755622  	0.010000	0.83127   	0.010000	0.83127   	0.010000	0.0388382 	0.010000	0.0388382 	0.010000	0.0117454 	0.010000	0.0163442 	0.010000	0.0108897
0.015000	0.944905  	0.015000	0.93268   	0.015000	1.02986   	0.015000	1.02986   	0.015000	0.0393027 	0.015000	0.0393027 	0.015000	0.0162861 	0.015000	0.021845  	0.015000	0.0151552
0.020000	1.09425   	0.020000	1.07977   	0.020000	1.19356   	0.020000	1.19356   	0.020000	0.0398435 	0.020000	0.0398435 	0.020000	0.0206852 	0.020000	0.0265205 	0.020000	0.0192997
0.025000	1.22532   	0.025000	1.20886   	0.025000	1.33573   	0.025000	1.33573   	0.025000	0.0403724 	0.025000	0.0403724 	0.025000	0.0250782 	0.025000	0.0307832 	0.025000	0.0234476
0.030000	1.34313   	0.030000	1.32489   	0.030000	1.45699   	0.030000	1.45699   	0.030000	0.0408007 	0.030000	0.0408007 	0.030000	0.0293647 	0.030000	0.0346789 	0.030000	0.0274962
0.035000	1.45097   	0.035000	1.43111   	0.035000	1.56234   	0.035000	1.56234   	0.035000	0.0411415 	0.035000	0.0411415 	0.035000	0.0331113 	0.035000	0.0382733 	0.035000	0.0314636
0.040000	1.55121   	0.040000	1.52983   	0.040000	1.65926   	0.040000	1.65926   	0.040000	0.0414503 	0.040000	0.0414503 	0.040000	0.0366882 	0.040000	0.0417293 	0.040000	0.0354806
0.045000	1.64552   	0.045000	1.62271   	0.045000	1.75079   	0.045000	1.75079   	0.045000	0.0417442 	0.045000	0.0417442 	0.045000	0.0402135 	0.045000	0.0451312 	0.045000	0.0389998
0.050000	1.73514   	0.050000	1.71098   	0.050000	1.83831   	0.050000	1.83831   	0.050000	0.0420286 	0.050000	0.0420825 	0.050000	0.0436728 	0.050000	0.0484758 	0.050000	0.0424912
0.055000	1.82097   	0.055000	1.79552   	0.055000	1.92259   	0.055000	1.92259   	0.055000	0.0423053 	0.055000	0.0424337 	0.055000	0.0471079 	0.055000	0.0518038 	0.055000	0.0459708
0.060000	1.90372   	0.060000	1.87701   	0.060000	2.00415   	0.060000	2.00415   	0.060000	0.0425754 	0.060000	0.0427678 	0.060000	0.0505282 	0.060000	0.0551135 	0.060000	0.0494256
