*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.450000	10.5268   	0.450000	10.3112   	0.450000	10.0463   	0.450000	10.0463   	0.450000	0.139249  	0.450000	0.1442    	0.450000	0.107532  	0.450000	0.12579   	0.450000	0.0953956
0.500000	12.1268   	0.500000	11.8781   	0.500000	11.6228   	0.500000	11.6228   	0.500000	0.163735  	0.500000	0.166144  	0.500000	0.12002   	0.500000	0.139479  	0.500000	0.106922
0.600000	15.6025   	0.600000	15.2821   	0.600000	15.0483   	0.600000	15.0483   	0.600000	0.217208  	0.600000	0.21273   	0.600000	0.146184  	0.600000	0.168095  	0.600000	0.131191
0.700000	19.4322   	0.700000	19.0326   	0.700000	18.8196   	0.700000	18.8196   	0.700000	0.27632   	0.700000	0.262607  	0.700000	0.174064  	0.700000	0.19842   	0.700000	0.157171
0.800000	23.6023   	0.800000	23.1166   	0.800000	22.9205   	0.800000	22.9205   	0.800000	0.340792  	0.800000	0.315557  	0.800000	0.203687  	0.800000	0.230444  	0.800000	0.184869
0.900000	28.102    	0.900000	27.5233   	0.900000	27.3388   	0.900000	27.3388   	0.900000	0.410441  	0.900000	0.371453  	0.900000	0.234961  	0.900000	0.26408   	0.900000	0.214195
1.000000	32.9222   	1.000000	32.244    	1.000000	32.065    	1.000000	32.065    	1.000000	0.485135  	1.000000	0.430203  	1.000000	0.267982  	1.000000	0.299357  	1.000000	0.24522
1.250000	46.3266   	1.250000	45.3716   	1.250000	45.1774   	1.250000	45.1774   	1.250000	0.693305  	1.250000	0.590902  	1.250000	0.357802  	1.250000	0.3944    	1.250000	0.329857
1.500000	61.5892   	1.500000	60.319    	1.500000	60.0694   	1.500000	60.0694   	1.500000	0.93115   	1.500000	0.778676  	1.500000	0.457269  	1.500000	0.499027  	1.500000	0.424545
1.750000	78.6336   	1.750000	77.0113   	1.750000	76.6691   	1.750000	76.6691   	1.750000	1.19773   	1.750000	0.989044  	1.750000	0.566743  	1.750000	0.612882  	1.750000	0.529024
2.000000	97.3979   	2.000000	95.3881   	2.000000	94.9198   	2.000000	94.9198   	2.000000	1.49225   	2.000000	1.21835   	2.000000	0.686205  	2.000000	0.735617  	2.000000	0.643025
2.250000	117.83    	2.250000	115.399   	2.250000	114.774   	2.250000	114.774   	2.250000	1.81406   	2.250000	1.46459   	2.250000	0.815403  	2.250000	0.866949  	2.250000	0.76633
2.500000	139.887   	2.500000	137       	2.500000	136.193   	2.500000	136.193   	2.500000	2.16258   	2.500000	1.72651   	2.500000	0.954106  	2.500000	1.00662   	2.500000	0.897026
3.000000	187.773   	3.000000	184.827   	3.000000	183.588   	3.000000	183.588   	3.000000	2.93771   	3.000000	2.29426   	3.000000	1.25636   	3.000000	1.31004   	3.000000	1.18312
3.500000	241.564   	3.500000	238.617   	3.500000	236.872   	3.500000	236.872   	3.500000	3.81411   	3.500000	2.91696   	3.500000	1.59429   	3.500000	1.64433   	3.500000	1.50511
4.000000	301.111   	4.000000	298.167   	4.000000	295.858   	4.000000	295.858   	4.000000	4.78888   	4.000000	3.59152   	4.000000	1.96772   	4.000000	2.00761   	4.000000	1.86117
4.500000	366.286   	4.500000	363.306   	4.500000	360.389   	4.500000	360.389   	4.500000	5.85956   	4.500000	4.31568   	4.500000	2.37529   	4.500000	2.39744   	4.500000	2.25001
5.000000	436.981   	5.000000	433.89    	5.000000	430.332   	5.000000	430.332   	5.000000	7.02401   	5.000000	5.0876    	5.000000	2.81591   	5.000000	2.81531   	5.000000	2.67061
