*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	0.400326  	4.500000	0.358833  	4.500000	0.363131  	4.500000	0.363131  	4.500000	0.358621  	4.500000	0.000212206
5.000000	0.37045   	5.000000	0.334378  	5.000000	0.338278  	5.000000	0.338278  	5.000000	0.334185  	5.000000	0.000193365
5.500000	0.344988  	5.500000	0.313393  	5.500000	0.316866  	5.500000	0.316866  	5.500000	0.313215  	5.500000	0.000177744
6.000000	0.323018  	6.000000	0.295155  	6.000000	0.298224  	6.000000	0.298224  	6.000000	0.294991  	6.000000	0.000164569
6.500000	0.303857  	6.500000	0.279139  	6.500000	0.281843  	6.500000	0.281843  	6.500000	0.278985  	6.500000	0.000153301
7.000000	0.286993  	7.000000	0.264947  	7.000000	0.267329  	7.000000	0.267329  	7.000000	0.264804  	7.000000	0.000143546
7.500000	0.272029  	7.500000	0.252277  	7.500000	0.254375  	7.500000	0.254375  	7.500000	0.252142  	7.500000	0.000135016
8.000000	0.258658  	8.000000	0.24089   	8.000000	0.242738  	8.000000	0.242738  	8.000000	0.240762  	8.000000	0.000127488
8.500000	0.246634  	8.500000	0.230594  	8.500000	0.232223  	8.500000	0.232223  	8.500000	0.230473  	8.500000	0.000120794
9.000000	0.23576   	9.000000	0.221236  	9.000000	0.222671  	9.000000	0.222671  	9.000000	0.221121  	9.000000	0.000114801
9.500000	0.225877  	9.500000	0.212689  	9.500000	0.213952  	9.500000	0.213952  	9.500000	0.21258   	9.500000	0.000109401
10.000000	0.216852  	10.000000	0.205773  	10.000000	0.20596   	10.000000	0.20596   	10.000000	0.205669  	10.000000	0.000104511
11.000000	0.200963  	11.000000	0.191712  	11.000000	0.191497  	11.000000	0.191601  	11.000000	0.191616  	11.000000	9.59882e-05
12.000000	0.187412  	12.000000	0.179542  	12.000000	0.179055  	12.000000	0.179227  	12.000000	0.179453  	12.000000	8.88081e-05
13.000000	0.175713  	13.000000	0.168909  	13.000000	0.168227  	13.000000	0.168442  	13.000000	0.168827  	13.000000	8.2672e-05
14.000000	0.165505  	14.000000	0.159542  	14.000000	0.158709  	14.000000	0.158951  	14.000000	0.159465  	14.000000	7.73647e-05
