*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.450000	7.38377   	0.450000	6.57585   	0.450000	7.0809    	0.450000	7.0809    	0.450000	0.0514937 	0.450000	0.0421658 	0.450000	0.156656  	0.450000	0.164861  	0.450000	0.15582
0.500000	8.05499   	0.500000	7.17286   	0.500000	7.7016    	0.500000	7.7016    	0.500000	0.0543892 	0.500000	0.0441066 	0.500000	0.166541  	0.500000	0.175135  	0.500000	0.165713
0.600000	9.38303   	0.600000	8.35405   	0.600000	8.95636   	0.600000	8.95636   	0.600000	0.0602838 	0.600000	0.0481056 	0.600000	0.185159  	0.600000	0.194465  	0.600000	0.184347
0.700000	10.7048   	0.700000	9.52966   	0.700000	10.2376   	0.700000	10.2376   	0.700000	0.0663907 	0.700000	0.052293  	0.700000	0.202674  	0.700000	0.212629  	0.700000	0.20188
0.800000	12.0542   	0.800000	10.7299   	0.800000	11.5498   	0.800000	11.5498   	0.800000	0.0727303 	0.800000	0.0566666 	0.800000	0.219385  	0.800000	0.229969  	0.800000	0.218614
0.900000	13.443    	0.900000	11.9651   	0.900000	12.8947   	0.900000	12.8947   	0.900000	0.0793014 	0.900000	0.0612138 	0.900000	0.235325  	0.900000	0.246491  	0.900000	0.23458
1.000000	14.8739   	1.000000	13.2378   	1.000000	14.2736   	1.000000	14.2736   	1.000000	0.0861046 	1.000000	0.0659255 	1.000000	0.250767  	1.000000	0.262507  	1.000000	0.25005
1.250000	18.6512   	1.250000	16.5974   	1.250000	17.8785   	1.250000	17.8785   	1.250000	0.104176  	1.250000	0.0784121 	1.250000	0.286345  	1.250000	0.29952   	1.250000	0.285715
1.500000	22.7231   	1.500000	20.2192   	1.500000	21.7304   	1.500000	21.7304   	1.500000	0.123982  	1.500000	0.0919961 	1.500000	0.318326  	1.500000	0.332976  	1.500000	0.317805
1.750000	27.1277   	1.750000	24.1367   	1.750000	25.8281   	1.750000	25.8281   	1.750000	0.145423  	1.750000	0.106558  	1.750000	0.348793  	1.750000	0.364923  	1.750000	0.34841
2.000000	31.8578   	2.000000	28.3438   	2.000000	30.1695   	2.000000	30.1695   	2.000000	0.168428  	2.000000	0.122023  	2.000000	0.378608  	2.000000	0.396195  	2.000000	0.378396
2.250000	36.8978   	2.250000	32.8265   	2.250000	34.7538   	2.250000	34.7538   	2.250000	0.192976  	2.250000	0.138357  	2.250000	0.408184  	2.250000	0.427201  	2.250000	0.408175
2.500000	42.2315   	2.500000	37.5752   	2.500000	39.5808   	2.500000	39.5808   	2.500000	0.219062  	2.500000	0.155534  	2.500000	0.437779  	2.500000	0.458187  	2.500000	0.438007
