* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    0              0         1         1         1317.5        2.79889    -0.00184698    4.86058e-07    9.61345e-11   -3.25691e-14   -1.19248e-17    3.28346e-21
    0              1         1         2        534.902        17.5215     -0.0362908    3.39411e-05   -1.18504e-08    -8.8135e-13    1.39349e-15    -2.1849e-19
    0              2         1         3       -112.135        25.2409     -0.0430327    3.23898e-05   -9.11859e-09   -5.73187e-13    7.18409e-16   -9.18774e-20
    1              0         1         1         866.13        3.98324    -0.00354477    1.39475e-06    2.32398e-10   -1.45393e-13   -5.15489e-17    1.91404e-20
    1              1         1         2        412.404         16.265     -0.0351123    3.55029e-05   -1.36479e-08     -8.111e-13    1.73316e-15   -2.96674e-19
    1              2         1         3        233.572        21.1108     -0.0369125    2.92773e-05   -8.84673e-09   -3.41032e-13     6.5465e-16   -8.78078e-20
    2              0         1         1        1034.88        3.08636    -0.00208047    6.08906e-07    1.48972e-10   -6.77019e-14   -2.80701e-17    1.02666e-20
    2              1         1         2          412.6        16.8149     -0.0367813    3.67898e-05   -1.39038e-08   -7.29653e-13    1.62681e-15   -2.69686e-19
    2              2         1         3        389.507        20.3738     -0.0353012    2.76221e-05   -8.26377e-09   -2.59932e-13    5.66375e-16   -7.45292e-20
    3              0         1         1        1255.24         1.2391     0.00336749   -6.14786e-06    3.33197e-09    -1.9462e-14   -4.34959e-16    8.63125e-20
    3              1         1         2         727.42        14.1079     -0.0286929    2.72749e-05   -9.78745e-09   -4.53198e-13    1.00332e-15   -1.56692e-19
    3              2         1         3        240.209         21.712     -0.0379057    2.95176e-05   -8.70008e-09   -3.19827e-13    6.03563e-16   -7.85273e-20
    4              0         1         1        988.859        3.74521    -0.00305503    1.04593e-06    1.45679e-10   -8.17489e-14   -2.58029e-17    8.30931e-21
    4              1         1         2         558.53        15.2097     -0.0303202     2.8353e-05   -1.01697e-08   -4.26567e-13    1.03527e-15   -1.64088e-19
    4              2         1         3        198.443        22.2359     -0.0397507    3.25379e-05     -1.008e-08   -6.53232e-13    9.48706e-16   -1.34988e-19
    5              0         1         1        765.954        5.48807    -0.00708983    5.27219e-06   -1.54558e-09   -1.11676e-13    1.48687e-16   -2.13589e-20
    5              1         1         2        289.206        16.4355     -0.0290914    2.37249e-05   -7.45164e-09   -1.36779e-13    5.00308e-16   -6.84382e-20
    5              2         1         3        149.973        22.5069     -0.0384906    3.04131e-05   -9.18136e-09   -4.14752e-13    7.19177e-16   -9.75271e-20
    6              0         1         1        908.735          4.576    -0.00518872    2.42449e-06    4.77083e-10   -3.42904e-13   -1.53756e-16    6.71416e-20
    6              1         1         2        433.663        17.5294     -0.0394195    4.08971e-05   -1.61273e-08   -9.76886e-13    2.14946e-15   -3.76444e-19
   20             17         6        12       -2508.83        164.857     -0.0427693    2.06802e-06    1.97981e-09   -1.15044e-13   -1.26541e-16    1.96935e-20
  
* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   23             17         6        12       -1198.21        167.558     -0.0528849     6.1643e-06    1.82399e-09   -2.83435e-13   -1.15414e-16    2.18976e-20
   23             18         6        13       -1848.53        175.928     -0.0560537    6.14287e-06    2.25777e-09   -3.03526e-13   -1.49678e-16    2.68676e-20
   23             19         6        14         1801.1        162.398      -0.024502   -1.62826e-05    7.74118e-09    3.06549e-13    -6.1895e-16    8.11945e-20
* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   27              0         1         1        279.836        2.65975    -0.00588073    5.69036e-06   -2.05771e-09   -1.52478e-13    2.63919e-16   -4.42641e-20
