* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    2              7         3         7        1255.49        102.636     -0.0590341      2.456e-05    -4.6693e-09   -3.82516e-13    2.86903e-16   -3.05946e-20
    2              8         3         8        1226.85        110.021     -0.0645165     2.8444e-05   -5.69641e-09   -5.36312e-13    3.99387e-16   -4.41421e-20
    2              9         3         9        1340.31        115.716     -0.0675126    3.14538e-05   -7.13015e-09   -4.80572e-13    5.12961e-16   -6.32889e-20
    2             10         4         7        2015.69        141.491      -0.068933    2.77683e-05   -5.67286e-09   -4.42853e-13    4.06124e-16   -4.87698e-20
    2             11         4         9        1887.86        158.741     -0.0750437    2.99572e-05   -6.00697e-09   -3.49034e-13    3.47558e-16    -3.9411e-20
    2             12         4        10        2399.79        163.556     -0.0724487    2.74511e-05   -5.36843e-09   -3.35206e-13    3.28219e-16   -3.83371e-20
    2             13         5        10        1686.01        219.756      -0.097366    3.94493e-05   -7.80968e-09   -8.08778e-13    6.00854e-16   -6.84796e-20
    2             14         5        11        3001.58        219.594     -0.0797798    2.43127e-05   -3.33587e-09   -4.22222e-13    1.81532e-16   -1.41391e-20
    2             15         5        12        2868.35        229.617     -0.0845085    2.67686e-05   -3.93802e-09   -3.96807e-13    1.93329e-16   -1.52837e-20
    2             16         6        12        5771.15         272.32     -0.0790301    2.22829e-05   -3.31883e-09   -8.11894e-13    4.39474e-16   -5.08007e-20
    2             17         6        13        4543.56        288.974     -0.0903884    2.52921e-05   -2.62621e-09   -9.00048e-13    2.97671e-16   -2.35452e-20
    2             18         6        14         1344.3        310.032      -0.101794    2.68813e-05   -1.79675e-09   -9.86729e-13    2.40007e-16   -1.55384e-20
 *  2             19         7        15        76546.1        214.658      0.0211021   -1.05094e-05   -2.38165e-09    5.71857e-13    2.77394e-16   -5.84346e-20
    3              0         1         1        1747.57        -3.7508      0.0193325   -1.71491e-05   -1.80921e-08    1.61053e-11    2.58936e-14   -2.13993e-17
    3              1         1         2       -100.325        24.2402     -0.0683366    8.99426e-05   -4.22699e-08   -1.31119e-11     1.8237e-14   -4.42387e-18
    3              2         1         3         -43.52         25.468     -0.0518538    4.80617e-05   -1.64803e-08   -1.98159e-12    2.44462e-15   -3.97417e-19
    3              3         2         3        595.833         44.691     -0.0406562    2.12321e-05   -4.73528e-09   -3.63415e-13    3.31758e-16   -3.85559e-20
    3              4         2         4        1069.89        48.3863     -0.0388529    1.88513e-05   -3.96972e-09   -4.16065e-13    3.27547e-16   -3.94673e-20
    3              5         2         6        1007.03        59.4107     -0.0437958    2.02398e-05   -4.06588e-09   -3.23256e-13    2.53576e-16   -2.72711e-20
    3              6         3         6        1470.37        94.7002     -0.0549876    2.23761e-05   -3.94008e-09   -5.10011e-13     2.9433e-16   -3.01703e-20
    3              7         3         7        1504.65        100.693      -0.056162    2.28917e-05   -4.26889e-09   -3.96418e-13    2.75034e-16   -2.88991e-20
    3              8         3         8        1809.18        105.448     -0.0528052    1.85124e-05   -2.75778e-09   -4.53644e-13    2.21059e-16   -2.20277e-20
    3              9         3         9        2028.55        111.382     -0.0566161     2.0782e-05   -3.26162e-09    -4.1698e-13    2.03415e-16   -1.77739e-20
    3             10         4         7        1534.86        143.876     -0.0737277    3.20742e-05   -6.97442e-09   -6.28511e-13    5.69941e-16   -7.06349e-20
    3             11         4         9        2084.01        156.549     -0.0668274    2.09177e-05   -2.54006e-09   -4.59833e-13    1.59767e-16    -1.1678e-20
    3             12         4        10        2077.29        166.776     -0.0765621    2.97978e-05   -5.60954e-09   -5.63118e-13    4.00306e-16   -4.41388e-20
    3             13         5        10        1397.03        222.384     -0.0991497    3.99973e-05   -7.82095e-09   -6.04441e-13    4.83999e-16   -5.24678e-20    
    3             14         5        11         3389.5        218.119     -0.0756552     2.2027e-05   -3.02189e-09   -5.27205e-13    2.66596e-16   -2.86363e-20
    3             15         5        12        3232.66        231.071     -0.0897148    3.34263e-05   -6.33907e-09   -7.91332e-13    5.58761e-16   -6.59428e-20
    3             16         6        12        2047.95        290.206      -0.101384    3.25468e-05   -4.39962e-09   -9.61761e-13    3.73362e-16   -2.98893e-20
    3             17         6        13        3359.12        294.273     -0.0902149    2.22666e-05   -2.01169e-09   -5.29187e-13    1.64561e-16   -1.23816e-20
    3             18         6        14        3725.48         304.74     -0.0975212    2.77814e-05   -3.14857e-09   -9.14851e-13    3.58813e-16   -3.48131e-20
    4              0         1         1        1460.37      -0.764704      0.0102906   -1.01685e-05   -8.61153e-09    8.61548e-12    1.20161e-14   -1.00523e-17
    4              1         1         2        26.7691        22.9694     -0.0634393    8.27382e-05   -3.81881e-08   -1.22348e-11    1.63871e-14   -3.89579e-18
    4              2         1         3        -16.802        24.5115     -0.0470884     4.1425e-05   -1.37472e-08   -1.17671e-12    1.63878e-15   -2.54017e-19
    4              3         2         3        828.363        42.6688      -0.036754    1.86315e-05   -4.05696e-09    -3.3926e-13    2.86897e-16   -3.25476e-20
    4              4         2         4        866.915        48.8579     -0.0390712    1.86331e-05   -3.74949e-09   -3.75998e-13    2.71567e-16   -3.01337e-20
    4              5         2         6        730.961        60.3746     -0.0447267     2.0615e-05   -4.02512e-09   -3.62021e-13    2.56472e-16   -2.69828e-20
    4              6         3         6        1296.35        94.1892     -0.0549992    2.38398e-05   -4.91483e-09   -4.18972e-13    3.62444e-16   -4.33523e-20
    4              7         3         7         1210.5        101.428     -0.0578529     2.4095e-05   -4.45485e-09   -4.82939e-13    3.12672e-16   -3.31813e-20
    4              8         3         8        1537.19        105.639     -0.0558901    2.16145e-05   -3.74691e-09   -3.66745e-13    2.26305e-16   -2.25381e-20
    4              9         3         9         1679.5        110.924     -0.0579066     2.2939e-05   -4.05708e-09   -4.92358e-13    2.94035e-16   -3.06137e-20
    4             10         4         7        2496.29        133.721     -0.0528303     1.3469e-05   -7.29122e-10   -3.66218e-13     3.8208e-17    3.47436e-21
    4             11         4         9        2201.37         153.87     -0.0685509    2.54123e-05    -4.2886e-09   -5.93976e-13    3.26175e-16   -3.28612e-20
    4             12         4        10        2160.11        162.382     -0.0708934    2.47636e-05   -3.53001e-09   -6.75953e-13    2.79577e-16   -2.41257e-20
    4             13         5        10         1966.3        213.189     -0.0875244    3.36305e-05   -6.95386e-09    -3.3815e-13    4.20338e-16    -5.1396e-20
    4             14         5        11        2642.06        218.681     -0.0844033     3.0296e-05   -5.54797e-09   -4.50612e-13    3.49647e-16   -3.87154e-20
    4             15         5        12        2411.29        228.698     -0.0861642    2.84847e-05   -4.60081e-09   -3.86347e-13    2.52775e-16   -2.53759e-20
    4             16         6        12        3657.59        277.945     -0.0904533    2.96923e-05   -4.79306e-09   -9.98811e-13    5.33162e-16   -5.87887e-20
    4             17         6        13        7689.63        276.048     -0.0826776    2.59406e-05   -3.52141e-09   -1.23388e-12    5.27238e-16   -5.37968e-20
    4             18         6        14        6224.78        295.767     -0.0983362    3.37827e-05   -5.28097e-09   -1.09339e-12    5.13172e-16   -4.98693e-20
 *  4             19         7        15         144315        144.194      0.0281794   -2.46456e-06   -2.00934e-09   -1.56789e-13    1.00491e-16    1.10286e-21   
    5              0         1         1        913.759        4.11189    -0.00295596    3.23631e-08    8.98331e-10    1.89498e-13    -2.4258e-16     8.4701e-22
    5              1         1         2       -325.339        25.3169     -0.0648602    7.74989e-05   -3.37045e-08   -7.19638e-12    9.96526e-15   -2.13423e-18
    5              2         1         3       -92.4429        24.7033     -0.0438218    3.59751e-05   -1.12148e-08   -9.11648e-13    1.19721e-15   -1.75914e-19
    5              3         2         3        359.938        46.1797     -0.0394588    2.00686e-05   -4.51104e-09   -2.64465e-13    2.86274e-16   -3.35654e-20
    5              4         2         4        533.863        51.3221     -0.0399892      1.946e-05   -4.14717e-09   -3.52464e-13    2.95281e-16   -3.40534e-20
    5              5         2         6        920.993        58.7085     -0.0366601    1.43014e-05   -2.30157e-09   -2.85787e-13    1.48328e-16   -1.41104e-20
    5              6         3         6         1165.2        95.2585     -0.0503584    2.00056e-05   -3.72742e-09   -3.53157e-13    2.51481e-16   -2.73787e-20
    5              7         3         7        1220.73        102.324     -0.0533075    2.16527e-05    -4.2851e-09   -2.72581e-13    2.53056e-16   -2.85703e-20
    5              8         3         8         1039.4        110.494     -0.0586858    2.48285e-05   -5.07357e-09   -3.84879e-13    3.36381e-16   -3.85071e-20
    5              9         3         9        1142.51         115.91     -0.0607338    2.67005e-05   -5.65906e-09   -5.01971e-13    4.22127e-16   -4.94628e-20
    5             10         4         7        1414.96         142.31      -0.061583    2.19964e-05   -3.85596e-09   -2.96768e-13    2.12837e-16   -2.15741e-20
    5             11         4         9        1577.38        158.833     -0.0663395    2.42426e-05   -4.38413e-09   -4.58329e-13    3.13129e-16   -3.42196e-20
    5             12         4        10        1831.22        166.806     -0.0700434    2.59519e-05   -4.48498e-09   -5.47216e-13    3.12597e-16   -3.08139e-20
    5             13         5        10        1389.54        221.968     -0.0959315    4.41048e-05   -1.06008e-08   -6.53775e-13    7.79482e-16    -9.7721e-20
    5             14         5        11         1902.9         226.53     -0.0860398    3.39761e-05   -7.40538e-09   -3.98964e-13    4.80327e-16    -5.8267e-20
    5             15         5        12        2805.26         230.64     -0.0814976    2.95513e-05   -5.72053e-09   -5.36482e-13    4.19911e-16   -4.77465e-20
    5             16         6        12        4980.41        272.177     -0.0597509    5.14547e-06    2.11882e-09   -2.55851e-13   -1.26763e-16    2.10637e-20
    5             17         6        13        7195.89        277.658     -0.0598146    5.17454e-06    2.38027e-09   -3.12093e-13   -1.54758e-16    2.76805e-20
    5             18         6        14       -1245.78        325.234      -0.116524    3.96726e-05   -5.35613e-09   -1.10474e-12    4.25016e-16   -3.57233e-20
 *  5             19         7        15        75592.1        220.717      0.0202464   -8.22634e-06   -1.78833e-09    2.79647e-13    1.66259e-16    -2.7447e-20
    6              0         1         1        1464.26     -0.0798493      0.0074548   -7.00419e-06   -8.58898e-09    6.79156e-12    1.29922e-14   -1.02682e-17
    6              1         1         2       -49.2014        24.5522     -0.0709236    9.46165e-05   -4.63876e-08   -8.95593e-12    1.49632e-14   -3.48583e-18
    6              2         1         3       -45.8193        25.8621     -0.0526867    4.91428e-05   -1.63949e-08   -3.15473e-12     3.1977e-15   -5.37078e-19
    6              3         2         3        555.758        45.4107     -0.0406168     2.0497e-05   -4.30666e-09    -3.7939e-13    2.97398e-16   -3.30335e-20
