*EntryIndex         SSDNum     CHNum   ECh_Cut       ECh
12000              2         1   141.968       475
12000              2        15   89.7282       119
12000              4         5   135.466       260
12100              2         1   141.968       909
12100              4        13    133.21       280
12200              1         5   95.8393      1905
12200              1         6    80.145       817
12200              2        12   100.955       367
12200              4        12   130.483       157
12400              4         3   149.066       256
12600              3         8   85.0236       482
12600              4        16   128.906       710
12700              1         6    80.145       590
12700              1        14   110.452       320
12700              2        10   104.049       131
12800              4        15   125.328       466
13000              2        10   104.049       591
13000              2        11   110.194       163
13100              2         2   72.8214       169
13100              2        11   110.194       182
13200              4         3   149.066       911
13300              1         6    80.145      1826
13400              1         9   117.688       368
13400              2        11   110.194       464
13400              4         8   170.329      1481
13500              4        13    133.21       207
13600              4         8   170.329      1776
13700              3         1   114.034      1382
13700              3         9   119.005      1146
13800              1         2   80.2209       658
13900              3        12   100.569       260
13900              4         2   118.513       382
14000              3         4   119.489       392
14000              3        12   100.569       468
14000              4         7   126.957       324
14200              2        16   90.0124       232
14200              4        11   142.904      1048
14300              1        16   102.116       304
14400              1         5   95.8393       760
14400              3         2   101.445       145
14400              4         2   118.513      1158
14700              2         1   141.968       920
14700              2         6   81.6839       467
14700              4         4   103.428       165
14800              1         9   117.688      1068
14800              1        10   115.012       560
14800              4         9   143.887       228
15000              2         1   141.968      1555
15000              3        11    94.393       926
15100              4         8   170.329       522
15200              1         4   80.3077       834
15200              4        13    133.21       542
15300              4         1   132.578       445
15400              1         2   80.2209       171
15400              1        14   110.452       777
15500              4        10   147.035       970
15600              1         5   95.8393       184
15600              1         8   79.2956       256
16000              1        13   91.8378       519
16000              2         3   102.754       557
16100              2         3   102.754       942
16100              3         7   103.528       399
16200              1        11   118.457       120
16200              2        13   117.267      1048
16200              3         4   119.489      1525
16400              1        11   118.457       140
16400              2        15   89.7282       731
16400              4        15   125.328       457
16600              2         2   72.8214        81
16700              1         6    80.145       328
16700              3         4   119.489      3634
16700              3         5   129.761      1003
16800              2        15   89.7282       256
16800              4        15   125.328      2531
16900              1         4   80.3077       432
16900              4         8   170.329       668
17000              1        14   110.452       392
17000              3         9   119.005       208
17000              3        12   100.569      2881
17200              4        10   147.035       590
17300              1         3   115.501       390
17300              2         1   141.968       192
17300              2        10   104.049       327
17500              4        14    137.63      1362
17700              4        14    137.63       496
17800              1         4   80.3077       143
17800              3        14   113.862      1009
18000              3        10   114.462       941
18000              4         8   170.329       351
18100              1        16   102.116      2264
18100              3         3   120.387       329
18200              3        16   109.747       738
18200              4         4   103.428      2372
18200              4        12   130.483       226
18300              4        10   147.035      1105
18400              2         3   102.754       656
18400              4         6   137.113       338
18500              1         5   95.8393       853
18600              1        10   115.012       135
18600              2        16   90.0124       476
18600              3         8   85.0236       123
18600              3        16   109.747       784
18700              1         8   79.2956       762
18700              1        16   102.116       168
18800              4        11   142.904       143
18900              2         7   78.1233       868
19000              2         6   81.6839       138
19000              2         7   78.1233       540
19000              3        10   114.462       668
19000              4         3   149.066       194
19200              1        13   91.8378       418
19200              3        14   113.862       301
19200              4        12   130.483       166
19400              1        11   118.457       287
19400              2        14   93.2145       404
19500              1        11   118.457       809
19500              1        14   110.452       143
19500              4         9   143.887       201
19600              3         1   114.034       184
19600              3         2   101.445       941
19600              3         4   119.489       790
19600              3         5   129.761       154
19600              3         6    71.929        88
19600              3         7   103.528       131
19600              3         8   85.0236       125
19600              3         9   119.005       166
19600              3        10   114.462       162
19600              3        11    94.393       142
19600              3        12   100.569       149
19600              3        13   121.802       168
19600              3        14   113.862       161
19600              3        15    124.42       169
19600              3        16   109.747       147
19800              3         7   103.528       149
19800              4        12   130.483       544
19900              2         1   141.968       667
19900              3         6    71.929       192
20000              4         3   149.066       755
20100              2        16   90.0124       568
20100              4         6   137.113      1033
20100              4         8   170.329       317
20200              1        12   116.017       303
20200              2        10   104.049       181
20200              4        10   147.035       226
20300              2         3   102.754       210
20500              1        13   91.8378       153
20600              1         8   79.2956       136
20600              2         2   72.8214       379
20700              4         4   103.428       166
20700              4         6   137.113       511
21000              2         4   96.9622       621
21100              1         1    132.18       663
21100              1        12   116.017       329
21200              1         1    132.18       145
21200              1        16   102.116       105
21200              4        14    137.63       553
21300              3         8   85.0236      2303
21300              3        15    124.42      1188
21400              2        14   93.2145       170
21400              4         8   170.329       330
21500              1         1    132.18       214
21500              1         8   79.2956      1362
21600              4        12   130.483       605
21700              2         8   73.6897       249
21700              3         4   119.489       727
21800              1         4   80.3077       149
21800              4         8   170.329       477
21800              4        11   142.904       183
21900              3         1   114.034       181
21900              3         2   101.445       230
21900              3         3   120.387      1121
21900              3         5   129.761      1374
21900              3         6    71.929       129
21900              3         7   103.528       129
21900              3         8   85.0236       132
21900              3         9   119.005       182
21900              3        10   114.462       184
21900              3        11    94.393       185
21900              3        12   100.569       200
21900              3        13   121.802       211
21900              3        14   113.862       213
21900              3        15    124.42       223
21900              3        16   109.747       170
22000              1        15    155.39       575
22100              2         5    79.497       516
22100              3        12   100.569       250
22100              3        13   121.802       184
22100              4         7   126.957       665
22200              1        11   118.457      1673
22200              3         1   114.034       161
22200              4         6   137.113       340
22300              1         7   115.958       162
22300              1        10   115.012       215
22300              1        11   118.457       156
22300              2        13   117.267       546
22400              2        13   117.267       399
22400              2        16   90.0124       462
22500              1         4   80.3077        98
22500              2         2   72.8214       112
22600              1         1    132.18       384
22600              1        15    155.39       192
22600              2         1   141.968       210
22600              2         3   102.754       187
22600              4         4   103.428      1283
22700              1         4   80.3077       254
22900              2         5    79.497       612
22900              2        16   90.0124       680
23000              2         7   78.1233       652
23000              4         9   143.887      1044
23100              1        11   118.457      3093
23100              3         5   129.761       560
23300              3         9   119.005       380
23300              4        10   147.035      1088
23300              4        13    133.21       357
23400              1        10   115.012       452
23400              2         6   81.6839      1073
23400              2         7   78.1233      2178
23500              1         9   117.688       724
23500              2        10   104.049       235
23600              2         6   81.6839       142
23600              2         7   78.1233       591
23600              2        15   89.7282       492
23600              4        11   142.904       475
23700              2         7   78.1233       247
23700              4         8   170.329       267
23800              1        13   91.8378       593
23800              3         5   129.761       194
23800              4         2   118.513       321
23900              4         8   170.329      2860
23900              4        15   125.328       555
24100              1         5   95.8393       598
24100              1         9   117.688       141
24100              4         2   118.513       173
24200              1        13   91.8378       271
24200              3         4   119.489       362
24200              3        15    124.42       611
24200              4         2   118.513      1554
24300              3         1   114.034       143
24400              4        13    133.21       159
24400              4        14    137.63       161
24500              2         1   141.968       833
24500              4         9   143.887       654
24500              4        13    133.21       594
24700              2         5    79.497       501
24700              2        12   100.955       193
24800              4         2   118.513       230
24800              4        10   147.035       274
24900              4         8   170.329      1183
25000              3         4   119.489       308
25100              2         5    79.497       875
25100              2         6   81.6839       400
25200              3         7   103.528       729
25200              4         7   126.957       501
25300              2         4   96.9622       408
25300              4         7   126.957      1488
25500              1         8   79.2956       380
25500              2        10   104.049       803
25500              3        16   109.747      3161
25600              1         1    132.18       444
25600              2         7   78.1233       816
25700              1         8   79.2956       163
25700              1        10   115.012       507
25800              3        13   121.802      2011
25800              4         2   118.513       698
25800              4         7   126.957       591
25900              1        10   115.012       179
25900              1        12   116.017       475
25900              2         8   73.6897       728
26000              2        14   93.2145       209
26000              3         4   119.489       337
26000              4         9   143.887      4046
26100              1         2   80.2209       854
26100              2        11   110.194       335
26200              1         6    80.145       121
26200              3        10   114.462       139
26200              3        11    94.393       426
26300              1         7   115.958       269
26300              1        10   115.012       141
26300              4         3   149.066       313
26400              1         2   80.2209        91
26400              4         8   170.329      1269
26500              4         7   126.957       453
26600              1         3   115.501       272
26600              2         1   141.968       274
26700              2         4   96.9622       486
26700              4         8   170.329       298
26800              2         2   72.8214       178
26800              3         6    71.929       142
26800              3        14   113.862       248
26900              3         4   119.489       160
26900              3         6    71.929       109
26900              3         8   85.0236       375
26900              4         2   118.513       170
27000              2        15   89.7282       189
27000              4        11   142.904       474
27200              1        11   118.457       460
27200              1        16   102.116       124
27400              2        15   89.7282       881
27600              2         9   74.8055      1909
27700              1        12   116.017       578
27700              3         5   129.761       768
27800              1         8   79.2956       143
27900              2        13   117.267       605
27900              3         7   103.528       244
28300              4         9   143.887       518
28400              1        14   110.452       536
28400              3         4   119.489      1208
28500              3         1   114.034       446
28500              3         8   85.0236       523
28600              1         3   115.501       718
28600              4         6   137.113       211
