* ssdnum    stripb    stripf    th_standard (mm)   th_effective (mm)
    3         6         0          0.306            0.310293
    3         6         1          0.306            0.309271
    3         6         2          0.306            0.308393
    3         6         3          0.306            0.307658
    3         6         4          0.306             0.30707
    3         6         5          0.306            0.306628
    3         6         6          0.306            0.306332
    3         6         7          0.306            0.306185
    3         6         8          0.306            0.306185
    3         6         9          0.306            0.306332
    3         6        10          0.306            0.306628
    3         6        11          0.306             0.30707
    3         6        12          0.306            0.307658
    3         6        13          0.306            0.308393
    3         6        14          0.306            0.309271
    3         6        15          0.306            0.310293
    3         7         0          0.306            0.310147
    3         7         1          0.306            0.309125
    3         7         2          0.306            0.308246
    3         7         3          0.306            0.307511
    3         7         4          0.306            0.306922
    3         7         5          0.306             0.30648
    3         7         6          0.306            0.306185
    3         7         7          0.306            0.306037
    3         7         8          0.306            0.306037
    3         7         9          0.306            0.306185
    3         7        10          0.306             0.30648
    3         7        11          0.306            0.306922
    3         7        12          0.306            0.307511
    3         7        13          0.306            0.308246
    3         7        14          0.306            0.309125
    3         7        15          0.306            0.310147
    3         8         0          0.306            0.310147
    3         8         1          0.306            0.309125
    3         8         2          0.306            0.308246
    3         8         3          0.306            0.307511
    3         8         4          0.306            0.306922
    3         8         5          0.306             0.30648
    3         8         6          0.306            0.306185
    3         8         7          0.306            0.306037
    3         8         8          0.306            0.306037
    3         8         9          0.306            0.306185
    3         8        10          0.306             0.30648
    3         8        11          0.306            0.306922
    3         8        12          0.306            0.307511
    3         8        13          0.306            0.308246
    3         8        14          0.306            0.309125
    3         8        15          0.306            0.310147
    3         9         0          0.306            0.310293
    3         9         1          0.306            0.309271
    3         9         2          0.306            0.308393
    3         9         3          0.306            0.307658
    3         9         4          0.306             0.30707
    3         9         5          0.306            0.306628
    3         9         6          0.306            0.306332
    3         9         7          0.306            0.306185
    3         9         8          0.306            0.306185
    3         9         9          0.306            0.306332
    3         9        10          0.306            0.306628
    3         9        11          0.306             0.30707
    3         9        12          0.306            0.307658
    3         9        13          0.306            0.308393
    3         9        14          0.306            0.309271
    3         9        15          0.306            0.310293
    3        10         0          0.306            0.310585
    3        10         1          0.306            0.309564
    3        10         2          0.306            0.308686
    3        10         3          0.306            0.307952
    3        10         4          0.306            0.307364
    3        10         5          0.306            0.306922
    3        10         6          0.306            0.306628
    3        10         7          0.306             0.30648
    3        10         8          0.306             0.30648
    3        10         9          0.306            0.306628
    3        10        10          0.306            0.306922
    3        10        11          0.306            0.307364
    3        10        12          0.306            0.307952
    3        10        13          0.306            0.308686
    3        10        14          0.306            0.309564
    3        10        15          0.306            0.310585
    3        11         0          0.306            0.311021
    3        11         1          0.306            0.310002
    3        11         2          0.306            0.309125
    3        11         3          0.306            0.308393
    3        11         4          0.306            0.307805
    3        11         5          0.306            0.307364
    3        11         6          0.306             0.30707
    3        11         7          0.306            0.306922
    3        11         8          0.306            0.306922
    3        11         9          0.306             0.30707
    3        11        10          0.306            0.307364
    3        11        11          0.306            0.307805
    3        11        12          0.306            0.308393
    3        11        13          0.306            0.309125
    3        11        14          0.306            0.310002
    3        11        15          0.306            0.311021
    3        12         0          0.306            0.311602
    3        12         1          0.306            0.310585
    3        12         2          0.306             0.30971
    3        12         3          0.306            0.308979
    3        12         4          0.306            0.308393
    3        12         5          0.306            0.307952
    3        12         6          0.306            0.307658
    3        12         7          0.306            0.307511
    3        12         8          0.306            0.307511
    3        12         9          0.306            0.307658
    3        12        10          0.306            0.307952
    3        12        11          0.306            0.308393
    3        12        12          0.306            0.308979
    3        12        13          0.306             0.30971
    3        12        14          0.306            0.310585
    3        12        15          0.306            0.311602
    3        13         0          0.306            0.312327
    3        13         1          0.306            0.311312
    3        13         2          0.306            0.310439
    3        13         3          0.306             0.30971
    3        13         4          0.306            0.309125
    3        13         5          0.306            0.308686
    3        13         6          0.306            0.308393
    3        13         7          0.306            0.308246
    3        13         8          0.306            0.308246
    3        13         9          0.306            0.308393
    3        13        10          0.306            0.308686
    3        13        11          0.306            0.309125
    3        13        12          0.306             0.30971
    3        13        13          0.306            0.310439
    3        13        14          0.306            0.311312
    3        13        15          0.306            0.312327
    3        14         0          0.306            0.313195
    3        14         1          0.306            0.312182
    3        14         2          0.306            0.311312
    3        14         3          0.306            0.310585
    3        14         4          0.306            0.310002
    3        14         5          0.306            0.309564
    3        14         6          0.306            0.309271
    3        14         7          0.306            0.309125
    3        14         8          0.306            0.309125
    3        14         9          0.306            0.309271
    3        14        10          0.306            0.309564
    3        14        11          0.306            0.310002
    3        14        12          0.306            0.310585
    3        14        13          0.306            0.311312
    3        14        14          0.306            0.312182
    3        14        15          0.306            0.313195
    3        15         0          0.306            0.314204
    3        15         1          0.306            0.313195
    3        15         2          0.306            0.312327
    3        15         3          0.306            0.311602
    3        15         4          0.306            0.311021
    3        15         5          0.306            0.310585
    3        15         6          0.306            0.310293
    3        15         7          0.306            0.310147
    3        15         8          0.306            0.310147
    3        15         9          0.306            0.310293
    3        15        10          0.306            0.310585
    3        15        11          0.306            0.311021
    3        15        12          0.306            0.311602
    3        15        13          0.306            0.312327
    3        15        14          0.306            0.313195
    3        15        15          0.306            0.314204
