* ssdnum    stripb    stripf    th_standard (mm)   th_effective (mm)
    0        12         5           1.01             1.01269
    0        12         6           1.01             1.01228
    0        12         7           1.01             1.01208
    0        12         8           1.01             1.01208
    0        12         9           1.01             1.01228
    0        12        10           1.01             1.01269
    0        12        11           1.01              1.0133
    0        12        12           1.01             1.01411
    0        12        13           1.01             1.01512
    0        12        14           1.01             1.01633
    0        12        15           1.01             1.01774
    0        13         0           1.01             1.01875
    0        13         1           1.01             1.01734
    0        13         2           1.01             1.01613
    0        13         3           1.01             1.01512
    0        13         4           1.01             1.01431
    0        13         5           1.01              1.0137
    0        13         6           1.01              1.0133
    0        13         7           1.01             1.01309
    0        13         8           1.01             1.01309
    0        13         9           1.01              1.0133
    0        13        10           1.01              1.0137
    0        13        11           1.01             1.01431
    0        13        12           1.01             1.01512
    0        13        13           1.01             1.01613
    0        13        14           1.01             1.01734
    0        13        15           1.01             1.01875
    0        14         0           1.01             1.01996
    0        14         1           1.01             1.01855
    0        14         2           1.01             1.01734
    0        14         3           1.01             1.01633
    0        14         4           1.01             1.01552
    0        14         5           1.01             1.01492
    0        14         6           1.01             1.01451
    0        14         7           1.01             1.01431
    0        14         8           1.01             1.01431
    0        14         9           1.01             1.01451
    0        14        10           1.01             1.01492
    0        14        11           1.01             1.01552
    0        14        12           1.01             1.01633
    0        14        13           1.01             1.01734
    0        14        14           1.01             1.01855
    0        14        15           1.01             1.01996
    0        15         0           1.01             1.02137
    0        15         1           1.01             1.01996
    0        15         2           1.01             1.01875
    0        15         3           1.01             1.01774
    0        15         4           1.01             1.01694
    0        15         5           1.01             1.01633
    0        15         6           1.01             1.01593
    0        15         7           1.01             1.01572
    0        15         8           1.01             1.01572
    0        15         9           1.01             1.01593
    0        15        10           1.01             1.01633
    0        15        11           1.01             1.01694
    0        15        12           1.01             1.01774
    0        15        13           1.01             1.01875
    0        15        14           1.01             1.01996
    0        15        15           1.01             1.02137
    1         0         0          1.008             1.02337
    1         0         1          1.008             1.02147
    1         0         2          1.008             1.01984
    1         0         3          1.008             1.01848
    1         0         4          1.008             1.01739
    1         0         5          1.008             1.01657
    1         0         6          1.008             1.01602
    1         0         7          1.008             1.01575
    1         0         8          1.008             1.01575
    1         0         9          1.008             1.01602
    1         0        10          1.008             1.01657
    1         0        11          1.008             1.01739
