* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    2      11   0.0294978    -2.39238   0.0291622    -2.36516   0.0254357    -2.06293     33.9009     81.1037      34.291     81.1037     39.3148     81.1037
    2      12   0.0300285    -2.68075   0.0296885    -2.65039   0.0259109    -2.31315     33.3017     89.2733      33.683     89.2733     38.5938     89.2733
    2      13    0.029387    -2.42848   0.0290486    -2.40052   0.0254015    -2.09913     34.0287      82.638     34.4251      82.638     39.3677      82.638
    2      14   0.0297098    -2.88504   0.0294351    -2.85836   0.0257532    -2.50082     33.6589     97.1072     33.9731     97.1072     38.8302     97.1072
    2      15   0.0291479    -2.07336    0.028876    -2.05401   0.0252414    -1.79548     34.3078     71.1323     34.6309     71.1323     39.6174     71.1323
    3       0  -0.0432421     4.90407  -0.0462719     5.24768  -0.0432421     4.90407    -23.1256      113.41    -21.6114      113.41    -23.1256      113.41
    3       1   0.0209776    -1.62846   0.0209077    -1.62303   0.0183355    -1.42336     47.6699     77.6285     47.8292     77.6285     54.5389     77.6285
    3       2   0.0200834    -1.69634   0.0200106    -1.69019     0.01756     -1.4832     49.7924     84.4647     49.9736     84.4647     56.9476     84.4647
    3       3   0.0209585    -1.68867   0.0208973    -1.68374   0.0183202     -1.4761     47.7134     80.5723     47.8531     80.5723     54.5846     80.5723
    3       4   0.0208987     -1.9765   0.0208316    -1.97016   0.0182698    -1.72788       47.85     94.5754      48.004     94.5754     54.7351     94.5754
    3       5   0.0205338    -1.56415   0.0204768    -1.55981   0.0179502    -1.36735     48.7003     76.1745     48.8358     76.1745     55.7097     76.1745
    3       6   0.0199198    -1.56039   0.0198371    -1.55392   0.0174148    -1.36417     50.2014     78.3337     50.4105     78.3337     57.4224     78.3337
    3       7   0.0205293     -1.6216   0.0204556    -1.61578   0.0179415    -1.41719     48.7109     78.9895     48.8863     78.9895     55.7367     78.9895
    3       8   0.0202536    -1.52042   0.0201907    -1.51569   0.0177096    -1.32944     49.3739     75.0689     49.5278     75.0689     56.4666     75.0689
    3       9   0.0211457     -1.5229   0.0210619    -1.51686   0.0184719    -1.33033     47.2908     72.0194     47.4792     72.0194     54.1364     72.0194
    3      10   0.0208351    -2.09208   0.0207715    -2.08569   0.0182245    -1.82994     47.9959     100.411     48.1428     100.411     54.8712     100.411
    3      11   0.0213242    -1.66316   0.0212356    -1.65625   0.0186233     -1.4525     46.8951     77.9939     47.0907     77.9939     53.6962     77.9939
    3      12   0.0201186    -2.05408   0.0200283    -2.04487   0.0175635    -1.79321     49.7053     102.099     49.9293     102.099     56.9364     102.099
    3      13   0.0207726    -1.65991   0.0207085    -1.65479   0.0181823    -1.45293     48.1404     79.9089     48.2894     79.9089     54.9986     79.9089
    3      14   0.0210411    -1.66882   0.0209501     -1.6616   0.0183952    -1.45896      47.526     79.3122     47.7325     79.3122      54.362     79.3122
    3      15   0.0211442    -1.57448   0.0210524    -1.56765   0.0184741    -1.37566     47.2942      74.464     47.5004      74.464     54.1297      74.464
