*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
2        12     244.499   257.794   270.259    1.3375   1.28602   1.22869   126.102   128.163   12.5494   242.347   248.666   254.727   262.336   267.881   274.587
2        13     240.543   253.849   266.263   1.33911   1.30661    1.2807   136.134   134.385   14.8519   238.474   245.051   251.112    257.56   264.266   270.327
2        14     249.513   263.091   275.465   1.33874   1.19204   1.23353   99.9039   49.6385   23.3121   246.927   253.246   260.725   266.141   273.234   287.935
2        15      232.76   246.052   258.216   1.31908   1.20357    1.2062   77.5695   20.8062   37.8721   229.832   237.182   243.501    251.11   255.494    265.94
3         0     407.961   430.429   451.714   2.07718    1.9699   1.90712   77.8077    34.428   14.3616   403.973   414.461   427.074   436.145   449.042   458.254
3         1     397.116   419.133   440.291   1.74134    1.9593   1.96896   4.25014   232.001   34.9085   394.737   402.106    414.72   427.475   437.396   450.719
3         2     425.002   447.575   468.682   1.98248   1.78207    1.8252   90.8745   13.9807   18.8721   422.461    430.54   444.854   453.216   465.829     474.9
3         3     382.547   404.891   425.806   1.80904   1.83779   2.00653   56.3399   96.2708   46.5568   380.304   388.382   401.563   411.625   422.255   433.168
3         4     412.607   434.919   456.049   1.94845   1.91344   1.77893   207.188   209.795   43.6544   409.052   417.981   431.445   442.924   453.412   466.876
3         5     415.444   437.507   458.433   1.76255   1.87069   1.93802   33.7904   143.848   25.2845   412.745   420.256   434.287   444.775   455.263   469.152
3         6     404.776   427.022   448.101   1.83148   1.82326   1.89235   202.833   142.519   36.9956   402.319   412.099   423.578   435.342   445.263   459.577
3         7     451.014   473.405   494.676   1.72775   1.73723   1.77434   22.5538   12.8872   13.3567   448.579   456.374    470.83   478.483   492.089    502.01
3         8     422.659   445.349     466.6     2.065   1.82956   1.85244   168.075   12.0117   34.9456   419.445   428.941   442.688     450.2   463.947   479.821
3         9     425.878    448.16   469.462   1.84014   1.81697   1.71699   71.3065   154.009   24.7054   422.886   430.398   444.854   454.775    466.68   475.609
3        10     423.521   445.959   467.006   1.84765    1.8299   1.86006   14.1204   36.9979   45.2751   421.437   428.524    442.98    452.05    464.38   473.876
3        11     403.442   425.044   446.122   1.78366   1.89463   1.59403   138.534   167.745   16.8821    400.65   410.146   421.059   431.405    444.16   452.522
3        12     412.928   435.309   456.335   1.87448   1.90002   1.95185    87.351   87.8239   40.6143    410.02    417.39   432.413   439.216   452.963   462.742
3        13     414.712   436.808   457.849   1.79988    1.9128   1.82294   49.1983   159.364   41.2408    411.76   418.988   433.161   445.208   454.845   471.427
3        14     391.038   412.685    433.29   2.05634   2.05115   2.08945    145.83   87.7026    29.626   387.958   398.162   409.358   420.271   430.192   444.648
3        15     405.107   427.276   448.528    1.8364   1.89562   1.83839   45.1721   36.5923   17.0383   402.477   409.563   423.736   432.665   445.562    457.75
