*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
2        12     252.587   266.031    278.54   1.65503   1.54635   1.46242   32.2497    22.995   3.39377   248.606   257.376   262.534   271.174   275.946   285.488
2        13     249.517    263.29     275.7    1.5689   1.35127   1.57369   19.2766   13.6666   5.43021    246.41   254.276   260.595   267.559   272.975   282.002
2        14     262.173   275.387   287.533   1.41754   1.47295   1.79305    6.0817   35.4445   13.0441    259.67   265.989   272.308   281.335   284.043   298.099
2        15      239.38   252.864   265.419   1.67494   1.61167   1.86103    8.0059   2.63855   3.62218   236.183   243.921   250.627   257.848   262.104   270.486
3         0           0         0         0         0         0         0         0         0         0   342.582   349.909   353.186    360.32   366.297   374.973
3         1     311.429   328.695    344.98    2.1783   1.84637   1.59741   17.3032   14.2716    10.631   307.932   315.066   325.284   332.418   342.057   349.384
3         2      328.88   346.816   363.742   2.27575   2.08695   1.90998   22.5441   28.6338   10.1862    325.15   333.055   343.466   351.178    360.24   371.229
3         3     314.316    331.72   347.314   2.14756   1.77114   2.02453   188.634   47.0248   30.9928   308.426   320.765   327.706   336.382   342.937   353.348
3         4     329.095   346.609   362.993   2.04032   1.66825   1.70947   94.7618     3.107   2.28956   324.197   333.644   344.248   350.225    360.25   367.769
3         5     315.857    332.79    349.28   3.05157   2.28701   1.70821   148.568   34.5657    13.655   311.138   322.706   327.911   337.937   345.456   354.132
3         6     324.691   342.873   359.934    2.1479   1.90665   1.81839   9.65189   16.1016   8.06653   321.078   328.212   339.201   346.335   357.325   364.073
3         7     318.245   335.807   352.107   1.88236   1.95125   1.91387   7.60223   16.0822   31.5746    315.68   322.235   332.646   340.165   348.456   361.566
3         8     317.353   335.064   351.965    1.8982   1.94031   1.78409   11.4562   6.07478   2.71861   313.572   320.513   332.081   338.636   350.204   359.073
3         9     303.557   321.146   337.851   2.17518    1.6985   1.47842   87.1557   0.31591 0.0733259   301.197   308.909    320.67    325.49   335.901   342.263
3        10      335.89   353.193   369.649    1.8977   1.99461   1.77869   3.84197   24.6323   7.91959    332.86   338.451   349.441   357.153     366.6   374.119
3        11     308.188   325.121   341.064   1.87913   1.95154   2.17906   11.8268   30.6204   6.71908   305.197   310.788   321.006   327.754   337.201   344.335
3        12      346.17   364.211   381.319   2.10469   1.91192   1.62516   26.7462   8.49489   19.9359   342.958   349.513   360.502   368.214   378.047   389.615
3        13     315.873    333.33   349.759   2.02746   1.82066   1.71135   58.2076   19.5122   9.93141   311.896   319.994   330.212    336.96   347.178   354.312
3        14     312.533   329.784   346.042   1.81676   1.71065   1.68967   8.21369    22.297   14.1406   309.582    316.33   326.934   333.297   343.129   351.805
3        15     306.264   323.814   340.143   1.94055   1.56564   1.55927   18.7467   8.59557  0.823293   304.354   310.523   322.091   327.875   337.901   343.877
