* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         3         7        60.9121           1312
    0         3         7        67.2283           1440
    0         3         7        73.3774           1568
    0         3         7         79.416           1696
    0         3         7        85.3638           1824
    0         3         7        91.2247           1952
    0         3         7        97.0116           2080
    0         3         7         102.73           2208
    0         3         7        108.387           2336
    0         3         7        113.988           2464
    0         3         7        119.537           2592
    0         3         7        125.038           2720
    0         3         7        130.494           2848
    0         3         7        135.909           2976
    0         3         7        141.284           3104
    0         3         7        146.623           3232
    0         3         7        151.926           3360
    0         3         7        157.197           3488
    0         3         7        162.436           3616
    0         3         7        167.646           3744
    0         3         7        172.827           3872
    0         3         8              0            160
    0         3         8       0.997416            288
    0         3         8        10.2603            416
    0         3         8        18.7088            544
    0         3         8        26.6314            672
    0         3         8        34.1713            800
    0         3         8        41.4149            928
    0         3         8        48.4249           1056
    0         3         8        55.2383           1184
    0         3         8           61.9           1312
    0         3         8        68.4122           1440
    0         3         8         74.801           1568
    0         3         8         81.048           1696
    0         3         8        87.1534           1824
    0         3         8        93.1801           1952
    0         3         8        99.1193           2080
    0         3         8        104.982           2208
    0         3         8        110.776           2336
    0         3         8        116.507           2464
    0         3         8         122.18           2592
    0         3         8        127.799           2720
    0         3         8        133.369           2848
    0         3         8        138.892           2976
    0         3         8        144.372           3104
    0         3         8         149.81           3232
    0         3         8         155.21           3360
    0         3         8        160.573           3488
    0         3         8        165.902           3616
    0         3         8        171.197           3744
    0         3         8        176.461           3872
    0         3         9              0            160
    0         3         9       0.162602            288
    0         3         9        9.41331            416
    0         3         9        18.1545            544
    0         3         9         26.355            672
    0         3         9        34.1452            800
    0         3         9        41.6148            928
    0         3         9        48.8378           1056
    0         3         9        55.8465           1184
    0         3         9         62.689           1312
    0         3         9        69.3843           1440
    0         3         9        75.9429           1568
    0         3         9        82.3842           1696
    0         3         9        88.7105           1824
    0         3         9        94.8773           1952
    0         3         9        100.957           2080
    0         3         9        106.962           2208
    0         3         9        112.885           2336
    0         3         9         118.74           2464
    0         3         9        124.532           2592
    0         3         9        130.265           2720
    0         3         9        135.943           2848
    0         3         9         141.57           2976
    0         3         9        147.149           3104
    0         3         9        152.683           3232
    0         3         9        158.175           3360
    0         3         9        163.628           3488
    0         3         9        169.042           3616
    0         3         9         174.42           3744
    0         3         9        179.764           3872
    0         4         7              0            160
    0         4         7        3.16428            288
    0         4         7        13.4158            416
    0         4         7        22.5918            544
    0         4         7        31.1206            672
    0         4         7        39.1663            800
    0         4         7        46.8294            928
    0         4         7        54.1761           1056
    0         4         7        61.2548           1184
    0         4         7        68.1029           1312
    0         4         7        74.7092           1440
    0         4         7        81.1623           1568
    0         4         7        87.4448           1696
    0         4         7        93.5902           1824
    0         4         7        99.6135           1952
    0         4         7        105.527           2080
    0         4         7        111.342           2208
    0         4         7        117.067           2336
    0         4         7        122.709           2464
    0         4         7        128.277           2592
    0         4         7        133.775           2720
    0         4         7        139.209           2848
    0         4         7        144.584           2976
    0         4         7        149.904           3104
    0         4         7        155.172           3232
    0         4         7        160.392           3360
    0         4         7        165.567           3488
    0         4         7        170.698           3616
    0         4         7         175.79           3744
    0         4         7        180.844           3872
    0         4         9              0            160
    0         4         9       0.381495            288
    0         4         9        11.2242            416
    0         4         9        21.2464            544
    0         4         9        30.5432            672
    0         4         9        39.2894            800
    0         4         9        47.5992            928
    0         4         9        55.5472           1056
    0         4         9        63.1971           1184
    0         4         9        70.5829           1312
    0         4         9        77.7492           1440
    0         4         9         84.708           1568
    0         4         9        91.4649           1696
    0         4         9        98.0259           1824
    0         4         9        104.481           1952
    0         4         9        110.783           2080
    0         4         9        116.967           2208
    0         4         9        123.044           2336
    0         4         9        129.022           2464
    0         4         9        134.909           2592
    0         4         9        140.714           2720
    0         4         9        146.441           2848
    0         4         9        152.097           2976
    0         4         9        157.686           3104
    0         4         9        163.213           3232
    0         4         9        168.681           3360
    0         4         9        174.095           3488
    0         4         9        179.456           3616
    0         4         9        184.769           3744
    0         4         9        190.036           3872
    0         4        10              0            160
    0         4        10              0            288
    0         4        10        10.1021            416
    0         4        10        20.5108            544
    0         4        10        30.1564            672
    0         4        10        39.2213            800
    0         4        10        47.8252            928
    0         4        10        56.0502           1056
    0         4        10        63.9548           1184
    0         4        10         71.589           1312
    0         4        10         78.985           1440
    0         4        10        86.1653           1568
    0         4        10        93.1612           1696
    0         4        10        99.9692           1824
    0         4        10        106.582           1952
    0         4        10        113.089           2080
    0         4        10        119.452           2208
    0         4        10        125.696           2336
    0         4        10        131.834           2464
    0         4        10        137.876           2592
    0         4        10        143.828           2720
    0         4        10        149.696           2848
    0         4        10        155.488           2976
    0         4        10        161.208           3104
    0         4        10         166.86           3232
    0         4        10         172.45           3360
    0         4        10         177.98           3488
    0         4        10        183.455           3616
    0         4        10        188.877           3744
    0         4        10        194.249           3872
    0         5        10              0            160
    0         5        10       0.308229            288
    0         5        10        12.7892            416
    0         5        10        24.4639            544
    0         5        10        35.2445            672
    0         5        10        45.3453            800
    0         5        10        54.8958            928
    0         5        10         63.988           1056
    0         5        10          72.69           1184
    0         5        10         81.053           1312
    0         5        10        89.1191           1440
    0         5        10        96.9169           1568
    0         5        10         104.44           1696
    0         5        10        111.753           1824
    0         5        10        118.882           1952
    0         5        10        125.837           2080
    0         5        10        132.624           2208
    0         5        10        139.271           2336
    0         5        10        145.798           2464
    0         5        10        152.191           2592
    0         5        10        158.487           2720
    0         5        10        164.677           2848
    0         5        10         170.76           2976
    0         5        10        176.752           3104
    0         5        10         182.66           3232
    0         5        10        188.487           3360
    0         5        10         194.24           3488
    0         5        10        199.922           3616
    0         5        10        205.538           3744
    0         5        10         211.09           3872
    0         5        11              0            160
    0         5        11              0            288
    0         5        11        11.4094            416
    0         5        11        23.5208            544
    0         5        11        34.6934            672
    0         5        11        45.1575            800
    0         5        11        55.0473            928
    0         5        11        64.4565           1056
    0         5        11        73.4571           1184
    0         5        11        82.1039           1312
    0         5        11        90.4413           1440
    0         5        11        98.5027           1568
    0         5        11        106.311           1696
    0         5        11        113.861           1824
    0         5        11        121.204           1952
    0         5        11        128.374           2080
    0         5        11        135.371           2208
    0         5        11        142.221           2336
    0         5        11        148.925           2464
    0         5        11        155.495           2592
    0         5        11        161.969           2720
    0         5        11         168.31           2848
    0         5        11        174.548           2976
    0         5        11        180.714           3104
    0         5        11        186.771           3232
    0         5        11        192.743           3360
    0         5        11        198.636           3488
    0         5        11        204.454           3616
    0         5        11        210.201           3744
    0         5        11         215.88           3872
    0         5        12              0            160
    0         5        12              0            288
    0         5        12        10.0572            416
    0         5        12        22.6156            544
    0         5        12         34.163            672
    0         5        12        44.9771            800
    0         5        12        55.1931            928
    0         5        12        64.9096           1056
    0         5        12        74.1992           1184
    0         5        12        83.1215           1312
    0         5        12        91.7203           1440
    0         5        12        100.031           1568
    0         5        12        108.086           1696
    0         5        12        115.904           1824
    0         5        12        123.468           1952
    0         5        12        130.835           2080
    0         5        12        138.044           2208
    0         5        12        145.075           2336
    0         5        12        151.965           2464
    0         5        12        158.722           2592
    0         5        12        165.351           2720
    0         5        12        171.864           2848
    0         5        12        178.271           2976
    0         5        12         184.58           3104
    0         5        12        190.777           3232
    0         5        12        196.914           3360
    0         5        12        202.946           3488
    0         5        12        208.899           3616
    0         5        12        214.777           3744
    0         5        12        220.585           3872
    0         6        12        11.1385            400
    0         6        12        24.2571            520
    0         6        12        36.4077            640
    0         6        12        47.7797            760
    0         6        12         58.523            880
    0         6        12        68.7358           1000
    0         6        12        78.4931           1120
    0         6        12        87.8529           1240
    0         6        12        96.8605           1360
    0         6        12        105.554           1480
    0         6        12        113.966           1600
    0         6        12         122.08           1720
    0         6        12        129.961           1840
    0         6        12        137.638           1960
    0         6        12        145.118           2080
    0         6        12        152.417           2200
    0         6        12        159.554           2320
    0         6        12        166.534           2440
    0         6        12        173.382           2560
    0         6        12         180.09           2680
    0         6        12        186.678           2800
    0         6        12        193.151           2920
    0         6        12        199.515           3040
    0         6        12        205.776           3160
    0         6        12        211.948           3280
    0         6        12        218.025           3400
    0         6        12        224.013           3520
    0         6        12        229.932           3640
    0         6        12        235.756           3760
    0         6        12        241.508           3880
    0         6        13         9.5171            400
    0         6        13        23.0811            520
    0         6        13        35.6328            640
    0         6        13        47.3757            760
    0         6        13        58.4671            880
    0         6        13        69.0079           1000
    0         6        13        79.0754           1120
    0         6        13        88.7303           1240
    0         6        13        98.0184           1360
    0         6        13        106.982           1480
    0         6        13        115.651           1600
    0         6        13        124.056           1720
    0         6        13        132.175           1840
    0         6        13        140.071           1960
    0         6        13        147.769           2080
    0         6        13        155.286           2200
    0         6        13        162.622           2320
    0         6        13        169.802           2440
    0         6        13        176.829           2560
    0         6        13        183.723           2680
    0         6        13        190.487           2800
    0         6        13        197.129           2920
    0         6        13         203.66           3040
    0         6        13         210.09           3160
    0         6        13        216.409           3280
    0         6        13        222.648           3400
    0         6        13        228.789           3520
    0         6        13        234.822           3640
    0         6        13        240.798           3760
    0         6        13        246.687           3880
    0         6        14        7.82264            400
    0         6        14        21.8263            520
    0         6        14        34.7462            640
    0         6        14        46.8424            760
    0         6        14        58.2639            880
    0         6        14        69.1168           1000
    0         6        14        79.4795           1120
    0         6        14        89.4147           1240
    0         6        14        98.9711           1360
    0         6        14        108.191           1480
    0         6        14        117.109           1600
    0         6        14        125.749           1720
    0         6        14        134.139           1840
    0         6        14        142.253           1960
    0         6        14        150.155           2080
    0         6        14        157.872           2200
    0         6        14        165.409           2320
    0         6        14        172.773           2440
    0         6        14        179.989           2560
    0         6        14        187.056           2680
    0         6        14        193.988           2800
    0         6        14          200.8           2920
    0         6        14        207.492           3040
    0         6        14        214.063           3160
    0         6        14        220.535           3280
    0         6        14        226.915           3400
    0         6        14        233.192           3520
    0         6        14        239.393           3640
    0         6        14        245.483           3760
    0         6        14        251.526           3880
    1         1         1         2.8241            120
    1         1         1        4.26441            149
    1         1         1        5.70674            178
    1         1         1        7.15029            207
    1         1         1        8.59207            236
    1         1         1        10.0261            265
    1         1         1        11.4362            294
    1         1         1        12.8355            323
    1         1         1        14.2215            352
    1         1         1        15.5941            381
    1         1         1         16.953            410
    1         1         1        18.2979            439
    1         1         1        19.6287            468
    1         1         1         20.945            497
    1         1         1        22.2468            526
    1         1         1        23.5339            555
    1         1         1        24.8064            584
    1         1         1        26.0643            613
    1         1         1        27.3076            642
    1         1         1        28.5363            671
    1         1         1        29.7505            700
    1         1         1        30.9503            729
    1         1         1        32.1359            758
    1         1         1        33.3074            787
    1         1         1        34.4649            816
    1         1         1        35.6086            845
    1         1         1        36.7387            874
    1         1         1        37.8553            903
    1         1         1        38.9585            932
    1         1         1        40.0486            961
    1         1         1        41.1258            990
    1         1         2         1.8014            120
    1         1         2         4.9486            179
    1         1         2        8.08147            238
    1         1         2        11.2371            297
    1         1         2         14.407            356
    1         1         2        17.5757            415
    1         1         2        20.7085            474
    1         1         2        23.7671            533
    1         1         2        26.7862            592
    1         1         2        29.7651            651
    1         1         2        32.7036            710
    1         1         2        35.6024            769
    1         1         2         38.462            828
    1         1         2        41.2828            887
    1         1         2        44.0656            946
    1         1         2        46.8107           1005
    1         1         2        49.5188           1064
    1         1         2        52.1905           1123
    1         1         2        54.8263           1182
    1         1         2         57.427           1241
    1         1         2         59.993           1300
    1         1         2        62.5251           1359
    1         1         2        65.0238           1418
    1         1         2        67.4897           1477
    1         1         2        69.9233           1536
    1         1         2        72.3252           1595
    1         1         2        74.6962           1654
    1         1         2        77.0365           1713
    1         1         2        79.3468           1772
    1         1         2        81.6276           1831
    1         1         2        83.8794           1890
    1         1         3       0.669609            120
    1         1         3        5.23846            202
    1         1         3        9.70569            284
    1         1         3         14.159            366
    1         1         3         18.604            448
    1         1         3        23.1008            530
    1         1         3        27.6039            612
    1         1         3        32.0053            694
    1         1         3        36.3072            776
    1         1         3        40.5425            858
    1         1         3        44.7179            940
    1         1         3         48.834           1022
    1         1         3        52.8932           1104
    1         1         3        56.8969           1186
    1         1         3        60.8468           1268
    1         1         3        64.7443           1350
    1         1         3        68.5906           1432
    1         1         3        72.3868           1514
    1         1         3        76.1341           1596
    1         1         3        79.8338           1678
    1         1         3        83.4864           1760
    1         1         3        87.0933           1842
    1         1         3        90.6553           1924
    1         1         3         94.173           2006
    1         1         3        97.6474           2088
    1         1         3         101.08           2170
    1         1         3         104.47           2252
    1         1         3        107.819           2334
    1         1         3        111.129           2416
    1         1         3        114.399           2498
    1         1         3        117.629           2580
    1         2         3       0.479354            120
    1         2         3        5.56773            202
    1         2         3        10.1523            284
    1         2         3         14.593            366
    1         2         3        18.9437            448
    1         2         3        23.2284            530
    1         2         3        27.4571            612
    1         2         3        31.6133            694
    1         2         3        35.7086            776
    1         2         3        39.7602            858
    1         2         3        43.7756            940
    1         2         3        47.7595           1022
    1         2         3        51.7162           1104
    1         2         3        55.6491           1186
    1         2         3        59.5613           1268
    1         2         3        63.4551           1350
    1         2         3         67.333           1432
    1         2         3        71.1968           1514
    1         2         3         75.048           1596
    1         2         3        78.8883           1678
    1         2         3        82.7188           1760
    1         2         3        86.5407           1842
    1         2         3        90.3551           1924
    1         2         3        94.1632           2006
    1         2         3        97.9656           2088
    1         2         3        101.763           2170
    1         2         3        105.556           2252
    1         2         3        109.345           2334
    1         2         3        113.132           2416
    1         2         3        116.917           2498
    1         2         3        120.699           2580
    1         2         4              0            120
    1         2         4        6.54653            232
    1         2         4        13.0911            344
    1         2         4        19.3893            456
    1         2         4        25.5326            568
    1         2         4        31.5618            680
    1         2         4        37.4942            792
    1         2         4        43.2846            904
    1         2         4        48.9829           1016
    1         2         4        54.6044           1128
    1         2         4        60.1637           1240
    1         2         4        65.6696           1352
    1         2         4        71.1295           1464
    1         2         4        76.5496           1576
    1         2         4        81.9351           1688
    1         2         4        87.2902           1800
    1         2         4         92.619           1912
    1         2         4        97.9246           2024
    1         2         4         103.21           2136
    1         2         4        108.478           2248
    1         2         4        113.731           2360
    1         2         4         118.97           2472
    1         2         4        124.197           2584
    1         2         4        129.415           2696
    1         2         4        134.623           2808
    1         2         4        139.825           2920
    1         2         4         145.02           3032
    1         2         4        150.211           3144
    1         2         4        155.396           3256
    1         2         4        160.579           3368
    1         2         4         165.76           3480
    1         2         6              0            120
    1         2         6        6.03125            249
    1         2         6        14.2118            378
    1         2         6         21.984            507
    1         2         6        29.4981            636
    1         2         6        36.8356            765
    1         2         6        44.0385            894
    1         2         6        51.1231           1023
    1         2         6        58.1003           1152
    1         2         6        64.8746           1281
    1         2         6        71.5546           1410
    1         2         6        78.1394           1539
    1         2         6        84.6489           1668
    1         2         6        91.0904           1797
    1         2         6        97.4729           1926
    1         2         6        103.803           2055
    1         2         6        110.087           2184
    1         2         6        116.331           2313
    1         2         6        122.538           2442
    1         2         6        128.713           2571
    1         2         6        134.859           2700
    1         2         6        140.979           2829
    1         2         6        147.076           2958
    1         2         6        153.153           3087
    1         2         6        159.212           3216
    1         2         6        165.255           3345
    1         2         6        171.283           3474
    1         2         6        177.298           3603
    1         2         6        183.302           3732
    1         2         6        189.296           3861
    1         2         6        195.282           3990
    1         3         6              0            120
    1         3         6        7.85188            249
    1         3         6        16.9977            378
    1         3         6        25.5179            507
    1         3         6         33.634            636
    1         3         6        41.4532            765
    1         3         6        49.0202            894
    1         3         6        56.3718           1023
    1         3         6         63.489           1152
    1         3         6        70.4298           1281
    1         3         6          77.22           1410
    1         3         6        83.8804           1539
    1         3         6        90.4251           1668
    1         3         6        96.8673           1797
    1         3         6        103.218           1926
    1         3         6        109.486           2055
    1         3         6         115.68           2184
    1         3         6        121.807           2313
    1         3         6        127.873           2442
    1         3         6        133.883           2571
    1         3         6        139.843           2700
    1         3         6        145.756           2829
    1         3         6        151.627           2958
    1         3         6         157.46           3087
    1         3         6        163.257           3216
    1         3         6        169.021           3345
    1         3         6        174.756           3474
    1         3         6        180.463           3603
    1         3         6        186.145           3732
    1         3         6        191.804           3861
    1         3         6        197.442           3990
    1         3         7              0            120
    1         3         7        7.13621            249
    1         3         7        16.7488            378
    1         3         7         25.689            507
    1         3         7        34.1878            636
    1         3         7        42.3592            765
    1         3         7        50.2588            894
    1         3         7        57.9259           1023
    1         3         7        65.3922           1152
    1         3         7        72.6349           1281
    1         3         7        79.6917           1410
    1         3         7        86.6062           1539
    1         3         7        93.3882           1668
    1         3         7        100.054           1797
