* set the ECsI cut range for all the isotopes by hand
* numtel = ssdindex * 9 + csiindex
* numtel        Z           A      ECsI_Ch_Min    ECsI_Ch_Max
    13          4          10         110           4000
    13          5          10         210           4000
    13          5          11         210           4000
    13          5          12         210           4000
    13          6          12         1100          4000
    13          6          13         1100          4000
    13          6          14         1100          4000
    14          1           1         100           1400
    14          1           2         100           2000
    14          1           3         100           2500
    14          2           3         100           2800
    14          2           4         100           3500
    14          2           6         100           4000
    14          3           6         100           4000
    14          3           7         100           4000
    14          3           8         100           4000
    14          3           9         100           4000
    14          4           7         100           4000
    14          4           9         100           4000
    14          4          10         100           4000
    14          5          10         150           4000
    14          5          11         150           4000
    14          5          12         150           4000
    14          6          12         1000          4000
    14          6          13         1000          4000
    14          6          14         1000          4000
    15          1           1         130           1700
    15          1           2         130           2700
    15          1           3         130           3500
    15          2           3         130           4000
    15          2           4         130           4000
    15          2           6         130           4000
    15          3           6         130           4000
    15          3           7         130           4000
    15          3           8         130           4000
    15          3           9         130           4000
    15          4           7         130           4000
    15          4           9         130           4000
    15          4          10         130           4000
    15          5          10         230           4000
    15          5          11         230           4000
    15          5          12         230           4000
    15          6          12         1300          4000
    15          6          13         1300          4000
    15          6          14         1300          4000
    16          1           1         100           1500
    16          1           2         100           2400
    16          1           3         100           3000
    16          2           3         100           3500
    16          2           4         100           4000
    16          2           6         100           4000
    16          3           6         100           4000
    16          3           7         100           4000
    16          3           8         100           4000
    16          3           9         100           4000
    16          4           7         100           4000
    16          4           9         100           4000
    16          4          10         100           4000
    16          5          10         170           4000
    16          5          11         170           4000
    16          5          12         170           4000
    16          6          12         1100          4000
    16          6          13         1100          4000
    16          6          14         1100          4000
    17          1           1         120           1500
    17          1           2         120           2500
    17          1           3         120           3000
    17          2           3         120           3500
    17          2           4         120           4000
    17          2           6         120           4000
    17          3           6         120           4000
    17          3           7         120           4000
    17          3           8         120           4000
    17          3           9         120           4000
    17          4           7         120           4000
    17          4           9         120           4000
    17          4          10         120           4000
    17          5          10         220           4000
    17          5          11         220           4000
    17          5          12         220           4000
    17          6          12         1300          4000
    17          6          13         1300          4000
    17          6          14         1300          4000
    18          1           1         130           1800
    18          1           2         130           2500
    18          1           3         130           3000
    18          2           3         130           3500
    18          2           4         130           4000
    18          2           6         130           4000
    18          3           6         130           4000
    18          3           7         130           4000
    18          3           8         130           4000
    18          3           9         130           4000
    18          4           7         130           4000
    18          4           9         130           4000
    18          4          10         130           4000
    18          5          10         400           4000
    18          5          11         400           4000
    18          5          12         400           4000
    18          6          12         1400          4000
    18          6          13         1400          4000
    18          6          14         1400          4000
    19          1           1         120           1800
    19          1           2         120           2500
    19          1           3         120           3000
    19          2           3         120           3000
    19          2           4         120           4000
    19          2           6         120           4000
    19          3           6         120           4000
    19          3           7         120           4000
    19          3           8         120           4000
    19          3           9         120           4000
    19          4           7         120           4000
    19          4           9         120           4000
    19          4          10         120           4000
    19          5          10         250           4000
    19          5          11         250           4000
    19          5          12         250           4000
    19          6          12         1100          4000
    19          6          13         1100          4000
    19          6          14         1100          4000
    20          1           1         150           2000
    20          1           2         150           2500
    20          1           3         150           3000
    20          2           3         150           3500
    20          2           4         150           4000
    20          2           6         150           4000
    20          3           6         150           4000
    20          3           7         150           4000
    20          3           8         150           4000
    20          3           9         150           4000
    20          4           7         150           4000
    20          4           9         150           4000
    20          4          10         150           4000
    20          5          10         300           4000
    20          5          11         300           4000
    20          5          12         300           4000
    20          6          12         1100          4000
    20          6          13         1100          4000
    20          6          14         1100          4000
    21          1           1         150           2100
    21          1           2         150           2800
    21          1           3         150           3500
    21          2           3         150           3500
    21          2           4         150           4000
    21          2           6         150           4000
    21          3           6         150           4000
    21          3           7         150           4000
    21          3           8         150           4000
    21          3           9         150           4000
    21          4           7         150           4000
    21          4           9         150           4000
    21          4          10         150           4000
    21          5          10         330           4000
    21          5          11         330           4000
    21          5          12         330           4000
    21          6          12         1200          4000
    21          6          13         1200          4000
    21          6          14         1200          4000
