* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         3         7        43.2649            956
    0         3         7        49.8205           1082
    0         3         7        56.2206           1208
    0         3         7         62.502           1334
    0         3         7        68.6818           1460
    0         3         7         74.728           1586
    0         3         7        80.7132           1712
    0         3         7        86.6412           1838
    0         3         7        92.5221           1964
    0         3         7        98.3671           2090
    0         3         7        104.182           2216
    0         3         7        109.974           2342
    0         3         7        115.749           2468
    0         3         7         121.51           2594
    0         3         7        127.261           2720
    0         3         7        133.007           2846
    0         3         7        138.749           2972
    0         3         7        144.491           3098
    0         3         7        150.235           3224
    0         3         7        155.982           3350
    0         3         7        161.735           3476
    0         3         7        167.496           3602
    0         3         7        173.265           3728
    0         3         7        179.044           3854
    0         3         7        184.834           3980
    0         3         8              0            200
    0         3         8        5.40572            326
    0         3         8        14.3165            452
    0         3         8         22.385            578
    0         3         8        29.9128            704
    0         3         8        37.0656            830
    0         3         8        43.9423            956
    0         3         8        50.6119           1082
    0         3         8         57.128           1208
    0         3         8        63.5109           1334
    0         3         8        69.7907           1460
    0         3         8        75.9863           1586
    0         3         8        82.0673           1712
    0         3         8        88.0607           1838
    0         3         8        94.0139           1964
    0         3         8         99.918           2090
    0         3         8        105.786           2216
    0         3         8        111.624           2342
    0         3         8        117.438           2468
    0         3         8        123.233           2594
    0         3         8        129.013           2720
    0         3         8        134.782           2846
    0         3         8        140.542           2972
    0         3         8        146.297           3098
    0         3         8        152.049           3224
    0         3         8          157.8           3350
    0         3         8        163.552           3476
    0         3         8        169.307           3602
    0         3         8        175.066           3728
    0         3         8        180.831           3854
    0         3         8        186.603           3980
    0         3         9              0            200
    0         3         9        5.04652            326
    0         3         9        14.2253            452
    0         3         9        22.4941            578
    0         3         9        30.1952            704
    0         3         9         37.492            830
    0         3         9        44.4907            956
    0         3         9        51.2699           1082
    0         3         9        57.8793           1208
    0         3         9        64.3597           1334
    0         3         9        70.7222           1460
    0         3         9        76.9945           1586
    0         3         9        83.1911           1712
    0         3         9        89.3081           1838
    0         3         9        95.3113           1964
    0         3         9        101.272           2090
    0         3         9        107.197           2216
    0         3         9        113.081           2342
    0         3         9        118.936           2468
    0         3         9        124.767           2594
    0         3         9        130.578           2720
    0         3         9        136.373           2846
    0         3         9        142.156           2972
    0         3         9        147.928           3098
    0         3         9        153.694           3224
    0         3         9        159.455           3350
    0         3         9        165.213           3476
    0         3         9        170.969           3602
    0         3         9        176.727           3728
    0         3         9        182.487           3854
    0         3         9         188.25           3980
    0         4         7              0            200
    0         4         7        4.06644            326
    0         4         7        14.4612            452
    0         4         7        23.5713            578
    0         4         7        31.9251            704
    0         4         7        39.7549            830
    0         4         7        47.2002            956
    0         4         7        54.3484           1082
    0         4         7        61.2651           1208
    0         4         7        67.9819           1334
    0         4         7        74.5095           1460
    0         4         7        80.9255           1586
    0         4         7        87.2184           1712
    0         4         7        93.4204           1838
    0         4         7        99.5464           1964
    0         4         7        105.608           2090
    0         4         7        111.617           2216
    0         4         7        117.579           2342
    0         4         7        123.504           2468
    0         4         7        129.396           2594
    0         4         7        135.262           2720
    0         4         7        141.105           2846
    0         4         7        146.931           2972
    0         4         7        152.742           3098
    0         4         7        158.542           3224
    0         4         7        164.333           3350
    0         4         7        170.117           3476
    0         4         7        175.899           3602
    0         4         7        181.678           3728
    0         4         7        187.457           3854
    0         4         7        193.238           3980
    0         4         9              0            200
    0         4         9        3.32733            326
    0         4         9         14.501            452
    0         4         9        24.2349            578
    0         4         9        33.1211            704
    0         4         9        41.4098            830
    0         4         9        49.2578            956
    0         4         9        56.7651           1082
    0         4         9        64.0069           1208
    0         4         9        71.0305           1334
    0         4         9        77.8759           1460
    0         4         9        84.5742           1586
    0         4         9        91.1067           1712
    0         4         9        97.5267           1838
    0         4         9        103.853           1964
    0         4         9        110.093           2090
    0         4         9        116.261           2216
    0         4         9        122.371           2342
