* Fiiting funtion = par[0] + par[1]*x && y=a*x+b (y=Energy, x=Ch), so a = par[1], b = par[0];  0.0 isn't a peak
* SSDNum CHNum    par0(a)   err_par0     par1(b)      err_par1       peak1     peak2     peak3      peak4     peak5   peak6     peak7     peak8      peak9     peak10    peak11 
 0        4     0.00035358  0.00000056  -0.02259497  0.00095999   2888.5    2607.5    2325.5     2044.5     1763.5     1480.5     1197.5    916.5     633.5      347.5      194.5    
 0        5     0.00034376  0.00000051  -0.03274119  0.00091470   3000.5    2711.5    2421.5     2132.5     1843.5     1552.5     1260.5    972.5     680.5      386.5      230.5    
 0        6     0.00034797  0.00000056  -0.03542945  0.00100532   2971.5    2686.5    2399.5     2114.5     1829.5     1541.5     1253.5    968.5     680.5      389.5      234.5    
 0        7     0.00034781  0.00000055  -0.03078843  0.00097017   2959.5    2674.5    2387.5     2102.5     1816.5     1528.5     1240.5    955.5     667.5      376.5      221.5    
 0        8     0.00035128  0.00000070  -0.02613379  0.00123146   2916.5    2634.5    2350.5     2068.5     1785.5     1500.5     1215.5    933.5     648.5      361.5      202.5    
 0        9     0.00034827  0.00000062  -0.02452816  0.00109624   2937.5    2652.5    2366.5     2081.5     1796.5     1508.5     1221.5    936.5     649.5      358.5      201.5    
 0        10    0.00035184  0.00000062  -0.03186489  0.00109870   2928.5    2646.5    2363.5     2081.5     1798.5     1514.5     1229.5    948.5     663.5      375.5      220.5    
 0        11    0.00034571  0.00000059  -0.02176091  0.00104416   2951.5    2664.5    2375.5     2089.5     1801.5     1511.5     1222.5    935.5     645.5      353.5      195.5    
 0        12    0.00034349  0.00000053  -0.03256666  0.00095780   3002.5    2713.5    2422.5     2133.5     1844.5     1552.5     1261.5    972.5     681.5      386.5      229.5    
 0        13    0.00034711  0.00000056  -0.03146954  0.00100124   2967.5    2681.5    2394.5     2108.5     1822.5     1533.5     1245.5    959.5     670.5      379.5      223.5    
 0        14    0.00034969  0.00000056  -0.02961280  0.00099640   2940.5    2656.5    2371.5     2087.5     1803.5     1516.5     1230.5    947.5     660.5      371.5      216.5    
 0        15    0.00034770  0.00000057  -0.03305342  0.00100907   2967.5    2681.5    2394.5     2109.5     1823.5     1535.5     1247.5    962.5     674.5      383.5      227.5    
 1        0     0.00027377  0.00000027  -0.01587572  0.00059833   3705.5    3344.5    2980.5     2616.5     2250.5     1889.5     1522.5    1155.5    788.5      423.5      233.5    
 1        1     0.00027313  0.00000014  -0.02078577  0.00031713   3738.5    3371.5    3004.5     2637.5     2270.5     1908.5     1541.5    1175.5    809.5      444.5      255.5    
 1        2     0.00026805  0.00000013  -0.01629154  0.00028906   3790.5    3418.5    3045.5     2671.5     2297.5     1928.5     1554.5    1180.5    807.5      435.5      243.5    
 1        3     0.00026622  0.00000021  -0.01926331  0.00048672   3823.5    3453.5    3078.5     2702.5     2326.5     1954.5     1577.5    1200.5    823.5      448.5      254.5    
