Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0573549 	0.0573549 	0.0502661 	0.0502661 	-	-	0.000122642	0.000198028	9.21403e-05
93.633957	14469.3   	14325.1   	14553.3   	14565.5   	96.9866   	47.1699   	30.6891   	26.8987   	30.603    
187.266914	48379.5   	47890.8   	48550.1   	48694.8   	312.123   	146.281   	98.9504   	84.5262   	101.344   
280.899871	95823.4   	94696.4   	96020.7   	96404     	591.656   	276.489   	188.975   	160.876   	198.349   
374.532828	153104    	151274    	153463    	154170    	906.225   	427.478   	291.892   	249.462   	313.292   
468.165785	218009    	215290    	218466    	219563    	1238.32   	592.896   	402.169   	346.072   	440.504   
561.798742	288978    	285116    	289338    	290878    	1577.32   	768.928   	516.3     	447.885   	576.069   
655.431699	364807    	359529    	364808    	366833    	1916.65   	952.876   	631.983   	552.91    	717.155   
749.064655	444549    	437594    	443916    	446462    	2252.25   	1143.09   	747.716   	659.741   	861.713   
842.697612	527449    	518583    	525931    	529020    	2581.8    	1338.13   	862.536   	767.386   	1008.26   
936.330569	612922    	601946    	610254    	613910    	2903.22   	1536.86   	975.698   	875.039   	1155.6    
1029.963526	700459    	687215    	696424    	700663    	3215.81   	1738.63   	1086.78   	982.153   	1302.87   
1123.596483	789631    	774005    	784089    	788920    	3519.46   	1943.12   	1195.57   	1088.37   	1449.51   
1217.229440	880101    	862021    	872972    	878408    	3814.08   	2150.08   	1301.92   	1193.43   	1595.07   
1310.862397	971572    	951004    	962848    	968899    	4099.84   	2359.27   	1405.78   	1297.14   	1739.24   
1404.495354	1.06379e+06	1.04074e+06	1.05353e+06	1.0602e+06	4377.13   	2570.38   	1507.17   	1399.4    	1881.82   
1498.128311	1.15653e+06	1.13104e+06	1.14487e+06	1.15216e+06	4646.25   	2783.37   	1606.13   	1500.13   	2022.67   
1591.761268	1.24963e+06	1.22177e+06	1.23675e+06	1.24467e+06	4907.45   	2998.11   	1702.68   	1599.27   	2161.64   
1685.394225	1.34292e+06	1.31279e+06	1.32905e+06	1.3376e+06	5161.16   	3214.52   	1796.91   	1696.81   	2298.69   
1779.027182	1.43626e+06	1.40399e+06	1.4217e+06	1.43088e+06	5407.49   	3432.61   	1888.83   	1792.67   	2433.7    
1872.660139	1.52954e+06	1.49528e+06	1.51461e+06	1.52442e+06	5647.24   	3652.14   	1978.65   	1886.98   	2566.79   
1966.293096	1.62266e+06	1.58656e+06	1.60773e+06	1.61817e+06	5880.54   	3873.04   	2066.39   	1979.71   	2697.89   
2059.926052	1.71549e+06	1.67778e+06	1.70101e+06	1.71208e+06	6107.07   	4095.47   	2151.92   	2070.7    	2826.81   
2153.559009	1.80801e+06	1.76887e+06	1.79439e+06	1.8061e+06	6328.4    	4319.18   	2235.73   	2160.31   	2953.97   
2247.191966	1.90015e+06	1.85979e+06	1.88785e+06	1.90018e+06	6544.22   	4544.32   	2317.71   	2248.43   	3079.22   
2340.824923	1.99184e+06	1.95048e+06	1.98136e+06	1.99432e+06	6754.8    	4770.91   	2397.94   	2335.09   	3202.59   
2434.457880	2.08303e+06	2.04092e+06	2.07488e+06	2.08846e+06	6960.39   	4998.91   	2476.48   	2420.33   	3324.11   
2528.090837	2.17369e+06	2.13106e+06	2.1684e+06	2.1826e+06	7161.23   	5228.28   	2553.42   	2504.17   	3443.82   
2621.723794	2.26377e+06	2.22088e+06	2.26189e+06	2.27672e+06	7357.54   	5458.99   	2628.8    	2586.67   	3561.76   
2715.356751	2.35324e+06	2.31035e+06	2.35533e+06	2.37078e+06	7549.54   	5691.01   	2702.71   	2667.85   	3677.98   
2808.989708	2.44208e+06	2.39945e+06	2.44873e+06	2.4648e+06	7737.42   	5924.34   	2775.2    	2747.76   	3792.51   
2902.622665	2.53027e+06	2.48817e+06	2.54205e+06	2.55874e+06	7921.38   	6158.94   	2846.32   	2826.43   	3905.4    
2996.255622	2.61775e+06	2.57646e+06	2.63529e+06	2.6526e+06	8101.43   	6394.88   	2916.08   	2903.84   	4016.63   
3089.888579	2.70415e+06	2.66409e+06	2.72839e+06	2.74631e+06	8276.06   	6632.78   	2983.94   	2979.48   	4125.49   
3183.521536	2.79051e+06	2.7517e+06	2.82148e+06	2.84001e+06	8450.46   	6870.75   	3051.72   	3055.04   	4234.25   
3277.154493	2.87561e+06	2.83852e+06	2.91439e+06	2.93353e+06	8619.12   	7110.94   	3117.48   	3128.68   	4340.42   
3370.787449	2.96043e+06	2.92517e+06	3.00726e+06	3.02701e+06	8786.56   	7351.61   	3182.81   	3201.9    	4446.05   
3464.420406	3.04417e+06	3.01115e+06	3.09997e+06	3.12032e+06	8949.62   	7594.09   	3246.58   	3273.61   	4549.64   
3558.053363	3.12743e+06	3.09682e+06	3.1926e+06	3.21356e+06	9110.7    	7837.4    	3309.64   	3344.65   	4652.31   
3651.686320	3.2098e+06	3.18193e+06	3.28508e+06	3.30664e+06	9268.56   	8082.16   	3371.56   	3414.54   	4753.45   
3745.319277	3.29147e+06	3.2666e+06	3.37745e+06	3.39961e+06	9423.81   	8328.08   	3432.55   	3483.52   	4853.34   
3838.952234	3.37247e+06	3.35083e+06	3.46971e+06	3.49247e+06	9576.83   	8575.06   	3492.74   	3551.69   	4952.14   
3932.585191	3.45255e+06	3.43448e+06	3.56181e+06	3.58517e+06	9726.72   	8823.56   	3551.81   	3618.74   	5049.42   
4026.218148	3.53218e+06	3.51783e+06	3.65384e+06	3.67778e+06	9875.22   	9072.76   	3610.38   	3685.28   	5146      
4119.851105	3.61067e+06	3.60045e+06	3.74567e+06	3.7702e+06	10020.2   	9323.79   	3667.68   	3750.51   	5240.8    
4213.484062	3.68893e+06	3.68291e+06	3.83745e+06	3.86258e+06	10164.5   	9575.18   	3724.74   	3815.5    	5335.26   
4307.117019	3.76585e+06	3.7645e+06	3.92901e+06	3.95472e+06	10304.8   	9828.72   	3780.38   	3879.03   	5427.74   
4400.749976	3.84276e+06	3.84609e+06	4.02056e+06	4.04685e+06	10445.2   	10082.3   	3836.02   	3942.55   	5520.19   
4494.382933	3.91812e+06	3.92665e+06	4.11183e+06	4.13871e+06	10581.3   	10338.3   	3890.14   	4004.47   	5610.47   
4588.015890	3.99349e+06	4.00722e+06	4.20311e+06	4.23056e+06	10717.5   	10594.3   	3944.26   	4066.4    	5700.74   
4681.648846	4.06752e+06	4.08691e+06	4.29414e+06	4.32217e+06	10850.2   	10852.5   	3997.14   	4127.01   	5789.2    
4775.281803	4.14135e+06	4.16646e+06	4.38514e+06	4.41375e+06	10982.4   	11111     	4049.83   	4187.43   	5877.4    
4868.914760	4.21408e+06	4.24528e+06	4.47593e+06	4.50512e+06	11111.8   	11371.2   	4101.55   	4246.79   	5964.14   
4962.547717	4.28642e+06	4.32383e+06	4.56666e+06	4.59641e+06	11240.4   	11632.1   	4152.92   	4305.79   	6050.37   
5056.180674	4.35776e+06	4.40171e+06	4.6572e+06	4.68752e+06	11366.6   	11894.6   	4203.46   	4363.87   	6135.35   
5149.813631	4.42843e+06	4.47915e+06	4.74762e+06	4.77851e+06	11491.2   	12158.3   	4253.44   	4421.36   	6219.5    
5243.446588	4.49911e+06	4.55659e+06	4.83804e+06	4.8695e+06	11615.9   	12421.9   	4303.42   	4478.84   	6303.64   
5337.079545	4.56812e+06	4.63289e+06	4.92815e+06	4.96017e+06	11736.9   	12688.2   	4352.08   	4534.86   	6385.76   
5430.712502	4.63701e+06	4.70911e+06	5.01824e+06	5.05082e+06	11857.6   	12954.8   	4400.63   	4590.78   	6467.73   
5524.345459	4.70522e+06	4.78487e+06	5.1082e+06	5.14135e+06	11976.9   	13222.5   	4448.69   	4646.13   	6548.92   
5617.978416	4.77151e+06	4.85932e+06	5.19781e+06	5.23151e+06	12092.3   	13493.4   	4495.32   	4699.89   	6627.9    
5711.611373	4.83781e+06	4.93376e+06	5.28741e+06	5.32167e+06	12207.6   	13764.4   	4541.95   	4753.66   	6706.88   
5805.244330	4.9041e+06	5.00821e+06	5.37702e+06	5.41183e+06	12323     	14035.3   	4588.58   	4807.42   	6785.85   
5898.877287	4.9704e+06	5.08265e+06	5.46662e+06	5.50199e+06	12438.3   	14306.3   	4635.21   	4861.18   	6864.83   
5992.510243	5.03669e+06	5.1571e+06	5.55623e+06	5.59214e+06	12553.7   	14577.2   	4681.84   	4914.95   	6943.8    
6086.143200	5.09997e+06	5.22944e+06	5.64527e+06	5.68173e+06	12663.2   	14853.4   	4726.39   	4966.34   	7019.47   
6179.776157	5.16299e+06	5.30161e+06	5.73425e+06	5.77126e+06	12772.2   	15130.1   	4770.76   	5017.53   	7094.85   
6273.409114	5.226e+06 	5.37377e+06	5.82324e+06	5.86079e+06	12881.2   	15406.7   	4815.12   	5068.72   	7170.23   
6367.042071	5.28902e+06	5.44594e+06	5.91223e+06	5.95032e+06	12990.3   	15683.4   	4859.49   	5119.91   	7245.61   
