*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0670433 	0.001000	0.0670433 	0.001000	0.0542337 	0.001000	0.0542337 	0.001000	0         	0.001000	0         	0.001000	0.00013859	0.001000	0.000221934	0.001000	0.000104136
0.002000	0.136328  	0.002000	0.134087  	0.002000	0.108467  	0.002000	0.108467  	0.002000	0.00752556	0.002000	0.00752556	0.002000	0.00040585	0.002000	0.000627848	0.002000	0.000317087
0.005000	0.313777  	0.005000	0.305796  	0.005000	0.245498  	0.005000	0.245498  	0.005000	0.00887795	0.005000	0.00887795	0.005000	0.00138589	0.005000	0.00207403	0.005000	0.0011189
0.008000	0.466098  	0.008000	0.453191  	0.008000	0.362615  	0.008000	0.362615  	0.008000	0.00893396	0.008000	0.00893396	0.008000	0.00248076	0.008000	0.00365038	0.008000	0.0020334
0.010000	0.558778  	0.010000	0.542872  	0.010000	0.433922  	0.010000	0.433922  	0.010000	0.00913075	0.010000	0.00913075	0.010000	0.00324705	0.010000	0.00474087	0.010000	0.0026793
0.015000	0.768662  	0.015000	0.745967  	0.015000	0.596009  	0.015000	0.596009  	0.015000	0.0101454 	0.015000	0.0101454 	0.015000	0.00524066	0.015000	0.00754836	0.015000	0.00437282
0.020000	0.94244   	0.020000	0.914124  	0.020000	0.735294  	0.020000	0.735294  	0.020000	0.0113403 	0.020000	0.0113403 	0.020000	0.00719085	0.020000	0.0102765 	0.020000	0.00603735
0.025000	1.08693   	0.025000	1.05394   	0.025000	0.85587   	0.025000	0.85587   	0.025000	0.0124013 	0.025000	0.0124013 	0.025000	0.00903335	0.025000	0.0128461 	0.025000	0.00761343
0.030000	1.21105   	0.030000	1.17405   	0.030000	0.963216  	0.030000	0.963216  	0.030000	0.0133133 	0.030000	0.0133133 	0.030000	0.0107915 	0.030000	0.0152912 	0.030000	0.00912044
0.035000	1.32063   	0.035000	1.28008   	0.035000	1.06115   	0.035000	1.06115   	0.035000	0.0141097 	0.035000	0.0141097 	0.035000	0.0124948 	0.035000	0.0176532 	0.035000	0.0105835
0.040000	1.41944   	0.040000	1.37569   	0.040000	1.15177   	0.040000	1.15177   	0.040000	0.0148113 	0.040000	0.0148113 	0.040000	0.0141586 	0.040000	0.0199547 	0.040000	0.0120152
0.045000	1.51011   	0.045000	1.46343   	0.045000	1.23659   	0.045000	1.23659   	0.045000	0.0154374 	0.045000	0.0154374 	0.045000	0.0157958 	0.045000	0.0222141 	0.045000	0.0134263
0.050000	1.59453   	0.050000	1.54512   	0.050000	1.31674   	0.050000	1.31674   	0.050000	0.0160039 	0.050000	0.0158917 	0.050000	0.0174016 	0.050000	0.0244255 	0.050000	0.0148123
0.055000	1.67419   	0.055000	1.62221   	0.055000	1.39308   	0.055000	1.39308   	0.055000	0.0165231 	0.055000	0.0162442 	0.055000	0.0187901 	0.055000	0.0263364 	0.055000	0.0160115
0.060000	1.75009   	0.060000	1.69565   	0.060000	1.4663    	0.060000	1.4663    	0.060000	0.0170048 	0.060000	0.0165702 	0.060000	0.0200258 	0.060000	0.0280358 	0.060000	0.0170792
0.070000	1.89346   	0.070000	1.83439   	0.070000	1.60542   	0.070000	1.60542   	0.070000	0.0178842 	0.070000	0.0171645 	0.070000	0.0221989 	0.070000	0.0308151 	0.070000	0.0189583
0.080000	2.02897   	0.080000	1.96551   	0.080000	1.73727   	0.080000	1.73727   	0.080000	0.0186858 	0.080000	0.0177072 	0.080000	0.0241414 	0.080000	0.0332508 	0.080000	0.0206398
0.090000	2.15935   	0.090000	2.09168   	0.090000	1.86404   	0.090000	1.86404   	0.090000	0.0194374 	0.090000	0.0182184 	0.090000	0.0259181 	0.090000	0.0354429 	0.090000	0.0221797
0.100000	2.2864    	0.100000	2.21462   	0.100000	1.98725   	0.100000	1.98725   	0.100000	0.0201578 	0.100000	0.0187111 	0.100000	0.0276038 	0.100000	0.0374904 	0.100000	0.0236429
0.120000	2.53495   	0.120000	2.45512   	0.120000	2.22707   	0.120000	2.22707   	0.120000	0.0215528 	0.120000	0.0196742 	0.120000	0.0307722 	0.120000	0.0412848 	0.120000	0.0263995
0.140000	2.78036   	0.140000	2.69259   	0.140000	2.46245   	0.140000	2.46245   	0.140000	0.0229342 	0.140000	0.0206402 	0.140000	0.0338103 	0.140000	0.0448652 	0.140000	0.0290506
0.160000	3.02521   	0.160000	2.92952   	0.160000	2.69659   	0.160000	2.69659   	0.160000	0.0243342 	0.160000	0.0216313 	0.160000	0.0367606 	0.160000	0.0482997 	0.160000	0.0316329
0.180000	3.26898   	0.180000	3.16541   	0.180000	2.93128   	0.180000	2.93128   	0.180000	0.0257687 	0.180000	0.0226581 	0.180000	0.0396077 	0.180000	0.0515948 	0.180000	0.0341328
0.200000	3.51236   	0.200000	3.40092   	0.200000	3.16754   	0.200000	3.16754   	0.200000	0.0272441 	0.200000	0.023725  	0.200000	0.0423939 	0.200000	0.0547889 	0.200000	0.0365858
0.250000	4.12166   	0.250000	3.99051   	0.250000	3.76812   	0.250000	3.76812   	0.250000	0.0311161 	0.250000	0.0265651 	0.250000	0.0493528 	0.250000	0.0627066 	0.250000	0.0427383
0.300000	4.73436   	0.300000	4.58339   	0.300000	4.38485   	0.300000	4.38485   	0.300000	0.0352197 	0.300000	0.0296211 	0.300000	0.0562282 	0.300000	0.0704324 	0.300000	0.0488505
0.350000	5.34912   	0.350000	5.17827   	0.350000	5.01647   	0.350000	5.01647   	0.350000	0.0394786 	0.350000	0.0328234 	0.350000	0.0628691 	0.350000	0.0778378 	0.350000	0.054786
0.400000	5.96757   	0.400000	5.77672   	0.400000	5.65902   	0.400000	5.65902   	0.400000	0.0437913 	0.400000	0.0360845 	0.400000	0.0694576 	0.400000	0.0851357 	0.400000	0.0607004
0.450000	6.58899   	0.450000	6.37803   	0.450000	6.31345   	0.450000	6.31345   	0.450000	0.0481678 	0.450000	0.0394028 	0.450000	0.0759425 	0.450000	0.0922493 	0.450000	0.066545
0.500000	7.21722   	0.500000	6.98594   	0.500000	6.98056   	0.500000	6.98056   	0.500000	0.0526194 	0.500000	0.0427805 	0.500000	0.0823408 	0.500000	0.0992314 	0.500000	0.0723344
0.600000	8.50575   	0.600000	8.2328    	0.600000	8.35738   	0.600000	8.35738   	0.600000	0.0618228 	0.600000	0.0497526 	0.600000	0.0948504 	0.600000	0.112723  	0.600000	0.0837124
0.700000	9.84792   	0.700000	9.53155   	0.700000	9.79291   	0.700000	9.79291   	0.700000	0.0714479 	0.700000	0.0570101 	0.700000	0.106881  	0.700000	0.125554  	0.700000	0.0947276
0.800000	11.2546   	0.800000	10.8927   	0.800000	11.2877   	0.800000	11.2877   	0.800000	0.0814989 	0.800000	0.0645399 	0.800000	0.118393  	0.800000	0.137709  	0.800000	0.10533
0.900000	12.7312   	0.900000	12.3216   	0.900000	12.8424   	0.900000	12.8424   	0.900000	0.0919842 	0.900000	0.0723371 	0.900000	0.129469  	0.900000	0.149255  	0.900000	0.11558
1.000000	14.2789   	1.000000	13.8192   	1.000000	14.4571   	1.000000	14.4571   	1.000000	0.102913  	1.000000	0.0804009 	1.000000	0.140103  	1.000000	0.160295  	1.000000	0.125471
1.250000	18.4708   	1.250000	17.8755   	1.250000	18.7684   	1.250000	18.7684   	1.250000	0.132416  	1.250000	0.102105  	1.250000	0.165358  	1.250000	0.186122  	1.250000	0.149114
1.500000	23.1304   	1.500000	22.3844   	1.500000	23.4786   	1.500000	23.4786   	1.500000	0.165171  	1.500000	0.127156  	1.500000	0.189392  	1.500000	0.210364  	1.500000	0.171792
1.750000	28.2448   	1.750000	27.3334   	1.750000	28.5799   	1.750000	28.5799   	1.750000	0.201057  	1.750000	0.154907  	1.750000	0.212746  	1.750000	0.233654  	1.750000	0.193963
2.000000	33.8153   	2.000000	32.7236   	2.000000	34.0694   	2.000000	34.0694   	2.000000	0.240074  	2.000000	0.184907  	2.000000	0.235732  	2.000000	0.256374  	2.000000	0.21589
2.250000	39.8627   	2.250000	38.5755   	2.250000	39.9461   	2.250000	39.9461   	2.250000	0.282257  	2.250000	0.216947  	2.250000	0.250331  	2.250000	0.278836  	2.250000	0.230065
2.500000	46.3637   	2.500000	44.8688   	2.500000	46.2093   	2.500000	46.2093   	2.500000	0.327642  	2.500000	0.250914  	2.500000	0.258181  	2.500000	0.301279  	2.500000	0.237961
3.000000	60.146    	3.000000	58.7143   	3.000000	59.891    	3.000000	59.891    	3.000000	0.428096  	3.000000	0.324377  	3.000000	0.278859  	3.000000	0.328468  	3.000000	0.258447
3.500000	75.5095   	3.500000	74.1661   	3.500000	75.1026   	3.500000	75.1026   	3.500000	0.541498  	3.500000	0.40499   	3.500000	0.306222  	3.500000	0.35477   	3.500000	0.285277
4.000000	92.4294   	4.000000	91.1668   	4.000000	91.8285   	4.000000	91.8285   	4.000000	0.6678    	4.000000	0.492555  	4.000000	0.340043  	4.000000	0.387691  	4.000000	0.318263
4.500000	110.882   	4.500000	109.676   	4.500000	110.049   	4.500000	110.049   	4.500000	0.806853  	4.500000	0.586822  	4.500000	0.379968  	4.500000	0.426768  	4.500000	0.35708
5.000000	130.846   	5.000000	129.663   	5.000000	129.744   	5.000000	129.744   	5.000000	0.958462  	5.000000	0.687565  	5.000000	0.425583  	5.000000	0.471501  	5.000000	0.40134
5.500000	152.3     	5.500000	151.099   	5.500000	150.892   	5.500000	150.892   	5.500000	1.12242   	5.500000	0.794595  	5.500000	0.476513  	5.500000	0.521451  	5.500000	0.450697
6.000000	175.224   	6.000000	173.96    	6.000000	173.471   	6.000000	173.471   	6.000000	1.2985    	6.000000	0.907739  	6.000000	0.53241   	6.000000	0.576206  	6.000000	0.504826
6.500000	199.602   	6.500000	198.225   	6.500000	197.46    	6.500000	197.46    	6.500000	1.48652   	6.500000	1.02683   	6.500000	0.593015  	6.500000	0.63546   	6.500000	0.563488
7.000000	225.417   	7.000000	223.872   	7.000000	222.842   	7.000000	222.842   	7.000000	1.68627   	7.000000	1.15172   	7.000000	0.658068  	7.000000	0.698904  	7.000000	0.626443
7.500000	252.651   	7.500000	250.884   	7.500000	249.597   	7.500000	249.597   	7.500000	1.89759   	7.500000	1.28226   	7.500000	0.727385  	7.500000	0.766318  	7.500000	0.69352
8.000000	281.292   	8.000000	279.241   	8.000000	277.708   	8.000000	277.708   	8.000000	2.1203    	8.000000	1.41835   	8.000000	0.8008    	8.000000	0.837501  	8.000000	0.764567
8.500000	311.323   	8.500000	308.929   	8.500000	307.16    	8.500000	307.16    	8.500000	2.35426   	8.500000	1.55988   	8.500000	0.878178  	8.500000	0.912293  	8.500000	0.83946
9.000000	342.733   	9.000000	339.93    	9.000000	337.937   	9.000000	337.937   	9.000000	2.59931   	9.000000	1.70676   	9.000000	0.959408  	9.000000	0.990559  	9.000000	0.918095
9.500000	375.508   	9.500000	372.231   	9.500000	370.024   	9.500000	370.024   	9.500000	2.85534   	9.500000	1.85886   	9.500000	1.04439   	9.500000	1.07218   	9.500000	1.00038
10.000000	409.636   	10.000000	405.813   	10.000000	403.408   	10.000000	403.408   	10.000000	3.12222   	10.000000	2.01608   	10.000000	1.13304   	10.000000	1.15705   	10.000000	1.08624
11.000000	481.907   	11.000000	476.491   	11.000000	474.079   	11.000000	474.066   	11.000000	3.68946   	11.000000	2.34635   	11.000000	1.3213    	11.000000	1.33643   	11.000000	1.26865
12.000000	559.457   	12.000000	552.206   	12.000000	549.93    	12.000000	549.881   	12.000000	4.3017    	12.000000	2.69806   	12.000000	1.52405   	12.000000	1.52844   	12.000000	1.4652
13.000000	642.208   	13.000000	632.911   	13.000000	630.903   	13.000000	630.797   	13.000000	4.95847   	13.000000	3.07082   	13.000000	1.74106   	13.000000	1.73276   	13.000000	1.67569
14.000000	730.083   	14.000000	718.558   	14.000000	716.943   	14.000000	716.764   	14.000000	5.6594    	14.000000	3.4642    	14.000000	1.97213   	14.000000	1.94912   	14.000000	1.89996
15.000000	823.015   	15.000000	809.1     	15.000000	808.008   	15.000000	807.739   	15.000000	6.40425   	15.000000	3.87815   	15.000000	2.21712   	15.000000	2.17733   	15.000000	2.13786
16.000000	920.938   	16.000000	904.491   	16.000000	904.056   	16.000000	903.684   	16.000000	7.1928    	16.000000	4.31256   	16.000000	2.47591   	16.000000	2.41722   	16.000000	2.3893
17.000000	1023.79   	17.000000	1004.69   	17.000000	1005.05   	17.000000	1004.57   	17.000000	8.02487   	17.000000	4.76708   	17.000000	2.7484    	17.000000	2.66864   	17.000000	2.65419
18.000000	1131.51   	18.000000	1109.65   	18.000000	1110.96   	18.000000	1110.35   	18.000000	8.90035   	18.000000	5.24152   	18.000000	3.03453   	18.000000	2.9315    	18.000000	2.93248
19.000000	1244.05   	19.000000	1219.32   	19.000000	1221.76   	19.000000	1221.02   	19.000000	9.81917   	19.000000	5.73585   	19.000000	3.33423   	19.000000	3.20569   	19.000000	3.22412
20.000000	1361.35   	20.000000	1333.68   	20.000000	1337.42   	20.000000	1336.55   	20.000000	10.7814   	20.000000	6.25005   	20.000000	3.64747   	20.000000	3.49114   	20.000000	3.52908
21.000000	1483.37   	21.000000	1452.68   	21.000000	1457.93   	21.000000	1456.91   	21.000000	11.7869   	21.000000	6.78408   	21.000000	3.97423   	21.000000	3.78781   	21.000000	3.84736
22.000000	1610.05   	22.000000	1576.28   	22.000000	1583.25   	22.000000	1582.09   	22.000000	12.8357   	22.000000	7.33783   	22.000000	4.31446   	22.000000	4.09561   	22.000000	4.17891
23.000000	1741.35   	23.000000	1704.45   	23.000000	1713.38   	23.000000	1712.07   	23.000000	13.9277   	23.000000	7.9112    	23.000000	4.66813   	23.000000	4.41449   	23.000000	4.52372
24.000000	1877.23   	24.000000	1837.15   	24.000000	1848.28   	24.000000	1846.84   	24.000000	15.0627   	24.000000	8.50415   	24.000000	5.03519   	24.000000	4.7444    	24.000000	4.88176
25.000000	2017.64   	25.000000	1974.34   	25.000000	1987.95   	25.000000	1986.37   	25.000000	16.241    	25.000000	9.1167    	25.000000	5.41566   	25.000000	5.0853    	25.000000	5.25303
27.000000	2311.9    	27.000000	2262.07   	27.000000	2281.53   	27.000000	2279.67   	27.000000	18.7271   	27.000000	10.4005   	27.000000	6.21676   	27.000000	5.79996   	27.000000	6.03531
29.000000	2623.81   	29.000000	2567.39   	29.000000	2593.99   	29.000000	2591.89   	29.000000	21.3857   	29.000000	11.7622   	29.000000	7.07128   	29.000000	6.55818   	29.000000	6.8705
31.000000	2953.1    	31.000000	2890.04   	31.000000	2925.03   	31.000000	2922.74   	31.000000	24.2119   	31.000000	13.1993   	31.000000	7.97839   	31.000000	7.35912   	31.000000	7.75784
33.000000	3299.48   	33.000000	3229.79   	33.000000	3273.44   	33.000000	3271.04   	33.000000	27.1789   	33.000000	14.6971   	33.000000	8.93332   	33.000000	8.1987    	33.000000	8.69281
