Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0634173 	0.0634173 	0.0581321 	0.0581321 	-	-	0.000153968	0.000246291	0.000116448
93.633957	19359.6   	19165.1   	19474.8   	19495.2   	134.72    	65.4464   	43.3332   	37.3493   	43.0608   
187.266914	64754.9   	64099.1   	65015.6   	65189.3   	433.774   	202.981   	139.815   	117.45    	142.6     
280.899871	128268    	126757    	128619    	129061    	822.449   	383.706   	267.093   	223.602   	279.079   
374.532828	204949    	202497    	205589    	206394    	1259.89   	593.176   	412.616   	346.78    	440.775   
468.165785	291837    	288194    	292696    	293938    	1721.74   	822.711   	568.561   	481.127   	619.715   
561.798742	386843    	381669    	387671    	389408    	2193.23   	1066.88   	729.967   	622.719   	810.395   
655.431699	488354    	481285    	488812    	491090    	2665.18   	1322.03   	893.575   	768.785   	1008.83   
749.064655	595105    	585791    	594834    	597689    	3132      	1585.7    	1057.26   	917.372   	1212.14   
842.697612	706083    	694210    	704744    	708210    	3590.3    	1856.08   	1219.65   	1067.08   	1418.23   
936.330569	820505    	805808    	817756    	821853    	4037.39   	2131.6    	1379.7    	1216.81   	1625.42   
1029.963526	937689    	919956    	933248    	937990    	4472.23   	2411.53   	1536.82   	1365.8    	1832.53   
1123.596483	1.05706e+06	1.03614e+06	1.05073e+06	1.05614e+06	4894.5    	2694.85   	1690.68   	1513.53   	2038.71   
1217.229440	1.17818e+06	1.15397e+06	1.16986e+06	1.17594e+06	5304.3    	2981.53   	1841.1    	1659.65   	2243.38   
1310.862397	1.30063e+06	1.27309e+06	1.29031e+06	1.29708e+06	5701.82   	3271.36   	1988.01   	1803.9    	2446.11   
1404.495354	1.42407e+06	1.39321e+06	1.41185e+06	1.4193e+06	6087.52   	3563.97   	2131.42   	1946.14   	2646.59   
1498.128311	1.54824e+06	1.5141e+06	1.53428e+06	1.54241e+06	6461.84   	3859.16   	2271.39   	2086.24   	2844.61   
1591.761268	1.67287e+06	1.63556e+06	1.65741e+06	1.66625e+06	6825.14   	4156.79   	2407.95   	2224.13   	3040      
