Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0719592 	0.0719592 	0.0882143 	0.0882143 	-	-	0.000408973	0.000623145	0.000360437
93.633957	10223     	10045.9   	10044.5   	10053.6   	52.6487   	26.1895   	42.5254   	36.9102   	44.3097   
187.266914	33247.4   	32842.6   	32707.7   	32819.4   	164.89    	78.6363   	132.785   	112.352   	141.73    
280.899871	65022.9   	64235.6   	64009.5   	64302.4   	308.541   	146.21    	249.981   	210.834   	273.067   
374.532828	103097    	101875    	101636    	102171    	468.631   	223.632   	382.639   	324.026   	427.035   
468.165785	146026    	144210    	144007    	144832    	636.372   	307.699   	523.729   	446.598   	596.082   
561.798742	192797    	190180    	190013    	191163    	806.442   	396.468   	668.816   	574.985   	775.013   
655.431699	242636    	238996    	238825    	240330    	975.619   	488.596   	815.03    	706.699   	960.112   
749.064655	294934    	290063    	289830    	291713    	1142.06   	583.315   	960.574   	840.039   	1148.78   
842.697612	349208    	342920    	342565    	344840    	1304.74   	679.96    	1104.33   	973.832   	1339.17   
936.330569	405084    	397225    	396679    	399363    	1462.98   	778.153   	1245.56   	1107.22   	1529.94   
1029.963526	462237    	452684    	451890    	454991    	1616.54   	877.606   	1383.82   	1239.61   	1720.1    
1123.596483	520396    	509062    	507972    	511496    	1765.36   	978.156   	1518.9    	1370.59   	1908.96   
1217.229440	579345    	566173    	564748    	568704    	1909.41   	1079.67   	1650.65   	1499.85   	2095.98   
1310.862397	638896    	623863    	622077    	626470    	2048.79   	1182.02   	1779.02   	1627.18   	2280.78   
1404.495354	698886    	681995    	679842    	684674    	2183.72   	1285.07   	1904.08   	1752.48   	2463.15   
1498.128311	759181    	740464    	737953    	743223    	2314.37   	1388.8    	2025.88   	1875.66   	2642.91   
1591.761268	819666    	799177    	796330    	802039    	2440.9    	1493.15   	2144.49   	1996.66   	2819.92   
1685.394225	880239    	858054    	854905    	861057    	2563.52   	1598.09   	2260.03   	2115.5    	2994.13   
1779.027182	940813    	917030    	913632    	920227    	2682.33   	1703.62   	2372.52   	2232.09   	3165.43   
1872.660139	1.00132e+06	976044    	972459    	979496    	2797.72   	1809.64   	2482.25   	2346.6    	3333.98   
1966.293096	1.06169e+06	1.03505e+06	1.03135e+06	1.03883e+06	2909.8    	1916.14   	2589.27   	2459      	3499.73   
2059.926052	1.12184e+06	1.094e+06 	1.09029e+06	1.09821e+06	3018.39   	2023.15   	2693.4    	2569.11   	3662.41   
2153.559009	1.18178e+06	1.15286e+06	1.14924e+06	1.15759e+06	3124.31   	2130.62   	2795.29   	2677.41   	3822.65   
2247.191966	1.24143e+06	1.21161e+06	1.20817e+06	1.21697e+06	3227.42   	2238.61   	2894.82   	2783.75   	3980.22   
2340.824923	1.30078e+06	1.27021e+06	1.26709e+06	1.27632e+06	3327.86   	2347.11   	2992.07   	2888.18   	4135.19   
2434.457880	1.35978e+06	1.32865e+06	1.32596e+06	1.33562e+06	3425.75   	2456.13   	3087.15   	2990.75   	4287.62   
