Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.674956  	0.001000	0.135142  	0.001000	0.102991  	0.001000	0.102991  	0.001000	0.0991209 	0.001000	0.0360215 	
0.002000	0.742169  	0.002000	0.171713  	0.002000	0.129129  	0.002000	0.129129  	0.002000	0.137293  	0.002000	0.0344194 	
0.005000	0.910022  	0.005000	0.239278  	0.005000	0.177833  	0.005000	0.177833  	0.005000	0.211194  	0.005000	0.0280847 	
0.008000	1.0413    	0.008000	0.287115  	0.008000	0.213132  	0.008000	0.213132  	0.008000	0.263401  	0.008000	0.0237142 	
0.010000	1.11605   	0.010000	0.314097  	0.010000	0.233346  	0.010000	0.233346  	0.010000	0.292526  	0.010000	0.021571  	
0.015000	1.30349   	0.015000	0.371708  	0.015000	0.27714   	0.015000	0.27714   	0.015000	0.353939  	0.015000	0.0177697 	
0.020000	1.45183   	0.020000	0.420429  	0.020000	0.314743  	0.020000	0.314743  	0.020000	0.405181  	0.020000	0.0152482 	
0.025000	1.61447   	0.025000	0.46433   	0.025000	0.350847  	0.025000	0.350847  	0.025000	0.450896  	0.025000	0.0134341 	
0.030000	1.75135   	0.030000	0.50503   	0.030000	0.42134   	0.030000	0.42134   	0.030000	0.492974  	0.030000	0.0120561 	
0.035000	1.84855   	0.035000	0.543746  	0.035000	0.470259  	0.035000	0.470259  	0.035000	0.532778  	0.035000	0.010968  	
0.040000	1.92073   	0.040000	0.579767  	0.040000	0.5068    	0.040000	0.5068    	0.040000	0.569684  	0.040000	0.0100834 	
0.045000	1.97101   	0.045000	0.607237  	0.045000	0.537663  	0.045000	0.537663  	0.045000	0.597889  	0.045000	0.009348  	
0.050000	2.00112   	0.050000	0.630621  	0.050000	0.565707  	0.050000	0.565707  	0.050000	0.621895  	0.050000	0.00872536	
0.055000	2.076     	0.055000	0.652119  	0.055000	0.591912  	0.055000	0.591912  	0.055000	0.643929  	0.055000	0.00819036	
0.060000	2.13852   	0.060000	0.671886  	0.060000	0.616563  	0.060000	0.616563  	0.060000	0.664161  	0.060000	0.00772496	
0.070000	2.23058   	0.070000	0.706796  	0.070000	0.661439  	0.070000	0.661439  	0.070000	0.699843  	0.070000	0.006953  	
0.080000	2.33278   	0.080000	0.736349  	0.080000	0.700583  	0.080000	0.700583  	0.080000	0.730012  	0.080000	0.00633671	
0.090000	2.40902   	0.090000	0.761312  	0.090000	0.734311  	0.090000	0.734311  	0.090000	0.755507  	0.090000	0.00580463	
0.100000	2.46622   	0.100000	0.78236   	0.100000	0.763142  	0.100000	0.763142  	0.100000	0.777     	0.100000	0.00535983	
0.120000	2.48605   	0.120000	0.814846  	0.120000	0.808293  	0.120000	0.808293  	0.120000	0.810147  	0.120000	0.00469838	
