Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.251654  	0.001000	0.229478  	0.001000	0.229032  	0.001000	0.229032  	0.001000	0.123035  	0.001000	0.106443  	
0.002000	0.274012  	0.002000	0.242234  	0.002000	0.24201   	0.002000	0.24201   	0.002000	0.161214  	0.002000	0.0810199 	
0.005000	0.331051  	0.005000	0.280642  	0.005000	0.281604  	0.005000	0.281604  	0.005000	0.230652  	0.005000	0.0499896 	
0.008000	0.376583  	0.008000	0.314673  	0.008000	0.316955  	0.008000	0.316955  	0.008000	0.277287  	0.008000	0.0373858 	
0.010000	0.402713  	0.010000	0.334953  	0.010000	0.338118  	0.010000	0.338118  	0.010000	0.302651  	0.010000	0.0323025 	
0.015000	0.469051  	0.015000	0.378937  	0.015000	0.384432  	0.015000	0.384432  	0.015000	0.35449   	0.015000	0.0244471 	
0.020000	0.522076  	0.020000	0.416257  	0.020000	0.431378  	0.020000	0.431378  	0.020000	0.396488  	0.020000	0.0197692 	
0.025000	0.580612  	0.025000	0.45947   	0.025000	0.477545  	0.025000	0.477545  	0.025000	0.442668  	0.025000	0.0168017 	
0.030000	0.63023   	0.030000	0.500167  	0.030000	0.517965  	0.030000	0.517965  	0.030000	0.485494  	0.030000	0.014673  	
0.035000	0.671024  	0.035000	0.538403  	0.035000	0.556563  	0.035000	0.556563  	0.035000	0.525339  	0.035000	0.0130635 	
0.040000	0.703176  	0.040000	0.574213  	0.040000	0.593366  	0.040000	0.593366  	0.040000	0.562413  	0.040000	0.0117995 	
0.045000	0.727024  	0.045000	0.607623  	0.045000	0.628402  	0.045000	0.628402  	0.045000	0.596845  	0.045000	0.0107777 	
0.050000	0.743057  	0.050000	0.638658  	0.050000	0.661702  	0.050000	0.661702  	0.050000	0.628725  	0.050000	0.00993277	
0.055000	0.775408  	0.055000	0.672844  	0.055000	0.693297  	0.055000	0.693297  	0.055000	0.663623  	0.055000	0.00922129	
0.060000	0.802964  	0.060000	0.705192  	0.060000	0.723221  	0.060000	0.723221  	0.060000	0.696579  	0.060000	0.0086131 	
0.070000	0.845057  	0.070000	0.764392  	0.070000	0.778212  	0.070000	0.778212  	0.070000	0.756766  	0.070000	0.00762601	
0.080000	0.890225  	0.080000	0.815561  	0.080000	0.827014  	0.080000	0.827014  	0.080000	0.808704  	0.080000	0.0068572 	
0.090000	0.925708  	0.090000	0.860301  	0.090000	0.870013  	0.090000	0.870013  	0.090000	0.854061  	0.090000	0.00623991	
0.100000	0.954167  	0.100000	0.899939  	0.100000	0.907628  	0.100000	0.907628  	0.100000	0.894207  	0.100000	0.00573235	
0.120000	0.971452  	0.120000	0.96375   	0.120000	0.968454  	0.120000	0.968454  	0.120000	0.958805  	0.120000	0.00494485	
0.140000	0.97832   	0.140000	1.00864   	0.140000	1.01296   	0.140000	1.01296   	0.140000	1.00428   	0.140000	0.00436012	
0.160000	0.980751  	0.160000	1.03818   	0.160000	1.04437   	0.160000	1.04437   	0.160000	1.03427   	0.160000	0.00390733	
0.180000	0.980543  	0.180000	1.05346   	0.180000	1.0655    	0.180000	1.0655    	0.180000	1.04991   	0.180000	0.00354549	
0.200000	0.982686  	0.200000	1.06249   	0.200000	1.07868   	0.200000	1.07868   	0.200000	1.05924   	0.200000	0.00324916	
