Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.139509  	0.139509  	0.133513  	0.133513  	-	-	0.000780361	0.00116062	0.000696109
93.633957	28341.9   	27840.3   	27920.6   	27954.4   	176.256   	87.4037   	150.27    	123.434   	154.783   
187.266914	92279.6   	91144.9   	91046.2   	91238.1   	552.064   	262.214   	469.536   	376.05    	494.412   
280.899871	180519    	178321    	178256    	178708    	1033.3    	487.337   	884.232   	705.925   	951.879   
374.532828	286248    	282842    	283107    	283899    	1569.79   	745.076   	1353.79   	1085.19   	1487.94   
468.165785	405460    	400404    	401194    	402391    	2132.02   	1024.88   	1853.31   	1495.97   	2076.33   
561.798742	535343    	528059    	529421    	531071    	2702.12   	1320.04   	2367.04   	1926.28   	2698.95   
655.431699	673741    	663618    	665475    	667620    	3269.22   	1626.4    	2884.79   	2367.78   	3342.88   
749.064655	818971    	805428    	807655    	810322    	3827.24   	1941.09   	3400.23   	2814.78   	3999.14   
842.697612	969688    	952211    	954654    	957865    	4372.63   	2261.97   	3909.36   	3263.3    	4661.28   
936.330569	1.12485e+06	1.10301e+06	1.1055e+06	1.10928e+06	4903.18   	2588.16   	4409.52   	3710.48   	5324.61   
1029.963526	1.28357e+06	1.25702e+06	1.25942e+06	1.26377e+06	5418.06   	2918.29   	4899.22   	4154.33   	5985.78   
1123.596483	1.44507e+06	1.41358e+06	1.41575e+06	1.42068e+06	5916.94   	3251.97   	5377.62   	4593.43   	6642.28   
1217.229440	1.60877e+06	1.57217e+06	1.57402e+06	1.57955e+06	6399.87   	3588.77   	5844.22   	5026.77   	7292.32   
1310.862397	1.77414e+06	1.73237e+06	1.73384e+06	1.73997e+06	6867.16   	3928.06   	6298.87   	5453.65   	7934.61   
1404.495354	1.94073e+06	1.8938e+06	1.89486e+06	1.90161e+06	7319.44   	4269.65   	6741.75   	5873.68   	8568.3    
1498.128311	2.10816e+06	2.05617e+06	2.05684e+06	2.0642e+06	7757.36   	4613.46   	7173.08   	6286.61   	9192.85   
1591.761268	2.27613e+06	2.21921e+06	2.21957e+06	2.22754e+06	8181.48   	4959.41   	7593.11   	6692.25   	9807.8    
1685.394225	2.44434e+06	2.38271e+06	2.38286e+06	2.39143e+06	8592.54   	5307.11   	8002.29   	7090.61   	10413     
1779.027182	2.61255e+06	2.54648e+06	2.54656e+06	2.55574e+06	8990.74   	5656.39   	8400.63   	7481.43   	11008     
1872.660139	2.78056e+06	2.71036e+06	2.71053e+06	2.72033e+06	9377.49   	6007.22   	8789.19   	7865.26   	11593.4   
1966.293096	2.94821e+06	2.87422e+06	2.8747e+06	2.88511e+06	9753.12   	6359.8    	9168.12   	8242.03   	12169     
2059.926052	3.11525e+06	3.03791e+06	3.03897e+06	3.05e+06  	10117.1   	6714.41   	9536.82   	8611.1    	12733.9   
2153.559009	3.28169e+06	3.20137e+06	3.20328e+06	3.21491e+06	10472.1   	7070.62   	9897.62   	8974.1    	13290.3   
2247.191966	3.44736e+06	3.36451e+06	3.36756e+06	3.37979e+06	10817.7   	7428.57   	10250     	9330.52   	13837.4   
2340.824923	3.61215e+06	3.52725e+06	3.53177e+06	3.5446e+06	11154.2   	7788.19   	10594.3   	9680.52   	14375.5   
2434.457880	3.776e+06 	3.68952e+06	3.69586e+06	3.70928e+06	11482.3   	8149.41   	10931     	10024.3   	14904.6   
2528.090837	3.93882e+06	3.85127e+06	3.8598e+06	3.87381e+06	11802.3   	8512.15   	11260.2   	10362     	15425.1   
2621.723794	4.10054e+06	4.01245e+06	4.02354e+06	4.03815e+06	12114.4   	8876.31   	11582.4   	10693.8   	15937.2   
