Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.418139  	0.001000	0.233696  	0.001000	0.265046  	0.001000	0.265046  	0.001000	0.129159  	0.001000	0.104537  	
0.002000	0.455288  	0.002000	0.253262  	0.002000	0.290341  	0.002000	0.290341  	0.002000	0.167499  	0.002000	0.0857629 	
0.005000	0.550061  	0.005000	0.293622  	0.005000	0.339371  	0.005000	0.339371  	0.005000	0.236178  	0.005000	0.0574436 	
0.008000	0.625715  	0.008000	0.3261    	0.008000	0.376738  	0.008000	0.376738  	0.008000	0.281699  	0.008000	0.0444013 	
0.010000	0.669133  	0.010000	0.345176  	0.010000	0.398223  	0.010000	0.398223  	0.010000	0.306285  	0.010000	0.0388907 	
0.015000	0.779357  	0.015000	0.397363  	0.015000	0.451891  	0.015000	0.451891  	0.015000	0.367239  	0.015000	0.0301248 	
0.020000	0.867461  	0.020000	0.483778  	0.020000	0.528892  	0.020000	0.528892  	0.020000	0.458899  	0.020000	0.0248791 	
0.025000	0.964722  	0.025000	0.567197  	0.025000	0.604929  	0.025000	0.604929  	0.025000	0.545858  	0.025000	0.0213391 	
0.030000	1.04717   	0.030000	0.646188  	0.030000	0.670454  	0.030000	0.670454  	0.030000	0.627596  	0.030000	0.0185918 	
0.035000	1.11495   	0.035000	0.720201  	0.035000	0.731783  	0.035000	0.731783  	0.035000	0.703549  	0.035000	0.0166521 	
0.040000	1.16837   	0.040000	0.788423  	0.040000	0.788672  	0.040000	0.788672  	0.040000	0.77331   	0.040000	0.0151135 	
0.045000	1.20799   	0.045000	0.850528  	0.045000	0.841146  	0.045000	0.841146  	0.045000	0.836668  	0.045000	0.0138599 	
0.050000	1.23463   	0.050000	0.906428  	0.050000	0.889284  	0.050000	0.889284  	0.050000	0.893611  	0.050000	0.0128166 	
0.055000	1.28839   	0.055000	0.956229  	0.055000	0.933212  	0.055000	0.933212  	0.055000	0.944296  	0.055000	0.0119332 	
0.060000	1.33417   	0.060000	1.00019   	0.060000	0.973097  	0.060000	0.973097  	0.060000	0.989014  	0.060000	0.0111746 	
0.070000	1.40411   	0.070000	1.07211   	0.070000	1.04155   	0.070000	1.04155   	0.070000	1.06217   	0.070000	0.0099364 	
0.080000	1.47916   	0.080000	1.12571   	0.080000	1.09646   	0.080000	1.09646   	0.080000	1.11675   	0.080000	0.00896579	
0.090000	1.53812   	0.090000	1.16529   	0.090000	1.13977   	0.090000	1.13977   	0.090000	1.15711   	0.090000	0.00818242	
0.100000	1.58541   	0.100000	1.19549   	0.100000	1.17337   	0.100000	1.17337   	0.100000	1.18796   	0.100000	0.00753553	
0.120000	1.61413   	0.120000	1.23191   	0.120000	1.21818   	0.120000	1.21818   	0.120000	1.22538   	0.120000	0.00652669	
0.140000	1.62554   	0.140000	1.24896   	0.140000	1.24219   	0.140000	1.24219   	0.140000	1.24319   	0.140000	0.00577337	
0.160000	1.62958   	0.160000	1.25472   	0.160000	1.25331   	0.160000	1.25331   	0.160000	1.24953   	0.160000	0.00518742	
0.180000	1.62923   	0.180000	1.2506    	0.180000	1.25669   	0.180000	1.25669   	0.180000	1.24589   	0.180000	0.00471746	
0.200000	1.63279   	0.200000	1.24537   	0.200000	1.25558   	0.200000	1.25558   	0.200000	1.24103   	0.200000	0.00433138	
0.250000	1.60299   	0.250000	1.23163   	0.250000	1.24404   	0.250000	1.24404   	0.250000	1.22802   	0.250000	0.00361026	
0.300000	1.60957   	0.300000	1.2362    	0.300000	1.22879   	0.300000	1.22879   	0.300000	1.2331    	0.300000	0.00310739	
0.350000	1.62163   	0.350000	1.24343   	0.350000	1.21326   	0.350000	1.21326   	0.350000	1.2407    	0.350000	0.0027351 	
0.400000	1.6188    	0.400000	1.2384    	0.400000	1.19976   	0.400000	1.19976   	0.400000	1.23595   	0.400000	0.0024475 	
0.450000	1.60987   	0.450000	1.22877   	0.450000	1.19457   	0.450000	1.19457   	0.450000	1.22656   	0.450000	0.00221812	
0.500000	1.60535   	0.500000	1.22305   	0.500000	1.18648   	0.500000	1.18648   	0.500000	1.22102   	0.500000	0.00203058	
0.600000	1.53402   	0.600000	1.20788   	0.600000	1.16471   	0.600000	1.16471   	0.600000	1.20614   	0.600000	0.00174157	
0.700000	1.45388   	0.700000	1.1873    	0.700000	1.13581   	0.700000	1.13581   	0.700000	1.18577   	0.700000	0.00152858	
0.800000	1.42296   	0.800000	1.16161   	0.800000	1.10531   	0.800000	1.10531   	0.800000	1.16025   	0.800000	0.00136466	
0.900000	1.38879   	0.900000	1.13448   	0.900000	1.07506   	0.900000	1.07506   	0.900000	1.13325   	0.900000	0.00123431	
1.000000	1.35287   	1.000000	1.10683   	1.000000	1.04549   	1.000000	1.04549   	1.000000	1.1057    	1.000000	0.00112801	
1.250000	1.25031   	1.250000	1.03088   	1.250000	0.97446   	1.250000	0.97446   	1.250000	1.02995   	1.250000	0.000931442	
1.500000	1.14471   	1.500000	0.95143   	1.500000	0.907984  	1.500000	0.907984  	1.500000	0.950634  	1.500000	0.000795969	
1.750000	1.0546    	1.750000	0.884221  	1.750000	0.851011  	1.750000	0.851011  	1.750000	0.883525  	1.750000	0.000696584	
2.000000	0.970761  	2.000000	0.820869  	2.000000	0.801225  	2.000000	0.801225  	2.000000	0.820248  	2.000000	0.000620369	
2.250000	0.901022  	2.250000	0.767191  	2.250000	0.7572    	2.250000	0.7572    	2.250000	0.766631  	2.250000	0.000559952	
2.500000	0.839128  	2.500000	0.72199   	2.500000	0.717946  	2.500000	0.717946  	2.500000	0.721479  	2.500000	0.000510811	
3.000000	0.74778   	3.000000	0.649011  	3.000000	0.650936  	3.000000	0.650936  	3.000000	0.648575  	3.000000	0.000435559	
3.500000	0.675207  	3.500000	0.591458  	3.500000	0.595879  	3.500000	0.595879  	3.500000	0.591077  	3.500000	0.000380499	
4.000000	0.616147  	4.000000	0.544678  	4.000000	0.549878  	4.000000	0.549878  	4.000000	0.544339  	4.000000	0.000338365	
4.500000	0.567124  	4.500000	0.505705  	4.500000	0.510886  	4.500000	0.510886  	4.500000	0.5054    	4.500000	0.000305026	
5.000000	0.525756  	5.000000	0.472568  	5.000000	0.47742   	5.000000	0.47742   	5.000000	0.47229   	5.000000	0.00027795	
5.500000	0.490362  	5.500000	0.443961  	5.500000	0.448382  	5.500000	0.448382  	5.500000	0.443705  	5.500000	0.0002555 	
6.000000	0.459721  	6.000000	0.418965  	6.000000	0.422942  	6.000000	0.422942  	6.000000	0.418728  	6.000000	0.000236567	
6.500000	0.432923  	6.500000	0.396909  	6.500000	0.400462  	6.500000	0.400462  	6.500000	0.396689  	6.500000	0.000220372	
7.000000	0.409279  	7.000000	0.377284  	7.000000	0.380449  	7.000000	0.380449  	7.000000	0.377078  	7.000000	0.000206353	
7.500000	0.388257  	7.500000	0.359698  	7.500000	0.362511  	7.500000	0.362511  	7.500000	0.359504  	7.500000	0.000194092	
8.000000	0.369437  	8.000000	0.343838  	8.000000	0.346336  	8.000000	0.346336  	8.000000	0.343654  	8.000000	0.000183273	
8.500000	0.352485  	8.500000	0.329455  	8.500000	0.331672  	8.500000	0.331672  	8.500000	0.329282  	8.500000	0.000173652	
9.000000	0.337133  	9.000000	0.316348  	9.000000	0.318311  	9.000000	0.318311  	9.000000	0.316183  	9.000000	0.000165038	
9.500000	0.323161  	9.500000	0.304349  	9.500000	0.306084  	9.500000	0.306084  	9.500000	0.304192  	9.500000	0.000157277	
10.000000	0.310389  	10.000000	0.29464   	10.000000	0.29485   	10.000000	0.29485   	10.000000	0.29449   	10.000000	0.000150247	
11.000000	0.287866  	11.000000	0.274798  	11.000000	0.274453  	11.000000	0.27467   	11.000000	0.27466   	11.000000	0.000137998	
12.000000	0.268626  	12.000000	0.257568  	12.000000	0.256845  	12.000000	0.257204  	12.000000	0.257441  	12.000000	0.000127677	
13.000000	0.251989  	13.000000	0.242475  	13.000000	0.241478  	13.000000	0.241928  	13.000000	0.242357  	13.000000	0.000118857	
14.000000	0.237455  	14.000000	0.22915   	14.000000	0.227937  	14.000000	0.228447  	14.000000	0.229039  	14.000000	0.000111228	
15.000000	0.224643  	15.000000	0.217301  	15.000000	0.215907  	15.000000	0.216456  	15.000000	0.217197  	15.000000	0.000104561	
16.000000	0.21326   	16.000000	0.206698  	16.000000	0.205147  	16.000000	0.205714  	16.000000	0.206599  	16.000000	9.86819e-05	
17.000000	0.203076  	17.000000	0.197153  	17.000000	0.195464  	17.000000	0.196032  	17.000000	0.19706   	17.000000	9.3457e-05	
18.000000	0.193908  	18.000000	0.188517  	18.000000	0.186691  	18.000000	0.187257  	18.000000	0.188428  	18.000000	8.87814e-05	
