Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0779857 	0.0779857 	0.103081  	0.103081  	-	-	0.000521227	0.000787206	0.000461655
93.633957	13592.2   	13356     	13365.6   	13381.4   	72.9673   	36.2574   	59.8297   	51.1302   	62.147    
187.266914	44226.4   	43687.1   	43548     	43681.8   	228.563   	108.84    	186.898   	155.714   	198.751   
280.899871	86504.1   	85455.7   	85240.3   	85577.1   	427.743   	202.372   	351.913   	292.258   	382.878   
374.532828	137162    	135535    	135360    	135967    	649.737   	309.482   	538.717   	449.21    	598.704   
468.165785	194279    	191862    	191802    	192732    	882.359   	425.807   	737.41    	619.181   	835.651   
561.798742	256509    	253025    	253088    	254379    	1118.22   	548.59    	941.744   	797.227   	1086.44   
655.431699	322820    	317975    	318115    	319798    	1352.85   	676.024   	1147.67   	979.893   	1345.86   
749.064655	392403    	385920    	386066    	388166    	1583.71   	806.947   	1352.67   	1164.82   	1610.28   
842.697612	464615    	456248    	456316    	458854    	1809.3    	940.543   	1555.14   	1350.37   	1877.08   
936.330569	538959    	528500    	528408    	531398    	2028.78   	1076.29   	1754.05   	1535.36   	2144.41   
1029.963526	615002    	602290    	601964    	605414    	2241.78   	1213.87   	1948.8    	1718.98   	2410.89   
1123.596483	692383    	677300    	676673    	680595    	2448.14   	1352.79   	2139.04   	1900.63   	2675.5    
1217.229440	770815    	753288    	752312    	756712    	2647.93   	1493.01   	2324.6    	2079.89   	2937.54   
1310.862397	850048    	830044    	828690    	833571    	2841.26   	1634.42   	2505.42   	2256.5    	3196.49   
1404.495354	929865    	907390    	905648    	911013    	3028.4    	1776.84   	2681.56   	2430.28   	3452.01   
1498.128311	1.01009e+06	985183    	983065    	988914    	3209.61   	1920.18   	2853.12   	2601.12   	3703.86   
1591.761268	1.09056e+06	1.0633e+06	1.06084e+06	1.06717e+06	3385.08   	2064.39   	3020.18   	2768.94   	3951.84   
1685.394225	1.17116e+06	1.14164e+06	1.13887e+06	1.14569e+06	3555.14   	2209.34   	3182.91   	2933.74   	4195.9    
