Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0532585 	0.0532585 	0.0466761 	0.0466761 	-	-	0.000109334	0.000177194	8.17677e-05
93.633957	13435.9   	13302     	13513.9   	13525.2   	93.459    	45.4543   	29.4636   	25.9204   	29.3905   
187.266914	44924.2   	44470.4   	45082.6   	45216.9   	300.771   	140.961   	94.999    	81.452    	97.345    
280.899871	88979.7   	87933.1   	89162.9   	89518.8   	570.136   	266.432   	181.429   	155.025   	190.54    
374.532828	142169    	140470    	142503    	143159    	873.264   	411.929   	280.236   	240.389   	300.975   
468.165785	202439    	199913    	202863    	203882    	1193.28   	571.331   	386.109   	333.486   	423.203   
561.798742	268339    	264752    	268673    	270103    	1519.95   	740.961   	495.683   	431.595   	553.461   
655.431699	338752    	333851    	338753    	340633    	1846.94   	918.218   	606.746   	532.801   	689.027   
749.064655	412799    	406341    	412212    	414575    	2170.33   	1101.51   	717.857   	635.746   	827.932   
842.697612	489778    	481546    	488368    	491237    	2487.89   	1289.46   	828.092   	739.476   	968.755   
936.330569	569147    	558955    	566669    	570064    	2797.63   	1480.96   	936.735   	843.213   	1110.33   
1029.963526	650431    	638133    	646685    	650621    	3098.85   	1675.39   	1043.38   	946.431   	1251.85   
1123.596483	733235    	718725    	728089    	732575    	3391.45   	1872.45   	1147.82   	1048.79   	1392.76   
1217.229440	817243    	800454    	810624    	815671    	3675.36   	2071.88   	1249.93   	1150.03   	1532.64   
1310.862397	902182    	883083    	894080    	899700    	3950.72   	2273.46   	1349.64   	1249.96   	1671.18   
1404.495354	987810    	966407    	978286    	984481    	4217.93   	2476.89   	1446.99   	1348.51   	1808.21   
1498.128311	1.07393e+06	1.05026e+06	1.06311e+06	1.06988e+06	4477.26   	2682.14   	1541.99   	1445.57   	1943.55   
1591.761268	1.16038e+06	1.13451e+06	1.14842e+06	1.15577e+06	4728.96   	2889.06   	1634.68   	1541.11   	2077.1    
1685.394225	1.24701e+06	1.21903e+06	1.23413e+06	1.24206e+06	4973.44   	3097.6    	1725.16   	1635.09   	2208.81   
1779.027182	1.33369e+06	1.30372e+06	1.32016e+06	1.32868e+06	5210.81   	3307.76   	1813.4    	1727.47   	2338.55   
1872.660139	1.4203e+06	1.38848e+06	1.40644e+06	1.41554e+06	5441.84   	3519.3    	1899.63   	1818.35   	2466.45   
1966.293096	1.50677e+06	1.47325e+06	1.4929e+06	1.5026e+06	5666.66   	3732.17   	1983.87   	1907.7    	2592.45   
2059.926052	1.59297e+06	1.55795e+06	1.57952e+06	1.58981e+06	5884.95   	3946.51   	2065.98   	1995.39   	2716.34   
2153.559009	1.67889e+06	1.64253e+06	1.66624e+06	1.6771e+06	6098.22   	4162.08   	2146.45   	2081.74   	2838.55   
2247.191966	1.76444e+06	1.72696e+06	1.75302e+06	1.76447e+06	6306.19   	4379.04   	2225.16   	2166.66   	2958.91   
2340.824923	1.84958e+06	1.81118e+06	1.83985e+06	1.85188e+06	6509.11   	4597.39   	2302.18   	2250.17   	3077.47   
2434.457880	1.93426e+06	1.89515e+06	1.92669e+06	1.9393e+06	6707.23   	4817.09   	2377.59   	2332.3    	3194.26   
2528.090837	2.01844e+06	1.97886e+06	2.01353e+06	2.02672e+06	6900.76   	5038.12   	2451.45   	2413.1    	3309.3    
2621.723794	2.10209e+06	2.06226e+06	2.10034e+06	2.11411e+06	7089.94   	5260.44   	2523.83   	2492.59   	3422.65   
2715.356751	2.18517e+06	2.14534e+06	2.18711e+06	2.20146e+06	7274.95   	5484.02   	2594.78   	2570.82   	3534.34   
2808.989708	2.26767e+06	2.22808e+06	2.27384e+06	2.28876e+06	7456      	5708.86   	2664.37   	2647.82   	3644.41   
2902.622665	2.34955e+06	2.31046e+06	2.36049e+06	2.37599e+06	7633.26   	5934.93   	2732.65   	2723.63   	3752.91   
2996.255622	2.43079e+06	2.39244e+06	2.44708e+06	2.46314e+06	7806.76   	6162.29   	2799.63   	2798.23   	3859.8    
3089.888579	2.51102e+06	2.47382e+06	2.53352e+06	2.55016e+06	7975.04   	6391.53   	2864.78   	2871.11   	3964.42   
3183.521536	2.59121e+06	2.55517e+06	2.61997e+06	2.63718e+06	8143.1    	6620.85   	2929.86   	2943.93   	4068.94   
3277.154493	2.67023e+06	2.63579e+06	2.70624e+06	2.72402e+06	8305.63   	6852.31   	2992.99   	3014.88   	4170.99   
3370.787449	2.74899e+06	2.71626e+06	2.79248e+06	2.81082e+06	8466.98   	7084.22   	3055.7    	3085.44   	4272.5    
3464.420406	2.82676e+06	2.79609e+06	2.87857e+06	2.89747e+06	8624.11   	7317.88   	3116.93   	3154.55   	4372.06   
3558.053363	2.90406e+06	2.87564e+06	2.96458e+06	2.98404e+06	8779.33   	7552.34   	3177.48   	3223      	4470.73   
3651.686320	2.98056e+06	2.95468e+06	3.05046e+06	3.07048e+06	8931.44   	7788.19   	3236.92   	3290.35   	4567.93   
3745.319277	3.05639e+06	3.03329e+06	3.13623e+06	3.15681e+06	9081.05   	8025.17   	3295.48   	3356.82   	4663.94   
3838.952234	3.13161e+06	3.11151e+06	3.2219e+06	3.24303e+06	9228.5    	8263.17   	3353.26   	3422.51   	4758.89   
3932.585191	3.20596e+06	3.18918e+06	3.30743e+06	3.32911e+06	9372.94   	8502.63   	3409.97   	3487.12   	4852.38   
4026.218148	3.27991e+06	3.26658e+06	3.39288e+06	3.41511e+06	9516.04   	8742.77   	3466.21   	3551.24   	4945.2    
4119.851105	3.35279e+06	3.3433e+06	3.47815e+06	3.50093e+06	9655.72   	8984.67   	3521.21   	3614.1    	5036.31   
4213.484062	3.42547e+06	3.41988e+06	3.56338e+06	3.58671e+06	9794.76   	9226.91   	3575.99   	3676.73   	5127.11   
4307.117019	3.49689e+06	3.49564e+06	3.64839e+06	3.67227e+06	9930.04   	9471.23   	3629.42   	3737.95   	5215.98   
4400.749976	3.5683e+06	3.5714e+06	3.7334e+06	3.75782e+06	10065.3   	9715.57   	3682.83   	3799.15   	5304.84   
4494.382933	3.63829e+06	3.64621e+06	3.81816e+06	3.84312e+06	10196.5   	9962.28   	3734.79   	3858.83   	5391.6    
4588.015890	3.70827e+06	3.72102e+06	3.90292e+06	3.92841e+06	10327.6   	10209     	3786.75   	3918.5    	5478.36   
4681.648846	3.77701e+06	3.79502e+06	3.98745e+06	4.01348e+06	10455.5   	10457.8   	3837.51   	3976.91   	5563.38   
4775.281803	3.84557e+06	3.86889e+06	4.07195e+06	4.09851e+06	10582.9   	10706.8   	3888.11   	4035.13   	5648.14   
4868.914760	3.91311e+06	3.94208e+06	4.15626e+06	4.18336e+06	10707.7   	10957.6   	3937.76   	4092.34   	5731.52   
4962.547717	3.98028e+06	4.01502e+06	4.2405e+06	4.26813e+06	10831.5   	11209     	3987.08   	4149.18   	5814.39   
5056.180674	4.04652e+06	4.08734e+06	4.32458e+06	4.35274e+06	10953.1   	11462     	4035.6    	4205.16   	5896.06   
5149.813631	4.11215e+06	4.15924e+06	4.40854e+06	4.43723e+06	11073.3   	11716     	4083.58   	4260.55   	5976.94   
5243.446588	4.17778e+06	4.23115e+06	4.4925e+06	4.52171e+06	11193.4   	11970.1   	4131.57   	4315.94   	6057.81   
5337.079545	4.24186e+06	4.30201e+06	4.57618e+06	4.60591e+06	11310     	12226.7   	4178.28   	4369.93   	6136.74   
5430.712502	4.30583e+06	4.37278e+06	4.65983e+06	4.69009e+06	11426.3   	12483.6   	4224.9    	4423.81   	6215.52   
5524.345459	4.36917e+06	4.44313e+06	4.74337e+06	4.77415e+06	11541.3   	12741.6   	4271.03   	4477.15   	6293.55   
5617.978416	4.43073e+06	4.51226e+06	4.82658e+06	4.85787e+06	11652.5   	13002.7   	4315.8    	4528.96   	6369.45   
