*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0560225 	0.001000	0.0560225 	0.001000	0.0758934 	0.001000	0.0758934 	0.001000	0         	0.001000	0         	0.001000	0.00032425	0.001000	0.00049723	0.001000	0.000283745
0.002000	0.119009  	0.002000	0.112045  	0.002000	0.151787  	0.002000	0.151787  	0.002000	0.0160061 	0.002000	0.0160061 	0.002000	0.000949691	0.002000	0.0014071 	0.002000	0.000853227
0.005000	0.255603  	0.005000	0.233535  	0.005000	0.31689   	0.005000	0.31689   	0.005000	0.0180667 	0.005000	0.0180667 	0.005000	0.00279943	0.005000	0.00405384	0.005000	0.0025552
0.008000	0.360645  	0.008000	0.326963  	0.008000	0.443714  	0.008000	0.443714  	0.008000	0.0181197 	0.008000	0.0181197 	0.008000	0.00456038	0.008000	0.00652167	0.008000	0.00419616
0.010000	0.421582  	0.010000	0.381162  	0.010000	0.5171    	0.010000	0.5171    	0.010000	0.0182886 	0.010000	0.0182886 	0.010000	0.00571152	0.010000	0.00812069	0.010000	0.00527433
0.015000	0.554469  	0.015000	0.499356  	0.015000	0.676533  	0.015000	0.676533  	0.015000	0.019077  	0.015000	0.019077  	0.015000	0.00854691	0.015000	0.0120302 	0.015000	0.00794102
0.020000	0.669118  	0.020000	0.601328  	0.020000	0.81336   	0.020000	0.81336   	0.020000	0.0200717 	0.020000	0.0200717 	0.020000	0.0113354 	0.020000	0.0157967 	0.020000	0.0105741
0.025000	0.771594  	0.025000	0.692474  	0.025000	0.934938  	0.025000	0.934938  	0.025000	0.0210748 	0.025000	0.0210748 	0.025000	0.0140938 	0.025000	0.0192482 	0.025000	0.0131858
0.030000	0.865036  	0.030000	0.775584  	0.030000	1.03908   	0.030000	1.03908   	0.030000	0.0218723 	0.030000	0.0218723 	0.030000	0.0166806 	0.030000	0.0223034 	0.030000	0.0156338
0.035000	0.951307  	0.035000	0.852316  	0.035000	1.12918   	0.035000	1.12918   	0.035000	0.022485  	0.035000	0.022485  	0.035000	0.0191025 	0.035000	0.0250158 	0.035000	0.0179243
0.040000	1.03178   	0.040000	0.923894  	0.040000	1.21145   	0.040000	1.21145   	0.040000	0.023018  	0.040000	0.023018  	0.040000	0.0214713 	0.040000	0.0275331 	0.040000	0.0201669
0.045000	1.10784   	0.045000	0.991544  	0.045000	1.28842   	0.045000	1.28842   	0.045000	0.023504  	0.045000	0.023504  	0.045000	0.0238342 	0.045000	0.0299253 	0.045000	0.0224071
0.050000	1.18083   	0.050000	1.05646   	0.050000	1.36127   	0.050000	1.36127   	0.050000	0.0239542 	0.050000	0.0238252 	0.050000	0.0262027 	0.050000	0.0322169 	0.050000	0.0246555
0.055000	1.25125   	0.055000	1.11909   	0.055000	1.43069   	0.055000	1.43069   	0.055000	0.0243739 	0.055000	0.0240516 	0.055000	0.0285889 	0.055000	0.0344334 	0.055000	0.0269235
0.060000	1.31946   	0.060000	1.17976   	0.060000	1.49717   	0.060000	1.49717   	0.060000	0.0247669 	0.060000	0.024263  	0.060000	0.0309264 	0.060000	0.036587  	0.060000	0.0292138
0.070000	1.45039   	0.070000	1.29622   	0.070000	1.62283   	0.070000	1.62283   	0.070000	0.0254859 	0.070000	0.0246501 	0.070000	0.0351526 	0.070000	0.0407442 	0.070000	0.0338706
0.080000	1.57546   	0.080000	1.40746   	0.080000	1.74071   	0.080000	1.74071   	0.080000	0.026134  	0.080000	0.0250007 	0.080000	0.0392917 	0.080000	0.0447541 	0.080000	0.0381125
0.090000	1.69597   	0.090000	1.51464   	0.090000	1.85258   	0.090000	1.85258   	0.090000	0.0267291 	0.090000	0.0253249 	0.090000	0.0432879 	0.090000	0.0486209 	0.090000	0.042121
0.100000	1.81286   	0.100000	1.61861   	0.100000	1.95976   	0.100000	1.95976   	0.100000	0.0272845 	0.100000	0.0256302 	0.100000	0.0470915 	0.100000	0.052323  	0.100000	0.045951
0.120000	2.03863   	0.120000	1.81941   	0.120000	2.1638    	0.120000	2.1638    	0.120000	0.0283139 	0.120000	0.0262038 	0.120000	0.0542472 	0.120000	0.0593528 	0.120000	0.0531744
0.140000	2.25662   	0.140000	2.0133    	0.140000	2.35836   	0.140000	2.35836   	0.140000	0.0292763 	0.140000	0.02675   	0.140000	0.0602559 	0.140000	0.0652927 	0.140000	0.0592442
0.160000	2.46844   	0.160000	2.2017    	0.160000	2.54682   	0.160000	2.54682   	0.160000	0.030203  	0.160000	0.0272852 	0.160000	0.0654533 	0.160000	0.0704962 	0.160000	0.0644863
0.180000	2.67624   	0.180000	2.38653   	0.180000	2.73135   	0.180000	2.73135   	0.180000	0.031113  	0.180000	0.0278194 	0.180000	0.0700545 	0.180000	0.075172  	0.180000	0.0691134
0.200000	2.88156   	0.200000	2.56914   	0.200000	2.91338   	0.200000	2.91338   	0.200000	0.0320181 	0.200000	0.0283587 	0.200000	0.0742178 	0.200000	0.0794365 	0.200000	0.0732976
0.250000	3.38886   	0.250000	3.02035   	0.250000	3.36304   	0.250000	3.36304   	0.250000	0.0342998 	0.250000	0.0297506 	0.250000	0.0841428 	0.250000	0.0897118 	0.250000	0.083246
0.300000	3.89158   	0.300000	3.46748   	0.300000	3.81072   	0.300000	3.81072   	0.300000	0.0366426 	0.300000	0.0312206 	0.300000	0.0933643 	0.300000	0.0993501 	0.300000	0.0924818
0.350000	4.39117   	0.350000	3.91183   	0.350000	4.25993   	0.350000	4.25993   	0.350000	0.0390573 	0.350000	0.0327702 	0.350000	0.101766  	0.350000	0.108193  	0.350000	0.100888
0.400000	4.88904   	0.400000	4.35466   	0.400000	4.71023   	0.400000	4.71023   	0.400000	0.0415071 	0.400000	0.0343711 	0.400000	0.109923  	0.400000	0.116789  	0.400000	0.109049
0.450000	5.38148   	0.450000	4.79265   	0.450000	5.16074   	0.450000	5.16074   	0.450000	0.0439608 	0.450000	0.0359975 	0.450000	0.117668  	0.450000	0.124966  	0.450000	0.116796
