Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0831529 	0.0831529 	0.109352  	0.109352  	-	-	0.000571202	0.000860157	0.000507055
93.633957	14727.6   	14471.6   	14482.1   	14499.2   	75.9536   	37.7414   	62.5278   	53.2221   	64.9109   
187.266914	47921     	47336.5   	47185.8   	47330.8   	237.918   	113.295   	195.327   	162.085   	207.557   
280.899871	93730.5   	92594.3   	92361     	92725.8   	445.251   	210.655   	367.785   	304.217   	399.809   
374.532828	148620    	146857    	146667    	147325    	676.331   	322.149   	563.014   	467.592   	625.145   
468.165785	210509    	207890    	207825    	208832    	918.474   	443.235   	770.669   	644.519   	872.523   
561.798742	277938    	274162    	274231    	275629    	1163.99   	571.044   	984.22    	829.85    	1134.34   
655.431699	349787    	344538    	344689    	346513    	1408.23   	703.688   	1199.44   	1019.99   	1405.17   
749.064655	425184    	418159    	418316    	420592    	1648.53   	839.971   	1413.68   	1212.49   	1681.21   
842.697612	503428    	494361    	494435    	497186    	1883.35   	979.035   	1625.28   	1405.63   	1959.73   
936.330569	583983    	572650    	572550    	575790    	2111.82   	1120.34   	1833.16   	1598.19   	2238.79   
1029.963526	666378    	652603    	652251    	655988    	2333.54   	1263.55   	2036.7    	1789.33   	2516.97   
1123.596483	750223    	733880    	733200    	737450    	2548.34   	1408.15   	2235.52   	1978.4    	2793.2    
1217.229440	835208    	816215    	815158    	819925    	2756.31   	1554.1    	2429.45   	2165.01   	3066.74   
1310.862397	921060    	899384    	897917    	903205    	2957.55   	1701.29   	2618.42   	2348.84   	3337.05   
1404.495354	1.00754e+06	983191    	981303    	987116    	3152.36   	1849.54   	2802.52   	2529.73   	3603.77   
1498.128311	1.09447e+06	1.06748e+06	1.06519e+06	1.07152e+06	3340.98   	1998.75   	2981.81   	2707.56   	3866.67   
1591.761268	1.18167e+06	1.15213e+06	1.14945e+06	1.15632e+06	3523.64   	2148.87   	3156.4    	2882.25   	4125.53   
1685.394225	1.26899e+06	1.23701e+06	1.23401e+06	1.2414e+06	3700.65   	2299.75   	3326.48   	3053.8    	4380.29   
1779.027182	1.35632e+06	1.32203e+06	1.31878e+06	1.32671e+06	3872.14   	2451.32   	3492.05   	3222.11   	4630.77   
1872.660139	1.44355e+06	1.40711e+06	1.40369e+06	1.41215e+06	4038.72   	2603.58   	3653.57   	3387.41   	4877.23   
1966.293096	1.53058e+06	1.49217e+06	1.48871e+06	1.4977e+06	4200.52   	2756.62   	3811.09   	3549.68   	5119.61   
2059.926052	1.6173e+06	1.57716e+06	1.57379e+06	1.5833e+06	4357.29   	2910.54   	3964.36   	3708.64   	5357.49   
2153.559009	1.70371e+06	1.66202e+06	1.65887e+06	1.66891e+06	4510.21   	3065.16   	4114.35   	3864.99   	5591.78   
2247.191966	1.78971e+06	1.74671e+06	1.74395e+06	1.75451e+06	4659.04   	3220.52   	4260.84   	4018.49   	5822.16   
2340.824923	1.87527e+06	1.8312e+06	1.82898e+06	1.84007e+06	4804.01   	3376.61   	4403.97   	4169.23   	6048.73   
2434.457880	1.96033e+06	1.91544e+06	1.91396e+06	1.92556e+06	4945.3    	3533.38   	4543.91   	4317.29   	6271.58   
2528.090837	2.04485e+06	1.99941e+06	1.99885e+06	2.01098e+06	5083.11   	3690.82   	4680.78   	4462.74   	6490.78   
2621.723794	2.12882e+06	2.08309e+06	2.08365e+06	2.09629e+06	5217.57   	3848.88   	4814.72   	4605.65   	6706.43   
2715.356751	2.21218e+06	2.16645e+06	2.16834e+06	2.18149e+06	5348.86   	4007.55   	4945.84   	4746.11   	6918.62   
2808.989708	2.29494e+06	2.24947e+06	2.2529e+06	2.26656e+06	5477.11   	4166.85   	5074.28   	4884.17   	7127.44   
2902.622665	2.37705e+06	2.33213e+06	2.33733e+06	2.35149e+06	5602.48   	4326.77   	5200.13   	5019.92   	7332.98   
2996.255622	2.45848e+06	2.41442e+06	2.42161e+06	2.43628e+06	5724.99   	4487.37   	5323.42   	5153.33   	7535.21   
3089.888579	2.53887e+06	2.4961e+06	2.50566e+06	2.52083e+06	5843.52   	4648.99   	5443.12   	5283.44   	7732.73   
3183.521536	2.61922e+06	2.57776e+06	2.58971e+06	2.60537e+06	5961.89   	4810.65   	5562.67   	5413.41   	7930.05   
3277.154493	2.69834e+06	2.65872e+06	2.67347e+06	2.68963e+06	6076.07   	4973.49   	5678.42   	5539.81   	8122.28   
3370.787449	2.77721e+06	2.73952e+06	2.75718e+06	2.77383e+06	6189.36   	5136.59   	5793.36   	5665.44   	8313.41   
3464.420406	2.85503e+06	2.81971e+06	2.84065e+06	2.8578e+06	6299.47   	5300.66   	5905.38   	5788.3    	8500.54   
3558.053363	2.93239e+06	2.89962e+06	2.92402e+06	2.94165e+06	6408.13   	5465.18   	6016.09   	5909.89   	8685.86   
3651.686320	3.0089e+06	2.97903e+06	3.00718e+06	3.02531e+06	6514.47   	5630.48   	6124.65   	6029.4    	8868.18   
3745.319277	3.08474e+06	3.05803e+06	3.0902e+06	3.1088e+06	6618.92   	5796.4    	6231.48   	6147.22   	9048.06   
3838.952234	3.15994e+06	3.13665e+06	3.17306e+06	3.19215e+06	6721.76   	5962.91   	6336.83   	6263.57   	9225.82   
3932.585191	3.23425e+06	3.21474e+06	3.25572e+06	3.2753e+06	6822.34   	6130.23   	6440.09   	6377.86   	9400.6    
4026.218148	3.30813e+06	3.29256e+06	3.33828e+06	3.35834e+06	6921.93   	6297.94   	6542.43   	6491.22   	9574.04   
