Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
24719.101629	7.92684e+06	1.04085e+07	1.44826e+07	1.457e+07 	12276.6   	40248     	13391.6   	14202.7   	21596.6   
24812.734586	7.9378e+06	1.04323e+07	1.4533e+07	1.46207e+07	12297     	40440.4   	13422.5   	14234.1   	21645.8   
24906.367543	7.94876e+06	1.04561e+07	1.45834e+07	1.46714e+07	12317.4   	40632.9   	13453.3   	14265.5   	21695     
25000.000500	7.95972e+06	1.04799e+07	1.46339e+07	1.47221e+07	12337.8   	40825.3   	13484.2   	14296.9   	21744.2   
25093.633457	7.97009e+06	1.0503e+07	1.46841e+07	1.47725e+07	12357.7   	41020.2   	13514.9   	14328     	21792.9   
25187.266414	7.98047e+06	1.05262e+07	1.47343e+07	1.4823e+07	12377.6   	41215     	13545.5   	14359     	21841.6   
25280.899371	7.99085e+06	1.05493e+07	1.47846e+07	1.48735e+07	12397.5   	41409.9   	13576.1   	14390     	21890.2   
25374.532328	8.00122e+06	1.05725e+07	1.48348e+07	1.49239e+07	12417.4   	41604.7   	13606.7   	14421.1   	21938.9   
25468.165285	8.0116e+06	1.05956e+07	1.4885e+07	1.49744e+07	12437.3   	41799.6   	13637.3   	14452.1   	21987.5   
25561.798242	8.02197e+06	1.06188e+07	1.49352e+07	1.50249e+07	12457.2   	41994.4   	13667.9   	14483.1   	22036.2   
25655.431199	8.03235e+06	1.06419e+07	1.49854e+07	1.50753e+07	12477.1   	42189.3   	13698.5   	14514.2   	22084.8   
25749.064155	8.04273e+06	1.06651e+07	1.50357e+07	1.51258e+07	12497     	42384.1   	13729.1   	14545.2   	22133.5   
25842.697112	8.0531e+06	1.06882e+07	1.50859e+07	1.51763e+07	12516.9   	42579     	13759.7   	14576.3   	22182.2   
25936.330069	8.06348e+06	1.07114e+07	1.51361e+07	1.52267e+07	12536.8   	42773.8   	13790.3   	14607.3   	22230.8   
26029.963026	8.07368e+06	1.07343e+07	1.51863e+07	1.52771e+07	12556.5   	42969.4   	13820.8   	14638.2   	22279.3   
26123.595983	8.08352e+06	1.07569e+07	1.52363e+07	1.53274e+07	12576     	43166.7   	13851.2   	14668.9   	22327.4   
26217.228940	8.09336e+06	1.07794e+07	1.52863e+07	1.53776e+07	12595.4   	43364     	13881.5   	14699.6   	22375.6   
26310.861897	8.10319e+06	1.08019e+07	1.53363e+07	1.54279e+07	12614.8   	43561.2   	13911.9   	14730.3   	22423.7   
26404.494854	8.11303e+06	1.08244e+07	1.53863e+07	1.54782e+07	12634.2   	43758.5   	13942.2   	14760.9   	22471.8   
26498.127811	8.12287e+06	1.08469e+07	1.54364e+07	1.55284e+07	12653.7   	43955.8   	13972.5   	14791.6   	22519.9   
26591.760768	8.13271e+06	1.08695e+07	1.54864e+07	1.55787e+07	12673.1   	44153     	14002.9   	14822.3   	22568.1   
26685.393725	8.14254e+06	1.0892e+07	1.55364e+07	1.56289e+07	12692.5   	44350.3   	14033.2   	14853     	22616.2   
26779.026682	8.15238e+06	1.09145e+07	1.55864e+07	1.56792e+07	12711.9   	44547.6   	14063.6   	14883.7   	22664.3   
26872.659639	8.16222e+06	1.0937e+07	1.56364e+07	1.57294e+07	12731.4   	44744.9   	14093.9   	14914.4   	22712.5   
26966.292596	8.17206e+06	1.09595e+07	1.56865e+07	1.57797e+07	12750.8   	44942.1   	14124.2   	14945     	22760.6   
27059.925552	8.18157e+06	1.09817e+07	1.57363e+07	1.58298e+07	12769.9   	45140.9   	14154.4   	14975.5   	22808.4   
27153.558509	8.19091e+06	1.10036e+07	1.57862e+07	1.58799e+07	12788.9   	45340.6   	14184.5   	15005.9   	22856     
27247.191466	8.20025e+06	1.10255e+07	1.5836e+07	1.59299e+07	12807.9   	45540.3   	14214.6   	15036.2   	22903.7   
27340.824423	8.20959e+06	1.10475e+07	1.58858e+07	1.598e+07 	12826.9   	45740     	14244.6   	15066.6   	22951.3   
27434.457380	8.21893e+06	1.10694e+07	1.59356e+07	1.603e+07 	12845.9   	45939.7   	14274.7   	15096.9   	22998.9   
27528.090337	8.22827e+06	1.10913e+07	1.59855e+07	1.60801e+07	12864.9   	46139.4   	14304.8   	15127.3   	23046.6   
27621.723294	8.23761e+06	1.11133e+07	1.60353e+07	1.61302e+07	12883.8   	46339.1   	14334.9   	15157.6   	23094.2   
27715.356251	8.24694e+06	1.11352e+07	1.60851e+07	1.61802e+07	12902.8   	46538.7   	14364.9   	15188     	23141.9   
27808.989208	8.25628e+06	1.11571e+07	1.61349e+07	1.62303e+07	12921.8   	46738.4   	14395     	15218.3   	23189.5   
27902.622165	8.26562e+06	1.1179e+07	1.61848e+07	1.62803e+07	12940.8   	46938.1   	14425.1   	15248.7   	23237.1   
27996.255122	8.27496e+06	1.1201e+07	1.62346e+07	1.63304e+07	12959.8   	47137.8   	14455.2   	15279     	23284.8   
28089.888079	8.28386e+06	1.12223e+07	1.62842e+07	1.63803e+07	12978.4   	47339.7   	14485     	15309.1   	23332     
28183.521036	8.29273e+06	1.12437e+07	1.63339e+07	1.64301e+07	12996.9   	47541.7   	14514.8   	15339.1   	23379.1   
28277.153993	8.30161e+06	1.12651e+07	1.63835e+07	1.648e+07 	13015.5   	47743.7   	14544.6   	15369.2   	23426.3   
28370.786949	8.31048e+06	1.12864e+07	1.64331e+07	1.65299e+07	13034.1   	47945.7   	14574.5   	15399.2   	23473.5   
28464.419906	8.31936e+06	1.13078e+07	1.64828e+07	1.65797e+07	13052.6   	48147.7   	14604.3   	15429.3   	23520.7   
28558.052863	8.32824e+06	1.13292e+07	1.65324e+07	1.66296e+07	13071.2   	48349.7   	14634.1   	15459.3   	23567.8   
28651.685820	8.33711e+06	1.13505e+07	1.65821e+07	1.66795e+07	13089.8   	48551.7   	14664     	15489.4   	23615     
28745.318777	8.34599e+06	1.13719e+07	1.66317e+07	1.67293e+07	13108.3   	48753.7   	14693.8   	15519.4   	23662.2   
28838.951734	8.35486e+06	1.13933e+07	1.66813e+07	1.67792e+07	13126.9   	48955.7   	14723.6   	15549.4   	23709.4   
28932.584691	8.36374e+06	1.14146e+07	1.6731e+07	1.68291e+07	13145.5   	49157.7   	14753.4   	15579.5   	23756.5   
29026.217648	8.3725e+06	1.14359e+07	1.67806e+07	1.68789e+07	13163.9   	49360.3   	14783.2   	15609.4   	23803.6   
29119.850605	8.38094e+06	1.14567e+07	1.683e+07 	1.69286e+07	13182.1   	49564.5   	14812.8   	15639.2   	23850.3   
29213.483562	8.38939e+06	1.14775e+07	1.68795e+07	1.69782e+07	13200.3   	49768.7   	14842.4   	15668.9   	23897.1   
29307.116519	8.39784e+06	1.14983e+07	1.69289e+07	1.70279e+07	13218.5   	49972.8   	14871.9   	15698.7   	23943.8   
29400.749476	8.40628e+06	1.15192e+07	1.69784e+07	1.70776e+07	13236.7   	50177     	14901.5   	15728.4   	23990.6   
29494.382433	8.41473e+06	1.154e+07 	1.70279e+07	1.71273e+07	13254.8   	50381.2   	14931.1   	15758.2   	24037.3   
29588.015390	8.42317e+06	1.15608e+07	1.70773e+07	1.7177e+07	13273     	50585.4   	14960.7   	15787.9   	24084     
29681.648346	8.43162e+06	1.15817e+07	1.71268e+07	1.72267e+07	13291.2   	50789.6   	14990.3   	15817.7   	24130.8   
29775.281303	8.44007e+06	1.16025e+07	1.71762e+07	1.72764e+07	13309.4   	50993.8   	15019.8   	15847.4   	24177.5   
29868.914260	8.44851e+06	1.16233e+07	1.72257e+07	1.7326e+07	13327.6   	51198     	15049.4   	15877.2   	24224.3   
29962.547217	8.45696e+06	1.16442e+07	1.72752e+07	1.73757e+07	13345.8   	51402.1   	15079     	15907     	24271     
30056.180174	8.46505e+06	1.16646e+07	1.73245e+07	1.74253e+07	13363.6   	51608.2   	15108.4   	15936.5   	24317.4   
30149.813131	8.47291e+06	1.16846e+07	1.73737e+07	1.74747e+07	13381.2   	51815.6   	15137.6   	15965.8   	24363.5   
30243.446088	8.48077e+06	1.17047e+07	1.74229e+07	1.75241e+07	13398.9   	52023     	15166.8   	15995.1   	24409.7   
30337.079045	8.48863e+06	1.17248e+07	1.74721e+07	1.75735e+07	13416.5   	52230.3   	15196.1   	16024.5   	24455.8   
30430.712002	8.49649e+06	1.17449e+07	1.75213e+07	1.7623e+07	13434.2   	52437.7   	15225.3   	16053.8   	24502     
30524.344959	8.50435e+06	1.1765e+07	1.75705e+07	1.76724e+07	13451.8   	52645     	15254.5   	16083.2   	24548.1   
30617.977916	8.51221e+06	1.17851e+07	1.76197e+07	1.77218e+07	13469.4   	52852.4   	15283.8   	16112.5   	24594.3   
30711.610873	8.52007e+06	1.18051e+07	1.76689e+07	1.77712e+07	13487.1   	53059.8   	15313     	16141.9   	24640.4   
30805.243830	8.52793e+06	1.18252e+07	1.77181e+07	1.78207e+07	13504.7   	53267.1   	15342.2   	16171.2   	24686.5   
30898.876787	8.53579e+06	1.18453e+07	1.77673e+07	1.78701e+07	13522.4   	53474.5   	15371.4   	16200.5   	24732.7   
30992.509743	8.54365e+06	1.18654e+07	1.78166e+07	1.79195e+07	13540     	53681.8   	15400.7   	16229.9   	24778.8   
31086.142700	8.55151e+06	1.18855e+07	1.78658e+07	1.79689e+07	13557.6   	53889.2   	15429.9   	16259.2   	24825     
31179.775657	8.55937e+06	1.19056e+07	1.7915e+07	1.80184e+07	13575.3   	54096.6   	15459.1   	16288.6   	24871.1   
31273.408614	8.56723e+06	1.19257e+07	1.79642e+07	1.80678e+07	13592.9   	54303.9   	15488.4   	16317.9   	24917.3   
31367.041571	8.57509e+06	1.19457e+07	1.80134e+07	1.81172e+07	13610.6   	54511.3   	15517.6   	16347.3   	24963.4   
31460.674528	8.58295e+06	1.19658e+07	1.80626e+07	1.81667e+07	13628.2   	54718.6   	15546.8   	16376.6   	25009.5   
31554.307485	8.59081e+06	1.19859e+07	1.81118e+07	1.82161e+07	13645.8   	54926     	15576.1   	16405.9   	25055.7   
31647.940442	8.59867e+06	1.2006e+07	1.8161e+07	1.82655e+07	13663.5   	55133.4   	15605.3   	16435.3   	25101.8   
31741.573399	8.60653e+06	1.20261e+07	1.82102e+07	1.83149e+07	13681.1   	55340.7   	15634.5   	16464.6   	25148     
31835.206356	8.61439e+06	1.20462e+07	1.82594e+07	1.83644e+07	13698.8   	55548.1   	15663.7   	16494     	25194.1   
31928.839313	8.62225e+06	1.20662e+07	1.83086e+07	1.84138e+07	13716.4   	55755.5   	15693     	16523.3   	25240.3   
32022.472270	8.62994e+06	1.20861e+07	1.83578e+07	1.84631e+07	13733.9   	55963.8   	15722.1   	16552.5   	25286.2   
32116.105227	8.6371e+06	1.21053e+07	1.84067e+07	1.85122e+07	13750.9   	56175.4   	15750.9   	16581.4   	25331.6   
32209.738184	8.64426e+06	1.21244e+07	1.84556e+07	1.85613e+07	13767.8   	56387     	15779.7   	16610.2   	25377     
32303.371140	8.65142e+06	1.21436e+07	1.85045e+07	1.86105e+07	13784.8   	56598.6   	15808.4   	16639.1   	25422.5   
32397.004097	8.65858e+06	1.21628e+07	1.85534e+07	1.86596e+07	13801.8   	56810.2   	15837.2   	16667.9   	25467.9   
32490.637054	8.66574e+06	1.21819e+07	1.86023e+07	1.87087e+07	13818.8   	57021.8   	15866     	16696.8   	25513.3   
32584.270011	8.67291e+06	1.22011e+07	1.86512e+07	1.87578e+07	13835.8   	57233.5   	15894.8   	16725.6   	25558.7   
32677.902968	8.68007e+06	1.22203e+07	1.87001e+07	1.88069e+07	13852.8   	57445.1   	15923.6   	16754.4   	25604.1   
32771.535925	8.68723e+06	1.22394e+07	1.87489e+07	1.8856e+07	13869.7   	57656.7   	15952.3   	16783.3   	25649.5   
32865.168882	8.69439e+06	1.22586e+07	1.87978e+07	1.89051e+07	13886.7   	57868.3   	15981.1   	16812.1   	25694.9   
32958.801839	8.70155e+06	1.22778e+07	1.88467e+07	1.89542e+07	13903.7   	58079.9   	16009.9   	16841     	25740.3   
33052.434796	8.70871e+06	1.22969e+07	1.88956e+07	1.90033e+07	13920.7   	58291.5   	16038.7   	16869.8   	25785.7   
33146.067753	8.71588e+06	1.23161e+07	1.89445e+07	1.90524e+07	13937.7   	58503.1   	16067.5   	16898.7   	25831.1   
33239.700710	8.72304e+06	1.23353e+07	1.89934e+07	1.91015e+07	13954.6   	58714.7   	16096.2   	16927.5   	25876.6   
33333.333667	8.7302e+06	1.23544e+07	1.90423e+07	1.91506e+07	13971.6   	58926.3   	16125     	16956.3   	25922     
33426.966624	8.73736e+06	1.23736e+07	1.90912e+07	1.91997e+07	13988.6   	59137.9   	16153.8   	16985.2   	25967.4   
33520.599581	8.74452e+06	1.23928e+07	1.91401e+07	1.92488e+07	14005.6   	59349.5   	16182.6   	17014     	26012.8   
33614.232537	8.75168e+06	1.24119e+07	1.9189e+07	1.92979e+07	14022.6   	59561.1   	16211.4   	17042.9   	26058.2   
33707.865494	8.75884e+06	1.24311e+07	1.92379e+07	1.9347e+07	14039.6   	59772.7   	16240.1   	17071.7   	26103.6   
33801.498451	8.76601e+06	1.24503e+07	1.92868e+07	1.93961e+07	14056.5   	59984.3   	16268.9   	17100.6   	26149     
33895.131408	8.77317e+06	1.24694e+07	1.93357e+07	1.94452e+07	14073.5   	60195.9   	16297.7   	17129.4   	26194.4   
33988.764365	8.78033e+06	1.24886e+07	1.93846e+07	1.94943e+07	14090.5   	60407.5   	16326.5   	17158.2   	26239.8   
34082.397322	8.78695e+06	1.2507e+07	1.94332e+07	1.95432e+07	14107     	60622.8   	16354.9   	17186.7   	26284.6   
34176.030279	8.7935e+06	1.25253e+07	1.94819e+07	1.9592e+07	14123.4   	60838.5   	16383.2   	17215.1   	26329.4   
34269.663236	8.80005e+06	1.25437e+07	1.95305e+07	1.96408e+07	14139.7   	61054.3   	16411.6   	17243.4   	26374.1   
34363.296193	8.8066e+06	1.2562e+07	1.95791e+07	1.96896e+07	14156.1   	61270     	16439.9   	17271.8   	26418.9   
34456.929150	8.81315e+06	1.25803e+07	1.96277e+07	1.97384e+07	14172.5   	61485.8   	16468.3   	17300.2   	26463.6   
34550.562107	8.8197e+06	1.25987e+07	1.96763e+07	1.97872e+07	14188.9   	61701.5   	16496.6   	17328.6   	26508.3   
34644.195064	8.82625e+06	1.2617e+07	1.97249e+07	1.9836e+07	14205.3   	61917.3   	16524.9   	17357     	26553.1   
34737.828021	8.8328e+06	1.26353e+07	1.97735e+07	1.98848e+07	14221.7   	62133.1   	16553.3   	17385.3   	26597.8   
34831.460978	8.83935e+06	1.26536e+07	1.98221e+07	1.99336e+07	14238.1   	62348.8   	16581.6   	17413.7   	26642.6   
34925.093934	8.8459e+06	1.2672e+07	1.98707e+07	1.99825e+07	14254.5   	62564.6   	16610     	17442.1   	26687.3   
35018.726891	8.85245e+06	1.26903e+07	1.99193e+07	2.00313e+07	14270.9   	62780.3   	16638.3   	17470.5   	26732     
35112.359848	8.859e+06 	1.27086e+07	1.99679e+07	2.00801e+07	14287.2   	62996.1   	16666.7   	17498.9   	26776.8   
35205.992805	8.86555e+06	1.2727e+07	2.00165e+07	2.01289e+07	14303.6   	63211.8   	16695     	17527.3   	26821.5   
35299.625762	8.8721e+06	1.27453e+07	2.00651e+07	2.01777e+07	14320     	63427.6   	16723.4   	17555.6   	26866.3   
35393.258719	8.87865e+06	1.27636e+07	2.01138e+07	2.02265e+07	14336.4   	63643.3   	16751.7   	17584     	26911     
35486.891676	8.8852e+06	1.2782e+07	2.01624e+07	2.02753e+07	14352.8   	63859.1   	16780.1   	17612.4   	26955.7   
35580.524633	8.89175e+06	1.28003e+07	2.0211e+07	2.03241e+07	14369.2   	64074.9   	16808.4   	17640.8   	27000.5   
35674.157590	8.8983e+06	1.28186e+07	2.02596e+07	2.03729e+07	14385.6   	64290.6   	16836.7   	17669.2   	27045.2   
35767.790547	8.90485e+06	1.28369e+07	2.03082e+07	2.04217e+07	14402     	64506.4   	16865.1   	17697.5   	27089.9   
35861.423504	8.9114e+06	1.28553e+07	2.03568e+07	2.04705e+07	14418.4   	64722.1   	16893.4   	17725.9   	27134.7   
35955.056461	8.91795e+06	1.28736e+07	2.04054e+07	2.05193e+07	14434.8   	64937.9   	16921.8   	17754.3   	27179.4   
36048.689418	8.92422e+06	1.28915e+07	2.04539e+07	2.0568e+07	14450.9   	65155.6   	16949.9   	17782.5   	27223.8   
