*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.450000	5.26604   	0.450000	5.15815   	0.450000	5.02566   	0.450000	5.02566   	0.450000	0.0984887 	0.450000	0.10199   	0.450000	0.063123  	0.450000	0.0784539 	0.450000	0.0556338
0.500000	6.06639   	0.500000	5.94198   	0.500000	5.81428   	0.500000	5.81428   	0.500000	0.115807  	0.500000	0.117511  	0.500000	0.0714381 	0.500000	0.0880001 	0.500000	0.0632353
0.600000	7.80514   	0.600000	7.64482   	0.600000	7.52791   	0.600000	7.52791   	0.600000	0.153627  	0.600000	0.15046   	0.600000	0.089025  	0.600000	0.108089  	0.600000	0.0793879
0.700000	9.72092   	0.700000	9.52103   	0.700000	9.41448   	0.700000	9.41448   	0.700000	0.195436  	0.700000	0.185737  	0.700000	0.107883  	0.700000	0.12948   	0.700000	0.0967905
0.800000	11.807    	0.800000	11.564    	0.800000	11.4659   	0.800000	11.4659   	0.800000	0.241036  	0.800000	0.223188  	0.800000	0.127989  	0.800000	0.152128  	0.800000	0.115414
0.900000	14.058    	0.900000	13.7685   	0.900000	13.6762   	0.900000	13.6762   	0.900000	0.290297  	0.900000	0.262722  	0.900000	0.149297  	0.900000	0.175968  	0.900000	0.13521
1.000000	16.4693   	1.000000	16.13     	1.000000	16.0404   	1.000000	16.0404   	1.000000	0.343128  	1.000000	0.304275  	1.000000	0.171811  	1.000000	0.200988  	1.000000	0.156179
1.250000	23.1748   	1.250000	22.697    	1.250000	22.5999   	1.250000	22.5999   	1.250000	0.490362  	1.250000	0.417934  	1.250000	0.233187  	1.250000	0.268456  	1.250000	0.21354
1.500000	30.8099   	1.500000	30.1745   	1.500000	30.0496   	1.500000	30.0496   	1.500000	0.658586  	1.500000	0.550743  	1.500000	0.301697  	1.500000	0.342719  	1.500000	0.277805
1.750000	39.3363   	1.750000	38.5248   	1.750000	38.3536   	1.750000	38.3536   	1.750000	0.84713   	1.750000	0.699533  	1.750000	0.377149  	1.750000	0.423494  	1.750000	0.348774
2.000000	48.7231   	2.000000	47.7177   	2.000000	47.4834   	2.000000	47.4834   	2.000000	1.05544   	2.000000	0.86172   	2.000000	0.459346  	2.000000	0.510528  	2.000000	0.426255
2.250000	58.9444   	2.250000	57.7279   	2.250000	57.4157   	2.250000	57.4157   	2.250000	1.28305   	2.250000	1.03588   	2.250000	0.547895  	2.250000	0.603615  	2.250000	0.51008
2.500000	69.9782   	2.500000	68.5338   	2.500000	68.1303   	2.500000	68.1303   	2.500000	1.52955   	2.500000	1.22113   	2.500000	0.642879  	2.500000	0.702571  	2.500000	0.600116
3.000000	93.9331   	3.000000	92.4593   	3.000000	91.8394   	3.000000	91.8394   	3.000000	2.07779   	3.000000	1.62269   	3.000000	0.851683  	3.000000	0.917448  	3.000000	0.798294
3.500000	120.842   	3.500000	119.368   	3.500000	118.495   	3.500000	118.495   	3.500000	2.69765   	3.500000	2.06311   	3.500000	1.08484   	3.500000	1.15407   	3.500000	1.01991
4.000000	150.63    	4.000000	149.158   	4.000000	148.002   	4.000000	148.002   	4.000000	3.38709   	4.000000	2.54022   	4.000000	1.34157   	4.000000	1.41152   	4.000000	1.26423
4.500000	183.234   	4.500000	181.743   	4.500000	180.284   	4.500000	180.284   	4.500000	4.14436   	4.500000	3.0524    	4.500000	1.62119   	4.500000	1.68904   	4.500000	1.53063
5.000000	218.599   	5.000000	217.053   	5.000000	215.273   	5.000000	215.273   	5.000000	4.96796   	5.000000	3.59837   	5.000000	1.92314   	5.000000	1.98598   	5.000000	1.81809
5.500000	256.677   	5.500000	255.022   	5.500000	252.91    	5.500000	252.91    	5.500000	5.85656   	5.500000	4.17704   	5.500000	2.24692   	5.500000	2.30177   	5.500000	2.12624
6.000000	297.426   	6.000000	295.597   	6.000000	293.145   	6.000000	293.145   	6.000000	6.80901   	6.000000	4.78752   	6.000000	2.59207   	6.000000	2.6359    	6.000000	2.45512
6.500000	340.806   	6.500000	338.728   	6.500000	335.932   	6.500000	335.932   	6.500000	7.82427   	6.500000	5.42901   	6.500000	2.95807   	6.500000	2.98793   	6.500000	2.80434
7.000000	386.782   	7.000000	384.371   	7.000000	381.23    	7.000000	381.23    	7.000000	8.90138   	7.000000	6.1008    	7.000000	3.34447   	7.000000	3.35748   	7.000000	3.17354
7.500000	435.323   	7.500000	432.484   	7.500000	429       	7.500000	429       	7.500000	10.0395   	7.500000	6.80225   	7.500000	3.75123   	7.500000	3.74417   	7.500000	3.56238
8.000000	486.397   	8.000000	483.033   	8.000000	479.21    	8.000000	479.21    	8.000000	11.2378   	8.000000	7.53282   	8.000000	4.17805   	8.000000	4.14769   	8.000000	3.97059
8.500000	539.976   	8.500000	535.982   	8.500000	531.828   	8.500000	531.828   	8.500000	12.4956   	8.500000	8.29204   	8.500000	4.62466   	8.500000	4.56775   	8.500000	4.39791
9.000000	596.035   	9.000000	591.301   	9.000000	586.824   	9.000000	586.824   	9.000000	13.8123   	9.000000	9.07943   	9.000000	5.0908    	9.000000	5.00406   	9.000000	4.8441
9.500000	654.549   	9.500000	648.961   	9.500000	644.171   	9.500000	644.171   	9.500000	15.1871   	9.500000	9.89445   	9.500000	5.57624   	9.500000	5.45637   	9.500000	5.30893
10.000000	715.495   	10.000000	708.925   	10.000000	703.845   	10.000000	703.845   	10.000000	16.6195   	10.000000	10.7365   	10.000000	6.08077   	10.000000	5.92446   	10.000000	5.79222
11.000000	844.594   	11.000000	835.177   	11.000000	830.193   	11.000000	830.192   	11.000000	19.6628   	11.000000	12.505    	11.000000	7.14771   	11.000000	6.90832   	11.000000	6.81472
12.000000	983.168   	12.000000	970.477   	12.000000	965.838   	12.000000	965.836   	12.000000	22.9467   	12.000000	14.3879   	12.000000	8.29216   	12.000000	7.95519   	12.000000	7.91216
13.000000	1131.07   	13.000000	1114.73   	13.000000	1110.67   	13.000000	1110.67   	13.000000	26.4689   	13.000000	16.3833   	13.000000	9.51368   	13.000000	9.06507   	13.000000	9.08415
14.000000	1288.15   	14.000000	1267.84   	14.000000	1264.6    	14.000000	1264.59   	14.000000	30.2274   	14.000000	18.489    	14.000000	10.8118   	14.000000	10.2373   	14.000000	10.3303
15.000000	1454.3    	15.000000	1429.73   	15.000000	1427.54   	15.000000	1427.53   	15.000000	34.2212   	15.000000	20.7048   	15.000000	12.1862   	15.000000	11.4713   	15.000000	11.6502
16.000000	1629.38   	16.000000	1600.31   	16.000000	1599.42   	16.000000	1599.41   	16.000000	38.4493   	16.000000	23.0302   	16.000000	13.6365   	16.000000	12.7666   	16.000000	13.0437
17.000000	1813.3    	17.000000	1779.49   	17.000000	1780.17   	17.000000	1780.17   	17.000000	42.9108   	17.000000	25.4633   	17.000000	15.1624   	17.000000	14.1226   	17.000000	14.5105
18.000000	2005.93   	18.000000	1967.19   	18.000000	1969.73   	18.000000	1969.75   	18.000000	47.605    	18.000000	28.0032   	18.000000	16.7637   	18.000000	15.5391   	18.000000	16.0503
19.000000	2207.19   	19.000000	2163.35   	19.000000	2168.07   	19.000000	2168.1    	19.000000	52.532    	19.000000	30.6499   	19.000000	18.4402   	19.000000	17.0157   	19.000000	17.6632
20.000000	2416.97   	20.000000	2367.88   	20.000000	2375.13   	20.000000	2375.18   	20.000000	57.6918   	20.000000	33.4031   	20.000000	20.1918   	20.000000	18.5522   	20.000000	19.3489
21.000000	2635.19   	21.000000	2580.72   	21.000000	2590.88   	21.000000	2590.95   	21.000000	63.0841   	21.000000	36.2624   	21.000000	22.0184   	21.000000	20.1482   	21.000000	21.1076
22.000000	2861.76   	22.000000	2801.8    	22.000000	2815.28   	22.000000	2815.38   	22.000000	68.709    	22.000000	39.2278   	22.000000	23.92     	22.000000	21.8037   	22.000000	22.9391
23.000000	3096.59   	23.000000	3031.04   	23.000000	3048.31   	23.000000	3048.42   	23.000000	74.5665   	23.000000	42.2992   	23.000000	25.8965   	23.000000	23.5184   	23.000000	24.8434
24.000000	3339.62   	24.000000	3268.39   	24.000000	3289.91   	24.000000	3290.06   	24.000000	80.6563   	24.000000	45.4756   	24.000000	27.9477   	24.000000	25.2921   	24.000000	26.8205
25.000000	3590.75   	25.000000	3513.79   	25.000000	3540.07   	25.000000	3540.26   	25.000000	86.9776   	25.000000	48.7556   	25.000000	30.0736   	25.000000	27.1245   	25.000000	28.8703
27.000000	4117.07   	27.000000	4028.46   	27.000000	4065.9    	27.000000	4066.24   	27.000000	100.315   	27.000000	55.6267   	27.000000	34.549    	27.000000	30.965    	27.000000	33.188
29.000000	4674.97   	29.000000	4574.58   	29.000000	4625.66   	29.000000	4626.18   	29.000000	114.583   	29.000000	62.9184   	29.000000	39.3231   	29.000000	35.0394   	29.000000	37.7972
31.000000	5263.96   	31.000000	5151.72   	31.000000	5218.84   	31.000000	5219.55   	31.000000	129.757   	31.000000	70.6173   	31.000000	44.3917   	31.000000	39.3435   	31.000000	42.6943
