Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.161627  	4.000000	0.145717  	4.000000	0.14905   	4.000000	0.14905   	4.000000	0.145628  	4.000000	8.96612e-05	
4.500000	0.147831  	4.500000	0.133931  	4.500000	0.136708  	4.500000	0.136708  	4.500000	0.13385   	4.500000	8.0763e-05	
5.000000	0.136352  	5.000000	0.124101  	5.000000	0.126412  	5.000000	0.126412  	5.000000	0.124027  	5.000000	7.35434e-05	
5.500000	0.126642  	5.500000	0.115766  	5.500000	0.117698  	5.500000	0.117698  	5.500000	0.115699  	5.500000	6.75622e-05	
6.000000	0.118315  	6.000000	0.108604  	6.000000	0.110227  	6.000000	0.110227  	6.000000	0.108541  	6.000000	6.25216e-05	
6.500000	0.111091  	6.500000	0.102377  	6.500000	0.10375   	6.500000	0.10375   	6.500000	0.102318  	6.500000	5.82129e-05	
7.000000	0.10476   	7.000000	0.0969087 	7.000000	0.098078  	7.000000	0.098078  	7.000000	0.0968542 	7.000000	5.44853e-05	
7.500000	0.0991647 	7.500000	0.0920657 	7.500000	0.0930663 	7.500000	0.0930663 	7.500000	0.0920145 	7.500000	5.12269e-05	
8.000000	0.0941808 	8.000000	0.0877431 	8.000000	0.0886032 	8.000000	0.0886032 	8.000000	0.0876947 	8.000000	4.83532e-05	
8.500000	0.0897119 	8.500000	0.0838586 	8.500000	0.0846007 	8.500000	0.0846007 	8.500000	0.0838128 	8.500000	4.57989e-05	
9.000000	0.0856807 	9.000000	0.0803468 	9.000000	0.0809887 	9.000000	0.0809887 	9.000000	0.0803033 	9.000000	4.35127e-05	
9.500000	0.0820249 	9.500000	0.0771545 	9.500000	0.0777106 	9.500000	0.0777106 	9.500000	0.0771131 	9.500000	4.1454e-05	
10.000000	0.0786935 	10.000000	0.0745728 	10.000000	0.0747205 	10.000000	0.0747205 	10.000000	0.0745332 	10.000000	3.95898e-05	
11.000000	0.0728424 	11.000000	0.0693694 	11.000000	0.0693371 	11.000000	0.0693497 	11.000000	0.0693331 	11.000000	3.6343e-05	
