Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.114203  	0.114203  	0.0722242 	0.0722242 	-	-	0.000216652	0.000341091	0.000165098
93.633957	37265.4   	36883.2   	37507     	37546.1   	312.085   	151.282   	104.216   	86.4756   	102.652   
187.266914	124707    	123435    	125356    	125584    	1005.53   	469.271   	336.565   	272.194   	339.764   
280.899871	247047    	244128    	248083    	248629    	1907.2    	886.908   	643.209   	518.414   	664.714   
374.532828	394751    	390019    	396633    	397600    	2922.3    	1370.87   	993.913   	804.208   	1049.62   
468.165785	562118    	555089    	564763    	566237    	3994.17   	1901      	1369.8    	1115.97   	1475.48   
561.798742	745120    	735142    	748094    	750139    	5088.49   	2464.59   	1758.88   	1444.56   	1929.2    
655.431699	940653    	927024    	943332    	946006    	6183.87   	3053.64   	2153.29   	1783.56   	2401.29   
749.064655	1.14628e+06	1.12832e+06	1.148e+06 	1.15134e+06	7267.48   	3662.2    	2547.92   	2128.43   	2884.95   
842.697612	1.36005e+06	1.33716e+06	1.36019e+06	1.36424e+06	8331.45   	4285.78   	2939.45   	2475.93   	3375.17   
936.330569	1.58045e+06	1.55212e+06	1.57837e+06	1.58314e+06	9369.28   	4921.57   	3325.34   	2823.48   	3867.95   
1029.963526	1.80617e+06	1.772e+06 	1.80134e+06	1.80685e+06	10378.7   	5566.55   	3704.17   	3169.31   	4360.48   
1123.596483	2.03611e+06	1.9958e+06	2.02816e+06	2.03443e+06	11359     	6220.11   	4075.16   	3512.25   	4850.79   
1217.229440	2.2694e+06	2.22275e+06	2.25814e+06	2.26519e+06	12310.3   	6881.41   	4437.85   	3851.43   	5337.46   
1310.862397	2.50527e+06	2.45221e+06	2.4907e+06	2.49853e+06	13233     	7549.26   	4792.04   	4186.28   	5819.44   
1404.495354	2.74306e+06	2.68359e+06	2.72533e+06	2.73397e+06	14128.2   	8223.23   	5137.81   	4516.42   	6296.03   
1498.128311	2.98222e+06	2.91646e+06	2.96167e+06	2.97111e+06	14997     	8903.16   	5475.25   	4841.61   	6766.74   
1591.761268	3.22229e+06	3.15041e+06	3.1994e+06	3.20964e+06	15840.3   	9588.81   	5804.5    	5161.67   	7231.18   
1685.394225	3.46284e+06	3.38511e+06	3.43823e+06	3.44927e+06	16659.4   	10279.4   	6125.85   	5476.55   	7689.15   
1779.027182	3.70354e+06	3.62029e+06	3.67795e+06	3.68981e+06	17454.6   	10974.6   	6439.29   	5786.05   	8140.27   
1872.660139	3.94407e+06	3.85567e+06	3.91834e+06	3.93102e+06	18228.5   	11674.3   	6745.55   	6090.5    	8584.91   
1966.293096	4.18418e+06	4.09107e+06	4.15927e+06	4.17276e+06	18981.7   	12378.7   	7044.74   	6389.84   	9022.9    
2059.926052	4.42355e+06	4.32627e+06	4.40063e+06	4.41494e+06	19713     	13088.6   	7336.37   	6683.58   	9453.55   
2153.559009	4.66214e+06	4.56116e+06	4.64225e+06	4.65736e+06	20427.5   	13802.8   	7622.16   	6972.88   	9878.32   
2247.191966	4.89972e+06	4.7956e+06	4.88407e+06	4.89998e+06	21124.2   	14521.7   	7901.7    	7257.34   	10296.7   
2340.824923	5.13615e+06	5.02947e+06	5.126e+06 	5.14271e+06	21803.9   	15245     	8175.26   	7537.09   	10708.7   
2434.457880	5.3713e+06	5.26267e+06	5.36797e+06	5.38547e+06	22467.5   	15972.7   	8443.07   	7812.24   	11114.5   
2528.090837	5.60507e+06	5.49511e+06	5.60993e+06	5.62823e+06	23115.8   	16704.5   	8705.38   	8082.89   	11514.3   
2621.723794	5.83735e+06	5.72673e+06	5.85181e+06	5.87091e+06	23749.4   	17440.4   	8962.4    	8349.18   	11908.1   
2715.356751	6.06807e+06	5.95744e+06	6.09358e+06	6.11348e+06	24369.1   	18180.2   	9214.37   	8611.22   	12296.1   
2808.989708	6.29716e+06	6.1872e+06	6.3352e+06	6.3559e+06	24975.5   	18924.1   	9461.49   	8869.13   	12678.5   
2902.622665	6.52455e+06	6.41596e+06	6.57664e+06	6.59814e+06	25569.1   	19671.8   	9703.96   	9123.04   	13055.4   
