Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
13483.146798	1.08165e+07	1.22838e+07	1.53513e+07	1.54289e+07	25694.4   	52574.8   	10202     	10907.4   	15851.6   
13576.779755	1.08576e+07	1.23447e+07	1.54538e+07	1.55319e+07	25782.1   	53034.4   	10242.8   	10951.9   	15918.8   
13670.412712	1.08988e+07	1.24057e+07	1.55564e+07	1.5635e+07	25869.8   	53494.1   	10283.5   	10996.4   	15986     
13764.045669	1.09399e+07	1.24666e+07	1.5659e+07	1.5738e+07	25957.5   	53953.7   	10324.2   	11041     	16053.2   
13857.678625	1.09811e+07	1.25276e+07	1.57615e+07	1.5841e+07	26045.1   	54413.4   	10365     	11085.5   	16120.4   
13951.311582	1.10223e+07	1.25885e+07	1.58641e+07	1.59441e+07	26132.8   	54873     	10405.7   	11130     	16187.6   
14044.944539	1.1062e+07	1.26483e+07	1.59663e+07	1.60468e+07	26218.6   	55337.6   	10445.9   	11173.8   	16253.7   
14138.577496	1.11002e+07	1.27066e+07	1.60682e+07	1.61491e+07	26302.5   	55807.5   	10485.6   	11216.8   	16318.8   
14232.210453	1.11385e+07	1.2765e+07	1.61701e+07	1.62514e+07	26386.3   	56277.5   	10525.3   	11259.9   	16383.8   
14325.843410	1.11767e+07	1.28234e+07	1.6272e+07	1.63538e+07	26470.1   	56747.4   	10564.9   	11302.9   	16448.8   
14419.476367	1.12149e+07	1.28818e+07	1.63738e+07	1.64561e+07	26553.9   	57217.3   	10604.6   	11345.9   	16513.8   
14513.109324	1.12531e+07	1.29402e+07	1.64757e+07	1.65584e+07	26637.7   	57687.2   	10644.2   	11388.9   	16578.8   
14606.742281	1.12913e+07	1.29986e+07	1.65776e+07	1.66608e+07	26721.5   	58157.1   	10683.9   	11431.9   	16643.8   
14700.375238	1.13295e+07	1.3057e+07	1.66795e+07	1.67631e+07	26805.3   	58627.1   	10723.5   	11475     	16708.8   
14794.008195	1.13677e+07	1.31154e+07	1.67814e+07	1.68654e+07	26889.1   	59097     	10763.2   	11518     	16773.8   
14887.641152	1.1406e+07	1.31738e+07	1.68833e+07	1.69678e+07	26972.9   	59566.9   	10802.9   	11561     	16838.8   
14981.274109	1.14442e+07	1.32321e+07	1.69851e+07	1.70701e+07	27056.7   	60036.8   	10842.5   	11604     	16903.8   
15074.907066	1.14803e+07	1.32886e+07	1.70865e+07	1.71719e+07	27137.8   	60514.6   	10881.4   	11646     	16967.3   
15168.540022	1.15158e+07	1.33447e+07	1.71878e+07	1.72736e+07	27218.1   	60994.4   	10920.2   	11687.7   	17030.4   
15262.172979	1.15514e+07	1.34007e+07	1.7289e+07	1.73753e+07	27298.5   	61474.2   	10958.9   	11729.5   	17093.5   
15355.805936	1.1587e+07	1.34567e+07	1.73903e+07	1.7477e+07	27378.9   	61954     	10997.6   	11771.2   	17156.6   
15449.438893	1.16226e+07	1.35128e+07	1.74915e+07	1.75787e+07	27459.2   	62433.8   	11036.3   	11812.9   	17219.7   
15543.071850	1.16581e+07	1.35688e+07	1.75928e+07	1.76804e+07	27539.6   	62913.6   	11075.1   	11854.6   	17282.8   
15636.704807	1.16937e+07	1.36248e+07	1.7694e+07	1.77821e+07	27620     	63393.3   	11113.8   	11896.3   	17345.9   
15730.337764	1.17293e+07	1.36808e+07	1.77953e+07	1.78838e+07	27700.3   	63873.1   	11152.5   	11938.1   	17409     
15823.970721	1.17649e+07	1.37369e+07	1.78965e+07	1.79855e+07	27780.7   	64352.9   	11191.3   	11979.8   	17472.1   
15917.603678	1.18004e+07	1.37929e+07	1.79978e+07	1.80872e+07	27861.1   	64832.7   	11230     	12021.5   	17535.2   
16011.236635	1.18357e+07	1.38487e+07	1.8099e+07	1.81889e+07	27941.1   	65313.7   	11268.6   	12063.1   	17598.1   
16104.869592	1.18689e+07	1.39025e+07	1.81996e+07	1.829e+07 	28018.4   	65803.1   	11306.6   	12103.6   	17659.5   
16198.502549	1.19021e+07	1.39564e+07	1.83003e+07	1.83911e+07	28095.6   	66292.6   	11344.5   	12144.2   	17720.9   
16292.135506	1.19353e+07	1.40102e+07	1.8401e+07	1.84922e+07	28172.9   	66782.1   	11382.4   	12184.8   	17782.3   
16385.768463	1.19685e+07	1.40641e+07	1.85016e+07	1.85933e+07	28250.2   	67271.5   	11420.3   	12225.4   	17843.7   
16479.401419	1.20017e+07	1.4118e+07	1.86023e+07	1.86944e+07	28327.5   	67761     	11458.3   	12266     	17905.2   
