Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.0972743 	4.000000	0.111248  	4.000000	0.115074  	4.000000	0.115074  	4.000000	0.111182  	4.000000	6.54174e-05	
4.500000	0.0889714 	4.500000	0.1014    	4.500000	0.104954  	4.500000	0.104954  	4.500000	0.101341  	4.500000	5.88719e-05	
5.000000	0.0820626 	5.000000	0.0932238 	5.000000	0.0965386 	5.000000	0.0965386 	5.000000	0.0931702 	5.000000	5.35669e-05	
5.500000	0.0762187 	5.500000	0.0864069 	5.500000	0.0894362 	5.500000	0.0894362 	5.500000	0.0863577 	5.500000	4.91759e-05	
6.000000	0.0712073 	6.000000	0.0805738 	6.000000	0.0833643 	6.000000	0.0833643 	6.000000	0.0805283 	6.000000	4.54785e-05	
6.500000	0.0668594 	6.500000	0.0755239 	6.500000	0.0781138 	6.500000	0.0781138 	6.500000	0.0754815 	6.500000	4.23204e-05	
7.000000	0.0630494 	7.000000	0.0711076 	7.000000	0.0735277 	7.000000	0.0735277 	7.000000	0.071068  	7.000000	3.959e-05 	
7.500000	0.0596817 	7.500000	0.0672113 	7.500000	0.069486  	7.500000	0.069486  	7.500000	0.067174  	7.500000	3.72048e-05	
8.000000	0.0566821 	8.000000	0.0637468 	8.000000	0.0658958 	8.000000	0.0658958 	8.000000	0.0637117 	8.000000	3.51023e-05	
8.500000	0.0539925 	8.500000	0.060645  	8.500000	0.0626841 	8.500000	0.0626841 	8.500000	0.0606117 	8.500000	3.32345e-05	
9.000000	0.0515664 	9.000000	0.0578507 	9.000000	0.0597928 	9.000000	0.0597928 	9.000000	0.0578191 	9.000000	3.15636e-05	
9.500000	0.0493662 	9.500000	0.0553195 	9.500000	0.0571753 	9.500000	0.0571753 	9.500000	0.0552894 	9.500000	3.00596e-05	
10.000000	0.0473612 	10.000000	0.0546373 	10.000000	0.0547933 	10.000000	0.0547933 	10.000000	0.0546086 	10.000000	2.86983e-05	
11.000000	0.0438398 	11.000000	0.0505843 	11.000000	0.0505692 	11.000000	0.0505771 	11.000000	0.0505579 	11.000000	2.63288e-05	
12.000000	0.0408455 	12.000000	0.0471317 	12.000000	0.0469938 	12.000000	0.0470067 	12.000000	0.0471074 	12.000000	2.4335e-05	
13.000000	0.0382665 	13.000000	0.0441538 	13.000000	0.0439271 	13.000000	0.043943  	13.000000	0.0441311 	13.000000	2.26332e-05	
14.000000	0.0360206 	14.000000	0.0415575 	14.000000	0.0412672 	14.000000	0.0412843 	14.000000	0.0415364 	14.000000	2.11628e-05	
15.000000	0.0340462 	15.000000	0.0392731 	15.000000	0.0389379 	15.000000	0.038955  	15.000000	0.0392532 	15.000000	1.9879e-05	
16.000000	0.0322961 	16.000000	0.0372466 	16.000000	0.0368804 	16.000000	0.0368972 	16.000000	0.0372278 	16.000000	1.8748e-05	
17.000000	0.0307335 	17.000000	0.0354361 	17.000000	0.0350497 	17.000000	0.0350662 	17.000000	0.0354183 	17.000000	1.77437e-05	
18.000000	0.0293293 	18.000000	0.0338083 	18.000000	0.0334112 	18.000000	0.0334266 	18.000000	0.0337914 	18.000000	1.68457e-05	
19.000000	0.0280602 	19.000000	0.0323364 	19.000000	0.0319361 	19.000000	0.0319502 	19.000000	0.0323204 	19.000000	1.60377e-05	
20.000000	0.0269072 	20.000000	0.0309988 	20.000000	0.0306005 	20.000000	0.030614  	20.000000	0.0309835 	20.000000	1.53066e-05	
21.000000	0.0258549 	21.000000	0.0297775 	21.000000	0.0293864 	21.000000	0.0293995 	21.000000	0.0297629 	21.000000	1.46419e-05	
22.000000	0.0248904 	22.000000	0.0286579 	22.000000	0.0282795 	22.000000	0.028291  	22.000000	0.0286439 	22.000000	1.40348e-05	
23.000000	0.0240029 	23.000000	0.0276275 	23.000000	0.0272665 	23.000000	0.0272756 	23.000000	0.0276141 	23.000000	1.3478e-05	
