* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         3         7        52.5526           1138
    0         3         7        59.3384           1272
    0         3         7          65.98           1406
    0         3         7        72.4496           1540
    0         3         7        78.7882           1674
    0         3         7        85.0447           1808
    0         3         7        91.2358           1942
    0         3         7        97.3944           2076
    0         3         7        103.545           2210
    0         3         7        109.712           2344
    0         3         7        115.912           2478
    0         3         7        122.158           2612
    0         3         7        128.451           2746
    0         3         7        134.784           2880
    0         3         7        141.138           3014
    0         3         7        147.485           3148
    0         3         7        153.788           3282
    0         3         7        160.001           3416
    0         3         7        166.078           3550
    0         3         7         171.98           3684
    0         3         7        177.679           3818
    0         3         7        183.176           3952
    0         3         7        188.511           4086
    0         3         7        193.782           4220
    0         3         8        6.17418            333
    0         3         8        15.0868            466
    0         3         8        23.2217            599
    0         3         8        30.9435            732
    0         3         8        38.3783            865
    0         3         8        45.5917            998
    0         3         8        52.6152           1131
    0         3         8        59.4678           1264
    0         3         8        66.1681           1397
    0         3         8        72.7407           1530
    0         3         8        79.1994           1663
    0         3         8        85.5206           1796
    0         3         8        91.7981           1929
    0         3         8        98.0476           2062
    0         3         8        104.288           2195
    0         3         8        110.541           2328
    0         3         8        116.812           2461
    0         3         8        123.101           2594
    0         3         8          129.4           2727
    0         3         8        135.686           2860
    0         3         8        141.934           2993
    0         3         8        148.107           3126
    0         3         8        154.172           3259
    0         3         8          160.1           3392
    0         3         8        165.877           3525
    0         3         8        171.517           3658
    0         3         8        177.077           3791
    0         3         8        182.675           3924
    0         3         8         188.51           4057
    0         3         8        194.894           4190
    0         3         9        5.92927            331
    0         3         9        15.1254            462
    0         3         9        23.3518            593
    0         3         9        31.0984            724
    0         3         9        38.5353            855
    0         3         9        45.7425            986
    0         3         9        52.7631           1117
    0         3         9        59.6256           1248
    0         3         9        66.3539           1379
    0         3         9        72.9514           1510
    0         3         9        79.4419           1641
    0         3         9        85.8452           1772
    0         3         9        92.1282           1903
    0         3         9        98.3252           2034
    0         3         9        104.498           2165
    0         3         9        110.641           2296
    0         3         9        116.766           2427
    0         3         9        122.881           2558
    0         3         9        128.982           2689
    0         3         9        135.059           2820
    0         3         9        141.096           2951
    0         3         9         147.07           3082
    0         3         9        152.954           3213
    0         3         9        158.718           3344
    0         3         9        164.334           3475
    0         3         9        169.783           3606
    0         3         9         175.06           3737
    0         3         9        180.183           3868
    0         3         9        185.205           3999
    0         3         9        190.223           4130
    0         4         7        3.74843            308
    0         4         7        12.2173            416
    0         4         7        19.6945            524
    0         4         7        26.7632            632
    0         4         7        33.6103            740
    0         4         7        40.3109            848
    0         4         7        46.8967            956
    0         4         7        53.3764           1064
    0         4         7        59.7428           1172
    0         4         7        65.9954           1280
    0         4         7        72.0919           1388
    0         4         7        78.0444           1496
    0         4         7        83.8665           1604
    0         4         7        89.5451           1712
    0         4         7        95.0943           1820
    0         4         7        100.525           1928
    0         4         7        105.853           2036
    0         4         7        111.101           2144
    0         4         7        116.294           2252
    0         4         7         121.46           2360
    0         4         7        126.626           2468
    0         4         7        131.818           2576
    0         4         7        137.058           2684
    0         4         7        142.354           2792
    0         4         7        147.705           2900
    0         4         7        153.085           3008
    0         4         7        158.441           3116
    0         4         7        163.685           3224
    0         4         7        168.679           3332
    0         4         7        173.231           3440
    0         4         9        5.45564            333
    0         4         9        16.4655            466
    0         4         9        26.2897            599
    0         4         9        35.4291            732
    0         4         9        44.0531            865
    0         4         9        52.2567            998
    0         4         9        60.1082           1131
    0         4         9        67.6719           1264
    0         4         9        75.0103           1397
    0         4         9        82.1826           1530
    0         4         9         89.208           1663
    0         4         9        96.1342           1796
    0         4         9        103.024           1929
    0         4         9        109.891           2062
    0         4         9        116.745           2195
    0         4         9        123.582           2328
    0         4         9        130.374           2461
    0         4         9         137.08           2594
    0         4         9        143.642           2727
    0         4         9        149.997           2860
    0         4         9        156.081           2993
    0         4         9         161.84           3126
    0         4         9         167.25           3259
    0         4         9         172.33           3392
    0         4         9        177.164           3525
    0         4         9        181.927           3658
    0         4         9         186.91           3791
    0         4         9        192.559           3924
    0         4         9        199.527           4057
    0         4         9        208.775           4190
    0         4        10        4.22282            332
    0         4        10        15.6447            464
    0         4        10        25.5885            596
    0         4        10        34.7731            728
    0         4        10        43.4201            860
    0         4        10        51.6524            992
    0         4        10        59.5543           1124
    0         4        10        67.1968           1256
    0         4        10        74.6291           1388
    0         4        10        81.9091           1520
    0         4        10        89.0812           1652
    0         4        10         96.177           1784
    0         4        10        103.183           1916
    0         4        10        110.139           2048
    0         4        10        117.067           2180
    0         4        10        123.934           2312
    0         4        10        130.721           2444
    0         4        10        137.389           2576
    0         4        10        143.889           2708
    0         4        10        150.172           2840
    0         4        10        156.194           2972
    0         4        10        161.929           3104
    0         4        10        167.385           3236
    0         4        10        172.618           3368
    0         4        10        177.755           3500
    0         4        10        183.015           3632
    0         4        10        188.738           3764
    0         4        10         195.43           3896
    0         4        10        203.826           4028
    0         4        10        215.013           4160
    0         5        10        4.42466            376
    0         5        10        12.9587            464
    0         5        10        20.7788            552
    0         5        10        28.0865            640
    0         5        10        34.9728            728
    0         5        10        41.4998            816
    0         5        10        47.7287            904
    0         5        10        53.7161            992
    0         5        10        59.5168           1080
    0         5        10         65.181           1168
    0         5        10        70.7536           1256
    0         5        10        76.2752           1344
    0         5        10        81.7757           1432
    0         5        10        87.2778           1520
    0         5        10        92.7934           1608
    0         5        10        98.3142           1696
    0         5        10         103.82           1784
    0         5        10        109.327           1872
    0         5        10        114.798           1960
    0         5        10        120.204           2048
    0         5        10        125.509           2136
    0         5        10        130.667           2224
    0         5        10        135.656           2312
    0         5        10        140.452           2400
    0         5        10         145.02           2488
    0         5        10        149.395           2576
    0         5        10        153.616           2664
    0         5        10        157.779           2752
    0         5        10        162.058           2840
    0         5        11       0.129219            320
    0         5        11         11.707            440
    0         5        11          22.44            560
    0         5        11        32.2731            680
    0         5        11        41.4989            800
    0         5        11        50.2564            920
    0         5        11        58.6341           1040
    0         5        11        66.6974           1160
    0         5        11        74.5021           1280
    0         5        11        82.0934           1400
    0         5        11        89.5179           1520
    0         5        11         96.818           1640
    0         5        11        104.027           1760
    0         5        11        111.138           1880
    0         5        11        118.199           2000
    0         5        11        125.257           2120
    0         5        11        132.297           2240
    0         5        11        139.335           2360
    0         5        11         146.35           2480
    0         5        11         153.35           2600
    0         5        11        160.292           2720
    0         5        11        167.145           2840
    0         5        11        173.905           2960
    0         5        11        180.507           3080
    0         5        11        186.904           3200
    0         5        11        193.077           3320
    0         5        11        199.008           3440
    0         5        11        204.699           3560
    0         5        11        210.179           3680
    0         5        11        215.514           3800
    0         5        12        3.92445            370
    0         5        12        12.6181            455
    0         5        12          20.53            540
    0         5        12        27.9237            625
    0         5        12        34.9363            710
    0         5        12        41.6469            795
    0         5        12        48.1019            880
    0         5        12        54.3411            965
    0         5        12        60.3949           1050
    0         5        12        66.2922           1135
    0         5        12        72.0565           1220
    0         5        12        77.7116           1305
    0         5        12        83.2765           1390
    0         5        12         88.768           1475
    0         5        12         94.208           1560
    0         5        12        99.6052           1645
    0         5        12        104.971           1730
    0         5        12        110.313           1815
    0         5        12        115.634           1900
    0         5        12         120.91           1985
    0         5        12        126.156           2070
    0         5        12        131.375           2155
    0         5        12         136.56           2240
    0         5        12        141.696           2325
    0         5        12        146.756           2410
    0         5        12        151.723           2495
    0         5        12        156.557           2580
    0         5        12        161.247           2665
    0         5        12        165.768           2750
    0         6        12        2.30736            326
    0         6        12        14.4674            452
    0         6        12        25.5209            578
    0         6        12        36.0338            704
    0         6        12         46.223            830
    0         6        12        56.1842            956
